ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
7,3008,3,S3,2,TOL,TOL,IND,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1763975155279502,-0.0096204590230277,-0.0317,Home
9,3002,3,S3,1,TCU,TCU,TOL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,3,2.4714285714285715,0.2551621496726244,0.4722999999999999,Home
9,3007,3,S3,2,TCU,TCU,WSU,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.8452380952380953,0.1005623945833441,-0.0064999999999999,Away
13,3005,3,S3,1,WSU,WSU,VT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.3131908621960207,-0.0232997936898347,-0.0412,Home
13,3007,3,S3,2,WSU,WSU,TCU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1410714285714286,0.0221264353869101,0.0453,Home
28,3002,3,S3,1,TCU,TCU,TOL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.5271739130434783,0.0607366838341151,0.0407,Home
28,3007,3,S3,2,TCU,TCU,WSU,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,0.4166666666666667,0.0577052517262013,0.1473,Away
29,3003,3,S3,1,RIC,RIC,NEB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,-0.6246118012422359,-0.0464225950646889,0.0169,Away
29,3010,3,S3,2,RIC,RIC,CSUF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3131908621960207,-0.0232997936898347,-0.0673,Away
34,12010,12,S12,4,FUR,FUR,OWL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.0576923076923077,-0.0983952880752475,-0.152,Away
36,3003,3,S3,1,RIC,RIC,NEB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.5625,-0.0482307074702326,-0.05,Away
36,3010,3,S3,2,RIC,RIC,CSUF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3131908621960207,-0.0232997936898347,-0.0358,Away
61,3002,3,S3,1,TOL,TOL,TCU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,-0.8131908621960207,-0.0652805011600674,-0.0134,Away
61,3008,3,S3,2,TOL,TOL,IND,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3131908621960207,-0.0232997936898347,-0.0412,Home
63,3004,3,S3,1,IND,IND,UOM,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1.1666666666666667,-0.1086473741368993,-0.1789,Home
63,3008,3,S3,2,IND,IND,TOL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.25,-0.0169807074702326,-0.0721,Away
64,3005,3,S3,1,VT,VT,WSU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6723163841807909,0.0752509309478464,0.0572,Away
64,3009,3,S3,2,VT,VT,UOM,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.3131908621960207,-0.0232997936898347,-0.023,Away
66,3003,3,S3,1,NEB,NEB,RIC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-0.3131908621960207,-0.0152805011600674,-0.1139,Home
66,3006,3,S3,2,NEB,NEB,HOF,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,-0.75,-0.0589614149404653,-0.1041,Away
67,3008,3,S3,2,IND,IND,TOL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,-0.4846194336245921,-0.0324233583029245,-0.0849,Away
68,3004,3,S3,1,UOM,UOM,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1.0,0.1080192925297673,0.2012,Away
68,3009,3,S3,2,UOM,UOM,VT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1.125,0.1205192925297673,0.1335,Home
70,3005,3,S3,1,WSU,WSU,VT,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,-2.687111801242236,-0.252672595064689,-0.0302999999999999,Home
70,3007,3,S3,2,WSU,WSU,TCU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.1714285714285714,-0.0091235646130898,-0.0226,Home
