G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
5,14,14,2,2,0,0,0,2,8,3,0,0,8,0,0,0,0,0,1,1,1,2,0,0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7142857142857142,0.42857142857142855,0.0,,0.14285714285714285,0.5714285714285714,0.0,0.6,0.4,1.5,276.2142857142857,0.21428571428571427,0.6153846153846154,1.6523155519840742,-0.1906,3,2,BP,14,13,2,8,1,0,0,S10,367.0,False,NWU,NWU,5,0.2240430306082435
2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,178.5,0.5,0.5,0.29819121447028424,0.001800000000000003,0,1,SF,2,2,1,1,0,0,0,S10,567.0,False,TOL,TOL,4,0.03822076079129072
4,10,10,1,0,0,1,0,0,2,0,0,0,5,0,0,0,0,0,1,2,1,0,1,0,0.1,0.1,0.2,0.30000000000000004,0.1,0.2,,0.0,0.5,0.0,0.8,0.2,4.0,305.1,0.1,0.2,-1.7141668902678093,-0.3519,4,1,XB,10,10,1,2,0,0,0,S10,2216.0,False,BSU,BSU,5,-0.12940849230546947
4,8,7,2,1,1,0,0,1,5,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0.2857142857142857,0.375,0.7142857142857143,1.0892857142857144,0.4285714285714286,0.2,,0.125,0.125,0.125,0.6,0.4,1.5,258.5,0.375,0.7142857142857143,0.6328505922915391,-0.1169,3,2,BC,8,7,2,5,1,0,0,S10,2327.0,False,NWU,NWU,5,0.09689161660620309
2,5,5,1,1,0,0,0,1,4,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0.2,0.2,0.8,1.0,0.6000000000000001,0.0,,0.2,0.4,0.0,1.0,0.0,,294.8,0.2,0.8,0.4462466394965222,-0.06020000000000002,2,0,P,5,5,1,4,0,0,0,S10,2544.0,False,NWU,NWU,5,0.06562876231030797
5,13,10,2,1,1,1,0,0,3,1,3,0,2,0,0,0,0,0,0,1,0,3,2,0,0.2,0.38461538461538464,0.3,0.6846153846153846,0.09999999999999998,0.25,,0.0,0.15384615384615385,0.23076923076923078,0.16666666666666666,0.8333333333333334,0.2,220.3846153846154,0.46153846153846156,0.4,-0.18096891632050988,0.11949999999999998,1,5,BN,13,10,3,4,3,0,0,S10,2651.0,False,TOL,TOL,5,0.03651376410565393
2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,281.0,0.0,0.0,-0.35126980135780733,-0.0589,0,0,BP,2,2,0,0,0,0,0,S10,2965.0,False,NWU,NWU,5,-0.026725340791518438
4,11,10,4,0,2,2,0,0,6,0,1,0,3,0,0,0,0,0,0,0,1,1,1,0,0.4,0.45454545454545453,0.6,1.0545454545454545,0.19999999999999996,0.5714285714285714,,0.0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.5,211.45454545454547,0.5454545454545454,0.7,-1.1309098780823155,0.15940000000000004,1,2,XB,11,10,5,7,1,0,0,S10,2976.0,False,BSU,BSU,5,-0.06688197141478894
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,329.0,0.0,0.0,-0.11686155123503766,-0.025099999999999997,0,0,,1,1,0,0,0,0,0,S10,2977.0,False,FOK,FOK,1,-0.007485335451372618
5,14,14,3,3,0,0,0,3,12,5,0,0,5,0,0,0,0,0,1,3,1,1,1,0,0.21428571428571427,0.21428571428571427,0.8571428571428571,1.0714285714285714,0.6428571428571428,0.0,,0.21428571428571427,0.35714285714285715,0.0,0.7142857142857143,0.2857142857142857,2.5,260.7142857142857,0.21428571428571427,0.8571428571428571,0.7369581126781288,-0.2985,5,2,XB,14,14,3,12,0,0,0,S10,2978.0,False,FOK,FOK,5,0.13250728667764894
4,8,8,3,2,0,2,0,1,8,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0.375,0.375,1.0,1.375,0.625,0.3333333333333333,,0.125,0.125,0.0,0.0,1.0,0.0,189.625,0.375,1.0,0.6430831588119386,0.1597,0,4,XB,8,8,3,8,0,0,0,S10,2981.0,False,TXS,TXS,5,0.09791487325824304
4,10,7,1,0,0,1,0,0,2,1,2,0,1,0,0,0,0,1,0,1,0,3,2,0,0.14285714285714285,0.3,0.2857142857142857,0.5857142857142856,0.14285714285714285,0.14285714285714285,,0.0,0.1,0.2,0.14285714285714285,0.8571428571428571,0.16666666666666666,262.7,0.3,0.4,-0.43223761538566235,-0.0541,1,6,SF,10,10,3,4,0,0,0,S10,2982.0,False,UNA,UNA,5,-0.0012155648172547605
5,12,11,4,1,2,1,0,1,8,1,1,0,0,0,1,0,0,0,1,2,1,2,2,0,0.36363636363636365,0.4166666666666667,0.7272727272727273,1.143939393939394,0.36363636363636365,0.3,1.0,0.08333333333333333,0.0,0.08333333333333333,0.5,0.5,1.0,212.76923076923077,0.4166666666666667,0.75,0.47621719095360343,-0.052500000000000005,4,4,BN,12,12,5,9,0,0,0,S10,2983.0,False,BSU,BSU,5,0.09803155516093412
5,13,12,1,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,2,2,1,3,3,0,0.08333333333333333,0.15384615384615385,0.08333333333333333,0.23717948717948717,0.0,0.1,,0.0,0.15384615384615385,0.07692307692307693,0.45454545454545453,0.5454545454545454,0.8333333333333334,303.7692307692308,0.15384615384615385,0.08333333333333333,-2.5310759397085256,-0.43870000000000003,5,6,S,13,12,1,1,1,0,0,S10,2987.0,False,TOL,TOL,5,-0.19849693823314765
5,13,11,5,3,2,0,1,2,13,3,2,0,2,0,0,0,0,0,0,0,1,0,3,0,0.45454545454545453,0.5384615384615384,1.1818181818181819,1.7202797202797204,0.7272727272727273,0.42857142857142855,,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.25,0.75,0.3333333333333333,202.0,0.5384615384615384,1.1818181818181819,0.49732163918991945,0.4143999999999999,1,3,XB,13,11,5,13,2,0,0,S10,2988.0,False,NWU,NWU,5,0.10434281965669685
2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.5,1.0,321.75,0.0,0.0,-0.6632533038123571,-0.1008,1,1,P,4,4,0,0,0,0,0,S10,2989.0,False,TOL,TOL,3,-0.04952205169271112
3,9,9,2,1,1,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.33333333333333337,0.14285714285714285,,0.1111111111111111,0.1111111111111111,0.0,0.16666666666666666,0.8333333333333334,0.2,260.22222222222223,0.3333333333333333,0.625,1.1537768960879502,0.045,1,5,1B,9,8,2,5,1,0,0,S10,2990.0,False,TOL,TOL,5,0.15318506665797535
5,13,13,1,0,0,0,1,0,3,1,0,0,4,0,0,0,0,0,1,0,2,4,2,0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.1111111111111111,,0.0,0.3076923076923077,0.0,0.3333333333333333,0.6666666666666666,0.5,266.0769230769231,0.07692307692307693,0.23076923076923078,-2.3175306846407286,-0.21109999999999998,3,6,EN,13,13,1,3,0,0,0,S10,2992.0,False,TXS,TXS,5,-0.17714241272636794
3,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0.0,0.2,0.0,0.2,0.0,0.0,,0.0,0.2,0.2,0.3333333333333333,0.6666666666666666,0.5,324.4,0.0,0.0,-0.4589188285270239,-0.0739,1,2,,5,5,0,0,0,0,0,S10,2993.0,False,UNA,UNA,3,-0.024887784492046656
5,14,14,3,1,1,1,0,1,7,2,0,0,3,0,0,0,0,0,0,2,2,2,2,0,0.21428571428571427,0.21428571428571427,0.5,0.7142857142857143,0.2857142857142857,0.2,,0.07142857142857142,0.21428571428571427,0.0,0.5,0.5,1.0,243.85714285714286,0.21428571428571427,0.5,-0.843266449202617,0.12039999999999998,4,4,XB,14,14,3,7,0,0,0,S10,2995.0,False,FOK,FOK,5,-0.02551516951042563
5,13,11,3,2,0,1,0,2,10,4,2,0,2,0,0,0,0,0,0,0,3,0,2,1,0.2727272727272727,0.38461538461538464,0.9090909090909091,1.2937062937062938,0.6363636363636364,0.14285714285714285,,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.5,0.5,1.0,274.3076923076923,0.38461538461538464,0.9166666666666666,2.317256733530214,-0.0015999999999999834,3,3,XB,13,12,4,11,1,0,0,S10,2996.0,False,TOL,TOL,5,0.2863363290907263
5,12,12,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,4,1,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.2222222222222222,,0.0,0.25,0.0,0.7142857142857143,0.2857142857142857,2.5,334.5,0.16666666666666666,0.16666666666666666,-2.7737129056762466,-0.3784,5,2,BP,12,12,2,2,0,0,0,S10,2999.0,False,NWU,NWU,5,-0.2269614545020509
5,12,12,3,2,1,1,0,1,7,3,0,0,2,0,0,0,0,0,2,4,0,1,2,0,0.25,0.25,0.5833333333333334,0.8333333333333334,0.33333333333333337,0.2222222222222222,,0.08333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,2.0,243.16666666666666,0.25,0.5833333333333334,-1.444809806557263,-0.16440000000000002,6,3,MH,12,12,3,7,0,0,0,S10,3000.0,False,BSU,BSU,5,-0.09407114459015253
5,14,13,3,1,2,0,0,1,6,2,1,0,0,0,0,0,0,0,0,2,5,1,2,0,0.23076923076923078,0.2857142857142857,0.46153846153846156,0.7472527472527473,0.23076923076923078,0.16666666666666666,,0.07142857142857142,0.0,0.07142857142857142,0.7,0.3,2.3333333333333335,280.57142857142856,0.35714285714285715,0.5,0.5070709332107725,0.3038,7,3,MH,14,12,3,6,2,0,0,S10,3001.0,False,TXS,TXS,5,0.1095185687309133
