ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB 2B,SB 3B,SB Home,CS 2B,CS 3B,CS Home,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
7,3,S3,TOL,TOL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,0,{3008},1,0,0,233.0,1,-0.1763975155279502,-0.0317,-0.0096204590230277,0,0,TOL,2,0,0,0,1,0,1,0.9653679653679652,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,233.0,Tony McGooch,BN,,Right,2B,-100.0
9,3,S3,TCU,TCU,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2.0,1,3,2,4,4,"{3002, 3007}",2,1,3,186.0,2,3.316666666666667,0.4657999999999999,0.3557245442559686,0,0,TCU,2,1,4,1,1,0,3,1.9653679653679648,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.5,0.5,0.6666666666666666,2.0,2.6666666666666665,1.5,0.0,,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.6666666666666665,2.0352422907488985,93.0,Odin Luka,BN,,Right,3B,486.6063637712903
13,3,S3,WSU,WSU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,1,"{3005, 3007}",2,0,0,430.0,2,-0.1721194336245921,0.0040999999999999,-0.0011733583029245,0,0,WSU,2,0,0,1,0,0,2,1.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,,0.5,0.0,215.0,Reimer Gonzalez,BN,,Right,SS,57.53424657534247
28,3,S3,TCU,TCU,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2,3,3,3,3,"{3002, 3007}",2,2,0,577.0,3,0.943840579710145,0.188,0.1184419355603164,0,0,TCU,2,2,3,0,0,0,3,3.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.6666666666666666,0.0,0.6666666666666666,1.0,1.6666666666666663,0.3333333333333333,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,,0.6666666666666666,1.0,192.3333333333333,Barney Turbo,BN,,Right,SS,295.06574712054163
29,3,S3,RIC,RIC,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,3,2,2,"{3010, 3003}",2,0,0,743.0,3,-0.9378026634382566,-0.0503999999999999,-0.0697223887545237,0,0,RIC,2,1,2,0,1,0,3,2.965367965367965,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,0.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.6744525547445256,247.66666666666663,Eric Leeder,BC,,Right,SS,129.81010007107398
34,12,S12,FUR,FUR,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,{12010},1,0,0,719.0,2,-1.0576923076923077,-0.152,-0.0983952880752475,0,1,FUR,4,0,0,0,1,0,2,1.93446088794926,0.0655391120507399,0.0655391120507399,236,72,932,850.169133192389,464,0.3304721030042918,0.5457737547559247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,359.5,Dixon Uraz,WC,,Left,RF,-100.0
36,3,S3,RIC,RIC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,"{3010, 3003}",2,0,0,786.0,2,-0.8756908621960207,-0.0858,-0.0715305011600674,0,0,RIC,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,inf,0.0,0.0,393.0,Jericho Caulfield,BN,,Right,2B,-100.0
61,3,S3,TOL,TOL,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,1,"{3008, 3002}",2,0,0,1016.0,3,-1.126381724392041,-0.0546,-0.0885802948499021,0,0,TOL,2,0,0,1,0,0,3,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,0.5,0.0,inf,0.3333333333333333,0.0,338.6666666666667,Ronald McChimbus,BN,BB-B,Right,P,5.022831050228316
63,3,S3,IND,IND,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,2,0,0,"{3008, 3004}",2,0,0,923.0,2,-1.4166666666666667,-0.251,-0.125628081607132,0,0,IND,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,461.5,Michael Ikenberry,BN,BB-B,Right,C,-100.0
64,3,S3,VT,VT,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,1,"{3009, 3005}",2,1,0,119.0,1,0.3591255219847701,0.0342,0.0519511372580116,0,0,VT,2,0,0,1,0,0,2,1.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,0.5,0.0,119.0,Biggie Moonshota,BN,,Right,DH,57.53424657534247
66,3,S3,NEB,NEB,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,4,4,0,0,"{3003, 3006}",2,0,0,1527.0,4,-1.0631908621960209,-0.218,-0.0742419161005328,0,0,NEB,2,0,0,0,0,0,4,4.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,381.75,Daniel Dove,BC,,Right,2B,-100.0
67,3,S3,IND,IND,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,{3008},1,0,0,839.0,2,-0.4846194336245921,-0.0849,-0.0324233583029245,0,0,IND,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,419.5,Dean Wesrey,BN,,Left,2B,-100.0
