Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
BDE,BSU,11010,11,S11,4,1,0,2,2,5,0,4,7,0,0,4,2,0,0,1,5,10,27,4,4,0.729613733905579,0.1701961046097048,-0.1729,Away
BDE,BSU,11017,11,S11,6,1,0,2,5,3,0,8,6,0,2,1,0,0,0,1,8,13,28,3,3,-0.2703862660944208,0.0736687735818172,-0.0539,Away
BDE,CSU,11006,11,S11,2,3,1,3,0,1,0,2,8,0,0,2,2,0,0,0,7,21,23,4,4,1.396280400572246,0.2194994264158095,0.3803999999999999,Home
BDE,KSU,11003,11,S11,1,1,0,2,2,5,0,3,2,0,8,2,2,1,1,0,5,10,27,3,3,-0.2703862660944205,0.0701961046097048,-0.1335,Away
BDE,UWU,11014,11,S11,5,2,1,4,3,4,0,3,8,0,2,2,2,0,2,1,10,22,31,5,5,1.729613733905579,0.2910321184423791,0.239,Away
BDE,ZOO,11008,11,S11,3,0,0,3,1,1,0,1,3,0,3,7,3,1,0,0,4,7,22,1,1,-2.2703862660944205,-0.1506399092229695,-0.1561,Home
BSU,BDE,11010,11,S11,4,4,0,1,1,2,0,4,5,0,1,0,4,1,0,0,6,19,22,6,6,3.274678111587983,0.4038665285452708,0.3271,Home
BSU,BDE,11017,11,S11,6,0,0,1,1,2,0,7,2,1,1,2,3,2,1,1,2,3,19,0,0,-3.2703862660944205,-0.2541125781950819,-0.5539,Home
BSU,CSU,11013,11,S11,5,3,0,1,5,2,0,6,1,0,1,1,8,1,0,0,9,19,28,6,6,2.7296137339055795,0.3701961046097048,0.2244,Away
BSU,FOK,10004,10,S10,2,4,0,3,2,1,0,4,6,0,1,3,2,2,1,0,9,24,26,6,6,2.9690721649484537,0.3942733215991953,0.2789999999999999,Away
BSU,KSU,11007,11,S11,3,0,0,1,4,1,0,4,2,0,8,3,1,0,1,0,5,6,24,3,3,-0.2703862660944208,0.0597780976933676,-0.1532,Away
BSU,TOL,10010,10,S10,4,0,0,2,3,1,0,3,3,0,5,4,2,1,0,0,5,7,23,0,0,-3.0309278350515463,-0.220151286564412,-0.5296999999999998,Home
BSU,TOL,10014,10,S10,5,1,0,3,0,1,0,5,6,0,0,5,1,1,0,0,4,10,22,2,2,-1.0309278350515465,-0.0237574386053139,-0.2648,Away
BSU,TXS,10007,10,S10,3,1,0,2,2,2,0,5,4,0,6,0,1,1,1,1,5,10,23,2,2,-1.0309278350515465,-0.0129389824826083,0.1069,Home
BSU,UNA,10003,10,S10,1,1,1,3,3,0,0,0,5,1,8,2,2,1,0,0,8,16,25,3,3,-0.0309278350515462,0.0870610175173916,-0.2117,Away
BSU,UWU,11001,11,S11,1,2,4,3,6,2,0,2,4,0,9,2,0,1,0,0,15,32,34,11,11,7.729613733905579,0.8910321184423791,0.4357999999999999,Away
BSU,ZOO,11004,11,S11,2,2,0,0,2,1,0,2,9,0,1,2,3,0,0,1,4,10,22,2,2,-1.2703862660944207,-0.0471672402508571,-0.3939999999999999,Home
CCU,GT,5013,5,S5,4,0,0,0,2,1,0,3,2,0,1,2,3,1,0,0,2,2,14,0,0,-2.30188679245283,-0.1383999206126349,-0.4718,Away
CCU,LOU,5005,5,S5,2,0,0,0,0,1,0,1,5,2,0,3,2,1,0,0,0,0,12,0,0,-2.30188679245283,-0.1515126004172989,-0.5892,Home
CCU,NCS,5001,5,S5,1,1,0,0,8,2,0,5,4,0,0,2,1,0,0,0,9,12,23,4,4,1.6981132075471703,0.3206071385083531,0.205,Away
CCU,UNC,5009,5,S5,3,1,0,0,0,0,0,0,7,1,1,0,1,0,0,0,1,4,10,1,1,-0.7264150943396226,-0.0070781104106422,0.0105,Home
CCU,WSU,5017,5,S5,5,0,0,0,3,1,0,5,3,0,1,2,1,0,0,0,3,3,16,1,1,-1.30188679245283,-0.0252872408079708,-0.2667,Home
CCU,WSU,5022,5,S5,6,1,0,3,4,10,0,4,7,1,5,1,1,0,0,0,8,14,36,8,8,4.547169811320755,0.6907452176160277,0.4551999999999999,Away
CLM,GT,4003,4,S4,1,0,1,2,1,1,0,3,4,0,1,2,1,1,0,0,4,8,16,2,2,-0.0408163265306121,0.0839420896563753,0.2315999999999999,Home
CLM,SBU,4008,4,S4,2,0,1,0,1,0,0,3,1,0,0,4,1,0,0,0,2,4,11,2,2,0.4693877551020406,0.1074550845979417,0.133,Home
CSU,BDE,11006,11,S11,2,3,0,0,0,1,0,3,3,0,5,4,3,0,0,0,3,12,22,3,3,-0.2703862660944208,0.0493600907770304,-0.1196,Away
CSU,BSU,11013,11,S11,5,0,0,0,2,2,0,2,8,0,5,1,1,1,0,0,2,2,21,0,0,-3.2703862660944205,-0.2541125781950819,-0.2756,Home
CSU,KSU,11011,11,S11,4,0,0,2,4,0,0,5,3,0,4,0,3,0,1,0,6,8,21,3,3,0.2746781115879827,0.1038665285452708,0.1013,Home
CSU,UWU,11009,11,S11,3,0,0,0,2,1,0,4,3,0,1,4,5,0,0,1,2,2,20,0,0,-3.270386266094421,-0.2541125781950819,-0.6558000000000002,Home
CSU,UWU,11018,11,S11,6,2,1,1,2,3,0,4,4,0,2,3,3,2,0,0,6,15,25,3,3,-0.2703862660944207,0.0597780976933676,-0.0426,Away
CSU,ZOO,11002,11,S11,1,0,0,1,5,4,0,3,5,0,4,4,1,2,3,2,6,7,27,0,0,-3.815450643776824,-0.2704196572700859,-0.7374,Away
CSUF,HOF,3001,3,S3,1,1,0,0,2,2,0,0,2,0,3,0,1,0,0,0,3,6,11,3,3,1.6779661016949154,0.256008827996932,0.3181,Home
CSUF,RIC,3010,3,S3,2,0,0,2,0,3,0,3,2,0,0,1,0,0,0,0,2,4,11,1,1,-0.3220338983050848,0.056008827996932,0.1094,Home
FOK,BSU,10004,10,S10,2,3,0,1,4,2,0,6,6,0,2,3,1,0,1,0,8,18,28,4,4,0.9690721649484536,0.201485625680999,-0.221,Home
FOK,NWU,10008,10,S10,3,1,0,1,2,2,0,6,6,0,1,2,3,0,0,0,4,8,24,2,2,-1.0309278350515465,-0.0165451345235102,-0.0761999999999999,Home
FOK,NWU,10015,10,S10,5,3,1,3,0,0,0,7,3,0,4,1,2,0,0,1,7,21,24,5,5,1.9690721649484533,0.2870610175173916,0.2449,Away
FOK,TOL,10001,10,S10,1,1,0,1,6,1,0,4,3,0,2,4,3,2,0,0,8,12,25,4,4,0.9690721649484536,0.1870610175173916,0.1677999999999999,Away
FOK,TXS,10011,10,S10,4,0,0,2,2,1,0,5,1,0,6,2,4,0,0,0,4,6,23,0,0,-3.0309278350515463,-0.220151286564412,-0.2938,Away
FUR,LSU,12001,12,S12,1,1,0,1,2,1,0,3,4,0,4,3,3,1,1,0,4,8,22,2,2,-1.6566523605150212,-0.080864895070695,-0.3241,Away
FUR,OWL,12010,12,S12,4,1,1,1,4,3,0,6,3,2,3,3,3,1,0,0,7,13,29,4,3,-0.2660944206008581,0.0803127270026708,-0.0314,Away
FUR,SYR,12007,12,S12,3,3,1,2,3,4,0,4,5,0,1,4,1,0,0,0,9,22,28,8,8,4.952789699570815,0.5985141676728466,0.5874999999999999,Home
FUR,SYR,12017,12,S12,6,1,1,3,2,1,0,6,4,0,1,3,4,0,0,0,7,15,26,4,4,0.3433476394849789,0.1301960189702797,-0.1601,Home
FUR,UOM,12005,12,S12,2,1,1,2,2,0,0,4,0,0,1,6,2,2,0,0,6,13,19,3,3,-0.0472103004291841,0.0653314255499221,0.0900999999999999,Home
FUR,WKU,12014,12,S12,5,0,1,0,6,3,0,5,2,1,0,3,5,0,0,0,7,9,25,4,4,0.9527896995708156,0.1874532536318718,0.2352,Home
GEO,GT,6002,6,S6,1,1,1,0,0,1,1,5,2,0,2,0,1,0,0,0,2,7,13,3,3,1.747523709167545,0.2422296575523521,0.0525999999999999,Home
GEO,NEB,6005,6,S6,3,0,0,1,0,3,0,3,7,0,0,2,0,0,2,0,1,2,16,1,1,-0.6986301369863012,0.0235670754891204,-0.0893,Away
GEO,OSU,6004,6,S6,2,2,1,2,0,1,0,5,1,0,0,1,5,0,0,0,5,15,18,6,6,4.301369863013699,0.5235670754891204,0.3872999999999999,Away
GEO,OSU,6007,6,S6,4,0,0,2,2,4,0,6,6,0,1,3,2,1,0,2,4,6,26,1,1,-2.547945205479452,-0.1094588262558887,-1.3543,Home
GT,CCU,5013,5,S5,4,1,0,0,1,1,0,2,2,0,4,0,1,0,0,0,2,5,12,1,1,-0.7264150943396226,0.0060345693940218,0.0282999999999999,Home
GT,CLM,4003,4,S4,1,0,2,3,3,2,1,3,3,0,0,1,3,1,0,1,8,15,20,6,6,3.959183673469388,0.5114495028780743,0.7315,Away
GT,GEO,6002,6,S6,1,0,0,0,2,1,0,2,4,0,1,0,4,1,1,0,2,2,14,0,0,-1.6986301369863015,-0.0920046060421713,-0.4475,Away
GT,NCS,5011,5,S5,3,2,1,1,0,2,0,2,2,0,2,1,1,1,1,0,4,13,14,3,3,1.2735849056603774,0.2257035891010178,0.5429999999999999,Home
GT,NEB,5006,5,S5,2,2,0,1,3,2,0,5,2,0,0,2,3,0,1,0,6,13,20,4,4,1.6981132075471703,0.3074944587036892,0.2724999999999999,Away
GT,NEB,6003,6,S6,2,2,0,0,0,1,0,0,6,0,1,1,1,0,0,0,2,8,12,2,2,0.7260273972602741,0.1348894658511944,0.1749,Home
GT,NEB,6008,6,S6,4,2,1,0,4,3,0,5,3,0,1,5,2,1,0,1,7,15,26,4,4,1.4520547945205482,0.2853506132336806,-0.2077,Away
GT,OSU,6006,6,S6,3,1,0,0,1,0,0,1,3,0,4,2,2,0,0,0,2,5,14,1,1,-0.698630136986301,0.002804833447398,-0.0548,Home
GT,SLC,5020,5,S5,5,0,1,1,1,1,0,3,2,0,2,1,3,1,1,0,3,6,15,1,1,-1.30188679245283,-0.0252872408079709,-0.1333999999999999,Away
GT,SLC,5021,5,S5,6,0,0,3,2,1,1,3,8,0,3,2,2,0,2,0,5,8,24,1,1,-2.452830188679245,-0.0748181814072923,-0.7648000000000001,Home
GT,UNC,5004,5,S5,1,0,2,2,2,4,0,1,4,0,1,0,3,0,0,0,6,12,19,6,6,4.273584905660377,0.5519289487103459,0.3817,Home
GT,WSU,4011,4,S4,2,1,1,1,0,0,0,3,2,0,6,0,1,0,0,0,3,9,15,1,1,-1.0408163265306123,-0.0215593929879644,-0.0776999999999999,Away
HOF,CSUF,3001,3,S3,1,0,0,0,0,1,0,4,5,1,0,0,0,0,0,0,0,0,10,0,0,-1.9830508474576272,-0.1181121594480895,-0.1823,Away
HOF,NEB,3006,3,S3,2,1,2,1,3,1,0,2,2,1,2,0,0,0,0,0,7,15,14,6,6,4.677966101694915,0.5800667055862339,0.6837000000000001,Home
HRW,MCH,8015,8,S8,4,0,0,1,4,3,0,7,2,0,3,2,3,1,0,0,5,6,25,3,3,-0.8730158730158726,0.0085858985803553,-0.2237,Away
HRW,ORD,8010,8,S8,3,1,2,2,1,3,0,6,4,0,4,1,3,0,1,0,6,15,27,4,4,0.1269841269841269,0.1200923968861883,0.066,Away
HRW,PUR,8002,8,S8,1,0,1,0,2,1,0,2,4,0,1,5,3,2,0,1,3,5,19,0,0,-3.8730158730158726,-0.3105915985960332,-0.1831,Home
HRW,UCL,8005,8,S8,2,2,1,3,1,4,0,8,3,0,4,0,0,0,1,0,7,18,26,7,7,3.772486772486773,0.4808071620011752,0.2889999999999998,Home
HVD,TEN,9001,9,S9,1,0,0,1,1,3,0,4,2,0,1,4,6,0,1,1,2,3,22,1,1,-1.583732057416268,-0.0521244505193942,-0.2133,Away
HVD,TOL,9009,9,S9,3,0,0,1,3,2,0,3,3,0,4,3,3,0,2,2,4,5,22,2,2,-0.583732057416268,0.0567296124157918,-0.1741,Home
HVD,UCC,9013,9,S9,5,0,0,1,1,1,0,5,4,0,1,2,6,0,2,0,2,3,21,1,1,-1.583732057416268,-0.0565514819869872,-0.6151,Home
HVD,UGA,9006,9,S9,2,2,0,0,0,3,0,4,3,0,5,1,4,0,1,1,2,8,22,2,2,-0.5837320574162681,0.0478755494806057,-0.3234999999999999,Home
HVD,WSU,9010,9,S9,4,0,0,1,0,3,0,4,7,0,4,2,0,0,0,1,1,2,21,1,1,-1.583732057416268,-0.0609785134545802,-0.2133,Away
HVD,WSU,9018,9,S9,6,0,0,2,3,1,0,6,4,0,2,0,2,0,1,1,5,7,20,3,3,0.84688995215311,0.1820836875023575,0.2068,Home
IND,TOL,3008,3,S3,2,0,0,1,0,0,0,3,0,0,2,2,2,0,0,0,1,2,10,0,0,-1.9830508474576272,-0.1181121594480895,-0.3667,Away
IND,UOM,3004,3,S3,1,0,0,0,0,3,0,1,4,1,0,1,2,1,0,0,0,0,11,0,0,-1.9830508474576272,-0.1100928669183222,-0.4965,Home
KSU,BDE,11003,11,S11,1,0,0,4,4,0,0,1,5,0,2,2,5,0,1,0,8,12,23,4,4,1.2746781115879826,0.2108118664894956,0.3665,Home
KSU,BSU,11007,11,S11,3,2,0,4,0,1,0,3,6,0,1,3,2,0,0,0,6,16,22,5,5,2.274678111587983,0.3038665285452708,0.3468,Home
KSU,CSU,11011,11,S11,4,0,0,2,2,0,0,1,9,0,3,3,2,0,0,0,4,6,22,0,0,-3.2703862660944205,-0.2506399092229695,-0.3987,Away
KSU,UWU,11005,11,S11,2,0,0,0,5,2,0,3,6,0,2,2,3,2,1,0,5,5,23,0,0,-3.2703862660944205,-0.2436945712787447,-0.5347,Home
KSU,ZOO,11015,11,S11,5,5,2,2,1,2,0,4,8,0,2,2,1,0,0,1,10,31,29,8,8,4.729613733905579,0.5771414425539295,0.4335,Away
KSU,ZOO,11016,11,S11,6,2,0,2,5,1,0,4,4,0,5,4,1,0,1,0,9,17,28,5,5,1.729613733905579,0.2736687735818172,0.2783999999999999,Away
LBS,RU,7003,7,S7,1,0,0,0,3,0,0,3,1,1,1,2,2,0,0,0,3,3,12,1,1,-0.4328358208955221,0.0181025489176984,0.0282999999999999,Home
LBS,RU,7010,7,S7,4,0,0,1,0,2,0,2,4,2,1,2,3,0,0,0,1,2,15,0,0,-1.9104477611940296,-0.1143121123603396,-0.3946,Away
LBS,UCLA,7006,7,S7,2,3,0,0,1,2,0,1,7,0,2,1,1,0,0,0,4,13,18,4,4,2.0895522388059704,0.301034420391473,0.3824000000000001,Away
LBS,USF,7014,7,S7,5,4,0,1,1,4,0,1,9,1,2,1,3,1,0,1,6,19,26,6,6,3.134328358208956,0.4515516305872096,0.3297,Away
LBS,UVA,7009,7,S7,3,0,0,0,2,1,0,3,5,2,1,3,0,0,0,0,2,2,15,0,0,-1.7482453802416489,-0.0980918742651015,-0.3310999999999999,Home
LOU,CCU,5005,5,S5,2,0,0,1,1,0,0,2,1,0,5,0,4,0,0,0,2,3,14,1,1,-1.30188679245283,-0.0383999206126349,-0.0893,Away
LOU,NCS,5018,5,S5,5,1,0,2,1,1,0,2,7,0,1,2,0,0,0,0,4,9,17,2,2,-0.3018867924528301,0.081269099094361,-0.0772999999999999,Home
LOU,NEB,5010,5,S5,3,1,0,1,1,2,0,2,4,0,2,0,2,2,0,0,3,7,15,1,1,-1.30188679245283,-0.0318435807103028,-0.1126,Home
LOU,NEB,5024,5,S5,6,2,2,0,5,0,0,3,7,0,3,3,3,2,0,0,9,19,28,6,6,1.416735028712059,0.3252510201365021,0.2825999999999999,Away
LOU,SLC,5002,5,S5,1,0,0,3,1,1,0,1,2,0,2,6,0,1,0,0,4,7,16,3,3,0.6981132075471699,0.1747127591920291,0.1289,Home
LOU,WSU,5014,5,S5,4,0,0,1,0,0,0,0,5,2,4,2,1,0,0,0,1,2,13,0,0,-2.30188679245283,-0.1449562605149669,-0.4475,Away
LSU,FUR,12001,12,S12,1,1,0,2,2,2,0,6,6,0,1,0,2,0,0,0,5,10,22,3,3,-0.0472103004291844,0.0763923395908969,0.1759,Home
LSU,OWL,12008,12,S12,3,0,0,2,2,2,0,4,1,0,1,3,5,1,0,0,4,6,20,2,2,-1.0472103004291846,-0.0309816031030862,0.0216,Home
LSU,OWL,12016,12,S12,6,1,0,3,1,2,0,4,7,0,2,3,2,0,0,0,5,11,25,4,4,0.3433476394849789,0.1265090476232882,-0.1266999999999999,Home
LSU,SYR,12015,12,S12,5,1,3,2,2,1,0,4,3,0,5,4,2,0,0,0,8,19,27,7,7,3.343347639484979,0.4338829903172714,0.5523,Away
LSU,UOM,12011,12,S12,4,1,1,1,2,4,0,4,3,2,7,1,2,1,0,0,5,11,26,4,4,0.3433476394849786,0.1301960189702797,0.1925999999999998,Away
LSU,WKU,12006,12,S12,2,1,1,5,6,3,0,5,5,0,9,2,3,2,1,0,13,23,42,8,8,1.9055793991416312,0.3490977078348024,-0.171,Away
MCH,HRW,8015,8,S8,4,1,1,2,3,4,0,2,4,1,2,2,3,2,0,0,7,14,24,6,6,2.672486772486773,0.3593006636953422,0.2763,Home
MCH,MSU,8011,8,S8,3,2,0,1,1,4,0,7,5,0,0,1,2,0,0,0,4,11,23,4,4,0.7724867724867727,0.1654651642600644,0.0334999999999999,Home
MCH,PAN,8008,8,S8,2,1,0,0,3,2,0,2,7,0,0,3,4,1,0,1,4,7,22,1,1,-2.8730158730158726,-0.1990851002902001,-0.3853,Away
MCH,TEN,8004,8,S8,1,2,0,0,2,3,0,1,4,0,4,3,5,1,0,0,4,10,24,4,4,0.1269841269841272,0.1047503991450776,0.0824999999999999,Home
MIC,UWO,4001,4,S4,1,1,0,1,0,0,0,2,6,0,1,1,2,0,0,0,2,6,14,1,1,-1.0408163265306123,-0.0270608756323041,-0.0571,Away
MIC,WWU,4012,4,S4,2,1,1,0,0,3,0,4,6,0,1,1,1,0,1,1,2,7,19,4,4,0.8258503401360543,0.1981161695447409,0.0824,Away
MICH,RU,7007,7,S7,3,0,1,2,1,0,0,4,4,0,0,3,1,0,0,0,4,8,16,2,2,0.0895522388059703,0.0908033985569312,-0.0353,Home
MICH,RU,7013,7,S7,5,0,0,0,5,3,0,3,4,0,0,5,3,3,1,0,5,5,23,0,0,-2.8656716417910446,-0.1637949021646031,-1.4467,Away
MICH,UCLA,7002,7,S7,1,2,1,0,0,0,0,2,4,0,4,0,1,0,0,0,3,11,14,3,3,1.2205046197583511,0.1936676148176275,0.2770000000000001,Home
MICH,USF,7012,7,S7,4,3,0,1,2,2,0,3,0,0,0,2,6,1,0,0,6,16,19,5,5,3.0895522388059704,0.4061499313087439,0.359,Away
MICH,UVA,7004,7,S7,2,2,1,1,2,1,0,0,2,0,1,3,3,0,0,0,6,15,16,4,4,2.567164179104478,0.338564592586782,0.4439000000000001,Home
MSU,MCH,8011,8,S8,3,0,0,2,1,3,0,3,4,0,1,4,5,1,0,0,3,5,23,0,0,-3.8730158730158726,-0.2990851002902001,-0.4665000000000001,Away
MSU,PAN,8003,8,S8,1,0,0,3,3,3,0,2,3,0,4,4,3,2,0,0,6,9,25,1,1,-2.8730158730158726,-0.1914141014196446,-0.1431,Home
MSU,TEN,8007,8,S8,2,0,0,4,2,1,0,2,5,0,3,3,5,0,1,0,6,10,25,4,4,0.1269841269841272,0.112421398015633,-0.0837999999999999,Away
MSU,UCL,8016,8,S8,4,1,0,1,8,3,0,6,5,0,2,3,1,1,0,0,10,14,30,5,4,1.1269841269841272,0.2277633957567438,0.1211,Away
NCS,CCU,5001,5,S5,1,0,0,1,3,2,0,4,1,0,2,0,3,2,0,0,4,5,16,0,0,-2.30188679245283,-0.1252872408079708,-0.2948999999999999,Home
NCS,GT,5011,5,S5,3,1,1,1,2,0,0,3,3,0,2,2,2,0,0,0,5,11,17,2,2,-0.3018867924528301,0.0812690990943611,0.0429,Away
NCS,LOU,5018,5,S5,5,2,0,2,1,2,0,6,4,0,0,2,0,0,0,0,5,13,19,4,4,1.69811320754717,0.2943817788990251,0.4226,Away
NCS,SLC,5007,5,S5,2,0,1,0,3,0,0,2,5,1,0,3,0,2,1,0,4,6,14,1,1,-1.30188679245283,-0.0318435807103029,-0.2172,Away
NCS,UNC,5016,5,S5,4,1,0,0,4,2,0,2,2,0,2,2,1,0,0,0,5,8,16,3,3,1.2735849056603774,0.2322599290033498,0.2369999999999999,Home
NCS,UNC,5023,5,S5,6,0,0,1,4,1,0,2,7,0,6,1,2,0,1,0,5,6,24,1,1,-2.452830188679245,-0.0813745213096243,-0.1407,Home
NEB,GEO,6005,6,S6,3,0,0,0,0,1,0,1,2,0,6,0,3,0,0,0,0,0,13,0,0,-1.698630136986301,-0.1023857270630325,-0.5892,Home
NEB,GT,5006,5,S5,2,0,0,2,0,0,0,5,3,0,0,2,2,0,0,0,2,4,14,0,0,-2.30188679245283,-0.1383999206126349,-0.2274,Home
NEB,GT,6003,6,S6,2,0,1,1,0,1,0,2,1,0,1,4,4,0,0,0,2,5,15,1,1,-0.6986301369863012,0.0079953939578286,-0.3251999999999999,Away
NEB,GT,6008,6,S6,4,0,0,5,4,1,0,2,9,1,3,3,0,1,0,0,9,14,27,4,4,1.4520547945205482,0.2853506132336806,-0.2075999999999999,Home
NEB,HOF,3006,3,S3,2,1,0,1,2,4,0,3,2,0,3,0,0,0,0,1,4,8,16,3,3,1.016949152542373,0.2380228882602817,0.1832999999999999,Away
NEB,LOU,5010,5,S5,3,3,0,2,2,2,0,1,3,0,3,3,2,0,0,0,7,18,21,6,6,3.69811320754717,0.5074944587036891,0.3873,Away
NEB,LOU,5024,5,S5,6,2,0,0,1,2,0,2,15,0,1,1,2,0,0,0,3,9,26,3,3,-1.5832649712879403,0.0121383403318381,-0.2173,Home
NEB,OSU,6001,6,S6,1,0,0,1,1,3,0,2,0,0,0,2,5,1,0,0,2,3,14,1,1,1.3013698630136987,0.202804833447398,0.0525999999999999,Home
NEB,RIC,3003,3,S3,1,1,1,1,2,0,0,2,4,0,0,1,1,0,0,0,5,11,13,3,3,1.438377723970944,0.2480885752840695,0.5378000000000001,Home
