Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Teams
3001,3,S3,1,1,0,0,2,3,0,2,4,7,3,0,1,0,0,0,3,21,5.0,3,-0.3050847457627117,0.2348306041784302,-0.1358,10,2,HOF @ CSUF
3002,3,S3,1,2,0,2,4,2,0,1,5,6,2,2,0,0,0,0,8,25,5.0,5,1.6949152542372885,0.0737491050550319,-0.3951999999999999,7,2,TOL @ TCU
3003,3,S3,1,2,1,2,3,1,0,0,4,8,0,4,1,0,0,0,8,26,5.666666666666667,5,1.455326876513317,0.1074375680465796,-0.5752,8,4,RIC @ NEB
3004,3,S3,1,1,0,0,0,4,0,1,5,9,0,1,2,1,0,0,1,22,6.0,1,-2.9661016949152543,0.510661924312835,0.4934,5,3,UOM @ IND
3005,3,S3,1,3,0,2,3,1,0,0,4,3,2,5,1,1,0,0,8,24,5.333333333333333,6,2.381724392041267,-0.0046614339445164,-0.7964,7,3,VT @ WSU
3006,3,S3,2,2,2,2,5,5,0,0,5,4,5,0,0,0,0,1,11,30,5.0,9,5.694915254237288,-0.2678731436300654,-0.8670000000000001,8,4,NEB @ HOF
3007,3,S3,2,0,0,4,1,3,1,0,6,5,2,2,3,0,0,0,5,26,6.0,2,-0.75181598062954,0.3281518537608652,0.0979999999999999,12,7,TCU @ WSU
3008,3,S3,2,1,0,1,0,0,0,0,5,2,4,2,3,0,0,0,2,18,5.333333333333333,1,-2.618275607958733,0.436960814740581,0.233,11,7,IND @ TOL
3009,3,S3,2,1,0,1,0,1,0,0,5,6,1,1,2,0,0,0,2,18,5.0,3,-0.3050847457627119,0.205641728520979,-0.1358,7,2,VT @ UOM
3010,3,S3,2,0,0,2,0,3,0,1,4,8,0,1,2,0,0,0,2,20,5.0,1,-2.305084745762712,0.4251009789592798,0.2816,8,2,RIC @ CSUF
4001,4,S4,1,1,0,2,1,0,0,0,4,12,2,4,2,0,0,0,4,28,8.0,1,-3.0816326530612246,0.5046561024096465,0.6141000000000001,17,6,MIC @ UWO
4002,4,S4,1,1,1,1,2,5,0,0,7,8,1,4,2,1,0,0,5,32,7.666666666666667,3,-0.7482993197278913,0.2993931743768167,-0.1095,10,7,VT @ WWU
4003,4,S4,1,0,3,5,4,3,1,0,6,7,1,3,4,2,0,1,12,36,8.0,8,3.918367346938776,-0.1321854856642206,-0.9631,12,4,GT @ CLM
4004,4,S4,1,2,0,0,6,0,0,0,4,6,4,0,6,0,1,1,8,28,7.0,5,1.4285714285714286,0.067670896896633,-0.1999,16,6,SBU @ WSU
4005,4,S4,1,2,0,2,3,5,0,0,7,6,5,1,3,0,1,2,7,34,8.0,3,-0.2303506017791733,0.2826863092075742,0.3865,13,7,ULA @ NU
4006,4,S4,1,1,1,1,2,7,0,0,7,10,4,2,3,0,2,0,5,38,9.333333333333334,3,-2.348299319727891,0.5155339849778235,0.8654999999999999,15,5,UNC @ VAN
4007,4,S4,2,0,0,0,1,3,0,0,2,4,2,2,6,3,0,0,1,20,6.333333333333333,0,-3.304761904761905,0.4708282169787077,0.6403,10,8,UNC @ NU
4008,4,S4,2,0,2,1,2,1,0,0,7,6,2,4,2,0,0,0,5,27,7.0,3,-0.5714285714285716,0.2466180929212554,0.2340999999999999,8,4,SBU @ CLM
4009,4,S4,2,2,2,3,7,3,0,1,2,9,2,5,6,0,1,0,14,41,8.0,12,7.918367346938775,-0.4970974790385913,-0.4231,19,6,VT @ UWO
4010,4,S4,2,3,0,1,2,5,0,1,11,4,4,1,1,0,0,0,6,32,7.0,6,2.4285714285714284,-0.0182939004531152,-0.5685,6,2,ULA @ VAN
4011,4,S4,2,1,1,1,0,0,0,0,6,5,8,2,3,0,0,0,3,27,8.0,1,-3.0816326530612246,0.4976385010845207,0.6552999999999999,13,5,GT @ WSU
4012,4,S4,2,3,2,1,2,3,0,0,8,11,3,3,2,1,1,1,8,39,10.0,7,0.6517006802721089,0.2225515863029494,0.3351,13,6,MIC @ WWU
5001,5,S5,1,1,0,1,11,4,0,0,9,5,2,2,4,2,0,0,13,39,8.0,4,-0.6037735849056599,0.2609940143091303,0.0899,12,6,CCU @ NCS
