ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
13,6006,6,S6,3,GT,GT,OSU,1,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,8,2.333333333333333,1,0.1721812434141203,0.0314292128809852,-0.0111999999999999,4,2,Home
13,6008,6,S6,4,GT,GT,NEB,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,4,0.6666666666666666,2,0.8610567514677104,-0.0617820065355724,-0.3452999999999999,1,0,Away
60,3003,3,S3,1,NEB,NEB,RIC,1,0,1,1,1,0,0,2,4,0,3,0,0,0,0,3,13,3.0,2,0.0169491525423726,0.1247902125947184,-0.0374,4,3,Home
60,3006,3,S3,2,NEB,NEB,HOF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3333333333333333,0,-0.3125,0.0409796252191504,0.0023,0,0,Away
129,3007,3,S3,2,WSU,WSU,TCU,0,0,4,1,1,1,0,3,3,1,1,1,0,0,0,5,15,3.0,2,1.2312348668280872,0.0228208916044477,-0.2008,6,3,Home
130,3009,3,S3,2,UOM,UOM,VT,0,0,0,0,0,0,0,2,3,1,1,2,0,0,0,0,9,3.0,0,-1.9830508474576272,0.2858717117181166,0.1823,5,2,Home
131,3005,3,S3,1,WSU,WSU,VT,1,0,0,2,1,0,0,3,3,0,2,0,1,0,0,3,12,3.0,2,0.0169491525423728,0.1150605873755679,-0.148,3,2,Home
150,3001,3,S3,1,HOF,HOF,CSUF,1,0,0,2,1,0,1,0,2,2,0,1,0,0,0,3,9,1.6666666666666667,3,1.9904661016949157,-0.1114799831971377,-0.3225,4,2,Away
183,3003,3,S3,1,RIC,RIC,NEB,1,1,1,2,0,0,0,2,4,0,1,1,0,0,0,5,13,2.6666666666666665,3,1.438377723970944,-0.0173526445481387,-0.5378000000000001,4,1,Away
183,3010,3,S3,2,RIC,RIC,CSUF,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,2,8,1.3333333333333333,1,0.0264830508474576,0.0751886966684576,-0.1488999999999999,2,0,Away
219,3007,3,S3,2,TCU,TCU,WSU,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,5,1.0,0,-0.6610169491525424,0.1147498210110063,0.1062999999999999,2,1,Away
