G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4,5.333333333333333,28,10,5,5,2,0,0,2,1,5,2,0,5,7,0,5.625,2.25,11.25,1.125,2.25,2.25,1.0,0.4,0.42857142857142855,0.72,1.1485714285714286,0.391304347826087,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.8571428571428571,0.16666666666666666,195.89655172413794,1.6901957203299547,0.14550000000000002,25,1,0,3,1,2,12,1,0,1.0,POS,S12,3203,False,LSU,LSU,6,4.577743902439025,6.0,90,2.0,0.0,3.0,0.0,0.0,0,0,3,0,0.0,-0.05816120293428304
1,1.0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,6.0,0.0,0.0,6.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,,275.3333333333333,-0.6137339055793991,0.1543,3,0,0,0,0,2,0,0,0,,POS,S12,3206,False,WKU,WKU,2,-0.23475609756097549,1.0,0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1.0,0.07325107296137338
2,3.3333333333333335,12,1,0,0,1,0,0,0,0,0,1,1,2,4,2,0.0,0.6,1.7999999999999998,0.0,1.7999999999999998,0.0,0.0,0.09090909090909091,0.16666666666666666,0.18181818181818182,0.3484848484848485,0.09090909090909091,0.0,0.0,0.08333333333333333,0.25,0.75,0.3333333333333333,321.9230769230769,-2.4549356223175964,0.47120000000000006,11,0,0,1,0,2,6,1,0,1.0,POS,S12,3213,False,WKU,WKU,4,2.665243902439024,3.6666666666666665,67,0.9017223910840931,0.0,1.0,0.0,0.0,0,0,0,1,0.0,0.29300429184549354
1,3.0,13,3,2,2,1,0,0,1,0,1,0,2,3,3,0,4.0,1.3333333333333333,6.0,0.0,2.0,2.0,1.0,0.25,0.3076923076923077,0.5,0.8076923076923077,0.2727272727272727,0.0,0.07692307692307693,0.07692307692307693,0.25,0.75,0.3333333333333333,255.3846153846154,0.15879828326180292,-0.20080000000000006,12,0,0,1,1,2,6,0,0,,POS,S12,3222,False,WKU,WKU,1,2.0985772357723578,3.0,0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0.0,0.03559012875536477
2,5.0,24,8,7,7,1,0,0,7,3,1,1,1,4,2,0,8.4,1.8,9.600000000000001,3.5999999999999996,1.2000000000000002,8.399999999999999,7.0,0.34782608695652173,0.375,0.9130434782608695,1.2880434782608696,0.38461538461538464,0.125,0.2916666666666667,0.041666666666666664,0.25,0.75,0.3333333333333333,213.625,4.18262782550207,-0.1766,23,0,0,4,0,2,6,0,0,,POS,S12,3225,False,LSU,LSU,6,7.365243902439024,5.333333333333333,310,6.092198581560284,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.32324132332273925
1,2.0,11,4,2,2,1,0,0,1,0,3,1,1,2,1,0,6.0,2.5,12.0,0.0,3.0,3.0,1.0,0.4,0.45454545454545453,0.5,0.9545454545454546,0.4444444444444444,0.0,0.09090909090909091,0.09090909090909091,0.4,0.6,0.6666666666666666,219.9090909090909,1.730226854690374,-0.3621,10,0,0,1,0,2,3,0,0,,POS,S12,3226,False,WKU,WKU,3,2.2652439024390247,2.3333333333333335,116,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.12947118332311466
1,5.0,24,8,7,7,1,0,0,2,1,2,3,2,4,4,0,8.4,1.8,9.600000000000001,1.2000000000000002,1.2000000000000002,2.4000000000000004,2.0,0.36363636363636365,0.375,0.8636363636363636,1.2386363636363638,0.35,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.38461538461538464,0.6153846153846154,0.625,226.04166666666666,3.9313304721030042,-0.5569999999999999,22,1,0,2,3,5,8,0,0,,POS,S12,3227,False,SYR,SYR,5,4.165243902439024,5.0,271,5.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.2981115879828326
6,28.0,110,23,9,9,7,0,0,21,2,12,14,17,18,9,1,1.9285714285714286,1.0714285714285714,4.928571428571429,0.42857142857142855,1.5,4.5,3.0,0.22330097087378642,0.2727272727272727,0.36893203883495146,0.6416593115622242,0.2625,0.01818181818181818,0.19090909090909092,0.06363636363636363,0.5573770491803278,0.4426229508196721,1.2592592592592593,272.11607142857144,-7.447707250960018,0.8748999999999998,103,0,0,9,0,34,27,2,1,0.6666666666666666,BB-H,S12,3228,False,OWL,OWL,6,1.9438153310104531,28.666666666666668,39,4.143480632842335,4.0,6.0,4.0,1.0,4,2,0,0,0.6666666666666666,1.1802857465552292
4,14.0,52,6,3,3,7,0,0,11,1,1,3,3,12,10,0,1.2857142857142858,0.9285714285714286,2.571428571428571,0.42857142857142855,3.0,4.714285714285714,1.5714285714285714,0.13333333333333333,0.25,0.3333333333333333,0.5833333333333333,0.15151515151515152,0.019230769230769232,0.21153846153846154,0.1346153846153846,0.26666666666666666,0.7333333333333333,0.36363636363636365,262.5,-5.592274678111587,0.6827,45,0,0,2,2,8,22,1,1,0.5,NH-H,S12,3229,False,UOM,UOM,6,2.6223867595818815,14.0,39,2.0,2.0,3.0,1.0,0.0,1,1,0,0,0.5,0.7651072961373389
5,20.0,83,23,13,13,4,0,0,16,5,14,8,9,20,3,0,3.9,1.35,6.8999999999999995,1.5,1.2000000000000002,4.800000000000001,4.0,0.2948717948717949,0.3253012048192771,0.5512820512820513,0.8765832561013285,0.3103448275862069,0.060240963855421686,0.1927710843373494,0.04819277108433735,0.46511627906976744,0.5348837209302325,0.8695652173913043,238.63529411764705,0.7253218884120183,-0.1859,78,1,0,3,1,20,23,1,1,0.5,BS-H,S12,3233,False,SYR,SYR,6,4.015243902439025,19.666666666666668,110,8.0,4.0,3.0,2.0,0.0,3,1,0,0,0.75,0.25608369098712436
