ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
13,6,S6,GT,GT,1,0,1,1,0,0,0,0,4,0,3,2,0,0,0,5,0,0,0,0,3,3.0,12,12,7,"{6008, 6006}",2,3,3007.0,11,1.0332379948818309,-0.0303527936545872,-0.3564999999999999,1,0,5,2,GT,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.731868131868132,3.0,1.227906976744186,31.89065934065934,71.66666666666667,2.669915665729619,6.0,1.0,2.894573643410853,6.0,2.0,0.0,8.0,inf,0.25,0.25,0.5833333333333334,0.8333333333333334,0.2857142857142857,0.0,0.0833333333333333,0.3333333333333333,0.0,1.0,0.0,inf,0.0,0.0,5.463736263736264,273.3636363636364,Reimer Gonzalez,WC,EG-H,Left,P,EG,204.640780750772
60,3,S3,NEB,NEB,1,0,1,1,1,0,0,2,5,0,3,0,0,0,0,3,0,0,0,0,3,3.333333333333333,14,13,7,"{3003, 3006}",2,2,2592.0,11,-0.2955508474576273,0.1657698378138688,-0.0351,0,0,4,3,NEB,2,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.333333333333333,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,3.6,1.2,3.562499999999999,5.4,1.7999999999999998,1.7999999999999998,9.0,5.0,0.2307692307692307,0.2857142857142857,0.5,0.7857142857142857,0.2857142857142857,0.0,0.0714285714285714,0.3571428571428571,0.0714285714285714,0.6,0.4,1.4999999999999998,1.0,0.0,3.6,235.63636363636363,Todd Bonzalez,BN,BF-B,Right,P,BF,83.9518645559204
129,3,S3,WSU,WSU,0,0,4,1,1,1,0,3,3,1,1,1,0,0,0,2,0,0,0,0,5,3.0,15,14,9,{3007},1,2,3453.0,14,1.2312348668280872,0.0228208916044477,-0.2008,0,0,6,3,WSU,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,4.0,2.0,0.7624999999999995,10.0,0.0,2.0,6.0,3.0,0.3571428571428571,0.4,0.6,1.0,0.4545454545454545,0.0,0.0,0.2,0.0666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,4.0,246.6428571428572,Hayden McCloud,BN,BB-B,Left,P,BB,93.27984950657824
130,3,S3,UOM,UOM,0,0,0,0,0,0,0,2,3,1,1,2,0,0,0,3,0,0,0,0,0,3.0,9,9,0,{3009},1,0,2358.0,7,-1.9830508474576272,0.2858717117181166,0.1823,0,0,5,2,UOM,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,0.0,0.0,-0.2375000000000005,0.0,0.0,0.0,6.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,1.5,1.0,0.0,0.0,336.85714285714283,Mongy Whumpus,BN,BB-B,Left,P,BB,0.0
131,3,S3,WSU,WSU,1,0,0,2,1,0,0,3,3,0,2,0,0,0,0,2,1,0,0,0,3,3.0,12,11,6,{3005},1,2,2135.0,10,0.0169491525423728,0.1150605873755679,-0.148,0,0,3,2,WSU,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,4.0,1.3333333333333333,5.095833333333333,6.0,2.0,2.0,6.0,3.0,0.2727272727272727,0.3333333333333333,0.5,0.8333333333333333,0.2857142857142857,0.0,0.0833333333333333,0.25,0.0833333333333333,0.4,0.6,0.6666666666666667,1.0,0.0,4.0,213.5,Nori Aru,BN,BB-B,Right,P,BB,93.27984950657824
150,3,S3,HOF,HOF,1,0,0,2,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,3,1.6666666666666667,9,8,6,{3001},1,3,2016.0,8,1.990466101694916,-0.1114799831971377,-0.3225,0,0,4,2,HOF,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3125,1.6666666666666667,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,10.8,2.4,8.962499999999999,10.8,3.6,3.6,7.199999999999999,2.0,0.375,0.4444444444444444,0.6666666666666666,1.1111111111111112,0.4,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,inf,0.0,0.0,11.925,252.0,Connor XVX,BN,BB-B,Right,P,BB,278.09055134148633
183,3,S3,RIC,RIC,1,1,3,2,2,0,0,4,6,0,1,1,0,0,0,2,0,0,0,0,7,4.0,21,19,15,"{3010, 3003}",2,4,4242.0,21,1.4648607748184015,0.0578360521203189,-0.6867000000000001,0,0,6,1,RIC,2,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.171428571428571,4.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,6.0,2.25,3.5125,10.5,1.5,3.0,9.0,3.0,0.3684210526315789,0.4285714285714285,0.7142857142857143,1.1428571428571428,0.5,0.0,0.0476190476190476,0.2857142857142857,0.0952380952380952,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,6.257142857142856,202.0,Valeria Lisova,BN,BB-B,Left,P,BB,145.91633601386164
219,3,S3,TCU,TCU,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,5,3,0,{3007},1,0,1243.0,5,-0.6610169491525424,0.1147498210110063,0.1062999999999999,0,0,2,1,TCU,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,0.0,2.0,5.762499999999999,0.0,0.0,12.0,6.0,0.5,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.2,0.4,0.5,0.5,1.0,1.0,0.0,0.0,248.6,Chris Orosz,BN,BB-B,Right,P,BB,0.0
220,3,S3,TCU,TCU,1,0,2,1,2,0,1,6,2,3,2,2,0,1,0,4,0,0,0,0,4,5.0,21,18,9,"{3002, 3007}",2,2,4939.0,19,-1.305084745762712,0.3348306041784302,0.2450999999999999,0,0,8,5,TCU,2,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,2.4000000000000004,1.2,4.762499999999999,4.800000000000001,1.2000000000000002,2.4000000000000004,2.4000000000000004,1.0,0.2222222222222222,0.2857142857142857,0.4285714285714285,0.7142857142857142,0.1875,0.0,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.3076923076923077,0.4615384615384615,0.6666666666666666,1.0,0.0,2.4000000000000004,259.94736842105266,Charles Magnus,BP,BS-B,Right,P,BS,55.967909703946944
220,10,S10,BSU,BSU,1,0,1,5,3,0,0,7,8,5,1,1,0,0,0,2,0,0,1,0,7,7.333333333333333,32,29,11,"{10003, 10014, 10007}",3,3,8143.0,33,-0.5412371134020617,0.2060819756993903,0.2787,0,0,13,4,BSU,5,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.5,7.333333333333333,0.9347014925373136,97.35014713142704,178.66666666666666,3.2692213588912065,2.4545454545454546,1.3636363636363638,1.752883310719132,5.727272727272728,0.8181818181818183,2.4545454545454546,6.545454545454547,2.6666666666666665,0.2413793103448276,0.3125,0.34375,0.65625,0.3,1.0,0.03125,0.25,0.09375,0.1428571428571428,0.5,0.2857142857142857,0.0,0.0,2.863636363636364,246.7575757575757,Charles Magnus,P,BS-S,Right,P,BS,87.59383502277124
