Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
BDE,BSU,11010,11,S11,4,4,0,1,1,2,0,0,4,5,1,0,4,1,0,0,6,22,5.0,6,3.274678111587983,-0.23385605734108234,-0.32710000000000006,7,4,Away
BDE,BSU,11017,11,S11,6,0,0,1,1,2,0,0,7,2,1,2,3,2,1,1,2,19,6.0,0,-3.2703862660944205,0.41639530070817093,0.5539,7,5,Away
BDE,CSU,11006,11,S11,2,3,0,0,0,1,0,0,3,3,5,4,3,0,0,0,3,22,6.0,3,-0.2703862660944208,0.120650380427158,0.11960000000000007,13,7,Home
BDE,KSU,11003,11,S11,1,0,0,4,4,0,0,0,1,5,2,2,5,0,1,0,8,23,5.0,4,1.2746781115879826,-0.025345897903108178,-0.3665,9,6,Away
BDE,UWU,11014,11,S11,5,0,1,2,3,2,0,0,7,3,3,1,3,0,1,1,6,25,6.0,3,-0.27038626609442074,0.14192577902209344,0.261,8,7,Away
BDE,ZOO,11008,11,S11,3,2,1,2,4,6,0,0,6,5,2,3,1,0,2,1,9,32,6.0,5,1.729613733905579,-0.02403358322600989,-0.3439,9,6,Home
BSU,BDE,11010,11,S11,4,1,0,2,2,5,0,0,4,7,0,4,2,0,0,1,5,27,6.0,4,0.729613733905579,0.04618085874108054,0.1729,11,6,Home
BSU,BDE,11017,11,S11,6,1,0,2,5,3,0,0,8,6,2,1,0,0,0,1,8,28,6.0,3,-0.27038626609442085,0.15043593846006761,0.053900000000000024,7,2,Home
BSU,CSU,11013,11,S11,5,0,0,0,2,2,0,0,2,8,5,1,1,1,0,0,2,21,6.0,0,-3.2703862660944205,0.41639530070817093,0.2756,11,5,Away
BSU,FOK,10004,10,S10,2,3,0,1,4,2,0,0,6,6,2,3,1,0,1,0,8,28,6.0,4,0.9690721649484537,0.03663186430564977,0.221,7,3,Away
BSU,KSU,11007,11,S11,3,2,0,4,0,1,0,0,3,6,1,3,2,0,0,0,6,22,5.0,5,2.274678111587983,-0.13385605734108236,-0.3468,8,5,Away
BSU,TOL,10010,10,S10,4,0,1,2,0,4,0,0,4,7,2,1,1,1,0,0,3,23,6.0,2,-1.0309278350515463,0.20900308896761632,0.029699999999999994,8,3,Home
BSU,TOL,10014,10,S10,5,0,1,1,2,2,0,0,5,7,3,1,1,0,0,1,4,23,6.0,2,-1.0309278350515463,0.21360788485728857,0.26480000000000004,8,4,Away
BSU,TXS,10007,10,S10,3,1,0,0,4,0,0,0,8,6,2,1,3,1,2,0,5,25,7.0,1,-2.536082474226804,0.37793773644383105,0.3931,8,5,Home
BSU,UNA,10003,10,S10,1,1,0,4,3,3,0,0,2,5,6,1,1,0,0,0,8,26,5.0,6,3.4742268041237114,-0.22769798728089274,-0.2882999999999999,13,3,Away
BSU,UWU,11001,11,S11,1,0,0,3,3,3,0,0,4,5,5,1,2,0,0,1,6,26,6.0,4,0.7296137339055794,0.04192577902209342,0.06420000000000001,13,5,Away
BSU,ZOO,11004,11,S11,2,2,1,4,1,2,0,0,2,10,2,2,1,1,1,0,8,27,6.0,3,-0.2703862660944208,0.14618085874108053,-0.10600000000000001,11,3,Home
CCU,GT,5013,5,S5,4,1,0,0,1,1,0,1,2,2,4,0,1,0,0,0,2,12,3.0,1,-0.7264150943396226,0.1343697112242897,-0.028299999999999985,5,2,Away
CCU,LOU,5005,5,S5,2,0,0,1,1,0,0,0,2,1,5,0,4,0,0,0,2,14,4.0,1,-1.3018867924528301,0.2022049146673317,0.08930000000000002,7,5,Home
CCU,NCS,5001,5,S5,1,0,0,1,3,2,0,0,4,1,2,0,3,2,0,0,4,16,4.0,0,-2.30188679245283,0.31249294829905294,0.29489999999999994,6,3,Away
