G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
2,27.0,25.0,6.0,4.0,2.0,2.0,2.0,0.0,12.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,6.0,1.0,0.0,0.28571428571428503,0.0,0.20244577412116668,9.0,8.0,27.0,25.0,6.0,12.0,1.0,1.0,0.0,0.24,0.25925925925925924,0.48,0.7392592592592593,0.24,0.2857142857142857,0.0,0.0,0.18518518518518517,0.037037037037037035,0.5294117647058824,0.47058823529411764,1.125,85.0,253.74074074074073,0.25925925925925924,0.48,S4,CLM
2,35.0,33.0,11.0,7.0,3.0,4.0,3.0,1.0,24.0,7.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,6.0,0.0,2.755102040816326,0.0,0.5009028742387006,6.0,12.0,35.0,33.0,11.0,24.0,2.0,0.0,0.0,0.3333333333333333,0.37142857142857144,0.7272727272727273,1.0987012987012987,0.393939393939394,0.37037037037037035,0.0,0.02857142857142857,0.14285714285714285,0.05714285714285714,0.3333333333333333,0.6666666666666666,0.5,173.0,217.85185185185185,0.37142857142857144,0.7272727272727273,S4,GT
2,33.0,28.0,4.0,4.0,0.0,1.0,1.0,2.0,13.0,5.0,3.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,6.0,2.0,0.0,-0.1782312925170071,0.0,0.19468995975353495,5.0,9.0,33.0,28.0,4.0,13.0,3.0,1.0,1.0,0.14285714285714285,0.21875,0.4642857142857143,0.6830357142857143,0.32142857142857145,0.13333333333333333,0.5,0.06060606060606061,0.36363636363636365,0.09090909090909091,0.35714285714285715,0.6428571428571429,0.5555555555555556,68.0,270.14285714285717,0.21875,0.4642857142857143,S4,MIC
2,26.0,22.0,4.0,1.0,3.0,0.0,0.0,1.0,7.0,1.0,4.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,3.0,4.0,0.0,-2.7142857142857144,0.0,-0.10399401645474945,8.0,7.0,26.0,22.0,4.0,7.0,4.0,0.0,0.0,0.18181818181818182,0.3076923076923077,0.3181818181818182,0.6258741258741258,0.13636363636363635,0.1875,0.5,0.038461538461538464,0.19230769230769232,0.15384615384615385,0.5333333333333333,0.4666666666666667,1.1428571428571428,69.0,256.14285714285717,0.3076923076923077,0.3181818181818182,S4,NU
2,29.0,27.0,5.0,2.0,3.0,1.0,1.0,0.0,8.0,2.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,6.0,0.0,-2.244897959183674,0.0,-0.037735869216796655,2.0,13.0,29.0,27.0,5.0,8.0,1.0,1.0,0.0,0.18518518518518517,0.20689655172413793,0.2962962962962963,0.5031928480204342,0.1111111111111111,0.2631578947368421,0.5,0.0,0.3103448275862069,0.034482758620689655,0.13333333333333333,0.8666666666666667,0.15384615384615385,30.0,276.64516129032256,0.20689655172413793,0.2962962962962963,S4,SBU
2,31.0,29.0,6.0,4.0,1.0,2.0,0.0,3.0,17.0,4.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,12.0,2.0,0.0,0.732879818594104,0.0,0.27292148971281355,5.0,14.0,31.0,29.0,6.0,17.0,2.0,0.0,0.0,0.20689655172413793,0.25806451612903225,0.5862068965517241,0.8442714126807563,0.3793103448275862,0.13636363636363635,0.0,0.0967741935483871,0.12903225806451613,0.06451612903225806,0.2631578947368421,0.7368421052631579,0.35714285714285715,106.0,227.125,0.25806451612903225,0.5862068965517241,S4,ULA
2,31.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,6.0,0.0,-4.178231292517007,0.0,-0.21818962139829756,6.0,13.0,31.0,25.0,1.0,1.0,6.0,0.0,0.0,0.04,0.22580645161290322,0.04,0.2658064516129032,0.0,0.05263157894736842,1.0,0.0,0.1935483870967742,0.1935483870967742,0.3157894736842105,0.6842105263157895,0.46153846153846156,-16.0,281.9375,0.22580645161290322,0.04,S4,UNC
2,32.0,31.0,7.0,3.0,3.0,3.0,1.0,0.0,12.0,3.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,-1.2448979591836735,0.0,0.08158350251095203,6.0,6.0,32.0,31.0,7.0,12.0,1.0,0.0,0.0,0.22580645161290322,0.25,0.3870967741935484,0.6370967741935484,0.16129032258064516,0.3684210526315789,0.0,0.0,0.375,0.03125,0.5,0.5,1.0,63.0,270.75,0.25,0.3870967741935484,S4,UWO
2,36.0,28.0,8.0,5.0,3.0,2.0,1.0,2.0,18.0,6.0,8.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,1.3523809523809527,0.0,0.36707055597107946,4.0,8.0,36.0,28.0,8.0,18.0,8.0,0.0,0.0,0.2857142857142857,0.4444444444444444,0.6428571428571429,1.0873015873015874,0.3571428571428572,0.35294117647058826,1.0,0.05555555555555555,0.25,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,181.0,193.64864864864865,0.4444444444444444,0.6428571428571429,S4,VAN
2,39.0,35.0,11.0,10.0,6.0,1.0,2.0,2.0,22.0,10.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,1.0,0.0,5.755102040816325,0.0,0.8266620365423656,12.0,6.0,39.0,35.0,11.0,22.0,4.0,0.0,0.0,0.3142857142857143,0.38461538461538464,0.6285714285714286,1.0131868131868131,0.3142857142857143,0.3333333333333333,1.0,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.6666666666666666,0.3333333333333333,2.0,158.0,235.3666666666667,0.38461538461538464,0.6285714285714286,S4,VT
2,27.0,27.0,6.0,4.0,4.0,0.0,0.0,2.0,12.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,2.0,0.0,0.2857142857142852,0.0,0.20244577412116682,9.0,7.0,27.0,27.0,6.0,12.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.2,0.0,0.07407407407407407,0.18518518518518517,0.0,0.5625,0.4375,1.2857142857142858,65.0,266.55555555555554,0.2222222222222222,0.4444444444444444,S4,WSU
2,36.0,32.0,9.0,5.0,3.0,2.0,1.0,3.0,22.0,5.0,3.0,0.0,10.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,6.0,3.0,0.0,-0.17823129251700753,0.0,0.21400933148128354,7.0,10.0,36.0,32.0,9.0,22.0,3.0,1.0,0.0,0.28125,0.3333333333333333,0.6875,1.0208333333333333,0.40625,0.3,0.0,0.08333333333333333,0.2777777777777778,0.08333333333333333,0.4117647058823529,0.5882352941176471,0.7,152.0,193.94444444444446,0.3333333333333333,0.6875,S4,WWU
