IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA-,W-L%,Season,Team
6.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-3.8644067796610164,0.0,0.5557885040530581,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.16666666666666666,0.0,0.0,1.0,11.0,11.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.5789473684210527,0.05263157894736842,0.2857142857142857,0.7142857142857143,0.4,0.0,312.2690058479532,-1.393081761006289,0.0,1.0,S3,CSUF
5.0,27.0,7.0,6.0,6.0,6.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.7796610169491522,0.0,-0.03731392778187172,21.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,9.0,0.0,1.0,2.0,7.2,2.6,8.399999999999999,2.4000000000000004,7.199999999999999,4.800000000000001,0.6666666666666666,0.3333333333333333,0.48148148148148145,0.6666666666666666,1.1481481481481481,0.3333333333333333,0.07407407407407407,0.14814814814814814,0.2222222222222222,0.1,0.9,0.1111111111111111,0.0,228.88392857142858,8.973584905660378,164.0,0.5,S3,HOF
5.333333333333334,19.0,2.0,2.0,2.0,1.0,0.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.8644067796610169,0.0,0.3557885040530582,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,8.0,0.0,0.0,2.0,2.2499999999999996,0.5624999999999999,2.2499999999999996,2.2499999999999996,1.1249999999999998,7.874999999999998,7.0,0.1111111111111111,0.15789473684210525,0.4444444444444444,0.6023391812865497,0.0,0.10526315789473684,0.3684210526315789,0.05263157894736842,0.1111111111111111,0.8888888888888888,0.125,0.0,247.80921052631578,4.5860849056603765,57.0,0.0,S3,IND
5.0,27.0,10.0,8.0,8.0,2.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.779661016949152,0.0,-0.2373139277818718,25.0,0.0,0.0,4.0,2.0,2.0,3.0,0.0,4.0,2.0,0.0,3.0,6.0,0.0,0.0,2.0,9.6,2.4,12.0,2.4000000000000004,2.4000000000000004,7.199999999999999,3.0,0.4,0.4444444444444444,0.88,1.3244444444444445,0.47058823529411764,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.6666666666666666,0.5,0.0,204.95959595959596,5.773584905660377,242.0,0.5,S3,NEB
4.666666666666667,24.0,7.0,4.0,4.0,3.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0296610169491527,0.0,0.1109469417833456,21.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,5.142857142857142,2.142857142857143,9.0,1.2857142857142856,3.8571428571428568,7.7142857142857135,2.0,0.3333333333333333,0.4166666666666667,0.7142857142857143,1.130952380952381,0.42857142857142855,0.041666666666666664,0.25,0.125,0.375,0.625,0.6,0.0,212.0625,3.91644204851752,130.0,0.0,S3,RIC
5.666666666666667,26.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,-1.8644067796610164,0.0,0.41817980840088426,21.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,6.0,3.0,0.0,5.0,9.0,0.0,0.0,2.0,2.1176470588235294,1.4117647058823528,4.235294117647058,1.0588235294117645,4.235294117647058,3.1764705882352944,0.75,0.19047619047619047,0.3076923076923077,0.42857142857142855,0.7362637362637363,0.16666666666666666,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.35714285714285715,0.6428571428571429,0.5555555555555556,0.0,257.7651821862348,5.126526082130965,50.0,1.0,S3,TCU
5.0,20.0,5.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,-0.22033898305084687,0.0,0.20029476787030207,20.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,3.6,1.0,6.0,1.2000000000000002,0.0,6.0,0.0,0.25,0.25,0.45,0.7,0.2857142857142857,0.05,0.25,0.0,0.4,0.6,0.6666666666666666,0.0,273.45,2.3735849056603775,91.0,0.5,S3,TOL
6.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-3.864406779661017,0.0,0.5647015475313191,17.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,3.0,7.0,2.3333333333333335,0.0,0.15,0.0,0.15,0.0,0.0,0.35,0.15,0.6,0.4,1.5,0.0,306.9607142857143,0.940251572327044,0.0,1.0,S3,UOM
4.333333333333334,21.0,7.0,7.0,7.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,3.7796610169491522,0.0,-0.19079218865143693,20.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,9.692307692307692,1.8461538461538458,9.692307692307692,4.153846153846153,1.3846153846153844,4.153846153846153,3.0,0.35,0.38095238095238093,0.95,1.3309523809523809,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.4,0.6,0.6666666666666666,0.0,204.60714285714286,10.081277213352685,244.0,0.0,S3,VT
6.0,27.0,8.0,4.0,4.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.849878934624698,0.0,0.055664280450573686,25.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,6.0,1.0,0.0,4.0,7.0,0.0,0.0,2.0,4.0,1.6666666666666667,8.0,1.0,2.0,6.0,3.0,0.32,0.37037037037037035,0.6,0.9703703703703703,0.3888888888888889,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.36363636363636365,0.6363636363636364,0.5714285714285714,0.0,231.9126984126984,2.9402515723270444,101.0,0.5,S3,WSU
