G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
2,7,5,2,1,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0.4,0.5714285714285714,0.4,0.9714285714285714,0.0,0.4,,0.0,0.0,0.2857142857142857,0.6666666666666666,0.3333333333333333,2.0,213.28571428571428,0.5714285714285714,0.4,0.630794971706903,0.03300000000000001,2,1,TT,7,5,2,2,2,0,0,S12,1.0,False,STL,STL,2,0.09212808016664172
1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,241.5,0.5,0.0,0.2605124981827821,0.07500000000000001,0,0,BC,2,1,0,0,1,0,0,S12,10.0,False,TBR,TBR,2,0.034350844959978616
1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,240.5,0.5,0.0,-0.007355242566510156,0.0165,0,0,TT,2,1,0,0,1,0,0,S12,14.0,False,OAK,OAK,1,0.007564070885049389
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,,356.0,0.0,0.0,-0.33883146461409547,-0.0168,1,0,WC,2,2,0,0,0,0,0,S12,20.0,False,PHI,PHI,1,-0.02558355131970914
2,6,5,3,2,1,1,0,1,7,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0.6,0.6666666666666666,1.4,2.0666666666666664,0.7999999999999999,0.6666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,,149.375,0.6666666666666666,1.4,2.310033036709422,0.1661,1,0,EN,6,5,3,7,1,0,0,S12,32.0,False,BAL,BAL,2,0.2559020890960434
2,7,4,1,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0.25,0.5714285714285714,0.5,1.0714285714285714,0.25,0.25,,0.0,0.0,0.42857142857142855,0.5,0.5,1.0,200.85714285714286,0.5714285714285714,0.5,0.4131120419668602,0.2321,2,2,WC,7,4,1,2,3,0,0,S12,34.0,False,BOS,BOS,2,0.07035978719263744
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,201.0,0.0,0.0,-0.40740740740740733,-0.0364,0,1,BC,1,1,0,0,0,0,0,S12,48.0,False,SFG,SFG,1,-0.03659094316989053
2,6,5,3,2,2,0,1,0,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6,0.6666666666666666,1.0,1.6666666666666665,0.4,0.6,,0.0,0.0,0.16666666666666666,0.5,0.5,1.0,168.5,0.6666666666666666,1.0,1.9924597085642304,0.16820000000000002,1,1,XB,6,5,3,5,1,0,0,S12,54.0,False,SFG,SFG,2,0.22414475628152425
2,4,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0.25,0.25,0.5,0.0,0.25,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,278.25,0.25,0.25,-0.41176576839482093,-0.007100000000000002,1,2,BC,4,4,1,1,0,0,0,S12,65.0,False,PHI,PHI,2,-0.024577386556081285
1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,243.0,0.3333333333333333,0.0,-0.008345268215967983,-0.028499999999999998,0,1,SF,3,2,0,0,1,0,0,S12,66.0,False,SEA,SEA,1,0.011614865890953808
2,6,6,2,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,210.0,0.3333333333333333,0.3333333333333333,-0.6653172117349965,-0.10559999999999997,0,2,WC,6,6,2,2,0,0,0,S12,68.0,False,CHC,CHC,2,-0.041632935748398436
2,5,4,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0.25,0.4,0.25,0.65,0.0,0.3333333333333333,,0.0,0.2,0.2,1.0,0.0,,310.8,0.4,0.25,0.39658354389508343,0.013600000000000004,2,0,1B,5,4,1,1,1,0,0,S12,71.0,False,TOR,TOR,2,0.060407342243759356
