G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,WAR
4.0,8.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.25,0.25,0.5,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,1.0,299.375,0.25,0.5,-0.28458183842125706,0.044300000000000006,3.0,3.0,S3,-264,OAK,False,0.008833345103006035
7.0,14.0,12.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.08333333333333333,0.21428571428571427,0.16666666666666666,0.38095238095238093,0.08333333333333333,0.14285714285714285,0.0,0.0,0.35714285714285715,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.5,281.2857142857143,0.21428571428571427,0.16666666666666666,0.22153422050595073,-0.47490000000000004,2.0,4.0,S3,-263,MIA,False,0.08741359770457562
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,-0.2955495725165141,-0.04870000000000001,0.0,0.0,S3,-262,NYY,False,-0.020232075015368473
11.0,30.0,26.0,6.0,4.0,2.0,3.0,0.0,1.0,12.0,6.0,2.0,0.0,8.0,3.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,4.0,1.0,0.0,0.23076923076923078,0.26666666666666666,0.46153846153846156,0.7282051282051283,0.23076923076923078,0.2631578947368421,0.6666666666666666,0.03333333333333333,0.26666666666666666,0.06666666666666667,0.5,0.5,1.0,255.0,0.26666666666666666,0.46153846153846156,-2.111000374859192,-0.28290000000000004,7.0,7.0,S3,-261,TOR,False,-0.07125680394167515
6.0,14.0,12.0,3.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.25,0.2857142857142857,0.5,0.7857142857142857,0.25,0.3333333333333333,0.0,0.0,0.2857142857142857,0.07142857142857142,0.0,1.0,0.0,211.71428571428572,0.2857142857142857,0.5,0.48358611929793416,-0.5502999999999999,0.0,6.0,S3,-260,MIL,False,0.11361878758377397
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.14777478625825705,-0.029500000000000002,0.0,0.0,S3,-259,SDP,False,-0.010116037507684236
4.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.125,0.125,0.125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.75,318.125,0.125,0.125,-1.224481521275103,-0.16720000000000002,3.0,4.0,S3,-258,MIA,False,-0.08515662318237856
6.0,14.0,13.0,3.0,1.0,2.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.23076923076923078,0.2857142857142857,0.46153846153846156,0.7472527472527473,0.23076923076923078,0.4,0.0,0.07142857142857142,0.5,0.07142857142857142,1.0,0.0,0.0,276.64285714285717,0.2857142857142857,0.46153846153846156,-2.781671712505243,-0.2637,3.0,0.0,S3,-257,CHC,False,-0.21290699559654377
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.34745105640628027,-0.044,0.0,0.0,S3,-256,LAA,False,-0.02542222340434509
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.21099050203527817,-0.0106,0.0,0.0,S3,-255,SDP,False,-0.01643760908538635
1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,199.66666666666666,0.0,0.0,-0.4765099843013165,-0.127,0.0,0.0,S3,-254,NYY,False,-0.03366667507570725
4.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.42857142857142855,0.6,1.0285714285714285,0.39999999999999997,0.3333333333333333,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.0,0.0,239.33333333333334,0.42857142857142855,0.6,0.11952978073178167,-0.020600000000000007,2.0,0.0,S3,-253,SFG,False,0.04458306590016844
