G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,RE24,Season,Hitter ID,WAR
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,269.6666666666667,0.3333333333333333,0.0,-0.9221394687105515,S5,1,-0.08001625329609634
9.0,26.0,22.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,10.0,0.0,1.0,0.22727272727272727,0.3076923076923077,0.5,0.8076923076923077,232.77777777777777,0.32,0.5454545454545454,-3.308220382594423,S5,2,-0.2251086939431326
2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,249.0,0.5,0.0,-0.4350757677434508,S5,3,-0.03537578105770587
3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.4,0.0,0.0,-1.8689529942791416,S5,4,-0.16656581013631616
10.0,24.0,21.0,6.0,5.0,1.0,1.0,2.0,7.0,2.0,7.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,1.0476190476190477,220.54166666666666,0.391304347826087,0.8421052631578947,0.9065740609730684,S5,6,0.18823895469697732
3.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375,336.125,0.125,0.25,-1.7922958487178913,S5,10,-0.14670240200523227
14.0,33.0,27.0,6.0,5.0,4.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,0.2222222222222222,0.36363636363636365,0.48148148148148145,0.8451178451178452,254.66666666666666,0.3939393939393939,0.44,2.9679531395039054,S5,13,0.43096994327493754
13.0,33.0,29.0,7.0,7.0,1.0,1.0,4.0,9.0,4.0,11.0,0.0,1.0,0.2413793103448276,0.3333333333333333,0.7586206896551724,1.0919540229885056,257.55882352941177,0.3333333333333333,0.7241379310344828,-0.3950101742996055,S5,14,0.09467361189458641
8.0,15.0,13.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.3076923076923077,0.4,0.46153846153846156,0.8615384615384616,250.46666666666667,0.3333333333333333,0.42857142857142855,1.2470978741173537,S5,16,0.18569825528652945
11.0,29.0,29.0,5.0,3.0,1.0,1.0,2.0,3.0,0.0,8.0,0.0,0.0,0.1724137931034483,0.1724137931034483,0.4827586206896552,0.6551724137931034,298.2068965517241,0.1724137931034483,0.42857142857142855,-3.0476959560825407,S5,17,-0.18685855771698553
