G,PA,AB,H,R,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,WAR
13.0,31.0,28.0,3.0,3.0,0.0,0.0,2.0,9.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10714285714285714,0.1935483870967742,0.32142857142857145,0.5149769585253456,0.2142857142857143,0.045454545454545456,0.0,0.06451612903225806,0.12903225806451613,0.0967741935483871,0.5,0.5,1.0,301.96666666666664,0.1935483870967742,0.32142857142857145,-3.9649183507278156,-0.29650000000000004,11.0,11.0,S6,2,COL,-0.26720074931021287
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,-0.12853740543569625,0.3834,0.0,0.0,S6,3,KCR,-0.008683060357680314
13.0,36.0,31.0,9.0,6.0,4.0,1.0,2.0,21.0,5.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2903225806451613,0.3888888888888889,0.6774193548387096,1.0663082437275986,0.3870967741935483,0.4117647058823529,0.0,0.05555555555555555,0.3333333333333333,0.1388888888888889,0.45454545454545453,0.5454545454545454,0.8333333333333334,221.77777777777777,0.3888888888888889,0.7096774193548387,1.7194396842046715,-0.04919999999999998,5.0,6.0,S6,4,TBR,0.3220884551124824
9.0,21.0,18.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7777777777777777,0.2222222222222222,0.2857142857142857,0.0,0.0,0.19047619047619047,0.14285714285714285,0.2,0.8,0.25,214.2,0.3333333333333333,0.4444444444444444,2.9708304633502256,-0.1754,2.0,8.0,S6,6,TEX,0.38466733023869815
13.0,35.0,27.0,7.0,8.0,1.0,0.0,2.0,14.0,4.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25925925925925924,0.42857142857142855,0.5185185185185185,0.947089947089947,0.25925925925925924,0.3333333333333333,0.0,0.05714285714285714,0.2857142857142857,0.22857142857142856,0.6363636363636364,0.36363636363636365,1.75,235.74285714285713,0.4117647058823529,0.5185185185185185,4.5447967969498695,0.10279999999999988,7.0,4.0,S6,14,OAK,0.6004534862011128
9.0,18.0,16.0,5.0,3.0,2.0,1.0,1.0,12.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3125,0.3888888888888889,0.75,1.1388888888888888,0.4375,0.3076923076923077,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.8,0.2,4.0,265.94444444444446,0.4117647058823529,0.7333333333333333,0.4280888916681357,0.1499,8.0,2.0,S6,16,MIN,0.1178811325128212
4.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.16666666666666666,0.0,0.0,0.3,0.1,0.4,0.6,0.6666666666666666,286.4,0.2,0.1111111111111111,-1.6391358814748538,-0.20239999999999997,2.0,3.0,S6,17,CIN,-0.12220678628859227
12.0,29.0,25.0,5.0,3.0,0.0,0.0,3.0,14.0,5.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.3103448275862069,0.56,0.8703448275862069,0.36000000000000004,0.1,1.0,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.5,0.5,1.0,284.03333333333336,0.27586206896551724,0.5384615384615384,-2.5675234164671648,-0.1403,9.0,9.0,S6,18,BOS,-0.13580261625592643
10.0,27.0,25.0,5.0,1.0,1.0,1.0,1.0,11.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25925925925925924,0.44,0.6992592592592592,0.24,0.2857142857142857,0.0,0.037037037037037035,0.37037037037037035,0.07407407407407407,0.7,0.3,2.3333333333333335,283.4074074074074,0.2222222222222222,0.4230769230769231,-2.9487532264497247,-0.198,7.0,3.0,S6,20,SDP,-0.18226695762596107
9.0,26.0,24.0,8.0,6.0,3.0,1.0,3.0,22.0,9.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.38461538461538464,0.9166666666666666,1.3012820512820513,0.5833333333333333,0.29411764705882354,0.0,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.6923076923076923,0.4444444444444444,223.92592592592592,0.4,0.9565217391304348,2.0354359708587078,0.02589999999999998,4.0,9.0,S6,22,SFG,0.3119812819189929
15.0,35.0,32.0,9.0,3.0,2.0,0.0,2.0,17.0,4.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.28125,0.34285714285714286,0.53125,0.8741071428571429,0.25,0.28,0.0,0.05714285714285714,0.14285714285714285,0.08571428571428572,0.47368421052631576,0.5263157894736842,0.9,248.03030303030303,0.3235294117647059,0.5483870967741935,-1.9098081058111962,0.028199999999999937,9.0,10.0,S6,24,BOS,-0.045007004074993716
10.0,24.0,22.0,9.0,4.0,2.0,1.0,0.0,13.0,3.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.4090909090909091,0.4583333333333333,0.5909090909090909,1.0492424242424243,0.18181818181818182,0.47368421052631576,0.4,0.0,0.125,0.08333333333333333,0.5,0.5,1.0,238.48275862068965,0.4583333333333333,0.6190476190476191,2.091962465043143,0.5146,5.0,5.0,S6,28,SFG,0.3092925709656578
