G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
5,12,11,4,1.0,2,2,0,0,6,0.0,1,0,1,0,0,1,0,0,2,2,2,2,0,0,0.36363636363636365,0.4166666666666667,0.5454545454545454,0.9621212121212122,0.18181818181818177,0.4,0.0,0.0,0.08333333333333333,0.08333333333333333,0.75,0.25,3.0,258.3076923076923,0.4166666666666667,0.5454545454545454,-1.7472439492197112,-0.07980000000000001,6,2,BC,12,11,4,6,1,0,0,S-8,10.0,False,LAC,LAC,8,-0.12794151061135303
4,7,7,3,3.0,1,0,0,2,9,3.0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0.42857142857142855,0.42857142857142855,1.2857142857142858,1.7142857142857144,0.8571428571428572,0.3333333333333333,,0.2857142857142857,0.2857142857142857,0.0,0.5,0.5,1.0,189.0,0.42857142857142855,1.2857142857142858,2.3732442515658563,0.5819000000000001,1,1,HK,7,7,3,9,0,0,0,S-8,28.0,False,NXS,NXS,6,0.26461444100444614
5,13,11,1,2.0,0,0,1,0,3,0.0,2,0,6,0,0,0,0,0,0,2,0,2,0,0,0.09090909090909091,0.23076923076923078,0.2727272727272727,0.5034965034965035,0.1818181818181818,0.2,,0.0,0.46153846153846156,0.15384615384615385,0.5,0.5,1.0,280.15384615384613,0.23076923076923078,0.3333333333333333,-1.3281914545347235,0.0068999999999999895,2,2,TT,13,12,2,4,1,0,0,S-8,32.0,False,MKW,MKW,8,-0.08213768745030278
5,13,11,5,4.0,3,1,0,1,9,2.0,1,0,2,0,1,0,0,1,0,0,1,4,0,0,0.45454545454545453,0.46153846153846156,0.8181818181818182,1.2797202797202798,0.3636363636363637,0.4444444444444444,1.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.16666666666666666,0.8333333333333334,0.2,197.14285714285714,0.46153846153846156,0.6666666666666666,1.8120740421653276,0.34019999999999995,1,5,WC,13,12,5,8,1,0,0,S-8,34.0,False,NXS,NXS,8,0.23188886221970234
3,10,9,2,2.0,0,2,0,0,4,0.0,1,0,4,0,0,0,0,0,0,0,1,2,0,0,0.2222222222222222,0.3,0.4444444444444444,0.7444444444444445,0.2222222222222222,0.4,,0.0,0.4,0.1,0.3333333333333333,0.6666666666666666,0.5,250.7,0.4,0.8888888888888888,-2.819143384438801,-0.181,1,2,TT,10,9,3,8,1,0,0,S-8,59.0,False,PPM,PPM,7,-0.24292860151836507
2,5,4,0,0.0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.6,0.4,1.5,347.2,0.0,0.0,-0.8013048738072555,0.16569999999999996,3,2,,5,5,0,0,0,0,0,S-8,63.0,False,CCD,CCD,3,-0.06063761891796802
5,14,14,6,1.0,3,2,0,1,11,3.0,0,0,0,0,0,1,0,0,2,4,0,3,1,0,0.42857142857142855,0.42857142857142855,0.7857142857142857,1.2142857142857142,0.35714285714285715,0.38461538461538464,0.0,0.07142857142857142,0.0,0.0,0.6,0.4,1.5,219.4,0.42857142857142855,0.7857142857142857,-1.8741417140250098,0.15589999999999996,6,4,BC,14,14,6,11,0,0,0,S-8,65.0,False,BLO,BLO,6,-0.1328341397067799
4,9,9,5,2.0,3,0,0,2,11,4.0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.5555555555555556,0.5555555555555556,1.2222222222222223,1.777777777777778,0.6666666666666667,0.42857142857142855,,0.2222222222222222,0.0,0.0,0.25,0.75,0.3333333333333333,157.0,0.5555555555555556,1.125,4.077190089011273,0.17900000000000002,1,3,BN,9,8,4,9,1,0,0,S-8,76.0,False,MMM,MMM,8,0.44280617213409085
7,17,13,4,1.0,3,1,0,0,5,1.0,4,0,4,0,0,0,0,0,0,1,3,1,0,0,0.3076923076923077,0.47058823529411764,0.38461538461538464,0.8552036199095023,0.07692307692307693,0.4444444444444444,,0.0,0.23529411764705882,0.23529411764705882,0.8,0.2,4.0,234.88235294117646,0.47058823529411764,0.38461538461538464,-0.6739910943019718,-0.04219999999999996,4,1,TT,17,13,4,5,4,0,0,S-8,91.0,False,NXS,NXS,7,-0.0011233566568215724
6,17,17,6,4.0,3,1,1,1,12,3.0,0,0,3,0,0,0,0,0,1,2,1,3,2,0,0.35294117647058826,0.35294117647058826,0.7058823529411765,1.0588235294117647,0.35294117647058826,0.38461538461538464,,0.058823529411764705,0.17647058823529413,0.0,0.4444444444444444,0.5555555555555556,0.8,226.8235294117647,0.35294117647058826,0.7647058823529411,0.4843942785605968,0.1262,4,5,HK,17,17,6,13,0,0,0,S-8,114.0,False,BIS,BIS,8,0.11471518062943528
8,21,21,8,3.0,3,3,0,2,17,11.0,0,0,4,0,0,0,0,0,0,1,3,5,0,0,0.38095238095238093,0.38095238095238093,0.8095238095238095,1.1904761904761905,0.4285714285714286,0.4,,0.09523809523809523,0.19047619047619047,0.0,0.4444444444444444,0.5555555555555556,0.8,211.0,0.38095238095238093,0.8095238095238095,6.4814835333805085,0.5419999999999999,4,5,1B,21,21,8,17,0,0,0,S-8,117.0,False,NXS,NXS,8,0.7300184008816325
