G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
1,2,1,1,1.0,0,0,0,1,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,3.0,,,0.5,0.0,0.5,,,,67.0,1.0,4.0,1.2605042016806722,0.1326,0,0,WC,2,1,1,4,1,0,0,S12,20.0,False,WWC,WWC,0.13532643826761476
2,4,4,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.75,0.25,3.0,354.75,0.0,0.0,-0.9317226890756304,-0.2787,3,1,EN,4,4,0,0,0,0,0,S12,32.0,False,SCR,SCR,-0.07462023270846802
1,2,2,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,176.0,0.5,0.5,0.09523809523809512,0.0182,0,1,WC,2,2,1,1,0,0,0,S12,34.0,False,SCR,SCR,0.018799827623357024
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,242.0,0.5,0.0,0.005567226890756283,-0.02,0,1,BN,2,1,0,0,1,0,0,S12,76.0,False,PQD,PQD,0.00983274078862314
1,3,3,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,1.0,0.0,239.66666666666666,0.3333333333333333,0.3333333333333333,-0.11806722689075627,-0.0419,0,2,1B,3,3,1,1,0,0,0,S12,117.0,False,WWC,WWC,0.00210730446024564
1,3,3,2,1.0,1,0,0,1,5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,0.5,,0.3333333333333333,0.0,0.0,1.0,0.0,,180.66666666666666,0.6666666666666666,1.6666666666666667,0.8200280112044818,-0.006199999999999999,1,0,SF,3,3,2,5,0,0,0,S12,127.0,False,DDD,DDD,0.09591682826976944
2,3,3,1,1.0,0,0,0,1,4,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,1.0,,,0.3333333333333333,0.6666666666666666,0.0,,,,147.66666666666666,0.3333333333333333,1.3333333333333333,1.306956115779645,0.0895,0,0,MH,3,3,1,4,0,0,0,S12,134.0,False,SAL,SAL,0.14460963872728577
1,3,3,2,1.0,1,1,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666665,0.33333333333333337,0.6666666666666666,,0.0,0.0,0.0,0.0,1.0,0.0,115.66666666666667,0.6666666666666666,1.0,0.8676470588235294,0.08410000000000001,0,1,SM,3,3,2,3,0,0,0,S12,262.0,False,SCR,SCR,0.10067873303167421
2,6,6,3,0.0,3,0,0,0,3,0.0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1.0,0.0,0.6,0.5,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,222.5,0.5,0.5,-1.174404761904762,-0.06780000000000003,0,2,WC,6,6,3,3,0,0,0,S12,301.0,False,KEG,KEG,-0.08961242189183366
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,204.0,0.5,0.0,0.28530578898225956,0.009899999999999999,0,1,WC,2,1,0,0,1,0,0,S12,310.0,False,WWC,WWC,0.037806596997773466
2,6,6,2,1.0,0,1,0,1,6,2.0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666667,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.0,0.5,0.5,1.0,235.83333333333334,0.3333333333333333,1.0,0.9254084967320262,0.1021,1,1,SM,6,6,2,6,0,0,0,S12,331.0,False,SEF,SEF,0.12036890397184515
1,2,2,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,253.66666666666666,0.5,0.5,-0.2767857142857143,-0.06709999999999999,0,1,WC,2,2,1,1,0,0,0,S12,361.0,False,SDV,SDV,-0.018402553329023918
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,340.6666666666667,0.0,0.0,-0.75,-0.0416,1,2,BC,3,3,0,0,0,0,0,S12,492.0,False,SAL,SAL,-0.06108597285067874
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,360.0,0.0,0.0,-1.197607376283847,-0.123,2,1,1B,3,3,0,0,0,0,0,S12,517.0,False,DDD,DDD,-0.10584671047906344
2,5,5,1,0.0,1,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.2,0.2,0.2,0.4,0.0,0.25,,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,2.0,289.8,0.2,0.2,0.4676704014939307,-0.061500000000000006,2,1,1B,5,5,1,1,0,0,0,S12,606.0,False,SCR,SCR,0.06995708539826184
2,4,4,1,0.0,0,1,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,0.0,1.0,0.0,264.0,0.25,0.25,-0.3147058823529411,0.006700000000000008,0,2,SM,4,4,1,1,0,0,0,S12,638.0,False,KEG,KEG,-0.012918552036199089
