G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,4,3,1,2.0,0,0,0,1,4,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.3333333333333333,0.5,1.3333333333333333,1.8333333333333333,1.0,0.0,,0.25,0.25,0.25,1.0,0.0,,230.25,0.5,1.3333333333333333,0.625623944487676,0.0,1,0,,S3,-4.0,False,TZS,TZS,12,0.07827228155105977
3,4,4,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.3333333333333333,0.6666666666666666,0.5,372.0,0.0,0.0,-2.262525325289271,0.0,1,2,,S3,-3.0,False,FTP,FTP,3,-0.21054264542663495
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,0.0,0.0,-0.3796452702702703,0.0,0,0,,S3,-2.0,False,CCF,CCF,1,-0.034037055251453986
11,32,29,14,10.0,2,3,1,8,43,15.0,3,0,7,0,0,0,0,0,0,2,2,4,0,0,0.4827586206896552,0.53125,1.4827586206896552,2.0140086206896552,1.0,0.42857142857142855,,0.25,0.21875,0.09375,0.5,0.5,1.0,206.3125,0.53125,1.4827586206896552,10.938215431360382,0.0,4,4,BP,S3,1.0,False,LAN,LAN,13,1.2195006399543753
2,4,3,2,1.0,2,0,0,0,2,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.75,0.6666666666666666,1.4166666666666665,0.0,1.0,,0.0,0.25,0.25,,,,179.5,0.75,0.6666666666666666,0.4918658767841786,0.0,0,0,1B,S3,2.0,False,LAN,LAN,4,0.06489647478071002
1,2,2,2,2.0,0,1,0,1,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,1.0,,0.5,0.0,0.0,,,,28.5,1.0,3.0,3.04668596689688,0.0,0,0,TT,S3,5.0,False,LAN,LAN,1,0.31252354024083406
1,2,2,1,1.0,0,0,0,1,4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,2.0,2.5,1.5,0.0,,0.5,0.0,0.0,0.0,1.0,0.0,192.0,0.5,2.0,0.4135501355013549,0.0,0,1,BP,S3,6.0,False,LAN,LAN,7,0.04920995710128157
7,21,19,5,2.0,1,4,0,0,9,2.0,2,0,7,1,0,0,0,0,1,0,0,5,1,0,0.2631578947368421,0.3333333333333333,0.47368421052631576,0.8070175438596491,0.21052631578947367,0.4166666666666667,,0.0,0.3333333333333333,0.09523809523809523,0.14285714285714285,0.8571428571428571,0.16666666666666666,245.9,0.3333333333333333,0.47368421052631576,-3.2160470194669695,0.0,1,6,S,S3,7.0,False,2TM,LAN,12,-0.2391277946596631
4,11,10,4,1.0,1,3,0,0,7,1.0,1,0,3,1,0,0,0,0,1,0,0,2,0,0,0.4,0.45454545454545453,0.7,1.1545454545454545,0.29999999999999993,0.5714285714285714,,0.0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.5,200.5,0.45454545454545453,0.7,-0.07803557808478123,0.0,1,2,S,S3,7.0,True,SCB,SCB,5,0.03539863172282533
3,10,9,1,1.0,0,1,0,0,2,1.0,1,0,4,0,0,0,0,0,0,0,0,3,1,0,0.1111111111111111,0.2,0.2222222222222222,0.4222222222222222,0.1111111111111111,0.2,,0.0,0.4,0.1,0.0,1.0,0.0,291.3,0.2,0.2222222222222222,-3.1380114413821882,0.0,0,4,S,S3,7.0,True,LAN,LAN,12,-0.2745264263824884
4,11,9,4,2.0,3,1,0,0,5,0.0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0.4444444444444444,0.5454545454545454,0.5555555555555556,1.101010101010101,0.11111111111111116,0.6666666666666666,,0.0,0.2727272727272727,0.18181818181818182,0.5,0.5,1.0,240.6,0.5454545454545454,0.5555555555555556,-1.4075756893803555,0.0,1,1,BN,S3,8.0,False,LAN,LAN,13,-0.0975553794067321
4,11,10,2,1.0,0,1,1,0,5,3.0,1,0,2,1,0,0,0,0,0,3,0,2,1,0,0.2,0.2727272727272727,0.5,0.7727272727272727,0.3,0.25,,0.0,0.18181818181818182,0.09090909090909091,0.5,0.5,1.0,286.5,0.2727272727272727,0.5,0.6742523996219909,0.0,3,3,TT,S3,9.0,False,LAN,LAN,14,0.11062742949350253
3,7,7,2,1.0,1,1,0,0,3,2.0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,0.14285714285714285,0.3333333333333333,,0.0,0.14285714285714285,0.0,0.75,0.25,3.0,309.57142857142856,0.2857142857142857,0.42857142857142855,-0.08354636445574526,0.0,3,1,1B,S3,10.0,False,LAN,LAN,11,0.019137665983436757
4,11,10,3,3.0,1,2,0,0,5,1.0,1,0,3,0,0,0,0,0,1,1,0,2,0,0,0.3,0.36363636363636365,0.5,0.8636363636363636,0.2,0.42857142857142855,,0.0,0.2727272727272727,0.09090909090909091,0.5,0.5,1.0,271.54545454545456,0.36363636363636365,0.5,-1.6376430764742476,0.0,2,2,BC,S3,11.0,False,LAN,LAN,13,-0.1205621181161213
4,9,5,1,1.0,1,0,0,0,1,1.0,3,0,3,2,0,0,0,1,0,0,0,1,0,0,0.2,0.4444444444444444,0.2,0.6444444444444444,0.0,0.3333333333333333,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,237.28571428571428,0.4444444444444444,0.2,-1.3726822312396636,0.0,0,2,SM,S3,12.0,False,LAN,LAN,12,-0.10192097714380899
2,5,5,2,1.0,0,1,0,1,6,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.4,0.4,1.2,1.6,0.7999999999999999,0.3333333333333333,,0.2,0.2,0.0,0.5,0.5,1.0,238.2,0.4,1.2,0.5116500950107634,0.0,1,1,WC,S3,13.0,False,LAN,LAN,14,0.07080236837894155
2,5,4,2,1.0,1,0,0,1,5,1.0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0.6,1.25,1.85,0.75,1.0,,0.2,0.4,0.2,,,,150.0,0.6,1.25,1.3205487565177512,0.0,0,0,TT,S3,14.0,False,LAN,LAN,4,0.1516922345296403
2,8,7,4,4.0,4,0,0,0,4,0.0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5714285714285714,0.625,0.5714285714285714,1.1964285714285714,0.0,0.8,,0.0,0.25,0.125,1.0,0.0,,207.66666666666666,0.625,0.5714285714285714,0.4118676178818028,0.0,1,0,BP,S3,16.0,False,LAN,LAN,8,0.0726065359927646
7,19,15,1,0.0,1,0,0,0,1,1.0,4,0,4,0,0,0,0,0,1,1,2,4,2,0,0.06666666666666667,0.2631578947368421,0.06666666666666667,0.32982456140350874,0.0,0.09090909090909091,,0.0,0.21052631578947367,0.21052631578947367,0.4,0.6,0.6666666666666666,304.2631578947368,0.2631578947368421,0.06666666666666667,-4.025916627893591,0.0,4,6,1B,S3,18.0,False,BER,BER,12,-0.32796969905347134
4,9,7,3,1.0,1,1,1,0,6,1.0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0.42857142857142855,0.5555555555555556,0.8571428571428571,1.4126984126984126,0.42857142857142855,0.75,,0.0,0.3333333333333333,0.2222222222222222,1.0,0.0,,223.0,0.5555555555555556,0.8571428571428571,-0.24351040737690255,0.0,1,0,BN,S3,20.0,False,2TM,BER,14,0.010996205242467116
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,321.5,0.0,0.0,-0.895607408806367,0.0,0,0,BN,S3,20.0,True,SCB,SCB,1,-0.08170579732949061
3,7,5,3,1.0,1,1,1,0,6,1.0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6,0.7142857142857143,1.2,1.9142857142857141,0.6,0.75,,0.0,0.14285714285714285,0.2857142857142857,1.0,0.0,,194.85714285714286,0.7142857142857143,1.2,0.6520970014294646,0.0,1,0,BN,S3,20.0,True,BER,BER,14,0.09270200257195774
1,2,2,1,0.0,0,1,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,206.0,0.5,1.0,-0.12916038210155856,0.0,0,0,BN,S3,23.0,False,BER,BER,4,-0.005061094659009774
1,4,3,0,0.0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.0,0.25,0.0,0.25,0.0,0.0,,0.0,0.25,0.25,0.0,1.0,0.0,262.0,0.25,0.0,-0.063693239875948,0.0,0,2,HK,S3,25.0,False,BER,BER,5,0.009340563114697364
