G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4.0,13.0,60.0,19.0,9.0,9.0,3.0,0.0,0.0,13.0,2.0,7.0,4.0,6.0,10.0,5.0,0.0,4.153846153846154,1.6923076923076923,8.769230769230768,0.9230769230769231,1.3846153846153846,6.0,4.333333333333333,0.34545454545454546,0.36666666666666664,0.6545454545454545,1.0212121212121212,0.40476190476190477,0.03333333333333333,0.21666666666666667,0.05,0.4230769230769231,0.5769230769230769,0.7333333333333333,233.14754098360655,-0.17111401043757554,0.2537999999999998,55.0,2.0,0.0,9.0,1.0,11.0,15.0,2.0,0.0,1.0,,S-8,10,False,LAC,LAC,1.8753065116701484,13.333333333333334,95,6.17,3.0,1.0,1.0,1.0,2,0,0,0,1.0,0.2585837936817944
2.0,2.6666666666666665,15.0,6.0,6.0,6.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,13.5,3.375,13.5,6.75,6.75,2.25,0.3333333333333333,0.5,0.6,1.3333333333333333,1.9333333333333331,0.375,0.2,0.06666666666666667,0.2,0.6666666666666666,0.3333333333333333,2.0,181.8125,4.619733587925078,-0.5235,12.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,,S-8,28,False,NXS,NXS,18.432998819362457,3.3333333333333335,369,6.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-0.40160526063299856
3.0,11.0,47.0,11.0,11.0,11.0,4.0,0.0,0.0,6.0,4.0,4.0,3.0,4.0,11.0,8.0,0.0,6.0,1.3636363636363635,6.0,2.1818181818181817,2.1818181818181817,3.2727272727272725,1.5,0.2619047619047619,0.3191489361702128,0.6666666666666666,0.9858156028368794,0.21212121212121213,0.0851063829787234,0.1276595744680851,0.0851063829787234,0.2962962962962963,0.7037037037037037,0.42105263157894735,247.0,3.245,-0.4496,42.0,1.0,0.0,1.0,2.0,8.0,19.0,0.0,0.0,,,S-8,32,False,MKW,MKW,5.910271546635183,11.0,112,6.0,3.0,1.0,1.0,0.0,0,3,0,0,0.0,-0.13534662576687115
4.0,8.333333333333334,35.0,9.0,8.0,8.0,2.0,0.0,0.0,5.0,5.0,2.0,6.0,8.0,2.0,3.0,0.0,5.76,1.3199999999999998,6.479999999999999,3.5999999999999996,1.44,3.5999999999999996,2.5,0.2727272727272727,0.3142857142857143,0.7878787878787878,1.1021645021645021,0.17391304347826086,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.75,0.25,3.0,258.7142857142857,0.2728358866111552,-0.44140000000000007,33.0,0.0,0.0,2.0,0.0,15.0,5.0,0.0,0.0,,,S-8,34,False,NXS,NXS,8.502998819362455,9.0,175,7.708311542827704,2.0,0.0,0.0,0.0,0,1,0,1,0.0,0.11357530704440597
3.0,11.666666666666666,47.0,11.0,5.0,5.0,7.0,0.0,1.0,4.0,2.0,6.0,7.0,6.0,8.0,4.0,0.0,2.5714285714285716,1.542857142857143,5.6571428571428575,1.0285714285714285,3.5999999999999996,2.057142857142857,0.5714285714285714,0.275,0.3829787234042553,0.5,0.8829787234042553,0.2647058823529412,0.0425531914893617,0.0851063829787234,0.14893617021276595,0.6,0.4,1.5,257.2244897959184,-2.826381521422325,0.1901000000000001,40.0,0.0,0.0,3.0,0.0,18.0,12.0,2.0,1.0,0.6666666666666666,,S-8,65,False,BLO,BLO,4.525855962219599,11.666666666666666,96,5.483299329641504,2.0,1.0,0.0,0.0,1,1,0,0,0.5,0.4717915263753613
3.0,12.666666666666666,56.0,17.0,9.0,9.0,2.0,0.0,0.0,9.0,4.0,6.0,16.0,1.0,7.0,4.0,0.0,4.2631578947368425,1.5,8.052631578947368,1.8947368421052633,0.9473684210526316,4.2631578947368425,4.5,0.3148148148148148,0.3392857142857143,0.7037037037037037,1.0429894179894181,0.3170731707317073,0.07142857142857142,0.16071428571428573,0.03571428571428571,0.6071428571428571,0.39285714285714285,1.5454545454545454,222.11475409836066,-0.06377358490566065,-0.16349999999999995,54.0,0.0,0.0,5.0,2.0,17.0,11.0,4.0,1.0,0.8,,S-8,117,False,NXS,NXS,4.340893556204561,13.0,142,9.0,2.0,2.0,2.0,0.0,2,1,0,0,0.6666666666666666,0.23175159161940045
3.0,2.6666666666666665,9.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.25,0.75,4.5,2.25,0.0,2.25,,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.0,0.7142857142857143,0.2857142857142857,2.5,308.3333333333333,-3.3972363769759224,0.7213999999999998,9.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,,,S-8,134,False,BIS,BIS,5.3079988193624565,4.0,51,1.0,0.0,3.0,0.0,0.0,0,0,0,0,0.0,0.37594449659329776
2.0,5.666666666666667,25.0,7.0,4.0,4.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,8.0,2.0,0.0,4.235294117647059,1.4117647058823528,7.4117647058823515,1.0588235294117645,1.0588235294117645,4.235294117647058,4.0,0.2916666666666667,0.32,0.5833333333333334,0.9033333333333333,0.3157894736842105,0.04,0.16,0.04,0.23076923076923078,0.7692307692307693,0.3,217.28,0.32087768915816617,-0.12059999999999994,24.0,0.0,0.0,2.0,1.0,3.0,10.0,0.0,0.0,,,S-8,135,False,GND,GND,2.594763525244809,6.333333333333333,101,3.117009007060859,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06852572801669873
3.0,12.0,51.0,11.0,8.0,8.0,5.0,0.0,1.0,6.0,5.0,2.0,2.0,3.0,5.0,19.0,0.0,4.0,1.3333333333333333,5.5,2.5,2.5,3.0,1.2,0.2391304347826087,0.3137254901960784,0.6521739130434783,0.9658994032395567,0.17142857142857143,0.09803921568627451,0.11764705882352941,0.09803921568627451,0.2,0.8,0.25,249.0,0.048211341285455234,-0.36810000000000004,46.0,0.0,0.0,4.0,0.0,6.0,24.0,0.0,0.0,,,S-8,149,False,CCD,CCD,6.849665486029123,12.666666666666666,123,7.633709677419355,2.0,1.0,0.0,0.0,0,1,0,0,0.0,0.20043039961378578
1.0,3.0,13.0,4.0,4.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,8.0,1.6666666666666667,8.0,6.0,2.0,6.0,3.0,0.3333333333333333,0.38461538461538464,1.0833333333333333,1.4679487179487178,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.8333333333333334,0.16666666666666666,5.0,261.46153846153845,1.8850000000000007,-0.27330000000000004,12.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,,S-8,152,False,BLO,BLO,13.182998819362457,3.0,68,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.1361809815950921
2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.75,0.25,3.0,404.8888888888889,-2.036664549592463,0.1632,9.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,,,S-8,163,False,BAG,BAG,0.5163321526957895,4.0,0,0.0,0.0,2.0,0.0,0.0,0,0,1,0,0.0,0.23988731385495185
1.0,3.0,16.0,6.0,4.0,4.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,8.0,2.3333333333333335,12.0,2.0,2.0,10.0,5.0,0.4,0.4375,0.8,1.2375,0.5555555555555556,0.0625,0.3125,0.0625,0.75,0.25,3.0,249.8125,1.8850000000000002,-0.38749999999999996,15.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,,,S-8,180,False,MMM,MMM,3.182998819362456,3.0,273,4.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.1241073619631902
1.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,12.0,6.0,0.0,6.0,,0.4,0.4,1.2,1.6,0.3333333333333333,0.2,0.2,0.0,0.5,0.5,1.0,219.8,0.29500000000000004,0.0092,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,S-8,233,False,CDT,CDT,12.182998819362457,1.0,205,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.009377300613496934
2.0,10.666666666666666,40.0,7.0,4.0,4.0,5.0,0.0,0.0,9.0,2.0,1.0,2.0,10.0,3.0,4.0,0.0,2.25,1.125,3.9375,1.125,2.8125,5.0625,1.8,0.20588235294117646,0.3,0.5588235294117647,0.8588235294117648,0.20833333333333334,0.05,0.225,0.125,0.6666666666666666,0.3333333333333333,2.0,282.5952380952381,-2.9731818181818177,0.21060000000000006,34.0,1.0,0.0,2.0,2.0,14.0,7.0,0.0,2.0,0.0,,S-8,238,False,BIS,BIS,3.339248819362456,11.0,74,4.0,2.0,0.0,0.0,0.0,2,0,0,0,1.0,0.45829977691020635
1.0,2.3333333333333335,14.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,7.7142857142857135,3.4285714285714284,12.857142857142858,0.0,7.7142857142857135,0.0,0.0,0.45454545454545453,0.5714285714285714,1.0,1.5714285714285714,0.45454545454545453,0.0,0.0,0.21428571428571427,0.5714285714285714,0.42857142857142855,1.3333333333333333,204.14285714285714,1.8850000000000005,-0.2353,11.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,,,S-8,275,False,BLO,BLO,5.040141676505312,2.6666666666666665,103,1.3354777834963114,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.13215644171779145
