G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4,10.0,43,12,8.0,8.0,2,0,0,9,2,4,6,4,8,2,0,4.8,1.4,7.199999999999999,1.2000000000000002,1.2000000000000002,5.4,4.5,0.3,0.32558139534883723,0.675,1.0005813953488372,0.3333333333333333,0.046511627906976744,0.20930232558139536,0.046511627906976744,0.5238095238095238,0.47619047619047616,1.1,243.86046511627907,0.9592959295929593,-0.10310000000000004,40,1,0,3,3,11,10,0,0,,BS-H,S10,10,False,GRS,GRS,2.4096385542168672,9.333333333333334,100,6.4350619486293255,1.0,2.0,0.0,0.0,1,1,0,0,0.5,0.07657529940861012
9,20.666666666666668,93,25,17.0,17.0,7,1,0,18,7,10,5,16,14,8,0,4.935483870967742,1.5483870967741935,7.258064516129032,2.032258064516129,2.032258064516129,5.225806451612903,2.5714285714285716,0.29411764705882354,0.34408602150537637,0.6470588235294118,0.9911448450347882,0.29508196721311475,0.07526881720430108,0.1935483870967742,0.07526881720430108,0.5,0.5,1.0,247.58947368421053,3.22047091277137,-0.4978000000000001,85,1,0,7,1,22,22,3,0,1.0,BF-S,S10,32,False,SSS,SSS,4.687057909055577,22.333333333333332,90,13.952253010825322,2.0,5.0,0.0,0.0,1,1,2,0,0.5,0.051044885239497
2,1.6666666666666667,9,4,4.0,4.0,0,0,0,0,1,2,2,1,1,1,0,14.399999999999999,2.4,14.399999999999999,3.5999999999999996,0.0,0.0,,0.4444444444444444,0.4444444444444444,0.8888888888888888,1.3333333333333333,0.375,0.1111111111111111,0.0,0.0,0.6,0.4,1.5,229.0,2.549729288841217,-0.6982999999999999,9,0,0,1,0,3,2,0,0,,EG-H,S10,117,False,SSS,SSS,8.809638554216868,2.3333333333333335,248,4.0,0.0,1.0,0.0,0.0,0,1,1,0,0.0,-0.21886725373735066
1,5.0,18,3,2.0,2.0,0,0,0,2,2,0,1,4,4,4,0,2.4,0.6,3.5999999999999996,2.4000000000000004,0.0,2.4000000000000004,,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.7222222222222222,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.0,0.38461538461538464,0.6153846153846154,0.625,276.6111111111111,-1.5203520352035202,-0.035699999999999975,18,0,0,1,0,5,8,0,0,,EN-S,S10,127,False,KRK,KRK,5.409638554216867,5.0,58,2.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.22424655381389408
2,7.0,33,8,10.0,10.0,5,0,1,3,4,4,1,2,11,3,0,8.571428571428571,1.8571428571428572,6.857142857142857,3.4285714285714284,4.285714285714286,2.571428571428571,0.6,0.2962962962962963,0.3939393939393939,0.7407407407407407,1.1346801346801345,0.19047619047619047,0.12121212121212122,0.09090909090909091,0.15151515151515152,0.17647058823529413,0.8235294117647058,0.21428571428571427,204.2941176470588,5.071507150715071,-0.6204000000000001,27,1,0,0,0,3,14,1,1,0.5,FP-H,S10,131,False,CRN,CRN,9.72392426850258,6.0,256,10.605861234222111,2.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.37476323953334667
1,0.0,3,1,3.0,3.0,2,0,0,0,1,0,0,0,0,0,0,,,,,,,0.0,1.0,1.0,4.0,5.0,,0.3333333333333333,0.0,0.6666666666666666,,,,112.33333333333333,3.7142857142857144,-0.7377,1,0,0,0,0,0,0,0,0,,FP-H,S10,134,False,ACK,ACK,inf,0.3333333333333333,1114,2.5665030585845887,0.0,1.0,0.0,0.0,0,1,0,0,0.0,-0.35939334637964776
6,18.666666666666668,83,22,10.0,10.0,7,0,1,12,4,7,10,5,20,7,0,3.214285714285714,1.5535714285714284,7.071428571428571,1.2857142857142856,2.25,3.8571428571428568,1.7142857142857142,0.2894736842105263,0.3493975903614458,0.6447368421052632,0.994134432466709,0.3,0.04819277108433735,0.14457831325301204,0.08433734939759036,0.35714285714285715,0.6428571428571429,0.5555555555555556,246.48837209302326,-2.4291008298914254,0.2568000000000001,76,0,0,7,4,15,27,2,2,0.5,FP-S,S10,149,False,KRK,KRK,3.6346385542168673,20.0,73,10.08669747115591,3.0,4.0,1.0,0.0,1,0,0,0,1.0,0.575884642676031
7,16.333333333333332,74,22,16.0,16.0,8,0,0,10,7,8,6,6,17,5,0,5.877551020408164,1.836734693877551,8.081632653061225,2.5714285714285716,2.938775510204082,3.673469387755102,1.25,0.3384615384615385,0.40540540540540543,0.8,1.2054054054054055,0.30612244897959184,0.0945945945945946,0.13513513513513514,0.10810810810810811,0.42105263157894735,0.5789473684210527,0.7272727272727273,218.65384615384616,3.9053319408814966,-0.7120000000000001,65,1,0,5,2,16,22,3,1,0.75,FP-H,S10,163,False,KIR,KIR,6.825965084829113,17.333333333333332,120,14.33407857641221,2.0,3.0,0.0,0.0,1,1,0,1,0.5,-0.09366430954803225
3,7.0,24,2,1.0,1.0,4,0,0,2,0,1,6,4,6,0,0,0.8571428571428571,0.8571428571428571,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,0.5,0.1,0.25,0.15,0.4,0.1111111111111111,0.0,0.08333333333333333,0.16666666666666666,0.6842105263157895,0.3157894736842105,2.1666666666666665,291.4166666666667,-3.576005719385779,0.1997,20,0,0,1,0,13,6,0,0,,BS-S,S10,180,False,ZAH,ZAH,2.15249569707401,8.0,0,0.0,0.0,3.0,0.0,0.0,1,0,0,0,1.0,0.4538823723299673
3,4.333333333333333,23,8,7.0,7.0,3,0,0,7,3,4,0,4,1,0,0,9.692307692307693,2.5384615384615388,11.076923076923077,4.153846153846154,4.153846153846154,9.692307692307693,2.3333333333333335,0.4,0.4782608695652174,0.9,1.3782608695652174,0.5,0.13043478260869565,0.30434782608695654,0.13043478260869565,0.8333333333333334,0.16666666666666666,5.0,219.30434782608697,4.088939056949173,-0.5558000000000001,20,0,0,1,0,5,1,0,0,,TT-S,S10,270,False,KIR,KIR,8.855792400370714,4.666666666666667,198,6.39043223573267,1.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.3166238469865025
3,7.333333333333333,28,6,3.0,3.0,1,0,0,3,1,4,4,1,4,9,0,2.4545454545454546,0.9545454545454546,4.909090909090909,0.8181818181818183,0.8181818181818183,2.4545454545454546,3.0,0.2222222222222222,0.25,0.37037037037037035,0.6203703703703703,0.21739130434782608,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.3157894736842105,0.6842105263157895,0.46153846153846156,261.43333333333334,-2.31053454344628,0.1285,27,0,0,1,0,6,13,2,0,1.0,WC-S,S10,301,False,GRS,GRS,2.373274917853231,7.666666666666667,38,2.0,1.0,1.0,0.0,0.0,1,0,0,0,1.0,0.3433822214679157
7,32.333333333333336,134,33,18.0,18.0,12,0,0,32,8,18,13,17,17,10,0,3.34020618556701,1.3917525773195876,6.123711340206185,1.4845360824742266,2.22680412371134,5.9381443298969065,2.6666666666666665,0.2727272727272727,0.3358208955223881,0.5537190082644629,0.889539903786851,0.3048780487804878,0.05970149253731343,0.23880597014925373,0.08955223880597014,0.5714285714285714,0.42857142857142855,1.3333333333333333,267.56115107913666,-3.6550464213465643,-0.5131999999999999,121,1,0,4,3,36,27,3,2,0.6,TT-H,S10,310,False,KRK,KRK,3.3601540181343927,32.0,76,16.84288167641118,6.0,4.0,3.0,1.0,4,3,0,0,0.5714285714285714,0.9030780276532475
3,9.0,32,6,4.0,4.0,1,0,0,6,4,2,1,5,10,3,0,2.6666666666666665,0.7777777777777778,4.0,2.6666666666666665,0.6666666666666666,4.0,6.0,0.1935483870967742,0.21875,0.5806451612903226,0.7993951612903226,0.09523809523809523,0.125,0.1875,0.03125,0.35,0.65,0.5384615384615384,270.57575757575756,-2.336633663366337,0.48449999999999993,31,0,0,0,0,7,13,0,1,0.0,FP-S,S10,361,False,GOB,GOB,5.7874163319946454,8.333333333333334,77,4.407418745437533,1.0,2.0,0.0,0.0,2,0,0,0,1.0,0.3620391001918196
1,0.6666666666666666,2,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,253.0,-0.6231884057971014,0.017,2,0,0,0,0,0,1,1,0,1.0,NH-B,S10,367,False,KRK,KRK,-1.9903614457831327,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.07034232394565927
