G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
2.0,3.3333333333333335,19.0,9.0,6.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,5.0,0.0,2.0,1.0,0.0,10.799999999999999,3.0,16.2,5.3999999999999995,1.7999999999999998,1.7999999999999998,1.0,0.5,0.5263157894736842,1.2777777777777777,1.8040935672514617,0.42857142857142855,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.6666666666666666,0.3333333333333333,2.0,206.05555555555554,2.8230677819618495,-0.31200000000000006,18.0,0.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,,FP-H,S4,1,False,FWG,FWG,14,14.226233122072196,4.0,51,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2202350650487746
4.0,14.333333333333334,69.0,22.0,13.0,13.0,6.0,0.0,0.0,22.0,4.0,11.0,4.0,7.0,8.0,0.0,0.0,5.441860465116279,1.9534883720930232,9.209302325581394,1.6744186046511627,2.511627906976744,9.209302325581394,3.6666666666666665,0.36065573770491804,0.4057971014492754,0.7213114754098361,1.1271085768591114,0.4864864864864865,0.057971014492753624,0.3188405797101449,0.08695652173913043,0.5789473684210527,0.42105263157894735,1.375,251.38571428571427,-0.29224141436795226,-0.5740999999999999,61.0,2.0,0.0,4.0,3.0,11.0,8.0,2.0,2.0,0.5,BS-H,S4,4,False,EEE,EEE,11,4.040186610444289,14.0,150,10.328148272538769,3.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.2546424681300222
1.0,3.0,12.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1.6666666666666667,6.0,2.0,4.0,6.0,1.5,0.3,0.4166666666666667,0.6,1.0166666666666666,0.3333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.8333333333333334,0.16666666666666666,5.0,267.9166666666667,-0.9101796407185627,0.00039999999999999563,10.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,BS-H,S4,13,False,VFQ,VFQ,9,6.559566455405529,3.0,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13022115132285228
1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,374.5,-0.9700598802395208,0.168,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,BS-B,S4,16,False,CCS,CCS,4,0.22623312207219604,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068067848367011
2.0,9.666666666666666,44.0,13.0,12.0,12.0,5.0,0.0,0.0,8.0,10.0,1.0,1.0,9.0,7.0,1.0,0.0,7.448275862068966,1.8620689655172415,8.068965517241379,6.206896551724139,3.1034482758620694,4.965517241379311,1.6,0.3333333333333333,0.4090909090909091,1.1538461538461537,1.562937062937063,0.14285714285714285,0.22727272727272727,0.18181818181818182,0.11363636363636363,0.6,0.4,1.5,248.02272727272728,2.5661537749243784,-0.40019999999999994,39.0,0.0,0.0,2.0,0.0,12.0,8.0,1.0,1.0,0.5,FP-H,S4,18,False,N69,N69,9,15.571060708279093,9.666666666666666,211,10.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.11287035757211913
1.0,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,314.5,-0.0013989115785523198,-0.006399999999999996,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,BF-B,S4,19,False,DCL,DCL,13,11.226233122072196,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066737556996879
1.0,6.0,27.0,5.0,5.0,5.0,6.0,0.0,0.0,5.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,1.8333333333333333,5.0,1.0,6.0,5.0,0.8333333333333334,0.23809523809523808,0.4074074074074074,0.47619047619047616,0.8835978835978835,0.26666666666666666,0.037037037037037035,0.18518518518518517,0.2222222222222222,0.8461538461538461,0.15384615384615385,5.5,295.7307692307692,-0.8203592814371259,-0.23689999999999997,21.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,,NT-B,S4,22,False,N69,N69,11,5.7262331220721965,6.0,136,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17024309945845362
3.0,7.333333333333333,51.0,24.0,18.0,18.0,6.0,0.0,0.0,6.0,1.0,10.0,2.0,1.0,10.0,2.0,0.0,14.727272727272728,4.090909090909091,19.636363636363637,0.8181818181818183,4.909090909090909,4.909090909090909,1.0,0.5454545454545454,0.5882352941176471,0.9545454545454546,1.5427807486631018,0.6052631578947368,0.0196078431372549,0.11764705882352941,0.11764705882352941,0.25,0.75,0.3333333333333333,226.86,11.298359606512532,-0.5547,44.0,1.0,0.0,11.0,2.0,4.0,12.0,0.0,0.0,,BS-B,S4,29,False,N69,N69,4,4.817142212981286,8.0,127,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9632224148345202
3.0,6.0,29.0,7.0,7.0,7.0,5.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,5.0,2.0,0.0,7.0,2.0,7.0,4.0,5.0,6.0,1.2,0.30434782608695654,0.41379310344827586,0.8695652173913043,1.2833583208395802,0.21428571428571427,0.13793103448275862,0.20689655172413793,0.1724137931034483,0.36363636363636365,0.6363636363636364,0.5714285714285714,248.36666666666667,1.1796407185628746,-0.6547,23.0,1.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,0.0,FP-S,S4,32,False,LMN,LMN,14,11.392899788738863,6.0,136,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02322303599971377
1.0,6.0,28.0,5.0,6.0,6.0,7.0,0.0,0.0,8.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,6.0,2.0,5.0,2.0,7.0,8.0,1.1428571428571428,0.23809523809523808,0.42857142857142855,0.5238095238095238,0.9523809523809523,0.2727272727272727,0.07142857142857142,0.2857142857142857,0.25,0.7,0.3,2.3333333333333335,251.1153846153846,0.179640718562874,-0.15609999999999996,21.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,,NT-S,S4,39,False,DDD,DDD,12,7.3928997887388626,6.0,34,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07351003172936996
