G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
8,195.0,182.0,52.0,34.0,24.0,12.0,4.0,12.0,108.0,34.0,12.0,0.0,36.0,1.0,2.0,1.0,0.0,1.0,3.0,19.0,22.0,36.0,18.0,0.0,2.2750000000000012,1.5189,0.9877218700475439,44.0,55.0,195.0,182.0,53.0,110.0,13.0,0.0,0.0,0.2857142857142857,0.3282051282051282,0.5934065934065934,0.9216117216117217,0.3076923076923077,0.2962962962962963,0.6666666666666666,0.06153846153846154,0.18461538461538463,0.06153846153846154,0.4444444444444444,0.5555555555555556,0.8,96.0,248.85209235209237,0.3384615384615385,0.6043956043956044,S-8,BAG
8,209.0,188.0,55.0,31.0,27.0,14.0,2.0,12.0,109.0,34.0,17.0,0.0,32.0,5.0,1.0,2.0,0.0,4.0,5.0,22.0,18.0,41.0,24.0,0.0,-2.973709677419353,0.9312999999999998,0.5174309340013293,45.0,69.0,209.0,187.0,55.0,110.0,22.0,0.0,0.0,0.2925531914893617,0.3444976076555024,0.5797872340425532,0.9242848416980556,0.28723404255319146,0.2905405405405405,0.3333333333333333,0.05741626794258373,0.15311004784688995,0.08133971291866028,0.39473684210526316,0.6052631578947368,0.6521739130434783,102.0,243.2394727913596,0.3684210526315789,0.5882352941176471,S-8,BIS
8,179.0,173.0,42.0,12.0,21.0,13.0,2.0,6.0,77.0,12.0,6.0,0.0,29.0,0.0,1.0,1.0,0.0,0.0,9.0,27.0,24.0,22.0,29.0,0.0,-22.567033830618545,-1.2252,-1.5588586920951344,60.0,51.0,179.0,171.0,42.0,77.0,8.0,0.0,0.0,0.24277456647398843,0.2681564245810056,0.44508670520231214,0.7132431297833177,0.2023121387283237,0.2608695652173913,0.5,0.0335195530726257,0.16201117318435754,0.0335195530726257,0.5405405405405406,0.4594594594594595,1.1764705882352942,54.0,269.082182320442,0.27932960893854747,0.4502923976608187,S-8,BLO
8,227.0,200.0,65.0,43.0,23.0,21.0,7.0,14.0,142.0,45.0,24.0,1.0,28.0,0.0,12.0,3.0,0.0,3.0,4.0,28.0,22.0,34.0,26.0,0.0,8.373014460511682,2.2513000000000005,1.72227767426036,54.0,63.0,227.0,203.0,67.0,141.0,24.0,0.0,0.0,0.325,0.3920704845814978,0.71,1.1020704845814977,0.38499999999999995,0.3167701863354037,0.8,0.06167400881057269,0.12334801762114538,0.10572687224669604,0.46153846153846156,0.5384615384615384,0.8571428571428571,129.0,231.86543759271032,0.4008810572687225,0.6945812807881774,S-8,CCD
8,186.0,170.0,41.0,31.0,15.0,10.0,4.0,12.0,95.0,31.0,15.0,0.0,40.0,0.0,3.0,1.0,0.0,1.0,4.0,16.0,23.0,33.0,18.0,0.0,-0.7249999999999974,0.6824000000000003,0.6526347068145806,43.0,52.0,186.0,173.0,43.0,96.0,13.0,0.0,0.0,0.2411764705882353,0.3010752688172043,0.5588235294117647,0.859898798228969,0.3176470588235294,0.24369747899159663,0.75,0.06451612903225806,0.21505376344086022,0.08064516129032258,0.45263157894736844,0.5473684210526316,0.8269230769230769,78.0,248.84736842105264,0.3010752688172043,0.5549132947976878,S-8,CDT
8,210.0,191.0,52.0,30.0,24.0,14.0,3.0,11.0,105.0,31.0,19.0,0.0,43.0,2.0,1.0,0.0,0.0,0.0,7.0,24.0,24.0,27.0,21.0,0.0,-4.973709677419353,0.6164,0.32132950769388086,55.0,48.0,210.0,192.0,51.0,105.0,18.0,0.0,0.0,0.27225130890052357,0.3380952380952381,0.5497382198952879,0.887833457990526,0.27748691099476436,0.29927007299270075,1.0,0.05238095238095238,0.20476190476190476,0.09047619047619047,0.5339805825242718,0.46601941747572817,1.1458333333333333,84.0,257.83175355450237,0.32857142857142857,0.546875,S-8,GND
8,190.0,171.0,52.0,30.0,22.0,13.0,1.0,16.0,115.0,30.0,17.0,0.0,38.0,0.0,9.0,6.0,0.0,2.0,8.0,18.0,21.0,33.0,11.0,0.0,-1.725,0.8619,0.5682290015847862,47.0,46.0,190.0,175.0,52.0,115.0,15.0,0.0,0.0,0.30409356725146197,0.3631578947368421,0.672514619883041,1.035672514619883,0.368421052631579,0.3025210084033613,0.6,0.08421052631578947,0.2,0.08947368421052632,0.5053763440860215,0.4946236559139785,1.0217391304347827,109.0,242.0930081300813,0.3526315789473684,0.6571428571428571,S-8,LAC
8,191.0,173.0,42.0,23.0,21.0,9.0,6.0,6.0,81.0,22.0,16.0,0.0,33.0,1.0,3.0,3.0,0.0,2.0,5.0,22.0,19.0,41.0,18.0,0.0,-10.135,-0.19280000000000028,-0.2688724247226622,46.0,61.0,191.0,176.0,45.0,79.0,15.0,0.0,0.0,0.24277456647398843,0.3036649214659686,0.4682080924855491,0.7718730139515178,0.2254335260115607,0.2647058823529412,0.5,0.031413612565445025,0.17277486910994763,0.08376963350785341,0.42990654205607476,0.5700934579439252,0.7540983606557377,63.0,254.15029361998606,0.31413612565445026,0.44886363636363635,S-8,MKW
8,208.0,185.0,58.0,40.0,27.0,10.0,3.0,18.0,128.0,40.0,21.0,0.0,25.0,0.0,2.0,2.0,0.0,2.0,9.0,25.0,29.0,31.0,19.0,0.0,7.865000000000004,-0.8064999999999998,1.5974033280507136,63.0,52.0,208.0,188.0,57.0,120.0,20.0,0.0,0.0,0.31351351351351353,0.3798076923076923,0.6918918918918919,1.0716995841995842,0.3783783783783784,0.2777777777777778,0.5,0.08653846153846154,0.1201923076923077,0.10096153846153846,0.5478260869565217,0.45217391304347826,1.2115384615384615,111.0,236.3820754716981,0.3701923076923077,0.6382978723404256,S-8,MMM
8,218.0,193.0,58.0,38.0,27.0,15.0,3.0,13.0,118.0,39.0,19.0,0.0,42.0,2.0,3.0,2.0,0.0,6.0,1.0,20.0,28.0,37.0,14.0,0.0,4.892580645161291,1.7626999999999997,1.3391471294923576,49.0,57.0,218.0,204.0,65.0,126.0,14.0,0.0,0.0,0.3005181347150259,0.3532110091743119,0.6113989637305699,0.9646099729048818,0.310880829015544,0.3125,0.6,0.05963302752293578,0.1926605504587156,0.0871559633027523,0.46226415094339623,0.5377358490566038,0.8596491228070176,105.0,237.1064682701454,0.3623853211009174,0.6176470588235294,S-8,NXS
