G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
14,382.0,345.0,124.0,83.0,52.0,34.0,10.0,28.0,262.0,82.0,34.0,0.0,67.0,6.0,1.0,2.0,0.0,3.0,11.0,39.0,45.0,55.0,18.0,0.0,5.395209580838322,3.3028109999999997,1.7677410953195132,95.0,76.0,382.0,345.0,87.0,182.0,32.0,5.0,0.0,0.35942028985507246,0.41361256544502617,0.7594202898550725,1.1730328553000986,0.4,0.3794466403162055,0.3333333333333333,0.07329842931937172,0.17539267015706805,0.08900523560209424,0.5555555555555556,0.4444444444444444,1.25,105.0,253.79838665928895,0.31151832460732987,0.527536231884058,S4,CCS
14,347.0,305.0,95.0,65.0,45.0,23.0,6.0,21.0,193.0,65.0,35.0,1.0,76.0,16.0,0.0,1.0,0.0,7.0,12.0,37.0,31.0,56.0,17.0,0.0,-9.694610778443108,0.4063810000000001,0.14622580074412206,80.0,80.0,347.0,307.0,72.0,156.0,33.0,7.0,0.0,0.3114754098360656,0.3746397694524496,0.6327868852459017,1.0074266546983512,0.32131147540983607,0.34418604651162793,0.0,0.06051873198847262,0.21902017291066284,0.10086455331412104,0.5,0.5,1.0,98.0,255.86775148891917,0.3025936599423631,0.50814332247557,S4,CEL
14,378.0,335.0,120.0,88.0,46.0,42.0,13.0,19.0,245.0,88.0,42.0,0.0,62.0,3.0,14.0,6.0,0.0,1.0,6.0,40.0,40.0,51.0,23.0,0.0,14.27544910179641,3.212239,2.642904103569922,86.0,75.0,375.0,340.0,93.0,180.0,34.0,1.0,0.0,0.3582089552238806,0.42857142857142855,0.7313432835820896,1.159914712153518,0.373134328358209,0.396078431372549,0.7,0.05026455026455026,0.164021164021164,0.1111111111111111,0.5341614906832298,0.4658385093167702,1.1466666666666667,114.0,245.55311792478878,0.33866666666666667,0.5294117647058824,S4,DBV
14,370.0,318.0,110.0,78.0,49.0,37.0,4.0,20.0,215.0,77.0,48.0,0.0,77.0,8.0,0.0,1.0,0.0,4.0,14.0,36.0,26.0,58.0,15.0,0.0,4.275449101796408,1.6562999999999999,1.617182215879123,76.0,77.0,369.0,329.0,86.0,162.0,35.0,5.0,0.0,0.34591194968553457,0.42702702702702705,0.6761006289308176,1.1031276559578447,0.330188679245283,0.4,0.0,0.05405405405405406,0.20810810810810812,0.12972972972972974,0.49673202614379086,0.5032679738562091,0.987012987012987,103.0,245.58384188438094,0.32791327913279134,0.49240121580547114,S4,DCL
14,354.0,313.0,107.0,78.0,37.0,24.0,26.0,19.0,239.0,77.0,35.0,0.0,74.0,21.0,1.0,0.0,0.0,6.0,9.0,34.0,34.0,56.0,14.0,0.0,6.215568862275453,2.07587,1.7597504165454274,77.0,76.0,354.0,308.0,83.0,176.0,36.0,10.0,0.0,0.34185303514376997,0.4011299435028249,0.7635782747603834,1.1647082182632083,0.42172523961661346,0.3893805309734513,1.0,0.05367231638418079,0.20903954802259886,0.09887005649717515,0.5032679738562091,0.49673202614379086,1.013157894736842,121.0,240.36125677139762,0.3361581920903955,0.5714285714285714,S4,DDD
14,363.0,323.0,113.0,75.0,44.0,37.0,7.0,25.0,239.0,74.0,34.0,0.0,67.0,3.0,1.0,3.0,0.0,6.0,12.0,40.0,29.0,68.0,12.0,0.0,0.3053892215568893,2.5759900000000004,1.1976695761257208,81.0,86.0,363.0,319.0,82.0,166.0,36.0,8.0,0.0,0.3498452012383901,0.4049586776859504,0.739938080495356,1.1448967581813063,0.39009287925696595,0.37130801687763715,0.25,0.06887052341597796,0.18457300275482094,0.09366391184573003,0.48502994011976047,0.5149700598802395,0.9418604651162791,107.0,242.46267029972753,0.325068870523416,0.5203761755485894,S4,EEE
14,344.0,299.0,77.0,39.0,33.0,26.0,4.0,14.0,153.0,39.0,42.0,1.0,56.0,17.0,1.0,4.0,0.0,3.0,20.0,55.0,49.0,53.0,12.0,0.0,-41.514970059880234,-1.8606920000000002,-3.045455835283641,124.0,68.0,344.0,314.0,60.0,116.0,26.0,4.0,0.0,0.25752508361204013,0.34593023255813954,0.5117056856187291,0.8576359181768687,0.25418060200668896,0.27155172413793105,0.2,0.040697674418604654,0.16279069767441862,0.12209302325581395,0.6458333333333334,0.3541666666666667,1.8235294117647058,53.0,275.70770831175076,0.25,0.36942675159235666,S4,FWG
14,339.0,293.0,101.0,61.0,57.0,22.0,5.0,17.0,184.0,61.0,41.0,1.0,66.0,22.0,0.0,0.0,1.0,4.0,18.0,29.0,33.0,44.0,24.0,0.0,-8.844311377245507,0.9102519999999995,0.2055338531730826,80.0,72.0,339.0,297.0,63.0,126.0,37.0,4.0,1.0,0.3447098976109215,0.42011834319526625,0.6279863481228669,1.048104691318133,0.2832764505119454,0.3925233644859813,0.0,0.05014749262536873,0.19469026548672566,0.12094395280235988,0.5263157894736842,0.47368421052631576,1.1111111111111112,79.0,251.60921582948708,0.2958579881656805,0.42424242424242425,S4,HON
14,347.0,305.0,108.0,68.0,43.0,34.0,10.0,21.0,225.0,66.0,40.0,0.0,65.0,21.0,0.0,0.0,0.0,2.0,15.0,37.0,38.0,47.0,12.0,0.0,-1.84431137724551,1.7552039999999998,0.931255740863882,90.0,61.0,347.0,305.0,71.0,140.0,37.0,5.0,0.0,0.3540983606557377,0.4265129682997118,0.7377049180327869,1.1642178863324988,0.38360655737704924,0.3936651583710407,0.0,0.06051873198847262,0.1873198847262248,0.11527377521613832,0.5960264900662252,0.40397350993377484,1.4754098360655739,91.0,245.98635592713396,0.3112391930835735,0.45901639344262296,S4,LDN
14,356.0,320.0,110.0,72.0,41.0,28.0,9.0,32.0,252.0,72.0,31.0,0.0,75.0,3.0,5.0,9.0,1.0,4.0,6.0,33.0,34.0,57.0,15.0,0.0,-2.6946107784431126,2.9655009999999997,0.8751629243962711,73.0,76.0,356.0,327.0,84.0,198.0,24.0,4.0,1.0,0.34375,0.3971830985915493,0.7875,1.1846830985915493,0.44375,0.35944700460829493,0.35714285714285715,0.0898876404494382,0.21067415730337077,0.08707865168539326,0.4899328859060403,0.5100671140939598,0.9605263157894737,118.0,246.5646396396396,0.30422535211267604,0.6055045871559633,S4,LMN
