IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA-,W-L%,Season,Team
11.0,46.0,13.0,7.0,7.0,2.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.8067226890756298,0.11939999999999998,0.11296222801235492,43.0,1.0,0.0,7.0,4.0,1.0,4.0,5.0,7.0,5.0,0.0,10.0,12.0,2.0,1.0,2.0,3.8181818181818183,1.3636363636363635,7.090909090909092,0.5454545454545454,1.0909090909090908,5.454545454545454,5.0,0.3023255813953488,0.32608695652173914,0.5116279069767442,0.8377148634984833,0.36363636363636365,0.021739130434782608,0.21739130434782608,0.043478260869565216,0.45454545454545453,0.5454545454545454,0.8333333333333334,0.6666666666666666,249.10204081632654,1.0622700998423542,112.0,0.0,S12,CCS
11.666666666666668,57.0,17.0,12.0,12.0,8.0,0.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.243697478991597,-0.9344,-0.28443134954187016,48.0,1.0,0.0,6.0,6.0,1.0,4.0,4.0,8.0,7.0,0.0,11.0,15.0,0.0,0.0,2.0,6.171428571428571,2.142857142857143,8.742857142857142,2.057142857142857,4.114285714285714,4.628571428571428,1.125,0.3541666666666667,0.43859649122807015,0.7708333333333334,1.2094298245614035,0.3611111111111111,0.07017543859649122,0.15789473684210525,0.14035087719298245,0.4230769230769231,0.5769230769230769,0.7333333333333333,0.0,221.80701754385964,6.124607762180016,191.0,0.0,S12,DDD
11.666666666666668,46.0,11.0,5.0,5.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.3157252714328516,0.05090000000000006,0.325207024063203,42.0,0.0,0.0,7.0,3.0,0.0,6.0,4.0,10.0,4.0,1.0,12.0,14.0,0.0,2.0,2.0,2.571428571428571,1.2857142857142856,5.657142857142857,0.5142857142857142,2.057142857142857,3.0857142857142854,1.5,0.2619047619047619,0.32608695652173914,0.40476190476190477,0.7308488612836439,0.2857142857142857,0.021739130434782608,0.13043478260869565,0.08695652173913043,0.46153846153846156,0.5384615384615384,0.8571428571428571,0.0,258.6666666666667,2.2674649050371594,78.0,0.0,S12,KEG
11.0,45.0,12.0,8.0,8.0,1.0,0.0,0.0,10.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.8067226890756296,-0.07440000000000008,0.008752782427139318,44.0,0.0,0.0,7.0,1.0,0.0,5.0,3.0,6.0,8.0,0.0,9.0,14.0,4.0,0.0,2.0,4.363636363636363,1.1818181818181819,6.545454545454545,2.1818181818181817,0.5454545454545454,5.454545454545454,10.0,0.2727272727272727,0.28888888888888886,0.5681818181818182,0.8570707070707071,0.26666666666666666,0.08888888888888889,0.2222222222222222,0.022222222222222223,0.391304347826087,0.6086956521739131,0.6428571428571429,1.0,251.20408163265307,4.334997372569626,120.0,1.0,S12,MMN
11.0,47.0,12.0,9.0,9.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.8067226890756296,-0.7978999999999998,-0.08282832640242951,44.0,0.0,0.0,7.0,2.0,1.0,3.0,5.0,11.0,6.0,0.0,8.0,17.0,3.0,1.0,2.0,4.909090909090909,1.3636363636363635,6.545454545454545,1.0909090909090908,1.6363636363636362,3.8181818181818183,2.3333333333333335,0.2727272727272727,0.3191489361702128,0.5,0.8191489361702128,0.2857142857142857,0.0425531914893617,0.14893617021276595,0.06382978723404255,0.32,0.68,0.47058823529411764,0.75,243.07843137254903,3.062270099842354,130.0,0.0,S12,PQD
12.0,48.0,10.0,3.0,3.0,4.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,-3.756302521008404,0.5136,0.5776836401911893,44.0,0.0,0.0,6.0,1.0,0.0,3.0,8.0,13.0,2.0,0.0,12.0,15.0,0.0,1.0,2.0,1.5,1.1666666666666667,5.0,1.5,2.0,4.0,2.0,0.22727272727272727,0.2916666666666667,0.45454545454545453,0.7462121212121212,0.21212121212121213,0.0625,0.16666666666666666,0.08333333333333333,0.4444444444444444,0.5555555555555556,0.8,0.0,256.31632653061223,4.069845857418112,47.0,1.0,S12,SAL
12.0,50.0,10.0,9.0,9.0,4.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.243697478991596,-0.31270000000000003,-0.01389746863837929,46.0,0.0,0.0,2.0,4.0,1.0,5.0,4.0,13.0,6.0,0.0,9.0,19.0,3.0,0.0,2.0,4.5,1.1666666666666667,5.0,1.5,2.0,4.0,2.0,0.21739130434782608,0.28,0.5434782608695652,0.8234782608695652,0.2,0.06,0.16,0.08,0.32142857142857145,0.6785714285714286,0.47368421052631576,1.0,236.56603773584905,4.069845857418112,125.0,0.0,S12,SCR
11.0,45.0,10.0,5.0,5.0,4.0,0.0,0.0,10.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,-1.1932773109243695,0.21759999999999996,0.3087527824271392,41.0,0.0,0.0,3.0,3.0,0.0,10.0,3.0,5.0,3.0,0.0,15.0,8.0,3.0,0.0,2.0,2.727272727272727,1.2727272727272727,5.454545454545454,2.1818181818181817,2.1818181818181817,5.454545454545454,2.5,0.24390243902439024,0.3111111111111111,0.6097560975609756,0.9208672086720867,0.2222222222222222,0.08888888888888889,0.2222222222222222,0.08888888888888889,0.6521739130434783,0.34782608695652173,1.875,1.0,260.1875,5.153179190751445,85.0,1.0,S12,SDV
12.0,55.0,15.0,6.0,6.0,5.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.7563025210084033,0.34130000000000005,0.30714975928769855,50.0,0.0,0.0,7.0,6.0,0.0,8.0,9.0,7.0,5.0,0.0,18.0,12.0,0.0,0.0,2.0,3.0,1.6666666666666667,7.5,1.0,2.5,3.0,1.2,0.3,0.36363636363636365,0.54,0.9036363636363637,0.30952380952380953,0.03636363636363636,0.10909090909090909,0.09090909090909091,0.6,0.4,1.5,0.0,245.78181818181818,3.5698458574181116,104.0,1.0,S12,SEF
12.0,48.0,9.0,3.0,3.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-3.756302521008404,0.4606,0.5776836401911895,44.0,1.0,0.0,3.0,4.0,1.0,8.0,5.0,7.0,5.0,0.0,13.0,12.0,0.0,0.0,2.0,1.5,1.0,4.5,0.5,1.5,5.5,3.6666666666666665,0.20454545454545456,0.25,0.4090909090909091,0.6590909090909092,0.24242424242424243,0.020833333333333332,0.22916666666666666,0.0625,0.52,0.48,1.0833333333333333,0.0,282.875,1.153179190751445,16.0,1.0,S12,WWC
