Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Teams
1001,1,S1,1,3,0,3,9,5,0,8,7,0,1,0,14,3,0,0,15,27,50,10,10,4.0769230769230775,0.5757611141234953,0.1917,TOR @ ATL
1002,1,S1,1,3,0,2,4,2,0,11,11,0,2,0,9,0,0,0,9,20,44,5,5,-0.9230769230769228,0.0555928573517528,-0.2809,MIN (S1-2) @ PHI
1003,1,S1,1,2,1,5,7,3,0,13,15,0,1,0,12,1,0,0,15,28,59,7,7,-2.253205128205128,-0.0269993212317113,-0.9671,HOU @ ARI
1004,1,S1,1,3,0,2,10,5,0,14,8,0,3,0,9,2,0,0,15,26,54,7,7,0.5384615384615387,0.2353604647918365,-0.3642999999999999,PIT @ OAK
1005,1,S1,1,0,1,2,8,3,0,11,15,0,2,0,7,1,0,0,11,15,49,6,6,-0.461538461538461,0.1185535841487177,0.1702999999999999,WSH (S1-2) @ MIL
1006,1,S1,1,0,0,3,8,1,0,17,10,0,2,0,9,1,0,0,11,14,50,2,3,-4.178348806366047,-0.249766074205417,-1.4381000000000002,TEX @ DET
1007,1,S1,2,3,2,0,6,1,0,9,5,0,4,0,14,4,0,0,11,24,44,5,5,-1.4615384615384612,0.001746703505599,-0.2373,DET @ MIN (S1-2)
1008,1,S1,2,4,1,6,13,4,0,9,9,1,2,0,11,5,0,0,24,44,59,13,13,7.484294871794873,0.9467506787682886,0.2688999999999998,WSH (S1-2) @ ARI
1009,1,S1,2,0,1,4,6,7,0,10,12,0,4,0,18,3,0,0,11,17,62,7,7,-6.7198717948717945,-0.4635818595125068,-1.9811,MIL @ ATL
1010,1,S1,2,1,1,5,6,8,0,8,7,0,3,0,13,5,0,0,13,23,52,4,4,-1.515705128205128,0.0232210458679223,-0.4489,HOU @ TEX
1011,1,S1,2,2,1,3,6,0,0,10,8,1,3,0,10,2,0,0,12,23,43,6,6,-0.6564102564102563,0.0788981478897957,-0.0507,PHI @ OAK
1012,1,S1,2,0,0,0,10,6,0,8,9,0,5,0,10,1,0,0,10,10,48,3,3,-2.210576923076923,-0.0597116381337521,-0.4908999999999998,PIT @ TOR
1013,1,S1,3,2,1,2,10,2,0,12,7,1,1,0,12,1,0,0,15,25,49,9,9,3.076923076923077,0.4723997379948715,0.0367,MIL @ DET
1014,1,S1,3,2,0,4,6,2,0,8,13,1,0,0,10,2,0,0,12,22,45,6,6,0.0769230769230771,0.1589542334803765,-0.0423,MIN (S1-2) @ ARI
1015,1,S1,3,2,2,2,5,3,0,6,8,0,1,1,14,3,0,0,11,23,44,5,5,-0.9230769230769224,0.0555928573517528,-0.2519,TOR @ PIT
1016,1,S1,3,1,1,3,8,5,0,11,10,0,1,0,10,3,0,1,13,21,50,5,5,-1.4615384615384617,0.0252763364059652,0.1332999999999999,WSH (S1-2) @ ATL
1017,1,S1,3,1,0,3,5,5,0,14,5,2,5,0,10,2,0,0,9,15,48,4,4,-2.461538461538461,-0.084807791979906,-0.5185,OAK @ HOU
1018,1,S1,3,4,1,4,6,10,0,10,8,0,3,0,9,3,0,0,15,33,55,13,13,7.076923076923077,0.8925679947666141,0.7232999999999999,TEX @ PHI
1019,1,S1,4,2,0,2,4,5,0,14,12,2,1,0,8,1,0,0,8,16,48,3,3,-3.461538461538461,-0.184807791979906,-0.6339000000000001,WSH (S1-2) @ TEX
1020,1,S1,4,0,0,3,6,7,0,8,11,1,0,0,12,4,1,0,9,12,47,3,3,-2.491740324892498,-0.0878279783153096,-0.4662999999999999,DET @ PHI
1021,1,S1,4,2,0,5,7,4,0,7,6,2,0,0,19,4,0,0,14,25,50,7,7,0.538461538461539,0.2219149602773414,0.6605000000000001,ATL @ HOU
1022,1,S1,4,1,0,1,8,7,1,13,12,2,4,0,4,0,1,3,10,14,50,5,5,-1.461538461538461,0.0353604647918365,-0.6876999999999998,OAK @ MIN (S1-2)
1023,1,S1,4,3,0,2,9,1,0,11,13,2,7,0,5,0,0,0,14,25,51,4,4,-2.461538461538461,-0.0747236635940347,-0.3711000000000001,ARI @ TOR
1024,1,S1,4,1,2,1,6,5,0,7,7,0,4,0,13,4,0,1,10,18,46,5,5,-1.4615384615384612,0.0118308318914702,-0.2213,PIT @ MIL
1025,1,S1,5,4,0,1,9,8,0,10,5,1,6,0,10,3,0,0,14,27,53,10,10,3.882376882376883,0.5663906230547472,0.6373000000000001,DET @ MIL
1026,1,S1,5,4,1,2,9,6,0,12,16,1,1,0,9,1,0,0,16,32,60,11,11,4.346794871794872,0.6363620548969122,0.0815,TOR @ TEX
1027,1,S1,5,3,0,4,9,3,0,7,15,3,1,0,8,2,0,0,16,29,50,11,11,5.076923076923077,0.6757611141234954,0.7216999999999997,HOU @ PIT
1028,1,S1,5,1,0,6,7,2,0,13,7,0,1,0,13,2,0,0,14,23,50,3,3,-2.461538461538461,-0.0780850397226584,-0.5111000000000001,ATL @ OAK
1029,1,S1,5,6,1,7,5,3,2,10,9,0,2,0,17,3,0,1,19,46,60,14,13,3.746794871794872,0.5797234310255361,-0.1441,PHI @ WSH (S1-2)
