ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
1,2060,2,S2,6,WSH,WSH (S1-2),COL,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,-0.6045002163565556,-0.048831979754303124,-0.1318,Home
1,2101,2,S2,10,WSH,WSH (S1-2),TBR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.3588807785888078,-0.028142716604645825,-0.06659999999999999,Home
1,2111,2,S2,11,MIN,MIN (S1-2),TEX,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,0.22369361624256334,0.03011472287849129,-0.0155,Home
1,2122,2,S2,12,SFG,SFG,TBR,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,-1.244792908834945,-0.11286124900214209,-0.1377,Away
1,2133,2,S2,13,SFG,SFG,BOS,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,3,1,1,0.5390240276594267,0.0655204446472951,0.059000000000000004,Away
1,2148,2,S2,14,SFG,SFG,SDP,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,-0.2598477712874472,-0.014366735247392296,0.029199999999999997,Home
1,2156,2,S2,15,SFG,SFG,LAD,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.7152002213261732,0.08313806401396975,0.057199999999999994,Home
1,2162,2,S2,16,SFG,SFG,ARI,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,1,1,0.4204892111842756,0.053666962999779994,0.0529,Away
1,2172,2,S2,17,SFG,SFG,COL,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,-1.026884100715831,-0.09107036819023065,-0.13299999999999998,Away
1,2182,2,S2,18,SFG,SFG,OAK,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,3,1,1,0.17478982049534192,0.029097023930886617,0.026500000000000013,Home
1,3004,3,S3,1,ARI,ARI,TEX,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,1,-0.005387926598505038,0.011135533036815972,-0.08170000000000001,Away
1,3023,3,S3,2,ARI,ARI,KCR,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0.13255225951541905,0.024929551648208377,0.011700000000000002,Home
1,3047,3,S3,4,ARI,ARI,SFG,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0.19573631254697013,0.031247956951363502,0.009099999999999997,Away
1,3093,3,S3,8,ARI,ARI,HOU,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,1,0.653764581124072,0.07315934191018486,0.0949,Away
1,3128,3,S3,11,ARI,ARI,OAK,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,1,-0.7851909755931519,-0.06684477186264871,-0.09639999999999999,Away
1,3137,3,S3,12,ARI,ARI,SDP,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,-0.028848939274516594,0.00489798987032599,-0.07249999999999998,Home
1,3157,3,S3,14,ARI,ARI,CLE,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,0,0,-0.11133987963256262,0.0005403377334102129,-0.016,Home
1,3180,3,S3,15,ARI,ARI,TOR,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3,0,0,0.059544467550830205,0.0176287724517495,-0.00910000000000001,Away
1,4016,4,S4,2,DET,DET,NYY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.2249173300368984,-0.018790188306799144,-0.034,Home
1,4035,4,S4,3,DET,DET,SEA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,-0.7088637857868627,-0.06348328918490488,-0.091,Away
1,4050,4,S4,4,DET,DET,TEX,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,1,-1.1306863966009815,-0.09826246087253539,-0.0696,Away
1,4062,4,S4,5,DET,DET,TOR,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,-0.537500111493852,-0.046346921755603815,-0.0477,Home
1,4094,4,S4,7,DET,DET,KCR,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,4,1,0,0.5358894006791316,0.06839511885547594,0.013100000000000014,Away
1,4126,4,S4,9,DET,DET,ANA,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,-0.7161580408142229,-0.0605111699907502,-0.0631,Away
1,4138,4,S4,10,DET,DET,TBR,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,1,4,1,1,-0.9101509473598339,-0.07250737125152991,-0.09140000000000001,Home
1,4155,4,S4,11,DET,DET,MIN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,1,0.7750826699631016,0.08491135639009156,0.052499999999999984,Home
1,4169,4,S4,12,DET,DET,KCR,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.29191514697550247,-0.02548997000065955,-0.0291,Home
1,4200,4,S4,14,DET,DET,CWS,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0002108170237522522,0.011125715793047306,0.030099999999999995,Away
1,4215,4,S4,15,DET,DET,ANA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0.40655131629033603,0.048058221022815,0.060099999999999994,Home
1,4231,4,S4,16,DET,DET,PHI,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,5,4,2,1,2.554609266504512,0.27026710543801397,0.3374,Away
1,5018,5,S5,2,SEA,SEA,BOS,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,-0.4332029664361239,-0.03557150946272698,-0.0326,Away
1,5213,5,S5,15,TBR,TBR,MIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.4341216216216216,-0.03953776857171946,-0.008199999999999999,Away
1,10014,10,S10,1,STL,STL,CIN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.2282316056416313,-0.01911649188536111,-0.0137,Home
1,10028,10,S10,2,STL,STL,NYM,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,5,3,1,1,1.3379089047351949,0.1486175651887276,0.08230000000000001,Home
1,10042,10,S10,3,STL,STL,PIT,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,-0.5543522807216344,-0.04802189071455941,-0.0781,Away
1,10059,10,S10,4,STL,STL,SDP,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,3,1,3,2.920022086414683,0.30312221467787426,0.0162,Home
1,10064,10,S10,5,STL,STL,CHC,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0.36505192178823764,0.047625198215229814,0.10690000000000001,Away
1,10088,10,S10,6,STL,STL,LAD,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,0,0,0.287646772736747,0.039884683310080764,0.1399,Home
1,10098,10,S10,7,STL,STL,MIL,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,3,3,1,0,0.5299898609970803,0.06411899213611408,0.0653,Away
1,10121,10,S10,9,STL,STL,ATL,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6,3,2,1,1.252534836766442,0.1363734897130503,0.08860000000000001,Away
1,10149,10,S10,10,STL,STL,CHC,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,-0.7825838863632658,-0.06713838259992053,-0.07200000000000001,Home
1,10172,10,S10,12,STL,STL,FLA,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,-0.6304087828188085,-0.05192087224547479,-0.0486,Away
1,10193,10,S10,13,STL,STL,TOR,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4,4,1,3,1.2264150943396226,0.13746818414917034,-0.004800000000000013,Home
1,10196,10,S10,14,STL,STL,ARI,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,-0.8452580055302827,-0.07340579451662221,-0.1365,Away
1,10223,10,S10,15,STL,STL,PIT,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,0,1,0.31651368644224376,0.04277137468063044,0.1934,Home
1,11013,11,S11,1,STL,STL,PHI,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,-0.4101669806643932,-0.033771975518825846,-0.028699999999999996,Home
1,11042,11,S11,3,STL,STL,SFG,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,4,1,1,0.6111855410212803,0.07560799919735496,-0.023400000000000004,Away
1,11052,11,S11,4,STL,STL,MIL,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0.23243839882252448,0.03411092370367266,0.0748,Away
1,11090,11,S11,6,STL,STL,CHC,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,3,1,1,0.6059124661165406,0.07145833043307426,0.0266,Home
1,11104,11,S11,7,STL,STL,CIN,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0.12754056164849692,0.019998778712463174,0.00030000000000000165,Home
1,11148,11,S11,10,STL,STL,MIN,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,-0.6816311469799485,-0.06091839215038138,-0.035500000000000004,Home
1,11178,11,S11,12,STL,STL,PIT,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1.566815094737129,0.16754859329513314,0.05059999999999999,Away
1,11192,11,S11,13,STL,STL,SDP,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,2,0.9588085937491607,0.10312558192252955,0.14950000000000002,Away
1,11208,11,S11,14,STL,STL,NYM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2997893330592951,0.03360129457973625,0.038900000000000004,Home
1,12013,12,S12,1,STL,STL,PHI,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,4,1,1,1.1248406348873932,0.1278280628834899,0.050100000000000006,Away
1,12028,12,S12,2,STL,STL,LAD,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,-0.4677127614745601,-0.03526327660139304,-0.017100000000000004,Home
