G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
10.0,28.0,24.0,4.0,5.0,1.0,1.0,0.0,2.0,11.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,0.16666666666666666,0.25,0.4583333333333333,0.7083333333333333,0.29166666666666663,0.125,,0.07142857142857142,0.25,0.10714285714285714,0.21428571428571427,0.7857142857142857,0.2727272727272727,248.64285714285714,0.25,0.4583333333333333,-1.7405873269888361,-0.2597999999999999,3.0,11.0,BP,S2,1.0,False,3TM,SFG,18,-0.07875796774756233
2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,1.0,0.0,300.4,0.0,0.0,-1.0482719901960473,-0.1984,0.0,3.0,BP,S2,1.0,True,WSH,WSH,10,-0.08780920527829736
1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,191.0,0.5,1.0,0.17515159255580948,-0.0155,0.0,0.0,BP,S2,1.0,True,MIN,MIN,11,0.024322356752103896
7.0,21.0,17.0,3.0,4.0,1.0,0.0,0.0,2.0,9.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.17647058823529413,0.2857142857142857,0.5294117647058824,0.8151260504201681,0.3529411764705882,0.08333333333333333,,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.2727272727272727,0.7272727272727273,0.375,241.8095238095238,0.2857142857142857,0.5294117647058824,-0.8674669293485981,-0.04589999999999994,3.0,8.0,BP,S2,1.0,True,SFG,SFG,18,-0.015271119221368857
1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,76.5,1.0,1.0,1.3148760045131134,0.0678,0.0,0.0,BC,S2,2.0,False,CLE,CLE,13,0.13829479794783428
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,1.0,0.0,,287.5,0.5,0.0,-0.45281385311161804,-0.0557,1.0,0.0,BC,S2,3.0,False,ARI,ARI,6,-0.038474187814638856
9.0,20.0,20.0,6.0,4.0,3.0,0.0,0.0,3.0,15.0,8.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.3,0.3,0.75,1.05,0.45,0.3,0.5,0.15,0.35,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,254.4090909090909,0.3,0.75,-0.25146078102940816,-0.3357,4.0,3.0,,S2,4.0,False,MIN,MIN,11,0.04292589686228867
11.0,26.0,25.0,6.0,2.0,3.0,2.0,0.0,1.0,11.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,0.24,0.2692307692307692,0.44,0.7092307692307692,0.2,0.29411764705882354,,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.4166666666666667,0.5833333333333334,0.7142857142857143,254.96153846153845,0.2692307692307692,0.44,-0.9143409617203642,-0.19979999999999998,5.0,7.0,BP,S2,5.0,False,MTL,MTL,18,-0.0029405287172380888
9.0,19.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.11764705882352941,0.21052631578947367,0.11764705882352941,0.3281733746130031,0.0,0.2,,0.0,0.3684210526315789,0.10526315789473684,0.5,0.5,1.0,298.57894736842104,0.21052631578947367,0.11764705882352941,-5.140825016450477,-0.24439999999999995,4.0,4.0,BC,S2,6.0,False,2TM,ARI,17,-0.4494141254280796
4.0,9.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.125,0.2222222222222222,0.125,0.3472222222222222,0.0,0.3333333333333333,,0.0,0.5555555555555556,0.1111111111111111,0.5,0.5,1.0,286.55555555555554,0.2222222222222222,0.125,-2.5631782804840495,-0.060700000000000004,1.0,1.0,BC,S2,6.0,True,CLE,CLE,8,-0.22568543931405166
5.0,10.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.14285714285714285,,0.0,0.2,0.1,0.5,0.5,1.0,309.4,0.2,0.1111111111111111,-2.577646735966426,-0.18369999999999997,3.0,3.0,BC,S2,6.0,True,ARI,ARI,17,-0.22372868611402788
14.0,25.0,25.0,10.0,3.0,7.0,2.0,0.0,1.0,15.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.4,0.4,0.6,1.0,0.19999999999999996,0.5,1.0,0.04,0.24,0.0,0.3333333333333333,0.6666666666666666,0.5,237.56,0.4,0.6,1.2262749392149224,0.012699999999999951,3.0,6.0,BN,S2,8.0,False,ARI,ARI,17,0.2077174626280291
14.0,27.0,27.0,4.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.37037037037037035,0.07407407407407407,0.2222222222222222,,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,313.4074074074074,0.14814814814814814,0.2222222222222222,-7.572424250886567,-1.2762000000000002,7.0,7.0,BP,S2,14.0,False,ARI,ARI,18,-0.6653452588855969
14.0,37.0,33.0,12.0,7.0,8.0,1.0,0.0,3.0,22.0,9.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,8.0,1.0,0.0,0.36363636363636365,0.3783783783783784,0.6666666666666666,1.045045045045045,0.303030303030303,0.36,0.0,0.08108108108108109,0.1891891891891892,0.05405405405405406,0.3125,0.6875,0.45454545454545453,226.57894736842104,0.3783783783783784,0.6666666666666666,0.4262818301207931,-0.5054,5.0,11.0,BP,S2,15.0,False,ARI,ARI,18,0.16856133669775386
