ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB 2B,SB 3B,SB Home,CS 2B,CS 3B,CS Home,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,2,S2,MIN,MIN (S1-2),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,2,2,2,2,{2111},1,1,0,382.0,2,0.22369361624256334,-0.015799999999999995,0.03011472287849129,0,0,SFG,11,1,2,0,0,0,2,2.0,0.0567139282735613,0.0,2495,830,9421,8478.276063386154,4466,0.35293493259738884,0.5267580303602801,0.5,0.0,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,0.5,1.0,191.0,Thomas Nova,BP,,Left,C,231.5096580059124
1,2,S2,SFG,SFG,2,0,0,1,3,0,7,4,0,1,2,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1.0,4.0,3,21,17,9,12,"{2148, 2182, 2122, 2156, 2162, 2133, 2172}",7,4,4,5078.0,21,-0.6820215001730057,0.10200000000000002,0.013124143152166423,0,0,SFG,18,3,9,3,7,0,21,17.603002502085072,0.0567139282735613,0.3969974979149291,2495,830,9421,8478.276063386154,4466,0.35293493259738884,0.5267580303602801,0.17647058823529413,0.25,0.2857142857142857,0.5294117647058824,0.8151260504201681,0.3529411764705882,0.08333333333333333,,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.2727272727272727,0.6363636363636364,0.42857142857142855,0.2857142857142857,0.5112764142897753,241.8095238095238,Thomas Nova,BP,,Left,C,78.01477559964142
1,2,S2,WSH,WSH (S1-2),0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,5,0,0,"{2060, 2101}",2,0,0,1502.0,5,-0.9633809949453633,-0.1804,-0.07697469635894895,0,0,SFG,10,0,0,0,2,0,5,4.886572143452877,0.0567139282735613,0.1134278565471226,2495,830,9421,8478.276063386154,4466,0.35293493259738884,0.5267580303602801,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,300.4,Thomas Nova,BP,,Left,C,-100.0
1,3,S3,ARI,ARI,1,0,2,2,2,0,3,5,0,2,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.0,7.0,5,21,19,10,12,"{3137, 3047, 3180, 3023, 3093, 3157, 3128, 3004}",8,1,4,6168.0,22,0.11082989963855538,0.15769999999999995,0.09669471173940969,0,0,ARI,15,5,10,2,3,0,21,18.851510067114095,0.04949664429530201,0.14848993288590603,2105,910,9214,8223.221476510067,4313,0.3272194486650749,0.524490312260255,0.2631578947368421,0.14285714285714285,0.3333333333333333,0.5263157894736842,0.8596491228070176,0.2631578947368421,0.3076923076923077,0.0,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.5304614836900894,280.3636363636364,Thomas Nova,BP,,Left,C,103.00690685277533
1,4,S4,DET,DET,1,0,2,4,6,0,3,11,1,1,1,3,0,1,0,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.0,7.0,7,32,25,12,19,"{4035, 4231, 4200, 4169, 4138, 4016, 4050, 4062, 4126, 4215, 4155, 4094}",12,6,4,7675.0,32,-0.24784828860732078,-0.036400000000000016,0.09736614613666086,0,0,DET,16,7,12,6,3,0,32,25.83501352348168,0.05499549217277273,0.1649864765183182,2682,1209,11823,10481.16941234325,5401,0.3291042882517128,0.5153050950249368,0.28,0.14285714285714285,0.40625,0.48,0.88625,0.19999999999999996,0.42857142857142855,1.0,0.03125,0.34375,0.1875,0.5,0.375,1.3333333333333333,0.40625,0.4644859190452171,239.84375,Thomas Nova,BP,,Left,C,113.57915534556699
1,5,S5,SEA,SEA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,{5018},1,0,0,478.0,2,-0.4332029664361239,-0.0326,-0.03557150946272698,0,0,TBR,2,0,0,1,0,0,2,1.0,0.06155430563257546,0.0,2885,1213,12143,10789.151707201141,5957,0.3374783826072634,0.5521286716196644,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,239.0,Thomas Nova,BP,EG-H,Left,P,48.15763787213277
1,5,S5,TBR,TBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1,1,0,0,{5213},1,0,0,331.0,1,-0.4341216216216216,-0.008199999999999999,-0.03953776857171946,0,0,TBR,15,0,0,0,0,0,1,1.0,0.06155430563257546,0.0,2885,1213,12143,10789.151707201141,5957,0.3374783826072634,0.5521286716196644,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,331.0,Thomas Nova,BP,EG-H,Left,P,-100.0
1,10,S10,STL,STL,3,2,4,2,1,0,9,8,0,5,0,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2,0,1,0,2.0,6.0,11,36,35,28,31,"{10149, 10088, 10121, 10059, 10028, 10223, 10064, 10193, 10098, 10196, 10042, 10172, 10014}",13,7,9,8624.0,38,5.195248603144628,0.3389,0.6603782701089396,0,0,STL,15,11,28,3,7,0,36,32.64033993450803,0.05138000935599563,0.35966006549196944,3018,1130,12383,11138.481599875253,5999,0.33497536945812806,0.5385832841046473,0.3142857142857143,0.3333333333333333,0.3333333333333333,0.8,1.1333333333333333,0.48571428571428577,0.3333333333333333,1.0,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.125,0.5625,0.2222222222222222,0.3888888888888889,0.8578342032031914,226.94736842105263,Thomas Nova,TT,,Left,C,175.37082538622738
1,11,S11,STL,STL,2,1,0,1,5,0,3,4,0,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,6.0,4,22,17,12,17,"{11104, 11042, 11013, 11208, 11178, 11052, 11148, 11090, 11192}",9,5,4,5210.0,22,3.3106918615100858,0.2531,0.41076113417475674,0,1,STL,14,4,13,5,3,0,22,16.84678826328311,0.05107057890563045,0.15321173671689137,2989,1162,12248,10978.633148295005,5942,0.33891247550620507,0.5412331316419658,0.23529411764705882,0.16666666666666666,0.4090909090909091,0.7058823529411765,1.1149732620320856,0.4705882352941177,0.18181818181818182,,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.4090909090909091,0.7716604373982056,236.8181818181818,Thomas Nova,TT,,Left,C,163.28145016920797
1,12,S12,STL,STL,2,0,1,3,6,0,2,7,1,2,4,3,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,7.0,6,30,24,13,19,"{12032, 12194, 12101, 12134, 12167, 12074, 12013, 12141, 12111, 12205, 12238, 12028, 12223}",13,4,5,7402.0,29,-0.267210238751165,1.0322999999999998,0.08811016143552355,0,0,STL,16,6,14,6,1,0,30,23.94286623696984,0.05713376303015835,0.05713376303015835,3008,1150,12216,10947.789607702713,5883,0.34037328094302555,0.5373687484696275,0.25,0.14285714285714285,0.4,0.5416666666666666,0.9416666666666667,0.29166666666666663,0.26666666666666666,,0.06666666666666667,0.23333333333333334,0.2,0.6363636363636364,0.18181818181818182,3.5,0.4,0.5847253148991326,255.24137931034483,Thomas Nova,TT,NH-S,Left,C,126.33071346251174
