Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Teams
1001,1,S1,1,3,0,3,9,5,0,0,8,7,1,0,14,3,0,0,15,50,11.0,10,4.0769230769230775,-0.172859850670056,-0.1917,20,12,TOR @ ATL
1002,1,S1,1,3,0,2,4,2,0,0,11,11,2,0,9,0,0,0,9,44,11.0,5,-0.9230769230769228,0.2989602544872737,0.2809,19,6,MIN (S1-2) @ PHI
1003,1,S1,1,2,1,5,7,3,0,0,13,15,1,0,12,1,0,0,15,59,14.0,7,-2.253205128205128,0.5024228121067698,0.9671,28,14,HOU @ ARI
1004,1,S1,1,3,0,2,10,5,0,0,14,8,3,0,9,2,0,0,15,54,12.0,7,0.5384615384615387,0.1997728997378779,0.3642999999999999,20,10,PIT @ OAK
1005,1,S1,1,0,1,2,8,3,0,0,11,15,2,0,7,1,0,0,11,49,12.0,6,-0.461538461538461,0.2762896540356527,-0.1702999999999999,22,11,WSH (S1-2) @ MIL
1006,1,S1,1,0,0,3,8,1,0,0,17,10,2,0,9,1,0,0,11,50,13.0,2,-4.178348806366047,0.6526673376588564,1.4381000000000002,20,9,TEX @ DET
1007,1,S1,2,3,2,0,6,1,0,0,9,5,4,0,14,4,0,0,11,44,12.0,5,-1.4615384615384612,0.3528064083334276,0.2373,22,11,DET @ MIN (S1-2)
1008,1,S1,2,4,1,6,13,4,0,0,9,9,2,0,11,5,0,0,24,59,12.0,13,7.484294871794873,-0.4713271878932302,-0.2688999999999998,17,12,WSH (S1-2) @ ARI
1009,1,S1,2,0,1,4,6,7,0,0,10,12,4,0,18,3,0,0,11,62,15.666666666666666,7,-6.7198717948717945,0.9631794261947716,1.9811,31,19,MIL @ ATL
1010,1,S1,2,1,1,5,6,8,0,0,8,7,3,0,13,5,0,0,13,52,12.0,4,-1.515705128205128,0.3957962681236546,0.4489,20,13,HOU @ TEX
1011,1,S1,2,2,1,3,6,0,0,0,10,8,3,0,10,2,0,0,12,43,11.0,6,-0.6564102564102563,0.267596938680162,0.0507,19,9,PHI @ OAK
1012,1,S1,2,0,0,0,10,6,0,0,8,9,5,0,10,1,0,0,10,48,11.0,3,-2.210576923076923,0.4464968510490539,0.4908999999999998,20,10,PIT @ TOR
1013,1,S1,3,2,1,2,10,2,0,0,12,7,1,0,12,1,0,0,15,49,11.0,9,3.076923076923077,-0.077556499810501,-0.0367,16,10,MIL @ DET
1014,1,S1,3,2,0,4,6,2,0,0,8,13,0,0,10,2,0,0,12,45,11.0,6,0.0769230769230771,0.2036569036277188,0.0423,21,9,MIN (S1-2) @ ARI
1015,1,S1,3,2,2,2,5,3,0,0,6,8,1,1,14,3,0,0,11,44,11.0,5,-0.9230769230769224,0.2989602544872736,0.2519,22,10,TOR @ PIT
1016,1,S1,3,1,1,3,8,5,0,0,11,10,1,0,10,3,0,1,13,50,12.0,5,-1.4615384615384617,0.3856829523165428,-0.1332999999999999,16,9,WSH (S1-2) @ ATL
1017,1,S1,3,1,0,3,5,5,0,0,14,5,5,0,10,2,0,0,9,48,12.0,4,-2.461538461538461,0.4715930048952077,0.5185,17,11,OAK @ HOU
