ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
1,5007,5,S5,1,SEA,SEA,CLE,0,0,1,0,2,0,0,2,0,0,7,3,0,0,0,1,15,4.0,0,-2.5750670241286864,0.317169285629321,0.31149999999999994,8,2,Away
1,5018,5,S5,2,SEA,SEA,BOS,0,0,2,0,2,0,0,3,1,1,2,1,1,0,0,2,12,3.0,1,-0.9313002680965148,0.14086009338281336,-0.008699999999999989,4,1,Away
1,5036,5,S5,3,SEA,SEA,KCR,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,2,8,2.0,0,-0.8759567296469473,0.11941571734680263,0.1679,2,0,Home
1,5051,5,S5,4,SEA,SEA,OAK,0,0,5,0,1,0,0,1,4,0,0,3,0,1,0,5,14,2.6666666666666665,4,1.502821353525107,-0.09061955213605835,-0.2071,3,3,Away
1,5082,5,S5,6,SEA,SEA,CLE,0,1,4,5,0,0,0,2,5,0,7,0,0,0,1,10,24,5.0,6,2.7811662198391423,-0.178678983289827,-0.30630000000000007,8,1,Home
1,5116,5,S5,8,SEA,SEA,FLA,2,0,0,1,1,0,0,2,1,0,5,3,1,0,1,3,15,4.333333333333333,2,-0.8373022486293265,0.14737031362714847,0.1285,9,3,Home
1,5128,5,S5,9,SEA,SEA,TEX,1,1,0,2,0,0,0,0,1,0,1,0,1,0,0,4,6,1.0,2,1.3562332439678284,-0.11175829111020193,-0.3975000000000001,1,0,Home
1,5138,5,S5,10,TBR,TBR,BOS,0,0,4,2,1,0,0,3,2,1,4,5,0,1,0,6,22,5.0,3,-0.21883378016085797,0.11336600561464606,-0.13730000000000003,9,5,Away
1,5166,5,S5,12,TBR,TBR,NYY,0,3,2,4,2,0,0,2,3,0,3,2,0,2,2,9,22,4.333333333333333,3,0.6203819061136518,0.041376953630485575,-0.20489999999999997,7,2,Home
1,5197,5,S5,14,TBR,TBR,PHI,0,1,2,7,0,0,0,0,2,0,1,8,3,0,1,10,21,5.0,4,0.781166219839142,0.009388500066882549,-0.22030000000000005,10,9,Away
1,5228,5,S5,16,TBR,TBR,TOR,1,0,1,1,2,0,0,3,5,1,4,3,1,1,1,3,21,6.0,2,-1.8626005361930296,0.27774268121786316,0.3448,9,4,Home
1,6041,6,S6,3,TBR,TBR,CLE,0,1,4,0,0,0,0,8,2,2,3,3,0,0,0,5,23,6.0,1,-2.4271186440677965,0.33891380715063896,0.4842,10,4,Home
1,6080,6,S6,6,TBR,TBR,NYY,1,0,2,1,1,0,0,5,4,5,2,2,0,0,0,4,23,6.0,1,-2.4271186440677965,0.3389138071506389,0.2874,12,5,Home
1,6097,6,S6,7,TBR,TBR,BOS,0,1,1,1,0,0,0,1,0,1,0,2,0,1,1,3,7,1.6666666666666667,1,0.3288135593220338,0.004762882532785034,-0.04469999999999999,4,2,Away
1,6127,6,S6,9,TBR,TBR,SEA,1,0,1,4,1,0,0,1,2,2,2,1,1,1,0,6,15,3.0,4,2.2864406779661017,-0.16172097719218634,-0.35109999999999997,6,3,Away
1,6172,6,S6,12,TBR,TBR,BAL,1,1,1,4,2,0,0,3,2,3,2,3,0,3,2,7,22,5.0,3,1.1440677966101696,-0.0014740642660517056,-0.18569999999999995,11,5,Away
1,6191,6,S6,13,TBR,TBR,TEX,1,0,0,2,0,0,0,1,2,1,1,1,1,0,0,3,9,2.3333333333333335,1,-1.0090395480225989,0.1385481932672483,0.012400000000000015,4,2,Home
1,6203,6,S6,14,TBR,TBR,CWS,1,0,1,0,2,0,1,3,4,0,3,4,1,0,0,2,18,5.0,1,-1.8559322033898304,0.2608816972689599,0.1318,10,5,Away
1,8228,8,S8,16,TBR,TBR,TOR,0,0,3,0,0,0,0,4,2,1,2,0,0,0,0,3,12,3.0,1,-0.9470724445914654,0.14205752506174413,0.09919999999999998,4,0,Home
1,9025,9,S9,2,TBR,TBR,ANA,1,0,2,0,0,0,0,4,0,2,6,3,0,0,0,3,18,5.0,2,-1.2408595253367545,0.19774312458383464,-0.048699999999999986,11,5,Away
1,9070,9,S9,5,TBR,TBR,NYY,1,0,3,0,0,0,0,2,3,1,3,1,1,0,0,4,14,3.6666666666666665,1,-1.7812231896464206,0.23541123055921034,0.44110000000000005,4,0,Away
1,9114,9,S9,8,TBR,TBR,BOS,0,1,1,2,2,0,0,3,2,1,3,3,0,0,0,4,18,4.0,2,-0.2278912256249388,0.09644629461265311,-0.0782,8,3,Home
1,9159,9,S9,11,TBR,TBR,HOU,1,0,3,1,1,0,0,1,1,1,5,0,0,0,0,5,14,2.6666666666666665,5,3.231745110065395,-0.2658855994119712,-0.24309999999999998,6,1,Away
1,9174,9,S9,12,TBR,TBR,NYY,1,0,1,0,0,0,0,1,0,0,3,0,1,0,0,2,6,1.6666666666666667,2,0.3272666914238771,-0.008174278459001337,-0.36150000000000004,3,0,Home
1,9205,9,S9,14,TBR,TBR,BOS,0,1,1,7,1,0,0,1,1,1,3,0,1,0,0,9,16,2.3333333333333335,6,5.080045688306719,-0.4425315270083082,-0.3154,5,0,Away
1,9237,9,S9,16,TBR,TBR,CWS,0,0,1,1,0,0,0,2,0,0,1,2,1,0,0,2,7,2.0,0,-1.2963438101347018,0.15827883681075433,0.127,3,2,Away
2,2162,2,S2,16,ARI,ARI,SFG,1,0,0,1,1,0,0,6,3,0,3,2,0,1,0,2,17,4.666666666666667,1,-1.7065501615373793,0.24863955614810446,0.16809999999999997,8,4,Home
2,2178,2,S2,17,ARI,ARI,LAD,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0.6666666666666666,0,-0.3588807785888078,0.0488855011912752,0.2352,0,0,Home
2,2191,2,S2,18,ARI,ARI,COL,0,1,0,3,0,0,0,4,3,0,1,1,0,0,0,4,13,3.0,2,0.1864993509303331,0.03767223268067586,-0.016900000000000012,4,1,Home
2,3004,3,S3,1,ARI,ARI,TEX,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,1,7,2.0,0,-1.051948051948052,0.1362349868893629,0.2411,4,2,Away
2,3023,3,S3,2,ARI,ARI,KCR,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,3,7,1.0,4,3.474025974025974,-0.3163624157080397,-0.18460000000000001,3,0,Home
2,3050,3,S3,5,ARI,ARI,CLE,1,1,1,1,0,0,0,3,9,1,1,1,0,0,0,4,19,5.0,2,-0.6298701298701299,0.1472389347293839,0.06340000000000001,9,2,Away
2,3082,3,S3,7,ARI,ARI,BOS,1,0,2,1,2,0,1,5,4,0,2,5,1,1,0,4,22,5.666666666666667,1,-1.9991277379337082,0.30190194221834615,0.15080000000000005,11,7,Away
2,3097,3,S3,9,ARI,ARI,NYY,0,1,0,3,3,0,0,4,1,1,1,2,1,1,1,4,16,3.6666666666666665,3,1.5431627196333078,-0.07449866189161095,-0.11609999999999997,6,5,Home
2,3128,3,S3,11,ARI,ARI,OAK,0,0,2,0,5,0,1,4,3,1,2,2,2,0,0,2,19,4.666666666666667,3,-1.97362012987013,0.2816139347293839,0.30999999999999994,8,4,Away
2,3155,3,S3,13,ARI,ARI,DET,1,0,2,2,4,0,0,4,6,0,2,1,2,0,0,5,22,5.0,2,-0.6298701298701301,0.16054186974133722,-0.011999999999999966,7,2,Away
2,3185,3,S3,16,ARI,ARI,TEX,0,1,2,0,2,0,0,3,5,2,0,1,0,0,0,3,16,3.6666666666666665,2,0.3107380424453594,0.03987518248588165,-0.03230000000000002,8,3,Home
2,4007,4,S4,1,OAK,OAK,CLE,0,0,0,2,1,0,0,0,2,0,1,2,1,0,0,2,8,2.0,0,-1.1125511596180082,0.14660933427179532,0.1837,4,3,Home
2,4018,4,S4,2,OAK,OAK,BOS,1,0,0,5,1,0,0,4,7,0,3,0,0,0,0,6,21,4.666666666666667,3,0.3719303311862867,0.055611789945106904,-0.26970000000000005,9,3,Away
2,4034,4,S4,3,OAK,OAK,KCR,1,0,3,1,0,0,0,3,1,0,0,1,0,1,0,5,10,1.6666666666666667,4,2.953019219619008,-0.24668987178565838,-0.33820000000000006,2,1,Home
2,4051,4,S4,4,OAK,OAK,CWS,2,0,1,1,2,0,0,2,4,1,2,3,1,0,0,4,18,4.333333333333333,2,0.8987904700946623,-0.010332055811978609,-0.18289999999999998,8,5,Home
2,4065,4,S4,5,OAK,OAK,BAL,0,0,1,1,1,0,0,4,4,0,3,3,1,1,0,2,17,5.0,1,-1.7813778990450206,0.25768478110198967,0.16410000000000005,9,6,Away
2,4084,4,S4,6,OAK,OAK,SEA,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,4,1.0,0,-1.0314285714285714,0.12081996629785438,0.38130000000000003,2,1,Home
2,4098,4,S4,7,OAK,OAK,PIT,1,0,0,3,2,0,0,6,6,1,3,1,1,0,0,4,23,6.0,1,-2.3376534788540244,0.33540872552663664,0.30579999999999996,13,5,Away
2,4112,4,S4,8,OAK,OAK,HOU,0,0,1,2,2,1,0,2,1,0,2,2,0,1,0,3,12,2.3333333333333335,0,0.6507124029684525,-0.007620635543104187,-0.030016000000000008,5,3,Away
2,4128,4,S4,9,OAK,OAK,TEX,2,0,1,4,1,0,0,4,2,0,0,0,0,0,0,7,14,2.0,4,2.362601832001559,-0.17439030115766554,-0.30629999999999996,2,1,Away
2,4142,4,S4,10,OAK,OAK,MIN,1,0,0,1,1,1,0,2,0,0,2,1,0,0,0,2,9,2.0,2,1.4122958487624246,-0.10145608927749865,-0.3237,4,3,Home
2,4181,4,S4,13,OAK,OAK,NYY,1,0,1,0,1,0,0,0,1,0,1,3,0,0,0,2,8,1.6666666666666667,2,1.2672938016223017,-0.09137516185223568,-0.14079999999999995,5,4,Away
2,4203,4,S4,14,OAK,OAK,HOU,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.6666666666666666,0,-0.3313582497721057,0.041974379554709194,0.0012,2,2,Home
3,1008,1,S1,2,ARI,ARI,WSH (S1-2),3,1,1,4,3,0,0,6,4,1,0,3,1,0,0,9,26,5.0,8,5.307692307692308,-0.40865635311765985,-0.3863,6,3,Home
3,1014,1,S1,3,ARI,ARI,MIN (S1-2),0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1.0,0,-0.5384615384615384,0.06793610126748895,0.0944,2,1,Home
3,1032,1,S1,6,ARI,ARI,DET,1,0,0,3,2,0,0,5,4,0,0,4,2,0,0,4,19,5.0,1,-1.8638915432393692,0.27562548799239256,0.06470000000000001,7,3,Away
3,1040,1,S1,7,ARI,ARI,MIL,1,0,0,0,0,0,0,2,1,3,0,3,0,0,0,1,10,3.0,1,-0.6153846153846152,0.10850495294291186,0.016799999999999992,7,3,Home
3,2008,2,S2,1,ARI,ARI,COL,1,0,0,3,4,0,0,3,2,1,1,0,1,0,0,4,15,2.6666666666666665,4,1.9628057346877699,-0.1312934568068049,-0.06169999999999999,4,1,Away
3,2015,2,S2,2,ARI,ARI,LAD,0,0,3,2,0,0,0,6,6,1,3,1,1,0,0,5,22,6.0,1,-2.6270012981393336,0.3580145675848258,0.29319999999999996,10,4,Home
3,2028,2,S2,3,ARI,ARI,SFG,2,0,1,3,1,0,0,5,2,0,2,1,0,1,0,6,17,3.3333333333333335,4,1.8705484306849345,-0.10907030307412688,-0.013200000000000002,4,1,Away
3,2036,2,S2,4,ARI,ARI,STL,1,0,0,5,3,0,0,5,5,0,4,4,1,0,1,6,28,7.0,2,-1.9303720846561878,0.31867896734543155,0.4039,13,7,Home
3,2054,2,S2,5,ARI,ARI,PIT,1,1,1,5,1,0,0,2,5,0,0,3,1,1,0,8,19,3.6666666666666665,6,3.7240405335744913,-0.28575456447481956,-0.3849000000000001,5,3,Away
3,2065,2,S2,6,ARI,ARI,PHI,0,0,2,3,1,0,0,3,2,1,0,0,0,0,0,5,12,2.0,3,2.0921289971265904,-0.15722320638308135,-0.1579,3,0,Home
3,2071,2,S2,7,ARI,ARI,WSH (S1-2),1,0,1,1,1,0,0,0,5,0,2,3,1,0,1,3,14,4.0,1,-1.4180008654262224,0.20678720320459437,0.17520000000000002,9,6,Away
3,2083,2,S2,8,ARI,ARI,SDP,0,0,0,1,0,0,0,6,2,0,1,0,0,0,0,1,10,3.0,0,-1.5123712192299652,0.19456186636431128,0.2294,3,1,Home
3,2093,2,S2,9,ARI,ARI,OAK,3,0,1,4,1,0,0,3,1,1,2,3,0,0,0,8,19,3.3333333333333335,6,4.2318414058671525,-0.34086712614821724,-0.047799999999999995,7,6,Away
3,2109,2,S2,10,ARI,ARI,ATL,1,0,1,2,0,0,0,4,1,0,0,2,0,0,0,4,11,2.3333333333333335,3,1.6489581682861751,-0.11723859794317129,-0.019000000000000003,2,2,Home
3,2129,2,S2,12,ARI,ARI,HOU,0,1,2,2,0,0,0,4,3,2,0,3,0,0,0,5,17,4.0,1,-1.4180008654262224,0.21545215209285729,0.11430000000000001,6,3,Away
3,2147,2,S2,14,ARI,ARI,CLE,1,0,2,4,1,0,0,4,4,1,0,0,0,0,0,7,17,3.0,5,3.186499350930333,-0.24499786954279829,-0.26759999999999995,4,0,Away
3,2162,2,S2,16,ARI,ARI,SFG,0,0,0,3,3,0,0,3,2,0,0,2,0,0,0,3,13,2.3333333333333335,3,1.7761780768811914,-0.12129563991440996,-0.07550000000000001,4,2,Home
