ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
1,5,S5,SEA,SEA,3,2,14,8,6,0,0,13,12,1,25,10,0,0,0,35,3,0,1,2,27,22.0,94,88,54,"{5128, 5036, 5007, 5082, 5051, 5116, 5018}",7,15,22078.0,97,0.42059454683060227,0.3437585834499982,-0.3117000000000002,3,0,35,10,TBR,9,1.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,16.42194139048978,21.666666666666668,1.270132638559924,1907.883800155713,2798.0,4.0912447465812285,4.090909090909091,1.5,2.7701326385599243,7.363636363636363,0.8181818181818181,1.6363636363636362,3.2727272727272725,2.0,0.3068181818181818,0.35106382978723405,0.574468085106383,0.9255319148936171,0.3287671232876712,0.3333333333333333,0.031914893617021274,0.1276595744680851,0.06382978723404255,0.7142857142857143,0.2653061224489796,2.692307692307692,0.25,0.0,4.547614538904862,227.60824742268042,Thomas Nova,BP,EG-H,Left,P,EG,111.15479079331517
1,5,S5,TBR,TBR,1,4,9,14,5,0,0,8,12,2,12,18,0,0,1,30,4,0,4,4,28,20.333333333333332,86,80,48,"{5138, 5228, 5197, 5166}",4,12,23526.0,93,-0.6798861904010935,0.44187414052987734,-0.21769999999999992,0,0,35,20,TBR,16,1.0,2.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,14.075122101956206,19.666666666666668,1.270132638559924,1907.883800155713,2798.0,4.0912447465812285,3.540983606557377,1.6229508196721312,1.466853950035334,8.262295081967213,0.2950819672131148,1.4754098360655739,3.540983606557377,2.4,0.35,0.38823529411764707,0.5581395348837209,0.946374829001368,0.40298507462686567,0.5,0.011627906976744186,0.13953488372093023,0.05813953488372093,0.75,0.2,3.75,0.3333333333333333,0.0,4.294105048054435,252.96774193548387,Thomas Nova,BP,EG-H,Left,P,EG,104.95840053672474
1,6,S6,TBR,TBR,5,3,10,12,6,0,1,22,16,14,13,16,0,2,0,29,3,0,5,3,30,29.0,117,109,61,"{6080, 6127, 6191, 6097, 6041, 6203, 6172}",7,12,31774.0,123,-3.9598870056497173,0.918825345912033,0.3342999999999998,1,0,57,26,TBR,14,2.0,4.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,14.428571428571429,28.666666666666668,1.0962502985431095,1603.725322080545,2792.6666666666665,3.4455783954941293,2.4827586206896552,1.2413793103448276,2.854870988198282,6.206896551724139,1.0344827586206897,1.2413793103448276,3.310344827586207,2.6666666666666665,0.27522935779816515,0.3076923076923077,0.5213675213675214,0.8290598290598291,0.2777777777777778,0.625,0.042735042735042736,0.13675213675213677,0.05128205128205128,0.4461538461538462,0.3384615384615385,1.3181818181818181,0.3333333333333333,0.0,3.0199335548172757,258.3252032520325,Thomas Nova,P,FP-H,Left,P,FP,87.64663601230261
1,8,S8,TBR,TBR,0,0,3,0,0,0,0,4,2,1,2,0,0,0,0,2,0,0,0,0,3,3.0,12,12,6,{8228},1,1,2624.0,12,-0.9470724445914654,0.14205752506174413,0.09919999999999998,0,0,4,0,TBR,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.279551034724658,1923.300147903805,2849.3333333333335,4.050000311449285,2.0,1.0,-0.05378229860867534,6.0,0.0,0.0,4.0,inf,0.25,0.25,0.5,0.75,0.3,0.0,0.0,0.16666666666666666,0.0,0.2857142857142857,0.5714285714285714,0.5,0.0,0.0,2.0,218.66666666666666,Thomas Nova,P,EG-H,Left,P,EG,49.382712251799894
1,9,S9,TBR,TBR,4,2,12,11,4,0,0,14,7,6,24,9,0,2,0,33,4,0,0,0,29,21.333333333333332,93,87,57,"{9025, 9159, 9070, 9205, 9174, 9237, 9114}",7,18,21973.0,93,4.092739739053176,-0.02871191831282833,-0.4787999999999999,2,0,40,11,TBR,16,2.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,20.390051353755485,21.333333333333332,1.3723367499712085,1980.2600451315832,2890.0,4.111266529684948,5.0625,1.546875,3.7160867499712085,8.15625,1.125,1.125,1.96875,1.75,0.3333333333333333,0.3548387096774194,0.6129032258064516,0.967741935483871,0.32051282051282054,0.0,0.043010752688172046,0.07526881720430108,0.043010752688172046,0.6226415094339622,0.2641509433962264,2.357142857142857,0.2857142857142857,0.0,5.7347019432437305,236.2688172043011,Thomas Nova,P,EG-H,Left,P,EG,139.4874767139748
2,2,S2,ARI,ARI,1,1,0,5,1,0,0,11,7,0,4,3,0,0,0,7,0,0,1,0,7,8.333333333333334,33,32,12,"{2191, 2162, 2178}",3,3,8709.0,34,-1.878931589195854,0.33519729002005555,0.3864,0,0,12,5,ARI,18,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.315950920245399,8.333333333333334,1.6571385129998475,1417.2214598634985,2192.3333333333335,3.8786659993223314,2.16,0.96,1.8971385129998475,5.04,0.72,0.72,5.04,7.0,0.21875,0.24242424242424243,0.36363636363636365,0.6060606060606061,0.25,1.0,0.030303030303030304,0.21212121212121213,0.030303030303030304,0.3888888888888889,0.6111111111111112,0.6363636363636364,0.0,1.0,2.387484662576687,256.1470588235294,Rub A. Chikin,BC,BB-B,Left,P,BB,61.55427311848509
2,3,S3,ARI,ARI,4,3,10,9,17,0,2,24,33,6,9,13,0,0,0,22,6,0,2,1,26,30.666666666666668,128,111,54,"{3050, 3082, 3023, 3185, 3155, 3128, 3097, 3004}",8,17,32646.0,126,-0.9565094433875083,0.676545773194045,0.4203000000000001,0,1,56,25,ARI,16,0.0,2.0,1.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,14.270441908106527,31.0,1.1190512161958002,1256.2371487741448,2191.3333333333335,3.4396514569416796,3.3260869565217392,1.4021739130434783,2.325572955326235,5.086956521739131,0.7826086956521738,3.3260869565217392,6.456521739130434,1.9411764705882353,0.23423423423423423,0.3359375,0.421875,0.7578125,0.2972972972972973,0.6666666666666666,0.03125,0.2578125,0.1328125,0.4230769230769231,0.46153846153846156,0.9166666666666666,0.0,1.0,2.762021014472231,259.0952380952381,Rub A. Chikin,1B,SF-S,Left,P,SF,80.299444552677
2,4,S4,OAK,OAK,9,0,8,20,13,2,1,27,29,3,18,18,0,2,1,36,4,0,3,0,37,33.333333333333336,146,130,72,"{4128, 4065, 4034, 4098, 4007, 4203, 4142, 4112, 4018, 4051, 4084, 4181}",12,19,37407.0,145,3.322274547536964,0.32624486126995106,-0.5555160000000001,1,0,65,37,OAK,14,2.0,6.0,2.0,0.0,2.0,5.0,8.0,2.0,0.0,4.0,22.85257879002765,33.0,1.298475464506908,1679.6423880751888,2767.6666666666665,3.641281824082067,3.42,1.5,4.238475464506908,6.659999999999999,1.6199999999999997,2.34,5.219999999999999,2.230769230769231,0.2846153846153846,0.3448275862068966,0.4931506849315068,0.8379782711384034,0.2978723404255319,1.0,0.06164383561643835,0.19863013698630136,0.08904109589041095,0.5454545454545454,0.4090909090909091,1.3333333333333333,0.25,0.5,4.155014325459573,257.9793103448276,Rub A. Chikin,S,BS-H,Left,P,BS,114.10856193497224
3,1,S1,ARI,ARI,5,1,1,7,5,0,0,14,10,4,0,11,0,0,0,11,3,0,0,0,14,14.0,58,53,32,"{1008, 1032, 1014, 1040}",4,10,14415.0,58,2.289954610606785,0.04341018908513347,-0.21040000000000003,0,0,22,10,ARI,7,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,14.0,1.7780000000000002,295.0640707118709,500.0,3.540768848542451,4.285714285714286,1.3571428571428572,6.063714285714286,6.0,2.142857142857143,2.142857142857143,4.285714285714286,2.0,0.2641509433962264,0.3275862068965517,0.5517241379310345,0.8793103448275862,0.23684210526315788,0.0,0.08620689655172414,0.1724137931034483,0.08620689655172414,0.3793103448275862,0.4827586206896552,0.7857142857142856,0.5,1.0,4.285714285714286,248.5344827586207,Syd Kidd,BC,BB-B,Left,P,BB,121.03908696210118
3,2,S2,ARI,ARI,12,2,14,39,18,0,0,54,43,9,15,24,0,4,1,39,5,0,3,2,67,51.0,231,208,121,"{2178, 2083, 2147, 2054, 2028, 2093, 2191, 2065, 2129, 2162, 2036, 2071, 2008, 2109, 2015}",15,41,55269.0,231,10.923634061966737,-0.06989943738164561,0.3754000000000001,0,0,81,39,ARI,18,5.0,3.0,0.0,0.0,0.0,7.0,9.0,2.0,0.0,0.0,42.150764448882896,51.0,1.6571385129998475,1417.2214598634985,2192.3333333333335,3.8786659993223314,4.8235294117647065,1.6666666666666667,4.088511062019455,7.882352941176471,1.4117647058823528,2.1176470588235294,5.0588235294117645,2.388888888888889,0.32211538461538464,0.3695652173913043,0.5238095238095238,0.8933747412008282,0.3503184713375796,0.6,0.05194805194805195,0.18614718614718614,0.07792207792207792,0.38235294117647056,0.5294117647058824,0.7222222222222222,0.625,0.0,4.958913464574458,239.25974025974025,Syd Kidd,BC,BB-B,Left,P,BB,127.85100509919813
