Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
ANA,ARI,4037,4,S4,3,2,1,0,3,1,0,0,4,2,4,3,1,0,0,1,6,21,5.0,4,1.2186221009549794,-0.024638109743013,0.0981,10,6,Home
ANA,ARI,8037,8,S8,3,3,1,3,1,0,0,0,5,3,3,4,0,0,0,0,8,23,5.0,6,2.754879259014224,-0.1847332214131103,-0.3567,8,4,Away
ANA,ARI,11076,11,S11,6,3,0,0,3,3,0,0,3,4,4,4,1,0,0,0,6,26,6.0,4,0.4035259549461315,0.0685942368727157,-0.0869,12,7,Away
ANA,ATL,11106,11,S11,8,3,0,1,4,6,0,0,3,5,0,5,3,2,0,0,8,30,6.0,8,4.403525954946131,-0.314644711993849,-0.4403999999999999,10,8,Home
ANA,BAL,4080,4,S4,6,0,2,1,2,2,0,0,1,5,1,4,6,1,0,0,5,24,6.0,3,-0.3376534788540246,0.1398280028153859,0.2786,13,7,Home
ANA,BAL,5032,5,S5,3,2,0,2,3,1,0,0,2,3,4,3,5,0,1,1,7,25,6.0,4,0.1373994638069704,0.0936527034089171,-0.5487,14,8,Home
ANA,BAL,8096,8,S8,7,2,0,2,1,1,0,0,7,5,2,2,1,1,1,0,5,23,6.0,2,-1.8941448891829311,0.2841150501234882,0.2268,8,3,Home
ANA,BAL,9225,9,S9,15,2,0,1,2,1,0,0,1,3,1,5,4,0,1,1,5,20,5.0,4,0.7591404746632455,0.0141113850394256,-0.4138,11,7,Away
ANA,BAL,11121,11,S11,9,0,0,2,4,1,1,0,5,3,2,4,3,1,3,0,6,24,6.0,2,-1.5964740450538686,0.2727844996560746,0.0361,12,4,Home
ANA,BOS,6158,6,S6,11,5,0,1,3,3,0,1,5,1,1,1,2,0,0,0,9,22,3.333333333333333,10,8.075517271576533,-0.7155324775765707,-0.5933999999999999,4,3,Away
ANA,BOS,7125,7,S7,9,0,2,1,2,2,0,0,3,1,0,4,5,2,0,0,5,20,5.0,3,-0.0795377294357576,0.0892483148587635,-0.0091999999999999,10,5,Away
ANA,BOS,9045,9,S9,3,2,1,1,4,2,0,0,0,1,6,2,4,1,0,1,8,23,5.0,6,2.759140474663245,-0.1777044847327789,-0.3593999999999999,12,7,Away
ANA,BOS,10123,10,S10,9,1,0,2,5,0,0,0,3,5,2,1,4,0,0,0,8,23,5.0,5,1.9922879177377892,-0.1078766310038609,-0.3252999999999999,11,4,Away
ANA,CIN,5156,5,S5,11,0,0,1,2,0,0,0,2,4,7,2,2,0,0,1,3,20,6.0,0,-3.8626005361930296,0.4697876701223362,0.1291999999999999,12,6,Away
ANA,CLE,5215,5,S5,15,1,0,4,6,1,0,0,4,4,4,2,4,0,0,0,11,30,6.0,8,4.13739946380697,-0.2944147799477923,-0.7783999999999999,10,7,Home
ANA,CLE,6177,6,S6,12,0,0,2,1,3,0,0,4,6,7,0,1,0,0,0,3,24,6.0,2,-1.4271186440677963,0.2430965003134154,0.1844999999999999,7,2,Home
ANA,CLE,7140,7,S7,10,2,0,3,0,1,0,1,6,5,2,1,3,1,0,0,5,23,6.0,5,0.3045547246770906,0.0630332507347568,-0.1323,11,4,Home
ANA,CLE,9088,9,S9,6,2,0,2,3,3,0,0,8,1,4,1,2,0,2,2,7,26,6.0,6,2.110968569595894,-0.0883349035426575,-0.4425999999999999,10,5,Home
ANA,CLE,10211,10,S10,15,0,1,0,0,2,0,0,6,3,3,4,1,1,0,0,1,20,6.0,0,-3.6092544987146526,0.4403621114105243,0.5337000000000001,11,4,Home
ANA,COL,9203,9,S9,14,1,1,0,2,5,0,0,5,4,1,2,4,2,0,0,4,25,6.0,1,-2.8890314304041054,0.3912047708878539,0.2260999999999999,9,6,Home
ANA,CWS,4095,4,S4,7,2,1,0,3,3,0,0,5,4,0,3,4,2,0,0,6,25,6.0,3,-0.3376534788540247,0.1442472801041353,-0.0393999999999999,10,6,Home
ANA,CWS,4170,4,S4,12,3,0,2,3,2,0,0,3,6,0,2,3,0,0,1,8,24,5.0,5,2.21862210095498,-0.1113802778767651,-0.1345,7,4,Away
ANA,CWS,5080,5,S5,6,0,0,1,2,0,0,0,3,6,0,1,5,0,0,0,3,18,5.0,1,-2.2188337801608577,0.2934784778758286,0.2392999999999999,9,6,Home
ANA,CWS,5199,5,S5,14,1,0,2,2,4,0,0,5,3,1,2,3,1,0,0,5,23,5.0,6,2.7811662198391423,-0.1866339943853539,-0.5024,9,6,Away
ANA,CWS,7008,7,S7,1,1,1,2,2,3,0,0,7,4,1,2,2,1,0,1,6,25,6.0,4,0.3045547246770904,0.0752274320220349,-0.2101,8,4,Home
