Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Teams
1001,1,S1,1,2,0,4,6,4,0,11,9,0,2,3,6,2,0,0,12,22,47,5,5,0.41666666666666663,0.20499999999999996,-0.31980000000000003,OAK @ PHI
2001,2,S2,1,1,0,3,6,2,0,10,12,0,2,4,7,1,0,0,10,16,47,3,3,-1.7727272727272725,0.011316614420062692,-0.6028,PHI @ PIT
2002,2,S2,1,3,0,1,4,4,0,9,10,1,1,5,7,0,0,1,8,18,44,4,4,-0.3749999999999999,0.14306426332288397,-0.0946,STL @ SFG
2003,2,S2,1,2,0,3,9,2,0,8,8,0,1,4,11,4,1,0,14,23,48,5,5,0.22727272727272768,0.21934169278996857,-0.0047999999999998955,TBR @ BOS
2004,2,S2,1,3,0,2,5,5,0,8,10,2,2,7,6,3,0,0,10,21,48,5,5,0.22727272727272743,0.21532915360501564,-0.4210000000000001,TOR @ CLE
2005,2,S2,2,3,2,3,3,8,2,12,7,0,1,7,7,1,2,1,11,27,53,7,7,2.227272727272727,0.44742946708463943,-0.21219999999999994,PHI @ SFG
2006,2,S2,2,0,0,4,7,6,0,8,9,0,2,8,3,2,1,0,11,15,48,4,4,-0.3749999999999998,0.15911442006269594,-0.2546,TBR @ TOR
2007,2,S2,3,2,1,2,10,6,0,10,8,0,0,9,6,3,0,0,15,25,54,5,5,0.2272727272727274,0.2394043887147335,-0.3952,PHI @ TOR
3001,3,S3,1,5,2,0,2,9,2,6,10,0,5,6,6,2,0,1,9,28,51,7,7,1.4615384615384621,0.33005680536472315,-0.05700000000000005,TEX @ KCR
3002,3,S3,1,7,1,6,5,2,0,5,9,0,3,7,10,1,1,0,19,48,55,13,13,7.961538461538463,0.9942031868424829,1.1807999999999998,NYY @ CLE
3003,3,S3,1,2,0,3,5,8,0,11,5,0,4,7,5,1,1,0,10,19,50,5,5,-0.07692307692307612,0.1726740561491294,-0.13319999999999987,SFG @ COL
3004,3,S3,1,3,0,3,1,3,0,14,10,0,2,6,6,1,0,0,7,19,48,6,6,-1.4405594405594404,0.02570063367717318,-0.3732000000000002,STL @ ATL
3005,3,S3,2,0,0,2,5,4,0,5,6,0,4,5,13,3,0,0,7,9,44,1,1,-4.538461538461537,-0.2982359575907963,-0.8116,TEX @ CLE
3006,3,S3,2,4,0,1,6,3,0,6,11,0,0,7,9,3,1,0,11,24,47,7,7,1.4615384615384621,0.31591042388696344,0.023599999999999937,ATL @ COL
3007,3,S3,3,1,0,3,2,2,0,3,16,1,2,6,7,2,0,0,6,12,42,3,2,-2.5384615384615374,-0.1053091483296762,-0.4254000000000001,TEX @ ATL
4001,4,S4,1,5,1,1,3,7,0,9,15,0,2,4,4,1,1,0,10,28,51,9,9,-0.19368421052631613,0.20701013841135496,0.9144,CIN @ LAD
4002,4,S4,1,6,2,6,7,3,0,9,8,0,5,5,9,0,0,0,21,49,60,18,18,8.526315789473683,1.1138376090981221,0.5309999999999998,NYM @ FLA
4003,4,S4,1,6,3,2,8,3,0,3,5,0,7,10,8,3,1,0,19,45,55,10,10,0.5263157894736841,0.2964238737547386,0.7279999999999999,BAL @ ANA
4004,4,S4,1,3,2,6,7,6,1,8,5,0,6,6,6,2,1,0,18,37,55,15,15,6.315789473684211,0.8753712421757913,1.1342000000000003,BOS @ SEA
4005,4,S4,2,1,3,2,11,3,0,12,6,0,10,6,1,1,0,0,17,28,55,11,11,1.5263157894736838,0.3920704399188927,0.30480000000000007,NYM @ SFG
4006,4,S4,2,1,2,1,3,1,0,4,9,0,5,4,9,1,0,1,7,15,39,2,2,-6.684210526315789,-0.4942836991977431,-0.4216,BAL @ NYY
4007,4,S4,2,0,0,5,6,3,0,5,10,0,5,7,7,0,1,2,11,16,48,3,3,-6.473684210526316,-0.42534329542449084,-0.422,LAD @ CHC
4008,4,S4,2,5,3,6,2,5,1,10,10,0,8,9,2,1,1,1,16,43,60,15,15,2.227368421052631,0.4926497399277087,1.1877999999999997,SEA @ KCR
4009,4,S4,3,1,0,5,7,3,0,4,10,0,4,6,8,1,1,0,13,21,48,6,6,-2.6842105263157894,-0.05510279467513001,-0.10900000000000004,NYM @ LAD
4010,4,S4,3,0,0,1,1,5,2,7,18,0,4,4,6,1,3,0,2,3,48,1,1,-12.052631578947368,-0.9832380322665961,-1.8142,KCR @ NYY
4011,4,S4,4,1,2,6,13,10,0,9,10,0,3,6,4,4,1,0,22,35,64,15,15,5.526315789473684,0.8356047782773517,0.12920000000000004,LAD @ KCR
5001,5,S5,1,1,2,2,5,5,0,12,8,0,2,6,5,1,2,2,10,19,48,5,5,-2.8496240601503766,-0.10188518170426059,-0.20699999999999996,COL @ NYM
