ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
1,2002,2,S2,1,SFG,SFG,STL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1.1430976430976432,0.1223348426796702,0.1371,Home
1,2005,2,S2,2,SFG,SFG,PHI,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,-0.504060209942563,-0.0383684034393973,-0.136,Home
1,10244,10,S10,1,STL,STL,ATL,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0.1419032242120698,0.0245228932779209,-0.0280999999999999,Home
1,11247,11,S11,2,STL,STL,SFG,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,3,2,2,2.1033756628357607,0.2265882943361017,0.1467999999999999,Home
1,11250,11,S11,3,STL,STL,PHI,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,1,0.6919421194495673,0.0800280306466405,0.014,Away
2,5006,5,S5,2,COL,COL,MTL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,1,1,0.1111111111111109,0.0181525428153717,-0.0006,Away
2,6006,6,S6,2,COL,COL,STL,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,3,0,0,-0.483187134502924,-0.0384091508844798,-0.5001,Home
10,4003,4,S4,1,BAL,BAL,ANA,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,-0.7775506072874494,-0.0646947592212072,-0.0518,Away
10,4006,4,S4,2,BAL,BAL,NYY,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,-0.1077935222672062,-0.0020724845550288,0.0358,Away
10,11246,11,S11,2,TBR,TBR,NYY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.0,-0.0945830906491581,-0.0315,Home
14,5002,5,S5,1,OAK,OAK,TEX,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0.5777777777777777,0.0648192094820384,-0.0206,Home
14,5007,5,S5,2,OAK,OAK,HOU,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,6,3,1,2,1.8224489795918368,0.1928070455155746,0.2408,Away
14,5009,5,S5,3,OAK,OAK,KCR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,2,1.5333333333333334,0.1603747650375939,0.194,Away
14,5011,5,S5,4,OAK,OAK,SDP,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,-0.9296996662958844,-0.0824078190731974,-0.1154999999999999,Home
14,6003,6,S6,1,OAK,OAK,MIN,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,3,1,0,0.8045454545454542,0.0903641080203579,0.0335,Home
14,8001,8,S8,1,ARI,ARI,MTL,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,-0.0775910364145657,0.0022711544249365,-0.0122,Away
17,7005,7,S7,2,STL,STL,SFG,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,-0.1826818357083816,-0.0070877868475888,0.2293,Home
20,6001,6,S6,1,SDP,SDP,LAD,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.3333333333333332,0.0399397083772083,0.0148999999999999,Away
20,6009,6,S6,3,SDP,SDP,STL,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,-1.2531746031746032,-0.1154078977516477,-0.1412999999999999,Away
20,7002,7,S7,1,SDP,SDP,SFG,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,-0.0177690526527735,0.0056766925502221,-0.028,Home
20,9001,9,S9,1,PHI,PHI,CHC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.079734219269103,-0.004280092903844,0.0235,Away
20,10243,10,S10,1,PHI,PHI,FLA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,3,1,0,0.6295918367346938,0.0732917545301833,-0.0721,Home
20,11248,11,S11,2,PHI,PHI,MIL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0.5682885374355428,0.067662672445238,0.0078,Home
20,11250,11,S11,3,PHI,PHI,STL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0.1671039100048272,0.0275442097021665,0.024,Home
20,11251,11,S11,4,PHI,PHI,DET,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.2469846055628505,-0.0138646418546012,-0.0238,Home
22,7002,7,S7,1,SFG,SFG,SDP,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,4,4,1,4,2.2925871379479625,0.2441659094257953,0.1815,Away
22,7005,7,S7,2,SFG,SFG,STL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-0.3548309757851834,-0.0280294997630188,-0.0675,Away
22,10248,10,S10,2,SFG,SFG,ATL,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,-0.6451127819548872,-0.057622897624346,-0.0022,Home
23,2003,2,S2,1,BOS,BOS,TBR,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,0,0.438235294117647,0.0558611469666236,0.0069999999999999,Home
24,4004,4,S4,1,BOS,BOS,SEA,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,2,3,0,1,-0.6133333333333335,-0.0482730318257956,-0.065,Away
25,2003,2,S2,1,BOS,BOS,TBR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.1596320346320347,-0.0079381250932975,0.006,Home
25,4004,4,S4,1,BOS,BOS,SEA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,5,3,1,2,1.4302699055330637,0.156087292060844,0.2131,Away
26,2003,2,S2,1,BOS,BOS,TBR,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0.6786032594856124,0.0758854043184671,0.1051,Home
29,4004,4,S4,1,BOS,BOS,SEA,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,3,4,2,1,1.440342305868622,0.1614479659302458,0.2225,Away
32,2003,2,S2,1,BOS,BOS,TBR,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,-0.868097643097643,-0.0747721467549053,-0.0812,Home
33,2003,2,S2,1,BOS,BOS,TBR,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,3,0,1,0.5259421950598422,0.0646318370608431,0.0007,Home
33,4004,4,S4,1,BOS,BOS,SEA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3,0,0,-0.5870338267706688,-0.0456430811695291,-0.0257999999999999,Away
33,5003,5,S5,1,MIN,MIN,NYY,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0.4448979591836737,0.051531227622628,-0.0007,Away
34,4004,4,S4,1,BOS,BOS,SEA,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,4,1,2,1.9435308385308383,0.2117668191964674,0.0302999999999999,Away
34,9003,9,S9,1,BOS,BOS,CLE,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3,0,0,-0.2087151841868824,-0.0097915313494893,-0.0602,Home
34,10242,10,S10,1,BOS,BOS,OAK,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,-0.418266516092603,-0.0349382710381176,-0.2117,Away
34,11241,11,S11,1,BOS,BOS,KCR,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,-0.3466922022036223,-0.0184184921678365,-0.0527,Home
34,11245,11,S11,2,BOS,BOS,DET,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,-0.2129320943869107,-0.0050424813861653,0.0029999999999999,Away
35,6008,6,S6,2,MIN,MIN,DET,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,-0.9444444444444444,-0.0878380694005694,-0.1323,Away
36,4001,4,S4,1,CIN,CIN,LAD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3643724696356272,0.0407906807994086,0.0109,Away
41,4001,4,S4,1,CIN,CIN,LAD,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,-0.9823626373626374,-0.0895293960645719,-0.1276999999999999,Away
41,9006,9,S9,2,CIN,CIN,MTL,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3,0,0,-0.6019541778975742,-0.0491154307205585,0.0371999999999999,Away
42,2001,2,S2,1,PIT,PIT,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1.0,0.1040125391849529,0.0853999999999999,Home
45,4001,4,S4,1,CIN,CIN,LAD,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,-0.7894736842105263,-0.0658870669135149,-0.0804999999999999,Away
47,1001,1,S1,1,PHI,PHI,OAK,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0.3888888888888888,0.0458392434988179,0.0489999999999999,Home
47,2004,2,S2,1,TEX,CLE,TOR,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0.374915824915825,0.0495292000464414,0.0305,Home
48,4001,4,S4,1,CIN,CIN,LAD,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,-0.6137139887139887,-0.0483110973638611,0.0038,Away
48,7002,7,S7,1,SFG,SFG,SDP,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,4,1,0,-1.8551957735381328,-0.1706123817228141,0.0192,Away
48,11244,11,S11,1,SFG,SFG,FLA,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,3,1,3,1.1330513988288875,0.1295558679354144,0.0082999999999999,Home
48,11247,11,S11,2,SFG,SFG,STL,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0.1999999999999999,0.0308338187016837,-0.131,Away
49,5002,5,S5,1,LAA,TEX,OAK,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,-0.0442176870748298,0.0026196629967776,-0.0364999999999999,Away
50,4001,4,S4,1,CIN,CIN,LAD,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3,0,0,-0.3419095816464235,-0.0211306566571046,-0.0479,Away
54,4001,4,S4,1,CIN,CIN,LAD,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,3,1,2,1.109954590217748,0.1240557605293125,0.42,Away
55,4001,4,S4,1,CIN,CIN,LAD,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,-1.1823308270676691,-0.1051727811992292,-0.1116,Away
55,9002,9,S9,1,CIN,CIN,MIL,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0.1264794099791426,0.0237279280671131,-0.0035999999999999,Home
55,9006,9,S9,2,CIN,CIN,MTL,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,3,0,0,0.1460141047889819,0.0256813975480971,-0.1021,Away
56,2006,2,S2,2,TOR,TOR,TBR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0.2666666666666666,0.0346917450365726,-0.0071,Home
62,2002,2,S2,1,STL,STL,SFG,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0.1109625668449198,0.0191213350543979,-0.0136,Away
63,4007,4,S4,2,CHC,CHC,LAD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.2413967611336032,-0.0197862422775144,-0.0248,Home
63,7001,7,S7,1,CHC,CHC,PHI,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,1,1,0.6428571428571429,0.0717393121012138,0.0681,Home
63,7006,7,S7,2,CHC,CHC,NYM,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,-0.4155107259878298,-0.0303706758755336,-0.0969,Away
65,4004,4,S4,1,SEA,SEA,BOS,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,0,1,0.7932879235510815,0.0923890938626458,-0.0589,Home
