ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB 2B,SB 3B,SB Home,CS 2B,CS 3B,CS Home,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,2,S2,SFG,SFG,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,5,4,4,5,"{2002, 2005}",2,1,1,907.0,5,0.6390374331550802,0.0011,0.0839664392402728,0,0,SFG,2,1,4,1,3,0,5,3.905172413793104,0.0316091954022988,0.0948275862068965,79,33,342,305.9454022988506,145,0.327485380116959,0.4739407714921714,0.25,,0.4,1.0,1.4,0.75,0.0,,0.2,0.0,0.2,0.0,1.0,0.0,0.4,1.0242825607064017,181.4,Thomas Nova,BP,,Left,C,238.2632296276964
1,10,S10,STL,STL,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,1,{10244},1,0,0,762.0,3,0.1419032242120698,-0.0280999999999999,0.0245228932779209,0,0,STL,1,0,0,0,2,0,3,2.905429071803853,0.0472854640980735,0.0945709281961471,117,5,541,529.5218914185639,233,0.2255083179297597,0.4400195795036993,0.0,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.0,254.0,Thomas Nova,TT,,Left,C,-100.0
1,11,S11,STL,STL,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,2,5,4,8,9,"{11250, 11247}",2,3,3,806.0,5,2.795317782285328,0.1608,0.3066163249827422,0,0,STL,3,2,8,0,1,0,5,4.945422535211268,0.0545774647887323,0.0545774647887323,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.5,,0.6,2.0,2.6,1.5,,,0.4,0.4,0.2,,,,0.4,1.6176575293698825,161.2,Thomas Nova,TT,,Left,C,288.529532499154
2,5,S5,COL,COL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1,2,2,4,4,{5006},1,1,1,279.0,2,0.1111111111111109,-0.0006,0.0181525428153717,0,0,COL,2,1,4,0,1,0,2,1.9340277777777777,0.0659722222222222,0.0659722222222222,135,51,558,499.875,269,0.3333333333333333,0.5381345336334084,0.5,0.0,0.5,2.0,2.5,1.5,0.0,,0.5,0.0,0.0,0.0,1.0,0.0,0.5,2.0682226211849195,139.5,Vinny Vedecci,BP,,Left,1B,434.3318895036474
2,6,S6,COL,COL,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,3,3,1,1,{6006},1,0,0,608.0,3,-0.483187134502924,-0.5001,-0.0384091508844798,0,0,COL,2,1,1,0,1,0,3,2.916387959866221,0.0836120401337792,0.0836120401337792,156,54,580,518.8929765886287,305,0.3620689655172414,0.5877898020612444,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.3428899082568807,202.66666666666663,Vinny Vedecci,BP,,Left,1B,50.398956043037856
10,4,S4,BAL,BAL,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,5,1,1,"{4003, 4006}",2,0,0,1771.0,5,-0.8853441295546557,-0.0159999999999999,-0.066767243776236,0,0,BAL,2,1,2,0,0,0,5,5.0,0.0682196339434276,0.0,154,52,583,524.5424292845258,324,0.353344768439108,0.6176812053925456,0.2,,0.2,0.2,0.4,0.0,0.2,,0.0,0.0,0.0,0.75,0.0,inf,0.2,0.4,354.2,Emmett Michael,1B,,Left,SS,21.36026635060069
10,11,S11,TBR,TBR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1,1,0,0,{11246},1,0,0,298.0,1,-1.0,-0.0315,-0.0945830906491581,0,0,TBR,2,0,0,0,0,0,1,1.0,0.0545774647887323,0.0,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,298.0,Holden Summers,BC,,Left,2B,-100.0
14,5,S5,OAK,OAK,2,0,1,0,1,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,3.0,3,10,9,10,11,"{5009, 5002, 5011, 5007}",4,3,4,2248.0,10,3.003860424407064,0.2987,0.3355932009620096,0,0,OAK,4,3,11,0,2,0,10,9.868055555555555,0.0659722222222222,0.1319444444444444,135,51,558,499.875,269,0.3333333333333333,0.5381345336334084,0.3333333333333333,0.6666666666666666,0.4,1.1111111111111112,1.511111111111111,0.7777777777777779,0.25,,0.2,0.3,0.1,0.3333333333333333,0.3333333333333333,1.0,0.3,1.114707952146376,224.8,Baba Ganoosh,TT,,Right,LF,197.14298794764667
14,6,S6,OAK,OAK,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,3,3,3,{6003},1,1,0,715.0,3,0.8045454545454542,0.0335,0.0903641080203579,0,0,OAK,1,1,2,0,0,0,3,3.0,0.0836120401337792,0.0,156,54,580,518.8929765886287,305,0.3620689655172414,0.5877898020612444,0.3333333333333333,,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666667,0.5,,0.0,0.3333333333333333,0.0,1.0,0.0,inf,0.3333333333333333,0.6666666666666666,238.3333333333333,Baba Ganoosh,TT,,Right,LF,105.48272191893
14,8,S8,ARI,ARI,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,1,{8001},1,0,0,434.0,2,-0.0775910364145657,-0.0122,0.0022711544249365,0,0,ARI,1,0,0,1,0,0,2,1.0,0.0840197693574958,0.0,170,43,572,519.1779242174629,326,0.3723776223776224,0.627915758343091,0.0,,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,0.5,0.0,217.0,Baba Ganoosh,TT,,Right,LF,34.272300469483554
