ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,2,S2,PHI,PHI,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,0,0,{2005},1,0,0,738.0,3,-0.504060209942563,-0.136,-0.03836840343939736,0,0,SFG,2,0,0,0,3,0,3,2.9051724137931036,0.031609195402298854,0.09482758620689656,79,33,342,305.9454022988506,145,0.32748538011695905,0.4739407714921714,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,246.0,Thomas Nova,BP,,Left,C,-100.0
1,2,S2,STL,STL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,2,1,4,5,{2002},1,1,1,169.0,2,1.1430976430976432,0.1371,0.12233484267967026,0,0,SFG,1,1,4,1,0,0,2,1.0,0.031609195402298854,0.0,79,33,342,305.9454022988506,145,0.32748538011695905,0.4739407714921714,1.0,,1.0,4.0,5.0,3.0,,,0.5,0.0,0.5,,,,1.0,4.0,84.5,Thomas Nova,BP,,Left,C,1049.3444595436272
1,10,S10,ATL,ATL,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,1,{10244},1,0,0,762.0,3,0.14190322421206986,-0.028099999999999997,0.024522893277920954,0,0,STL,1,0,0,0,2,0,3,2.905429071803853,0.047285464098073555,0.09457092819614711,117,5,541,529.5218914185639,233,0.2255083179297597,0.4400195795036993,0.0,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.0,254.0,Thomas Nova,TT,,Left,C,-100.0
1,11,S11,PHI,PHI,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,2,2,4,4,{11250},1,1,1,381.0,2,0.6919421194495673,0.014000000000000005,0.0800280306466405,0,0,STL,3,1,4,0,0,0,2,2.0,0.05457746478873239,0.0,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.5,,0.5,2.0,2.5,1.5,,,0.5,0.5,0.0,,,,0.5,2.0,190.5,Thomas Nova,TT,,Left,C,382.2270909407059
1,11,S11,SFG,SFG,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1,3,2,4,5,{11247},1,2,2,425.0,3,2.1033756628357607,0.14679999999999999,0.22658829433610173,0,0,STL,2,1,4,0,1,0,3,2.9454225352112675,0.05457746478873239,0.05457746478873239,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.5,,0.6666666666666666,2.0,2.6666666666666665,1.5,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,1.3580394500896593,141.66666666666666,Thomas Nova,TT,,Left,C,225.32948622395392
2,5,S5,MTL,MTL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1,2,2,4,4,{5006},1,1,1,279.0,2,0.11111111111111094,-0.0006000000000000033,0.01815254281537175,0,0,COL,2,1,4,0,1,0,2,1.9340277777777777,0.06597222222222222,0.06597222222222222,135,51,558,499.875,269,0.3333333333333333,0.5381345336334084,0.5,0.0,0.5,2.0,2.5,1.5,0.0,,0.5,0.0,0.0,0.0,1.0,0.0,0.5,2.0682226211849195,139.5,Vinny Vedecci,BP,,Left,1B,434.3318895036474
2,6,S6,STL,STL,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1.0,1,3,3,1,1,{6006},1,0,0,608.0,3,-0.48318713450292405,-0.5001,-0.03840915088447984,0,0,COL,2,1,1,0,1,0,3,2.9163879598662206,0.08361204013377926,0.08361204013377926,156,54,580,518.8929765886288,305,0.3620689655172414,0.5877898020612443,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.34288990825688076,202.66666666666666,Vinny Vedecci,BP,,Left,1B,50.39895604303788
10,4,S4,CLE,ANA,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,0,0,{4003},1,0,0,1230.0,3,-0.7775506072874494,-0.0518,-0.06469475922120725,0,0,BAL,1,0,0,0,0,0,3,3.0,0.06821963394342762,0.0,154,52,583,524.5424292845258,324,0.35334476843910806,0.6176812053925456,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.0,inf,0.0,0.0,410.0,Emmett Michael,1B,,Left,SS,-100.0
10,4,S4,NYY,NYY,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,2,2,1,1,{4006},1,0,0,541.0,2,-0.10779352226720629,0.03580000000000001,-0.002072484555028835,0,0,BAL,2,1,2,0,0,0,2,2.0,0.06821963394342762,0.0,154,52,583,524.5424292845258,324,0.35334476843910806,0.6176812053925456,0.5,,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,1.0,0.0,inf,0.5,1.0,270.5,Emmett Michael,1B,,Left,SS,203.40066587650173
10,11,S11,NYY,NYY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1,1,0,0,{11246},1,0,0,298.0,1,-1.0,-0.0315,-0.09458309064915811,0,0,TBR,2,0,0,0,0,0,1,1.0,0.05457746478873239,0.0,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,298.0,Holden Summers,BC,,Left,2B,-100.0
