Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
ANA,BAL,4003,4,S4,1,2,1,1,4,3,0,2,3,0,5,5,1,2,1,0,8,17,27,4,4,-0.7368421052631582,0.0482119368773693,0.114,Home
ARI,MTL,8001,8,S8,1,0,1,0,1,3,0,4,7,0,1,1,3,2,0,0,2,4,21,0,0,-4.928571428571429,-0.3875394331600145,-0.5831,Away
ARI,SDP,5004,5,S5,1,0,1,1,4,3,0,5,5,0,2,5,0,1,0,0,6,9,26,2,2,-1.9248120300751883,-0.1009425908521303,-0.1119999999999999,Home
ATL,COL,3006,3,S3,2,3,0,0,5,2,0,1,5,0,0,4,5,3,0,0,8,17,25,5,5,2.230769230769231,0.3114918073129216,0.2618,Away
ATL,PHI,10249,10,S10,3,0,0,0,2,5,0,3,3,0,0,4,5,3,1,0,2,2,22,0,0,-3.128571428571429,-0.2336407662890024,-0.3347,Away
ATL,SFG,10248,10,S10,2,2,0,3,5,3,0,4,5,0,2,1,3,1,2,2,10,19,28,5,5,1.871428571428571,0.2973569462811394,0.4826,Away
ATL,STL,3004,3,S3,1,2,0,2,1,3,0,6,4,0,1,4,2,1,0,0,5,13,25,4,4,0.5104895104895106,0.1394638352849496,0.0634,Home
ATL,STL,6002,6,S6,1,2,1,2,2,4,0,2,4,0,2,4,4,2,0,0,7,17,27,3,3,-0.75,0.0141860630923131,0.0643999999999999,Away
ATL,STL,10244,10,S10,1,1,2,0,4,1,0,1,6,0,2,4,3,2,0,0,7,14,24,3,3,-0.1285714285714288,0.0698034239965688,0.106,Away
ATL,TEX,3007,3,S3,3,0,0,1,0,0,0,1,10,0,1,3,3,0,0,0,1,2,19,0,0,-2.7692307692307687,-0.2097277649037179,-0.4627,Home
BAL,ANA,4003,4,S4,1,4,2,1,4,0,0,1,2,0,2,5,7,1,0,0,11,28,28,6,6,1.263157894736842,0.2482119368773693,0.614,Away
BAL,CLE,9007,9,S9,2,4,1,3,3,3,0,1,3,0,2,1,4,0,3,4,11,28,25,9,9,6.357142857142857,0.7539008144524074,0.2992,Home
BAL,COL,9011,9,S9,4,1,0,0,4,1,0,3,5,0,4,1,0,1,2,1,5,8,19,1,1,-1.642857142857143,-0.0830324757782555,-0.1193,Home
BAL,CWS,6007,6,S6,2,0,1,1,2,0,0,4,2,0,8,1,2,0,0,1,4,7,21,1,1,-2.75,-0.2023298745173745,-0.1003,Home
BAL,CWS,10245,10,S10,2,3,0,2,1,2,1,8,2,0,8,6,2,0,0,1,6,17,34,5,5,0.3071428571428565,0.1512609457092819,0.1624999999999999,Away
BAL,MIN,9010,9,S9,3,1,0,1,1,3,1,5,4,0,1,1,3,0,1,1,3,7,20,3,3,0.3571428571428571,0.1169675242217444,0.0676,Home
BAL,MIN,10241,10,S10,1,2,1,2,1,1,0,3,4,0,2,4,3,0,0,0,6,16,23,4,4,1.2489795918367343,0.2041143357518138,0.3072,Home
BAL,NYY,4006,4,S4,2,0,0,0,1,1,0,3,4,0,3,2,4,1,0,1,1,1,18,0,0,-4.7368421052631575,-0.3909689676452437,-0.4608,Away
BAL,TBR,10250,10,S10,3,0,1,2,3,5,0,2,5,0,2,2,1,1,1,5,6,10,23,1,1,-2.128571428571429,-0.1129756245755745,-0.4324,Away
BOS,CLE,9003,9,S9,1,0,0,0,6,1,0,7,2,0,1,2,2,4,0,0,6,6,21,0,0,-3.171428571428572,-0.2395829476584647,-0.2672,Home
BOS,DET,11245,11,S11,2,0,0,0,3,4,0,6,1,0,2,2,5,2,0,0,3,3,23,0,0,-5.18796992481203,-0.3942080774118395,-0.4007,Away
BOS,KCR,11241,11,S11,1,1,1,7,3,1,0,3,4,0,0,3,5,0,0,0,12,24,28,8,8,3.676691729323308,0.5193426347559038,0.3237,Home
BOS,OAK,10242,10,S10,1,0,0,1,0,1,0,2,7,0,1,3,4,1,0,0,1,2,19,0,0,-3.128571428571429,-0.2474175274312877,-0.6193000000000001,Away
