Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Teams
1001,1,S1,1,2,0,4,6,4,0,0,11,9,2,3,6,2,0,0,12,47,11.0,5,0.41666666666666663,0.20499999999999996,0.31980000000000003,20,12,OAK @ PHI
2001,2,S2,1,1,0,3,6,2,0,0,10,12,2,4,7,1,0,0,10,47,12.0,3,-1.7727272727272725,0.3762983281086729,0.6028,21,9,PHI @ PIT
2002,2,S2,1,3,0,1,4,4,0,0,9,10,1,5,7,0,0,1,8,44,11.0,4,-0.3749999999999999,0.22805642633228843,0.0946,18,13,STL @ SFG
2003,2,S2,1,2,0,3,9,2,0,0,8,8,1,4,11,4,1,0,14,48,12.0,5,0.22727272727272768,0.18476750261233016,0.0047999999999998955,19,14,TBR @ BOS
2004,2,S2,1,3,0,2,5,5,0,0,8,10,2,7,6,3,0,0,10,48,12.0,5,0.22727272727272743,0.18053291536050153,0.4210000000000001,21,8,TOR @ CLE
2005,2,S2,2,3,2,3,3,8,2,0,12,7,1,7,7,1,2,1,11,53,12.0,7,2.227272727272727,0.014409613375130633,0.21219999999999994,23,12,PHI @ SFG
2006,2,S2,2,0,0,4,7,6,0,0,8,9,2,8,3,2,1,0,11,48,11.0,4,-0.3749999999999998,0.24499477533960284,0.2546,21,8,TBR @ TOR
2007,2,S2,3,2,1,2,10,6,0,0,10,8,0,9,6,3,0,0,15,54,12.0,5,0.2272727272727274,0.20594043887147334,0.3952,20,12,PHI @ TOR
3001,3,S3,1,5,2,0,2,9,2,0,6,10,5,6,6,2,0,1,9,51,12.0,7,1.4615384615384621,0.10759715357955821,0.05700000000000005,23,13,TEX @ KCR
3002,3,S3,1,7,1,6,5,2,0,1,5,9,3,7,10,1,1,0,19,55,11.666666666666666,13,7.961538461538463,-0.5228835387486415,-1.1807999999999998,21,9,NYY @ CLE
3003,3,S3,1,2,0,3,5,8,0,0,11,5,4,7,5,1,1,0,10,50,11.0,5,-0.07692307692307612,0.256563480507762,0.13319999999999987,20,11,SFG @ COL
3004,3,S3,1,3,0,3,1,3,0,0,14,10,2,6,6,1,0,0,7,48,13.0,6,-1.4405594405594404,0.3782876361175481,0.3732000000000002,21,12,STL @ ATL
3005,3,S3,2,0,0,2,5,4,0,0,5,6,4,5,13,3,0,0,7,44,12.0,1,-4.538461538461537,0.6685585382359576,0.8116,22,15,TEX @ CLE
3006,3,S3,2,4,0,1,6,3,0,0,6,11,0,7,9,3,1,0,11,47,12.0,7,1.4615384615384621,0.08807784590775783,-0.023599999999999937,19,15,ATL @ COL
3007,3,S3,3,1,0,3,2,2,0,0,3,16,2,6,7,2,0,0,6,42,12.0,3,-2.5384615384615374,0.4587988844000574,0.4254000000000001,23,14,TEX @ ATL
4001,4,S4,1,5,1,1,3,7,0,0,9,15,2,4,4,1,1,0,10,51,11.666666666666666,9,-0.19368421052631613,0.18582068235916413,-0.9144,20,7,CIN @ LAD
4002,4,S4,1,6,2,6,7,3,0,0,9,8,5,5,9,0,0,0,21,60,12.0,18,8.526315789473683,-0.6605712774398308,-0.5309999999999998,23,14,NYM @ FLA
4003,4,S4,1,6,3,2,8,3,0,0,3,5,7,10,8,3,1,0,19,55,12.0,10,0.5263157894736841,0.1266247024596667,-0.7279999999999999,30,17,BAL @ ANA
4004,4,S4,1,3,2,6,7,6,1,0,8,5,6,6,6,2,1,0,18,55,11.0,15,6.315789473684211,-0.452322665961386,-1.1342000000000003,18,12,BOS @ SEA
4005,4,S4,2,1,3,2,11,3,0,0,12,6,10,6,1,1,0,0,17,55,12.0,11,1.5263157894736838,0.02342369743454105,-0.30480000000000007,22,6,NYM @ SFG
4006,4,S4,2,1,2,1,3,1,0,0,4,9,5,4,9,1,0,1,7,39,11.0,2,-6.684210526315789,0.7964612536366039,0.4216,22,12,BAL @ NYY
4007,4,S4,2,0,0,5,6,3,0,0,5,10,5,7,7,0,1,2,11,48,12.0,3,-6.473684210526316,0.8106196773340385,0.422,26,10,LAD @ CHC
4008,4,S4,2,5,3,6,2,5,1,0,10,10,8,9,2,1,1,1,16,60,13.666666666666666,15,2.227368421052631,-0.024274530547474277,-1.1877999999999997,25,9,SEA @ KCR
4009,4,S4,3,1,0,5,7,3,0,0,4,10,4,6,8,1,1,0,13,48,11.0,6,-2.6842105263157894,0.4252702988627346,0.10900000000000004,22,14,NYM @ LAD
4010,4,S4,3,0,0,1,1,5,2,0,7,18,4,4,6,1,3,0,2,48,14.0,1,-12.052631578947368,1.3685144141761438,1.8142,21,12,KCR @ NYY
4011,4,S4,4,1,2,6,13,10,0,0,9,10,3,6,4,4,1,0,22,64,12.0,15,5.526315789473684,-0.3445662523142027,-0.12920000000000004,18,11,LAD @ KCR
5001,5,S5,1,1,2,2,5,5,0,0,12,8,2,6,5,1,2,2,10,48,12.0,5,-2.8496240601503766,0.5090379594820384,0.20699999999999996,19,11,COL @ NYM
5002,5,S5,1,3,0,3,4,8,0,0,2,17,2,4,4,2,1,2,10,47,11.0,9,1.8045112781954886,0.0350061351294903,0.060400000000000065,20,10,TEX @ OAK
5003,5,S5,1,4,3,5,7,6,0,0,8,4,7,2,10,2,0,0,19,56,11.0,19,11.80451127819549,-0.939138993316625,-0.35440000000000016,18,11,MIN @ NYY
5004,5,S5,1,1,1,5,9,7,1,0,9,8,4,12,1,2,1,0,16,57,12.0,11,3.150375939849624,-0.06510716896407695,-0.27599999999999997,19,10,SDP @ ARI
5005,5,S5,2,0,0,1,5,4,0,0,10,3,5,10,6,1,2,1,6,44,12.0,1,-6.849624060150376,0.8874922331871344,0.8116000000000001,25,11,SDP @ PIT
5006,5,S5,2,4,0,4,0,4,0,0,11,12,2,5,3,0,0,0,8,45,11.0,6,-1.1954887218045114,0.3134604088345865,0.08399999999999999,19,9,COL @ MTL
5007,5,S5,2,2,1,6,3,4,0,0,8,12,2,5,7,2,0,0,12,50,12.0,3,-4.849624060150376,0.7004196689640768,0.3625999999999999,21,11,OAK @ HOU
5008,5,S5,2,1,2,4,2,7,0,0,6,9,5,4,8,1,1,0,9,48,11.0,3,-4.195488721804511,0.6306969898705096,0.4568000000000001,22,10,NYY @ KCR
5009,5,S5,3,4,1,5,6,4,0,0,6,7,5,10,8,0,0,0,16,56,12.0,13,5.150375939849624,-0.27372545948203847,-0.3306,27,12,OAK @ KCR
5010,5,S5,3,2,1,7,9,3,0,0,15,4,1,11,2,3,2,0,19,55,12.0,10,2.1503759398496234,0.030583685776942374,-0.0664,18,9,SDP @ MTL
5011,5,S5,4,2,3,3,8,5,0,0,9,11,1,1,9,2,1,3,16,52,12.0,6,-1.8496240601503766,0.42627454051796154,0.10680000000000003,22,10,SDP @ OAK
6001,6,S6,1,2,4,3,3,7,0,0,8,5,3,11,6,3,0,0,12,52,12.0,8,0.4999999999999998,0.1743828975078976,-0.2703999999999998,21,8,SDP @ LAD
6002,6,S6,1,3,1,3,6,10,0,0,6,6,7,5,6,4,0,0,13,53,11.333333333333334,7,1.0,0.12869795322920322,-0.6287999999999998,17,9,ATL @ STL
6003,6,S6,1,3,2,3,13,4,0,0,10,9,7,5,3,1,1,1,21,59,12.0,11,3.5000000000000004,-0.08678160100035104,-0.9098000000000003,21,9,MIN @ OAK
6004,6,S6,1,1,1,2,2,2,0,0,10,12,5,3,6,0,0,0,6,44,12.0,5,-2.5,0.4398624517374518,-0.2015999999999999,22,10,CWS @ SEA
6005,6,S6,2,2,1,3,5,6,1,0,9,9,6,4,5,2,0,1,11,50,12.0,8,0.5000000000000004,0.17006784178659176,-0.13799999999999996,21,9,SDP @ PHI
6006,6,S6,2,2,0,3,7,9,1,0,8,11,8,8,8,5,0,0,12,64,16.0,8,-4.857142857142857,0.7618778518778518,1.3794000000000004,27,13,STL @ COL
6007,6,S6,2,0,2,3,11,3,0,0,13,3,12,2,4,1,2,1,16,53,12.0,7,-0.5000000000000004,0.29164312039312046,-0.29939999999999994,19,9,CWS @ BAL
6008,6,S6,2,3,0,3,9,3,1,0,3,6,9,5,7,4,1,1,15,48,11.666666666666666,7,-0.39772727272727293,0.2555255133380133,-0.4626,20,12,MIN @ DET
6009,6,S6,3,5,1,6,9,4,0,0,7,6,3,9,7,1,1,0,21,57,11.0,11,4.125,-0.16222676816426818,-0.6881999999999999,22,9,SDP @ STL
6010,6,S6,3,4,0,1,5,6,0,0,5,13,3,8,6,0,1,1,10,51,12.0,5,-2.5,0.4786979532292032,-0.39920000000000005,26,12,CWS @ DET
6011,6,S6,4,6,1,1,5,4,0,0,9,8,5,4,6,1,1,0,13,49,11.0,11,4.125,-0.19674721393471387,-0.8276,17,7,CWS @ STL
7001,7,S7,1,2,0,2,6,3,0,0,9,7,8,4,4,1,0,0,10,45,11.0,5,-2.6277372262773726,0.4355879060071854,0.03320000000000001,18,10,PHI @ CHC
7002,7,S7,1,3,0,6,10,3,1,0,5,3,9,6,10,3,3,0,19,55,12.0,10,1.6788321167883204,0.0548550691213454,-0.3762000000000001,25,13,SFG @ SDP
7003,7,S7,1,6,2,1,10,6,0,0,5,16,6,2,5,1,2,1,19,59,12.0,16,7.678832116788321,-0.5297836701338148,-0.1394,20,8,TBR @ CWS
7004,7,S7,1,1,1,4,13,4,0,0,4,3,10,9,8,2,4,0,19,57,12.0,8,-0.3211678832116792,0.26637601467997535,-0.32480000000000014,27,13,KCR @ TEX
7005,7,S7,2,3,0,3,4,7,1,0,3,24,2,2,2,0,0,0,10,50,11.0,7,0.01216545012165371,0.19079921429833246,-1.1785999999999999,25,6,SFG @ STL
7006,7,S7,2,0,1,4,7,5,0,0,9,8,4,8,2,1,0,1,12,48,11.0,9,1.3722627737226274,0.05094916675202517,-0.13899999999999996,21,9,CHC @ NYM
7007,7,S7,2,2,4,2,7,5,0,0,8,6,5,3,9,2,1,0,15,51,11.0,10,2.3722627737226274,-0.037529887689344954,-0.5106000000000004,20,10,KCR @ MIN
7008,7,S7,2,4,2,5,5,6,0,0,7,7,7,4,7,1,1,0,16,54,11.0,11,3.3722627737226274,-0.12600894213071517,-0.6027999999999999,20,11,TBR @ TOR
7009,7,S7,3,3,0,3,4,5,0,0,7,14,3,8,3,1,0,0,10,50,12.0,8,-0.3211678832116789,0.2241325476316658,-0.3144,22,11,NYM @ STL
7010,7,S7,3,2,0,1,0,8,1,0,9,14,5,6,10,1,0,1,3,55,15.333333333333334,3,-8.46186052390432,1.0612437028181896,2.6351999999999998,25,13,TOR @ MIN
7011,7,S7,4,1,1,7,4,4,0,0,8,8,4,8,11,2,1,1,13,56,14.0,6,-4.416405978449775,0.6643788786451551,0.3198,24,14,MIN @ NYM
8001,8,S8,1,0,1,2,5,7,0,0,10,14,1,2,6,2,0,0,8,48,11.666666666666666,1,-8.357142857142858,0.9539930672452275,0.6662000000000001,19,8,ARI @ MTL
8002,8,S8,1,2,2,3,8,2,0,0,12,9,2,5,6,2,0,0,15,51,12.0,9,-0.8571428571428568,0.21138549109091126,-0.39819999999999994,20,9,SDP @ CHC
8003,8,S8,1,3,3,3,7,5,0,0,9,9,3,5,4,3,2,3,16,51,12.0,7,-2.8571428571428568,0.4212420562184898,-0.3518000000000001,20,11,KCR @ HOU
8004,8,S8,1,1,0,1,8,3,0,0,8,6,7,8,5,2,2,0,10,47,12.0,3,-6.857142857142857,0.8064572085271221,0.4764,20,10,SEA @ TOR
8005,8,S8,2,3,3,3,6,5,0,0,12,8,0,6,5,2,0,0,15,51,11.0,11,1.9642857142857144,-0.07075736605194577,-0.2074,17,9,SDP @ LAD
8006,8,S8,2,1,1,1,6,4,2,0,9,8,3,3,8,2,3,0,9,45,11.333333333333334,3,-5.571428571428571,0.6729574973919042,0.3648000000000003,20,11,MTL @ FLA
8007,8,S8,2,2,1,7,15,3,0,0,8,7,5,4,6,1,4,2,25,58,11.0,15,5.964285714285714,-0.43872352938731585,-1.3336000000000003,20,8,SEA @ OAK
8008,8,S8,2,3,4,4,8,1,0,0,10,10,5,7,3,1,0,0,19,55,12.0,9,-0.8571428571428569,0.2212420562184898,-0.6766,20,11,KCR @ DET
8009,8,S8,3,2,0,2,6,6,0,0,3,12,1,6,6,2,3,3,10,44,11.0,6,-3.1452380952380947,0.43773087361854046,-0.057200000000000056,25,14,FLA @ LAD
8010,8,S8,3,6,1,8,8,4,0,0,11,8,3,4,4,1,2,2,23,57,11.0,18,8.897619047619047,-0.739449286566333,-1.0253999999999996,16,8,KCR @ OAK
8011,8,S8,4,6,1,5,11,3,0,0,12,9,1,5,12,1,5,2,23,65,14.0,17,3.984962406015038,-0.22107806830509108,-0.6201999999999999,26,17,LAD @ OAK
9001,9,S9,1,4,4,4,10,10,1,0,8,13,9,7,4,5,0,1,22,73,15.666666666666666,13,4.597651663405088,-0.14133392539493317,-0.9097999999999999,31,10,PHI @ CHC
9002,9,S9,1,5,0,1,6,4,0,0,4,9,5,7,6,2,0,0,12,47,11.0,6,0.1857142857142856,0.18367544067778843,0.1492,22,12,MIL @ CIN
9003,9,S9,1,1,1,0,11,6,0,0,11,7,6,6,2,4,3,0,13,51,12.0,5,-1.3428571428571432,0.36665445767843163,0.034399999999999986,17,6,CLE @ BOS
9004,9,S9,1,0,0,2,9,5,0,0,9,3,2,4,9,3,0,3,11,43,11.0,1,-4.814285714285715,0.6793723158001455,0.7636,20,13,KCR @ TEX
9005,9,S9,2,3,0,5,12,2,0,0,6,5,7,6,7,2,0,0,20,53,11.0,11,5.092592592592592,-0.28119364074418474,-0.5365999999999999,21,12,CHC @ COL
9006,9,S9,2,4,0,3,5,3,0,0,7,15,3,4,3,1,0,0,12,47,11.0,6,0.18571428571428522,0.18367544067778835,0.13440000000000007,18,8,CIN @ MTL
9007,9,S9,2,4,1,3,5,5,0,0,3,9,5,2,8,2,4,4,13,45,11.0,9,3.1857142857142855,-0.09050581005635416,-0.09839999999999996,21,9,CLE @ BAL
9008,9,S9,2,2,0,6,6,3,0,0,8,6,6,6,5,0,1,2,14,48,11.0,8,2.1857142857142855,0.0008879401883600327,-0.25980000000000003,22,12,TEX @ MIN
9009,9,S9,3,2,1,2,5,5,0,0,9,10,2,8,5,0,1,0,10,49,11.333333333333334,6,0.07223719676549845,0.20793252420559583,0.18960000000000005,20,12,MTL @ COL
9010,9,S9,3,1,0,2,4,6,1,0,8,8,2,3,9,2,1,1,7,43,11.0,3,-2.814285714285714,0.47506919092250255,0.3648,17,13,MIN @ BAL
9011,9,S9,4,1,0,0,6,3,0,0,4,14,4,5,3,1,2,2,7,40,11.0,1,-4.814285714285715,0.6707660660448597,0.7386,19,9,COL @ BAL
10241,10,S10,1,2,2,3,5,3,0,0,6,7,3,9,7,2,0,0,12,47,11.333333333333334,7,1.1204081632653056,0.09730815969119694,-0.11440000000000011,23,14,MIN @ BAL
10242,10,S10,1,1,0,2,0,3,0,0,4,9,1,8,6,3,0,0,3,35,11.0,1,-4.735714285714287,0.6294696022016513,0.7386,22,14,BOS @ OAK
10243,10,S10,1,0,0,5,7,5,0,0,5,5,5,8,8,1,0,1,12,48,11.0,7,1.2642857142857133,0.0918288716537403,0.17680000000000007,24,18,FLA @ PHI
