ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
3,4008,4,S4,2,KCR,KCR,SEA,0,1,1,1,2,0,0,0,2,1,4,1,0,1,1,3,13,3.0,3,0.631578947368421,-0.015142819359957704,-0.12589999999999998,6,2,Home
3,4011,4,S4,4,KCR,KCR,LAD,1,0,1,1,2,0,0,0,1,0,1,1,1,0,0,3,8,1.3333333333333333,3,1.0769230769230769,-0.08208426749130268,-0.10360000000000001,2,1,Home
3,5009,5,S5,3,KCR,KCR,OAK,0,0,3,2,1,0,0,1,1,0,1,2,0,0,0,5,11,1.6666666666666667,4,4.679197994987469,-0.4205192016499582,-0.1142,3,2,Home
3,7004,7,S7,1,KCR,KCR,TEX,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,5,1.6666666666666667,0,-1.6934306569343067,0.18854464162448045,0.43029999999999996,4,1,Away
3,8003,8,S8,1,KCR,KCR,HOU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3333333333333333,0,-0.4666666666666667,0.04913080794856129,0.022400000000000003,0,0,Away
3,8008,8,S8,2,KCR,KCR,DET,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,1.0,0,-0.8214285714285714,0.09199942227043562,0.048400000000000006,0,0,Away
4,4003,4,S4,1,BAL,BAL,ANA,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,1,6,1.3333333333333333,0,-1.5894736842105264,0.1781533985718064,0.2011,3,2,Away
5,6007,6,S6,2,BAL,BAL,CWS,0,0,0,2,0,0,0,3,0,4,0,2,0,1,0,2,11,3.0,0,-3.583333333333333,0.41011400198900194,0.030599999999999995,6,3,Home
5,9008,9,S9,2,TEX,TEX,MIN,0,0,1,1,0,0,0,2,0,2,0,1,0,0,0,2,7,1.6666666666666667,0,0.13809523809523805,0.016312350333976593,-0.055499999999999994,2,1,Away
10,7008,7,S7,2,TBR,TBR,TOR,2,0,1,1,3,0,0,4,1,2,0,3,0,0,0,4,17,3.3333333333333335,4,1.566483557829784,-0.09136299761740915,-0.13440000000000002,6,4,Away
18,4004,4,S4,1,BOS,BOS,SEA,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,3,0.3333333333333333,1,1.1005717255717256,-0.09725315245667004,-0.2673,1,0,Away
20,4007,4,S4,2,LAD,LAD,CHC,0,0,1,2,0,0,0,2,0,2,4,3,0,1,1,3,14,4.0,0,-2.1578947368421053,0.2670055540862205,0.2804,10,5,Away
20,4011,4,S4,4,LAD,LAD,KCR,0,0,1,2,2,0,0,3,2,2,1,1,0,0,0,3,14,3.0,4,1.8421052631578947,-0.1393964559640307,0.17600000000000002,5,4,Away
21,2003,2,S2,1,BOS,BOS,TBR,1,0,1,3,1,0,0,3,2,0,3,6,1,1,0,5,20,5.0,2,-0.38636363636363624,0.12756269592476488,0.07009999999999998,9,6,Home
22,4004,4,S4,1,BOS,BOS,SEA,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,4,0.6666666666666666,1,2.0443175245806824,-0.19162773235756578,-0.3603,2,1,Away
