Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
ANA,BAL,4003,4,S4,1,4,2,1,4,0,0,0,1,2,2,5,7,1,0,0,11,28,6.0,6,1.263157894736842,-0.03668764877016667,-0.614,16,11,Home
ARI,MTL,8001,8,S8,1,0,0,2,4,4,0,0,6,7,0,1,3,0,0,0,6,27,5.666666666666667,1,-3.4285714285714284,0.4093889574682976,0.08310000000000006,8,4,Away
ARI,SDP,5004,5,S5,1,1,0,4,5,4,1,0,4,3,2,7,1,1,1,0,10,31,6.0,9,5.075187969924812,-0.36962614870509614,-0.388,10,7,Home
ATL,COL,3006,3,S3,2,1,0,1,1,1,0,0,5,6,0,3,4,0,1,0,3,22,6.0,2,-0.7692307692307688,0.18915909603592884,0.23819999999999997,7,5,Away
ATL,FLA,12243,12,S12,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3333333333333333,0,0.26666666666666666,0.04476190476190477,0.0248,1,0,Away
ATL,PHI,10249,10,S10,3,1,1,3,3,4,0,0,3,3,1,4,1,2,1,1,8,24,5.0,5,2.3928571428571423,-0.12347564244612037,-0.16530000000000003,9,5,Away
ATL,SFG,10248,10,S10,2,1,0,1,1,2,0,0,2,7,1,6,2,0,1,0,3,23,6.0,3,-0.12857142857142878,0.11975874763215268,0.017399999999999964,15,7,Away
ATL,STL,3004,3,S3,1,1,0,1,0,0,0,0,8,6,1,2,4,0,0,0,2,23,7.0,2,-1.951048951048951,0.30734091421774706,0.4366,11,6,Home
ATL,STL,6002,6,S6,1,1,0,1,4,6,0,0,4,2,5,1,2,2,0,0,6,26,5.333333333333333,4,1.75,-0.06280855124605125,-0.5644,8,4,Away
ATL,STL,10244,10,S10,1,0,0,2,2,3,0,0,3,4,1,3,4,2,0,1,4,22,6.0,1,-2.128571428571429,0.3153045140998606,0.3940000000000001,11,6,Away
ATL,TEX,3007,3,S3,3,1,0,2,2,2,0,0,2,6,1,3,4,2,0,0,5,23,6.0,3,0.2307692307692312,0.08915909603592885,-0.03730000000000006,12,6,Home
BAL,ANA,4003,4,S4,1,2,1,1,4,3,0,0,2,3,5,5,1,2,1,0,8,27,6.0,4,-0.7368421052631582,0.16331235122983337,-0.11400000000000007,14,6,Away
BAL,CLE,9007,9,S9,2,0,0,0,2,2,0,0,2,6,3,1,4,2,1,0,2,20,6.0,0,-3.1714285714285717,0.40750847957335834,0.20079999999999998,10,5,Home
BAL,COL,9011,9,S9,4,0,0,0,2,2,0,0,1,9,0,4,3,0,0,1,2,21,6.0,0,-3.1714285714285717,0.41181160445100123,0.6193000000000001,12,8,Home
BAL,CWS,6007,6,S6,2,0,1,2,9,3,0,0,9,1,4,1,2,1,2,0,12,32,6.0,6,2.2499999999999996,-0.07828810547560547,-0.39970000000000006,8,4,Home
BAL,CWS,10245,10,S10,2,2,0,0,4,6,2,0,9,4,2,10,1,1,1,0,6,38,9.0,4,-0.6928571428571435,0.24300082204510526,0.3375000000000001,13,4,Away
BAL,MIN,9010,9,S9,3,0,0,1,3,3,0,0,3,4,1,2,6,2,0,0,4,23,6.0,0,-3.1714285714285717,0.4161147293286442,0.4324,11,8,Home
BAL,MIN,10241,10,S10,1,0,1,1,4,2,0,0,3,3,1,5,4,2,0,0,6,24,6.0,3,-0.12857142857142856,0.11975874763215266,0.19279999999999997,13,8,Home
BAL,NYY,4006,4,S4,2,1,2,1,2,0,0,0,1,5,2,2,5,0,0,0,6,21,5.0,2,-1.9473684210526316,0.2619579476329013,-0.03919999999999998,10,5,Away
BAL,TBR,10250,10,S10,3,1,0,1,2,4,1,0,5,1,2,4,3,0,1,1,4,23,5.333333333333333,4,1.2489795918367341,-0.01354212087637155,-0.06759999999999994,10,5,Away
BOS,CLE,9003,9,S9,1,1,1,0,5,5,0,0,4,5,5,4,0,0,3,0,7,30,6.0,5,1.8285714285714283,-0.040854021894926706,-0.2328,10,3,Home
BOS,DET,11245,11,S11,2,1,0,3,3,1,0,0,5,4,2,2,1,0,3,1,7,22,5.0,3,-1.3233082706766917,0.1979348459176109,-0.09930000000000001,7,4,Away
BOS,KCR,11241,11,S11,1,0,1,2,3,2,0,0,7,2,2,2,3,2,0,0,6,24,6.0,3,-2.1879699248120303,0.27935454834268775,0.17630000000000004,7,4,Home
BOS,OAK,10242,10,S10,1,1,0,1,0,2,0,0,2,2,0,5,2,2,0,0,2,16,5.0,1,-1.6071428571428572,0.2319820222309589,0.11929999999999999,9,6,Away
BOS,SEA,4004,4,S4,1,2,1,3,3,2,0,0,2,3,5,3,2,0,1,0,9,26,5.0,8,4.052631578947368,-0.31883602221634494,-0.8170999999999999,10,7,Away
BOS,TBR,2003,2,S2,1,2,0,1,5,1,0,0,3,4,1,3,6,1,1,0,8,26,6.0,4,1.613636363636364,-0.04702978056426331,-0.24760000000000004,10,7,Home
CHC,COL,9005,9,S9,2,2,0,4,8,1,0,0,2,2,5,4,2,0,0,0,14,30,5.0,9,6.357142857142857,-0.5066205393849983,-0.5182999999999999,11,5,Away
CHC,LAD,4007,4,S4,2,0,0,4,4,3,0,0,2,7,3,2,3,0,0,1,8,28,6.0,3,-1.7368421052631582,0.266513356254959,-0.038999999999999965,12,4,Home
CHC,NYM,7006,7,S7,2,0,1,1,4,3,0,0,3,2,3,4,1,1,0,1,6,22,5.0,5,1.5328467153284668,-0.06495742225001769,-0.3194999999999999,11,4,Away
CHC,PHI,7001,7,S7,1,0,0,1,3,1,0,0,7,2,0,4,4,1,0,0,4,22,6.0,1,-3.16058394160584,0.40054532825720307,0.26659999999999995,9,6,Home
CHC,PHI,9001,9,S9,1,2,2,2,9,7,1,0,5,3,5,4,3,3,0,1,15,42,8.0,6,1.7714285714285711,0.007891512595788214,-0.20489999999999997,15,5,Home
CHC,SDP,8002,8,S8,1,2,2,2,3,2,0,0,8,5,1,1,2,1,0,0,9,28,6.0,6,1.0714285714285716,-0.038146901249807796,-0.4490999999999999,8,3,Home
CHC,SFG,12241,12,S12,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0,0.26666666666666666,0.04476190476190477,0.025099999999999997,1,0,Away
CIN,LAD,4001,4,S4,1,4,0,1,1,2,0,0,4,6,1,3,2,1,1,0,6,24,5.666666666666667,5,0.5431578947368418,0.025709336154456447,-0.7072,11,5,Away
