OBC,Outs,RunExpectancy
0,0,0.6240359897172236
0,1,0.39822635135135137
0,2,0.19797979797979798
1,0,0.9401294498381877
1,1,0.6805929919137467
1,2,0.4352078239608802
2,0,1.1341463414634145
2,1,0.871244635193133
2,2,0.5
3,0,1.6
3,1,1.0625
3,2,0.48258706467661694
4,0,1.2380952380952381
4,1,1.0433070866141732
4,2,0.6639004149377593
5,0,1.7735849056603774
5,1,0.9807692307692307
5,2,0.515625
6,0,2.608695652173913
6,1,1.488888888888889
6,2,0.65625
7,0,1.8666666666666667
7,1,1.4108527131782946
7,2,0.8205128205128205
