G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
4,87.0,84.0,29.0,14.0,12.0,12.0,0.0,5.0,56.0,14.0,3.0,0.0,8.0,0.0,4.0,3.0,0.0,0.0,1.0,8.0,13.0,14.0,12.0,0.0,0.394817073170734,0.8955,0.4476052771111236,22.0,26.0,87.0,83.0,29.0,57.0,4.0,0.0,0.0,0.34523809523809523,0.367816091954023,0.6666666666666666,1.0344827586206895,0.3214285714285714,0.3380281690140845,0.5714285714285714,0.05747126436781609,0.09195402298850575,0.034482758620689655,0.4583333333333333,0.5416666666666666,0.8461538461538461,139.0,244.22340425531914,0.3793103448275862,0.6867469879518072,S12,ANA
4,86.0,79.0,26.0,16.0,14.0,5.0,1.0,6.0,51.0,16.0,7.0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,6.0,11.0,9.0,1.0,3.690548780487805,0.6913000000000002,0.7724873723279566,16.0,21.0,86.0,79.0,26.0,50.0,7.0,0.0,0.0,0.3291139240506329,0.38372093023255816,0.6455696202531646,1.0292905504857228,0.31645569620253167,0.36363636363636365,0.6666666666666666,0.06976744186046512,0.20930232558139536,0.08139534883720931,0.43243243243243246,0.5675675675675675,0.7619047619047619,130.0,233.5505617977528,0.38372093023255816,0.6329113924050633,S12,ARI
4,87.0,79.0,22.0,11.0,9.0,9.0,0.0,4.0,43.0,11.0,7.0,1.0,19.0,1.0,1.0,0.0,0.0,1.0,1.0,13.0,7.0,9.0,10.0,0.0,-2.6051829268292668,0.8556999999999998,0.14760527711112356,21.0,20.0,87.0,81.0,22.0,42.0,6.0,0.0,0.0,0.27848101265822783,0.3333333333333333,0.5443037974683544,0.8776371308016877,0.2658227848101266,0.3157894736842105,1.0,0.04597701149425287,0.21839080459770116,0.08045977011494253,0.5121951219512195,0.4878048780487805,1.05,91.0,245.9659090909091,0.3218390804597701,0.5185185185185185,S12,ATL
4,88.0,79.0,26.0,16.0,10.0,9.0,0.0,7.0,56.0,16.0,8.0,0.0,10.0,0.0,3.0,1.0,0.0,1.0,2.0,16.0,11.0,8.0,9.0,0.0,3.6905487804878057,0.8633999999999997,0.781869523357705,29.0,18.0,88.0,80.0,25.0,54.0,8.0,0.0,0.0,0.3291139240506329,0.38636363636363635,0.7088607594936709,1.0952243958573074,0.379746835443038,0.30158730158730157,0.75,0.07954545454545454,0.11363636363636363,0.09090909090909091,0.6170212765957447,0.3829787234042553,1.6111111111111112,135.0,253.52173913043478,0.375,0.675,S12,BAL
4,99.0,79.0,26.0,15.0,13.0,9.0,0.0,4.0,47.0,15.0,19.0,0.0,21.0,0.0,2.0,1.0,0.0,1.0,4.0,7.0,10.0,12.0,3.0,1.0,2.0426829268292694,0.44389999999999996,0.668684768655467,21.0,17.0,99.0,79.0,25.0,45.0,20.0,0.0,0.0,0.3291139240506329,0.45454545454545453,0.5949367088607594,1.049482163406214,0.26582278481012656,0.4,0.6666666666666666,0.04040404040404041,0.21212121212121213,0.1919191919191919,0.5526315789473685,0.4473684210526316,1.2352941176470589,139.0,229.08823529411765,0.45454545454545453,0.569620253164557,S12,BOS
4,87.0,76.0,21.0,14.0,13.0,3.0,0.0,5.0,39.0,14.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,17.0,7.0,0.0,1.690548780487806,0.5411999999999999,0.5771784478428309,15.0,25.0,87.0,78.0,22.0,41.0,9.0,0.0,0.0,0.27631578947368424,0.3563218390804598,0.5131578947368421,0.8694797338173019,0.2368421052631579,0.2962962962962963,0.0,0.05747126436781609,0.20689655172413793,0.11494252873563218,0.375,0.625,0.6,102.0,245.49425287356323,0.3563218390804598,0.5256410256410257,S12,CHC
4,91.0,80.0,17.0,6.0,9.0,5.0,0.0,3.0,31.0,6.0,10.0,0.0,21.0,0.0,3.0,2.0,0.0,1.0,2.0,11.0,10.0,9.0,13.0,0.0,-8.900914634146341,-1.3206999999999995,-0.46320359156108726,23.0,23.0,91.0,81.0,17.0,29.0,10.0,0.0,0.0,0.2125,0.2967032967032967,0.3875,0.6842032967032967,0.17500000000000002,0.24561403508771928,0.6,0.03296703296703297,0.23076923076923078,0.10989010989010989,0.5,0.5,1.0,53.0,265.3854166666667,0.2967032967032967,0.35802469135802467,S12,CIN
4,85.0,77.0,20.0,13.0,7.0,9.0,2.0,2.0,39.0,13.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,6.0,17.0,9.0,0.0,0.04268292682926966,-0.11559999999999997,0.4030097114472289,17.0,26.0,85.0,77.0,20.0,39.0,8.0,0.0,0.0,0.2597402597402597,0.32941176470588235,0.5064935064935064,0.8359052711993888,0.24675324675324672,0.3050847457627119,0.0,0.023529411764705882,0.18823529411764706,0.09411764705882353,0.3953488372093023,0.6046511627906976,0.6538461538461539,91.0,242.95294117647057,0.32941176470588235,0.5064935064935064,S12,CLE
4,96.0,85.0,31.0,19.0,14.0,10.0,1.0,6.0,61.0,19.0,10.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,7.0,15.0,10.0,0.0,6.6905487804878065,1.4079000000000004,1.1193981274766982,19.0,26.0,96.0,85.0,30.0,60.0,11.0,0.0,0.0,0.36470588235294116,0.4270833333333333,0.7176470588235294,1.1447303921568628,0.35294117647058826,0.36764705882352944,1.0,0.0625,0.125,0.10416666666666667,0.4222222222222222,0.5777777777777777,0.7307692307692307,156.0,223.38144329896906,0.4270833333333333,0.7058823529411765,S12,COL
4,80.0,77.0,23.0,14.0,9.0,7.0,1.0,6.0,50.0,14.0,3.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,15.0,10.0,0.0,1.0426829268292697,1.8538,0.4795543338728585,15.0,25.0,80.0,77.0,23.0,48.0,3.0,0.0,0.0,0.2987012987012987,0.325,0.6493506493506493,0.9743506493506493,0.35064935064935066,0.30357142857142855,1.0,0.075,0.1875,0.0375,0.375,0.625,0.6,111.0,230.25,0.325,0.6233766233766234,S12,CWS
