IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA-,W-L%,Season,Team
17.0,74.0,23.0,13.0,13.0,6.0,0.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.2678571428571423,-1.3780999999999999,0.17513821318000888,68.0,0.0,0.0,14.0,4.0,1.0,11.0,5.0,13.0,3.0,0.0,20.0,16.0,5.0,2.0,3.0,4.588235294117647,1.7058823529411764,8.117647058823529,1.4117647058823528,2.1176470588235294,4.588235294117647,2.1666666666666665,0.3382352941176471,0.3918918918918919,0.6029411764705882,0.9948330683624801,0.37254901960784315,0.05405405405405406,0.17567567567567569,0.08108108108108109,0.5555555555555556,0.4444444444444444,1.25,0.7142857142857143,228.14814814814815,4.018557874762808,129.0,0.0,S12,ANA
16.666666666666668,68.0,19.0,8.0,8.0,2.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,-3.0803571428571432,-0.036900000000000016,0.5854793233082707,66.0,0.0,0.0,6.0,9.0,1.0,10.0,10.0,9.0,11.0,0.0,22.0,20.0,2.0,1.0,3.0,2.88,1.26,6.84,1.08,0.72,2.52,3.5,0.2878787878787879,0.3088235294117647,0.5909090909090909,0.8997326203208557,0.2857142857142857,0.04411764705882353,0.10294117647058823,0.029411764705882353,0.5238095238095238,0.47619047619047616,1.1,0.6666666666666666,267.58028169014085,3.290322580645161,104.0,1.0,S12,ARI
17.0,78.0,22.0,17.0,17.0,6.0,0.0,0.0,25.0,7.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,5.9196428571428585,-0.6324000000000002,-0.27372014595311817,72.0,0.0,0.0,8.0,6.0,1.0,5.0,8.0,8.0,4.0,0.0,14.0,12.0,4.0,0.0,3.0,6.0,1.6470588235294117,7.764705882352942,2.4705882352941178,2.1176470588235294,8.823529411764707,4.166666666666667,0.3055555555555556,0.358974358974359,0.7083333333333334,1.0673076923076923,0.375,0.08974358974358974,0.32051282051282054,0.07692307692307693,0.5384615384615384,0.46153846153846156,1.1666666666666667,1.0,239.7439024390244,4.9009108159392785,150.0,0.5,S12,ATL
16.666666666666668,74.0,20.0,14.0,14.0,5.0,0.0,0.0,20.0,6.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.2678571428571423,-1.5017,0.0751382131800089,68.0,1.0,0.0,10.0,3.0,1.0,7.0,8.0,8.0,6.0,0.0,16.0,14.0,0.0,0.0,3.0,5.04,1.5,7.199999999999999,2.16,1.7999999999999998,7.199999999999999,4.0,0.29411764705882354,0.33783783783783783,0.6323529411764706,0.9701907790143084,0.32558139534883723,0.08108108108108109,0.2702702702702703,0.06756756756756757,0.5333333333333333,0.4666666666666667,1.1428571428571428,0.0,246.97592905405406,4.61032258064516,125.0,0.5,S12,BAL
16.333333333333332,70.0,17.0,9.0,9.0,8.0,1.0,0.0,11.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,-2.0803571428571423,-0.8628,0.49363942945599293,62.0,0.0,0.0,8.0,4.0,0.0,9.0,7.0,9.0,9.0,0.0,18.0,18.0,3.0,2.0,3.0,3.306122448979592,1.5306122448979593,6.244897959183674,1.836734693877551,2.938775510204082,4.040816326530613,1.375,0.27419354838709675,0.35714285714285715,0.5806451612903226,0.9377880184331797,0.2608695652173913,0.07142857142857142,0.15714285714285714,0.11428571428571428,0.5,0.5,1.0,0.6,254.98559999999998,5.532363396971691,98.0,0.5,S12,BOS
17.666666666666668,70.0,14.0,8.0,8.0,8.0,0.0,0.0,9.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,-3.2608709987742253,-0.04169999999999996,0.6116908150477012,62.0,0.0,0.0,8.0,2.0,1.0,10.0,9.0,16.0,3.0,1.0,24.0,19.0,1.0,0.0,3.0,2.7169811320754715,1.2452830188679245,4.754716981132075,1.0188679245283019,2.7169811320754715,3.0566037735849054,1.125,0.22580645161290322,0.3142857142857143,0.43548387096774194,0.7497695852534563,0.22,0.04285714285714286,0.12857142857142856,0.11428571428571428,0.5581395348837209,0.4418604651162791,1.263157894736842,1.0,252.6056338028169,3.9774923919659155,73.0,0.5,S12,CHC
20.0,81.0,19.0,8.0,8.0,5.0,0.0,0.0,25.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,-5.0357142857142865,-0.1714000000000001,0.8340557275541797,76.0,0.0,0.0,10.0,5.0,1.0,9.0,6.0,9.0,8.0,0.0,16.0,17.0,1.0,2.0,3.0,2.4,1.2,5.699999999999999,0.8999999999999999,1.5,7.5,5.0,0.25,0.2962962962962963,0.4605263157894737,0.75682261208577,0.3333333333333333,0.037037037037037035,0.30864197530864196,0.06172839506172839,0.48484848484848486,0.5151515151515151,0.9411764705882353,0.3333333333333333,254.78571428571428,1.6303225806451611,72.0,0.0,S12,CIN
17.0,75.0,15.0,12.0,12.0,11.0,0.0,0.0,13.0,5.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.9196428571428563,-0.20270000000000005,0.2140396948252987,62.0,2.0,0.0,6.0,4.0,0.0,12.0,7.0,12.0,5.0,0.0,21.0,17.0,0.0,0.0,3.0,4.235294117647059,1.5294117647058822,5.294117647058823,1.7647058823529411,3.882352941176471,4.588235294117647,1.1818181818181819,0.24193548387096775,0.3466666666666667,0.5483870967741935,0.8950537634408602,0.21739130434782608,0.06666666666666667,0.17333333333333334,0.14666666666666667,0.5526315789473685,0.4473684210526316,1.2352941176470589,0.0,256.04,5.6656166982922205,100.0,0.5,S12,CLE
15.333333333333336,77.0,22.0,26.0,26.0,12.0,0.0,0.0,13.0,7.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,15.571428571428573,-1.537,-1.2429787704555508,65.0,0.0,0.0,10.0,4.0,1.0,6.0,7.0,9.0,8.0,0.0,15.0,17.0,1.0,1.0,3.0,10.17391304347826,2.2173913043478257,8.60869565217391,2.7391304347826084,4.695652173913043,5.08695652173913,1.0833333333333333,0.3384615384615385,0.44155844155844154,0.7538461538461538,1.1954045954045953,0.3333333333333333,0.09090909090909091,0.16883116883116883,0.15584415584415584,0.46875,0.53125,0.8823529411764706,0.5,233.31645569620252,8.01727910238429,258.0,0.5,S12,COL
17.0,78.0,20.0,14.0,14.0,9.0,0.0,0.0,25.0,6.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.9196428571428568,-1.3542999999999998,0.02627985404688188,69.0,0.0,0.0,8.0,5.0,1.0,3.0,10.0,9.0,2.0,0.0,13.0,11.0,0.0,2.0,3.0,4.9411764705882355,1.7058823529411764,7.0588235294117645,2.1176470588235294,3.1764705882352944,8.823529411764707,2.7777777777777777,0.2898550724637681,0.3717948717948718,0.6521739130434783,1.02396878483835,0.3684210526315789,0.07692307692307693,0.32051282051282054,0.11538461538461539,0.5416666666666666,0.4583333333333333,1.1818181818181819,0.0,235.775,4.6656166982922205,130.0,0.5,S12,CWS
