win,loss,save,holds,Season,Game ID
481,395,193.0,[],S5,1
235,166,487.0,[],S5,2
646,21,270.0,[],S5,3
518,127,,[],S5,4
92,675,527.0,[np.int64(198)],S5,5
109,220,258.0,[],S5,6
250,752,,[],S5,7
1834,714,310.0,[np.int64(1834)],S5,8
802,39,,[],S5,9
286,604,,[],S5,10
59,217,,[np.int64(74)],S5,11
46,352,,[],S5,12
164,336,165.0,[np.int64(478)],S5,13
361,181,,[np.int64(361)],S5,14
76,4,,[],S5,15
193,3,1759.0,[np.int64(193)],S5,16
1687,78,605.0,[],S5,17
227,1825,,"[np.int64(1), np.int64(250)]",S5,18
394,413,,[],S5,19
188,5,716.0,[],S5,20
553,325,786.0,[],S5,21
1818,758,,[],S5,22
112,268,,[],S5,23
487,1718,,[],S5,24
391,133,392.0,[],S5,25
669,1809,,[np.int64(234)],S5,26
233,802,777.0,[],S5,27
74,337,1962.0,[],S5,28
1705,1692,,[],S5,29
1953,181,,[],S5,30
268,481,310.0,[],S5,31
605,1767,,[],S5,32
471,325,,[],S5,33
714,754,188.0,[],S5,34
395,1695,304.0,[],S5,35
752,198,383.0,[],S5,37
75,111,,[],S5,38
1692,37,,[],S5,39
392,517,,[],S5,40
802,285,,[np.int64(1838)],S5,41
361,1962,,[np.int64(1705)],S5,42
1828,282,,[],S5,43
150,336,,[],S5,44
1777,164,,[],S5,45
2207,646,,[],S5,46
585,166,,[],S5,47
394,220,,[],S5,48
130,1686,1820.0,[],S5,49
786,518,,[],S5,50
745,1,,[],S5,51
109,716,258.0,[],S5,52
4,413,777.0,[np.int64(1777)],S5,53
39,337,,[],S5,54
352,235,,[],S5,55
604,708,,[np.int64(175)],S5,56
669,1953,,[],S5,57
217,1838,,[np.int64(373)],S5,58
46,59,321.0,[],S5,59
361,345,,[],S5,60
481,21,,[],S5,61
1703,395,605.0,[np.int64(1703)],S5,62
270,527,,[np.int64(646)],S5,63
1818,5,,[],S5,64
112,93,,[],S5,65
716,383,,[],S5,66
708,268,,[],S5,67
182,286,,[],S5,68
802,252,,[],S5,69
391,76,,[],S5,70
1962,336,,[],S5,71
1777,196,,[],S5,72
636,373,,[],S5,73
758,165,,[np.int64(758)],S5,74
1786,127,,[],S5,75
1687,375,605.0,[np.int64(1687)],S5,76
1825,553,,[],S5,77
394,284,,[],S5,78
3,268,,[],S5,79
1767,788,,[],S5,80
109,1818,258.0,[np.int64(109)],S5,81
383,1,,[],S5,82
714,337,1841.0,[],S5,83
37,392,1718.0,[],S5,84
487,2215,,[],S5,85
1705,1838,,[],S5,86
282,70,,[],S5,87
1692,610,,[],S5,88
1953,133,,[],S5,89
702,708,1777.0,[np.int64(702)],S5,90
1961,2207,,[],S5,91
713,605,,[],S5,92
585,395,,[],S5,93
3,1956,,[],S5,94
1818,220,,[],S5,95
336,93,133.0,[],S5,96
112,1841,258.0,[],S5,97
152,752,,[],S5,98
1718,74,,[],S5,99
235,233,,[],S5,100
218,392,,[],S5,101
46,669,,[],S5,102
361,758,,[],S5,103
331,217,,[],S5,104
1759,59,,[],S5,106
166,46,605.0,[],S5,107
58,471,,[],S5,108
394,610,,[],S5,110
1820,133,3.0,[],S5,111
165,5,,[np.int64(478)],S5,112
708,1786,,[],S5,113
1777,518,,"[np.int64(702), np.int64(777)]",S5,114
1718,93,,[],S5,116
252,716,,[],S5,117
391,1834,,[],S5,118
413,669,,[],S5,119
109,1838,,[np.int64(258)],S5,120
481,325,2207.0,[np.int64(481)],S5,121
752,1703,,[],S5,122
1825,152,471.0,[],S5,123
675,270,,[],S5,124
112,304,,[],S5,125
148,518,,[],S5,126
373,92,,[],S5,127
74,1,,[],S5,128
361,37,,[np.int64(361)],S5,129
487,196,,[],S5,130
390,1962,,[],S5,131
286,164,,[],S5,132
331,802,,[],S5,133
75,282,,[],S5,134
336,777,219.0,[],S5,135
646,1759,,[],S5,136
714,130,605.0,[np.int64(714)],S5,137
585,1,,[],S5,138
152,304,,[np.int64(745)],S5,139
1695,1961,,[],S5,140
361,220,,[],S5,141
112,553,258.0,[],S5,142
383,74,,[],S5,143
219,39,,[],S5,144
802,235,1838.0,[],S5,145
391,1743,,[],S5,146
59,181,,[],S5,147
1692,352,,[],S5,148
1809,76,2234.0,[np.int64(1809)],S5,149
165,1777,,[],S5,150
193,395,,[],S5,151
74,714,,[],S5,152
21,109,,[],S5,153
752,270,,[],S5,154
1820,325,,[],S5,155
5,321,,[],S5,156
1828,198,,[],S5,157
1834,250,745.0,[],S5,158
182,802,39.0,[],S5,159
390,517,,[],S5,160
777,285,,"[np.int64(233), np.int64(1777)]",S5,161
729,636,,[],S5,162
2234,352,,[],S5,163
478,336,,[],S5,164
1953,331,,[],S5,165
646,1687,93.0,[np.int64(166)],S5,167
471,394,,[],S5,168
148,1962,,[],S5,169
1767,786,,[],S5,170
152,812,,[np.int64(268)],S5,171
1841,1818,,[],S5,172
109,413,,[],S5,173
37,252,,[],S5,174
391,1809,,[],S5,175
282,2215,,[],S5,176
802,75,,[],S5,177
1705,1692,,[],S5,178
776,133,,"[np.int64(776), np.int64(1777)]",S5,179
275,337,,[],S5,180
275,1759,1841.0,[np.int64(275)],S5,181
1828,714,,[],S5,182
130,585,,[],S5,183
112,270,,[],S5,184
394,1838,,[np.int64(304)],S5,185
675,93,,[],S5,186
220,553,,[],S5,187
1834,752,,[],S5,188
669,39,,[],S5,189
235,478,,[],S5,190
390,361,,[],S5,191
1962,758,,[np.int64(729)],S5,192
373,46,217.0,[],S5,193
708,336,,[],S5,194
777,76,233.0,"[np.int64(777), np.int64(702)]",S5,195
605,394,,[],S5,196
286,1,,[],S5,197
1820,92,,[],S5,198
325,1686,,[],S5,199
518,413,,[],S5,200
109,646,258.0,[np.int64(109)],S5,201
268,1841,,"[np.int64(745), np.int64(268)]",S5,202
391,182,,[],S5,203
193,21,,[],S5,204
487,219,,[],S5,205
282,802,758.0,[],S5,206
373,59,,[np.int64(217)],S5,207
337,1692,,[],S5,208
361,1953,,[],S5,209
150,651,,[],S5,210
1759,714,,[],S5,211
390,585,,[],S5,212
270,518,,[],S5,213
395,527,,[],S5,214
752,675,383.0,[np.int64(752)],S5,215
788,93,,[],S5,216
109,1834,112.0,[],S5,217
37,708,,[],S5,218
517,59,,[],S5,219
802,285,,[],S5,220
336,46,,[],S5,221
636,1809,58.0,[],S5,222
233,758,,[],S5,223
478,75,165.0,[np.int64(478)],S5,224
148,74,,[],S5,225
375,39,,[],S5,226
1703,1825,,[np.int64(1687)],S5,227
1686,135,,[],S5,229
1818,325,,[],S5,230
1834,198,,[np.int64(310)],S5,231
1841,250,,"[np.int64(275), np.int64(1841)]",S5,232
111,413,258.0,[],S5,233
235,1743,,[],S5,234
391,802,,[],S5,235
729,321,,[],S5,236
636,282,58.0,[np.int64(636)],S5,237
702,217,,[],S5,238
76,133,,[],S5,239
708,164,,[],S5,240
1953,487,,[],S5,241
268,275,,[],S5,242
1759,1818,,[],S5,243
708,233,,[],S5,244
227,133,,[],S5,245
478,92,,[],S5,246
361,111,,[],S5,247
708,361,,[],S5,248
390,75,,[],S5,249
152,112,,[],S5,250
148,193,,[],S5,251
1703,337,,[],S5,252
698,217,1961.0,[np.int64(698)],S5,253
788,802,,[],S5,254
383,282,,[],S5,255
46,395,,[],S5,257
2215,2557,,[],S5,258
729,270,,[],S5,259
1834,130,,[],S5,260
708,390,,[],S5,261
1961,605,,[],S5,262
1786,212,,[],S5,263
1718,46,,[],S5,264
1962,1743,,[],S5,265
39,729,,[],S5,267
788,1686,,[],S5,268
708,268,,[],S5,269
37,788,,[],S5,270
