G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,is_sub_row,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1.0,6.0,25.0,8.0,4.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,7.0,5.0,0.0,0.0,4.0,1.3333333333333333,8.0,1.0,0.0,5.0,0.0,0.32,0.32,0.56,0.8800000000000001,0.3684210526315789,0.04,0.2,0.0,0.6153846153846154,0.38461538461538464,1.6,264.24,0.06538461538461593,-0.1764,25.0,0.0,0.0,3.0,0.0,8.0,5.0,S1,-4,ATL,False,2.266,6.0,81,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2118575740602439
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.2126518218623482,-0.043899999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,-3,PIT,False,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0125293407622866
2.0,12.0,53.0,19.0,9.0,2.0,0.0,0.0,11.0,3.0,11.0,0.0,13.0,7.0,1.0,0.0,4.5,1.75,9.5,1.5,1.0,5.5,5.5,0.37254901960784315,0.39622641509433965,0.6470588235294118,1.0432852386237514,0.43243243243243246,0.05660377358490566,0.20754716981132076,0.03773584905660377,0.68,0.32,2.125,235.98039215686273,1.13076923076923,0.1764,51.0,0.0,0.0,5.0,0.0,17.0,8.0,S1,-2,2TM,False,3.6826666666666665,12.0,72,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3499226723923326
1.0,6.0,23.0,5.0,4.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,6.0,4.0,1.0,0.0,4.0,1.0,5.0,2.0,1.0,6.0,6.0,0.22727272727272727,0.2608695652173913,0.5,0.7608695652173914,0.21428571428571427,0.08695652173913043,0.2608695652173913,0.043478260869565216,0.5833333333333334,0.4166666666666667,1.4,265.8181818181818,0.06538461538461521,0.06049999999999998,22.0,0.0,0.0,0.0,0.0,7.0,5.0,S1,-2,TOR,True,4.599333333333333,12.0,72,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19438589121234756
1.0,6.0,30.0,14.0,5.0,1.0,0.0,0.0,5.0,1.0,8.0,0.0,7.0,3.0,0.0,0.0,5.0,2.5,14.0,1.0,1.0,5.0,5.0,0.4827586206896552,0.5,0.7586206896551724,1.2586206896551724,0.5652173913043478,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.7692307692307693,0.23076923076923078,3.3333333333333335,213.3448275862069,1.0653846153846154,0.11589999999999998,29.0,0.0,0.0,5.0,0.0,10.0,3.0,S1,-2,WAS,True,2.766,12.0,72,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15553678117998507
3.0,13.0,56.0,17.0,9.0,4.0,0.0,0.0,9.0,2.0,9.0,0.0,15.0,11.0,0.0,0.0,4.153846153846154,1.6153846153846154,7.846153846153847,0.9230769230769231,1.8461538461538463,4.153846153846153,2.25,0.34,0.375,0.6,0.975,0.36585365853658536,0.03571428571428571,0.16071428571428573,0.07142857142857142,0.6206896551724138,0.3793103448275862,1.6363636363636365,249.3859649122807,-2.2009347661334164,0.43569999999999987,50.0,2.0,0.0,5.0,1.0,18.0,11.0,S1,-1,ATL,False,3.3044615384615383,13.0,70,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.7093005963544419
4.0,14.0,58.0,14.0,10.0,5.0,0.0,0.0,10.0,5.0,7.0,0.0,11.0,14.0,4.0,0.0,4.285714285714286,1.3571428571428572,6.0,2.142857142857143,2.142857142857143,4.285714285714286,2.0,0.2641509433962264,0.3275862068965517,0.6037735849056604,0.9313597918022121,0.23684210526315788,0.08620689655172414,0.1724137931034483,0.08620689655172414,0.4375,0.5625,0.7777777777777778,248.5344827586207,0.8192307692307688,-0.2104,53.0,0.0,0.0,1.0,1.0,14.0,18.0,S1,3,ARI,False,6.051714285714286,14.0,69,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.42475572566591985
3.0,18.0,69.0,18.0,7.0,4.0,0.0,0.0,11.0,4.0,9.0,0.0,25.0,9.0,2.0,0.0,2.3333333333333335,1.2222222222222223,6.0,1.3333333333333333,1.3333333333333333,3.666666666666667,2.75,0.28125,0.3188405797101449,0.5625,0.8813405797101449,0.28,0.057971014492753624,0.15942028985507245,0.057971014492753624,0.7441860465116279,0.2558139534883721,2.909090909090909,272.15942028985506,-4.8038461538461545,-0.026600000000000006,64.0,1.0,0.0,4.0,1.0,32.0,11.0,S1,39,HOU,False,4.099333333333333,18.0,162,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,1.0831576736370425
6.0,28.666666666666668,130.0,37.0,19.0,12.0,1.0,0.0,34.0,1.0,26.0,0.0,17.0,27.0,3.0,0.0,3.9767441860465116,1.7093023255813953,7.7441860465116275,0.20930232558139533,2.511627906976744,7.116279069767441,2.8333333333333335,0.31896551724137934,0.3769230769230769,0.45689655172413796,0.8338196286472148,0.43373493975903615,0.007692307692307693,0.26153846153846155,0.09230769230769231,0.4117647058823529,0.5882352941176471,0.7,240.2890625,-1.6180509431146106,0.36560000000000004,116.0,2.0,0.0,7.0,3.0,21.0,30.0,S1,58,2TM,False,1.1032093023255811,29.333333333333332,94,5.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.2974644794247294
3.0,10.0,44.0,14.0,4.0,3.0,1.0,0.0,13.0,0.0,12.0,0.0,6.0,7.0,1.0,0.0,2.4,1.7,8.399999999999999,0.0,1.7999999999999998,7.800000000000001,4.333333333333333,0.35,0.38636363636363635,0.4,0.7863636363636364,0.5,0.0,0.29545454545454547,0.06818181818181818,0.5,0.5,1.0,243.3409090909091,-0.9074740200376876,0.22819999999999996,40.0,1.0,0.0,2.0,0.0,8.0,8.0,S1,58,MIN,True,0.06599999999999984,29.333333333333332,94,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47512442465749044
