G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
6.0,11.666666666666666,58.0,19.0,11.0,8.0,0.0,0.0,6.0,1.0,8.0,12.0,4.0,8.0,1.0,0.0,5.6571428571428575,2.3142857142857145,9.771428571428572,0.5142857142857142,4.114285714285714,3.0857142857142863,0.75,0.38,0.46551724137931033,0.7,1.1655172413793102,0.4186046511627907,0.017241379310344827,0.10344827586206896,0.13793103448275862,0.6896551724137931,0.3103448275862069,2.2222222222222223,215.93103448275863,1.3757409600919588,-0.2649,50.0,0.0,0.0,7.0,3.0,20.0,9.0,0.0,0.0,0.0,S10,3,KCR,False,KCR,3.3824836988737403,14.0,85.0,7.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.09202571151346031
6.0,13.333333333333334,56.0,17.0,7.0,1.0,0.0,0.0,9.0,0.0,11.0,4.0,4.0,6.0,15.0,0.0,3.15,1.3499999999999999,7.6499999999999995,0.0,0.44999999999999996,4.05,9.0,0.3090909090909091,0.32142857142857145,0.43636363636363634,0.7577922077922078,0.3695652173913043,0.0,0.16071428571428573,0.017857142857142856,0.3225806451612903,0.6774193548387096,0.47619047619047616,250.03508771929825,-2.3740039693753916,-0.2282,55.0,0.0,0.0,5.0,1.0,10.0,21.0,1.0,0.0,1.0,S10,5,TEX,False,TEX,0.11462655601659755,15.333333333333334,82.0,7.987124463519313,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.45908296971803486
7.0,38.666666666666664,160.0,34.0,15.0,18.0,0.0,0.0,31.0,5.0,23.0,18.0,15.0,31.0,13.0,0.0,2.327586206896552,1.3448275862068966,5.275862068965518,0.7758620689655173,2.793103448275862,4.810344827586207,1.7222222222222223,0.23943661971830985,0.325,0.39436619718309857,0.7193661971830986,0.27358490566037735,0.03125,0.19375,0.1125,0.4823529411764706,0.5176470588235295,0.9318181818181818,256.4573170731707,-10.56039848117077,1.4728999999999997,142.0,0.0,0.0,5.0,1.0,41.0,44.0,4.0,0.0,1.0,S10,37,MIA,False,MIA,2.7137644870510806,39.333333333333336,133.0,12.562297128589265,6.0,5.0,4.0,0.0,4.0,2.0,0.0,0.0,0.6666666666666666,1.6894186274899219
7.0,34.333333333333336,131.0,25.0,7.0,9.0,0.0,0.0,28.0,2.0,18.0,11.0,20.0,27.0,10.0,1.0,1.2233009708737863,0.9902912621359222,4.36893203883495,0.3495145631067961,1.5728155339805825,4.893203883495145,3.111111111111111,0.20833333333333334,0.2595419847328244,0.3,0.5595419847328245,0.25,0.015267175572519083,0.21374045801526717,0.06870229007633588,0.4931506849315068,0.5068493150684932,0.972972972972973,273.76296296296294,-18.064172756939072,1.1015,120.0,2.0,0.0,5.0,0.0,36.0,37.0,3.0,1.0,0.75,S10,39,MIA,False,MIA,1.1522479152398986,35.0,166.0,8.98527267391648,5.0,7.0,5.0,3.0,5.0,1.0,0.0,0.0,0.8333333333333334,2.324996151305424
2.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,18.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,190.5,-0.13885493087478062,-0.0644,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S10,73,COL,False,COL,-4.7603734439834025,1.0,19.0,2.2012658776607275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021802727829638623
4.0,22.666666666666668,88.0,17.0,12.0,7.0,0.0,0.0,11.0,4.0,4.0,9.0,12.0,27.0,5.0,0.0,3.176470588235294,1.0588235294117647,4.5,1.0588235294117645,1.8529411764705879,2.911764705882353,1.5714285714285714,0.2125,0.2727272727272727,0.525,0.7977272727272727,0.19696969696969696,0.045454545454545456,0.125,0.07954545454545454,0.41818181818181815,0.5818181818181818,0.71875,254.06593406593407,-2.7581070195643593,0.008599999999999969,80.0,1.0,0.0,5.0,4.0,23.0,32.0,2.0,2.0,0.5,S10,74,SDP,False,SDP,3.4896265560165975,22.333333333333332,95.0,9.995110024449877,4.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.5,0.6241690306115005
7.0,41.666666666666664,189.0,55.0,30.0,17.0,1.0,0.0,27.0,9.0,26.0,20.0,27.0,30.0,13.0,0.0,4.32,1.7280000000000002,7.92,1.2960000000000003,2.4480000000000004,3.888,1.588235294117647,0.3235294117647059,0.38095238095238093,0.6235294117647059,1.0044817927170868,0.3382352941176471,0.047619047619047616,0.14285714285714285,0.08994708994708994,0.5425531914893617,0.4574468085106383,1.186046511627907,245.45454545454547,-1.9043309285182066,-1.988199999999999,170.0,2.0,0.0,16.0,4.0,51.0,43.0,6.0,4.0,0.6,S10,76,COL,False,COL,3.9756265560165978,43.0,69.0,26.375638048673284,5.0,7.0,5.0,0.0,1.0,6.0,0.0,0.0,0.14285714285714285,0.9386117759859935
8.0,20.333333333333332,96.0,29.0,22.0,7.0,0.0,0.0,11.0,8.0,10.0,5.0,5.0,11.0,28.0,0.0,6.491803278688525,1.7704918032786887,8.557377049180328,2.3606557377049184,2.0655737704918034,3.245901639344263,1.5714285714285714,0.3258426966292135,0.375,0.7415730337078652,1.1165730337078652,0.3,0.08333333333333333,0.11458333333333333,0.07291666666666667,0.20408163265306123,0.7959183673469388,0.2564102564102564,232.63917525773195,7.828033133321858,-1.8533000000000002,89.0,0.0,0.0,9.0,2.0,10.0,39.0,0.0,1.0,0.0,S10,100,DET,False,DET,6.305200326508401,22.0,56.0,16.587892980334438,4.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.2,-0.402776045708479
11.0,35.0,136.0,26.0,9.0,13.0,0.0,0.0,9.0,2.0,16.0,36.0,17.0,23.0,11.0,1.0,1.542857142857143,1.1142857142857143,4.457142857142857,0.34285714285714286,2.2285714285714286,1.5428571428571427,0.6923076923076923,0.21138211382113822,0.2867647058823529,0.3333333333333333,0.6200980392156863,0.21428571428571427,0.014705882352941176,0.0661764705882353,0.09558823529411764,0.6421052631578947,0.35789473684210527,1.7941176470588236,261.72661870503595,-16.613076687941888,1.7361000000000002,123.0,0.0,0.0,7.0,1.0,61.0,34.0,3.0,0.0,1.0,S10,103,BAL,False,BAL,2.58248369887374,36.0,191.0,8.0,5.0,8.0,3.0,2.0,6.0,1.0,0.0,0.0,0.8571428571428571,2.1996796312611067
5.0,21.333333333333332,96.0,26.0,16.0,8.0,0.0,0.0,35.0,6.0,12.0,4.0,3.0,13.0,6.0,1.0,4.5,1.59375,7.3125,1.6875,2.25,9.84375,4.375,0.2988505747126437,0.3541666666666667,0.6091954022988506,0.9633620689655173,0.425531914893617,0.0625,0.3645833333333333,0.08333333333333333,0.2962962962962963,0.7037037037037037,0.42105263157894735,233.0,3.108287532370705,-0.8112000000000001,87.0,1.0,0.0,7.0,1.0,8.0,19.0,3.0,1.0,0.75,S10,112,HOU,False,HOU,2.7396265560165975,22.0,67.0,13.96873664285278,5.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.25,0.06919851438663631
