G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1,2.3333333333333335,11,4,2,2,0,0,0,0,0,4,2,3,1,1,0,5.142857142857142,1.7142857142857142,10.285714285714285,0.0,0.0,0.0,,0.4,0.36363636363636365,0.4,0.7636363636363637,0.36363636363636365,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,2.5,282.8181818181818,-0.26775956284153035,-0.42989999999999995,10,1,0,0,0,5,2,0,0,,EG-B,S12,3,False,KCR,KCR,1,1.5637982195845699,3.0,111,2.0,0.0,1.0,0.0,0.0,0,1,0,0,0.0,0.07242372956350526
2,3.6666666666666665,17,4,5,5,2,0,0,5,0,2,2,0,1,3,0,8.181818181818182,1.6363636363636365,6.545454545454547,0.0,3.2727272727272734,8.181818181818183,2.5,0.26666666666666666,0.35294117647058826,0.4,0.7529411764705882,0.4,0.0,0.29411764705882354,0.11764705882352941,0.3333333333333333,0.6666666666666666,0.5,219.21052631578948,1.3811475409836065,-0.3485000000000001,15,0,0,2,0,2,4,2,0,1.0,WC-H,S12,5,False,TEX,TEX,2,0.47288912867547883,4.0,106,2.5327868852459017,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.06756819539390721
1,6.0,23,5,2,2,1,0,0,6,1,2,2,2,5,2,0,2.0,1.0,5.0,1.0,1.0,6.0,6.0,0.22727272727272727,0.2608695652173913,0.45454545454545453,0.7154150197628458,0.26666666666666666,0.043478260869565216,0.2608695652173913,0.043478260869565216,0.4166666666666667,0.5833333333333334,0.7142857142857143,281.2173913043478,-1.8032786885245904,0.14379999999999998,22,0,0,2,0,5,7,0,0,,BS-H,S12,37,False,FLA,FLA,1,2.2304648862512364,6.0,28,1.0,1.0,1.0,1.0,0.0,1,0,0,0,1.0,0.2757732129820137
1,1.6666666666666667,13,5,6,6,3,0,0,0,0,4,0,1,1,3,0,21.599999999999998,4.8,18.0,0.0,10.799999999999999,0.0,0.0,0.5,0.6153846153846154,0.7,1.3153846153846154,0.5,0.0,0.0,0.23076923076923078,0.2,0.8,0.25,206.30769230769232,3.73224043715847,-0.4314,10,0,0,0,1,1,4,0,0,,NH-H,S12,39,False,COL,COL,2,6.96379821958457,1.6666666666666667,488,4.865470852017937,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.31927667529479437
2,2.0,10,3,0,0,2,0,0,1,0,2,1,1,2,0,0,0.0,2.5,9.0,0.0,6.0,3.0,0.5,0.375,0.5,0.5,1.0,0.42857142857142855,0.0,0.1,0.2,0.6,0.4,1.5,211.2,-0.6090019710590835,0.020199999999999944,8,0,0,1,0,3,2,0,0,,NT-H,S12,59,False,SDP,SDP,2,3.56379821958457,2.3333333333333335,87,1.2204225352112674,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.10239817281441037
1,5.0,20,5,5,5,1,0,0,4,3,2,1,5,1,3,0,6.0,1.2,6.0,3.5999999999999996,1.2000000000000002,4.800000000000001,4.0,0.2631578947368421,0.3,0.7368421052631579,1.0368421052631578,0.16666666666666666,0.15,0.2,0.05,0.6363636363636364,0.36363636363636365,1.75,280.42857142857144,1.8306010928961751,-0.11319999999999997,19,0,0,0,0,7,4,1,0,1.0,BF-S,S12,76,False,COL,COL,1,8.36379821958457,5.0,134,4.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.10006415787261347
1,4.0,18,7,4,4,0,0,0,1,0,4,3,2,2,3,0,6.0,1.75,10.5,0.0,0.0,1.5,,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.9444444444444444,0.4117647058823529,0.0,0.05555555555555555,0.0,0.5454545454545454,0.45454545454545453,1.2,252.72222222222223,1.4644808743169397,-0.2353,18,0,0,3,0,6,5,0,0,,WC-B,S12,100,False,DET,DET,2,1.0637982195845699,4.0,167,4.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.07175173115639034
2,6.0,22,3,3,3,1,0,0,3,2,1,5,5,2,3,0,3.0,0.6666666666666666,3.0,2.0,1.0,3.0,3.0,0.14285714285714285,0.18181818181818182,0.42857142857142855,0.6103896103896104,0.0625,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.6666666666666666,0.3333333333333333,2.0,311.40909090909093,-1.437158469945355,-0.12650000000000006,21,0,0,0,0,10,5,0,0,,EG-S,S12,103,False,BAL,BAL,2,5.397131552917903,6.0,84,3.0,1.0,1.0,0.0,0.0,0,1,0,0,0.0,0.23501139355323994
1,5.0,22,5,0,0,3,0,0,8,0,3,2,1,2,1,0,0.0,1.6,6.0,0.0,3.5999999999999996,9.600000000000001,2.6666666666666665,0.2631578947368421,0.36363636363636365,0.42105263157894735,0.784688995215311,0.45454545454545453,0.0,0.36363636363636365,0.13636363636363635,0.5714285714285714,0.42857142857142855,1.3333333333333333,240.95652173913044,-3.169398907103826,0.4288,19,0,0,1,1,4,3,1,0,1.0,TT-H,S12,112,False,HOU,HOU,2,0.16379821958456997,5.0,33,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.40823543726908706
1,3.3333333333333335,17,5,4,4,2,0,0,5,1,3,2,1,2,0,0,7.199999999999999,2.1,9.0,1.7999999999999998,3.5999999999999996,9.0,2.5,0.3333333333333333,0.4117647058823529,0.6666666666666666,1.0784313725490196,0.4444444444444444,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.6,0.4,1.5,208.85,1.7144808743169402,-0.26870000000000005,15,0,0,0,1,3,2,3,0,1.0,BF-H,S12,114,False,TEX,TEX,2,4.26379821958457,3.3333333333333335,63,1.26273022751896,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.10090152872724059
