G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1.0,5.0,22.0,7.0,2.0,2.0,0.0,0.0,4.0,1.0,2.4,1.8,8.399999999999999,1.2000000000000002,2.4000000000000004,4.800000000000001,2.0,0.35,0.4090909090909091,0.6,1.009090909090909,0.4,0.045454545454545456,0.18181818181818182,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.5,214.45454545454547,-0.17439035784359502,0.1763,20.0,0.0,0.0,2.0,0.0,3.0,6.0,S3,-60,MIL,3.3334353481254784,5.0,124,1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.13529447316226267
1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,12.0,0.0,0.0,12.0,0.0,0.4,0.4,0.6,1.0,0.6666666666666666,0.0,0.4,0.0,1.0,0.0,0.0,268.6,0.44155844155844165,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,S3,-59,NYY,-2.866564651874522,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.017370517479047987
4.0,27.0,105.0,18.0,5.0,10.0,0.0,1.0,21.0,0.0,1.1111111111111112,1.037037037037037,4.0,0.0,2.2222222222222223,4.666666666666667,2.1,0.18947368421052632,0.26666666666666666,0.2736842105263158,0.5403508771929825,0.24324324324324326,0.0,0.2,0.09523809523809523,0.44642857142857145,0.5535714285714286,0.8064516129032258,262.84684684684686,-12.954210467394542,3.1193,95.0,0.0,0.0,8.0,0.0,25.0,31.0,S3,-58,STL,0.6889909036810338,26.333333333333332,206,4.0,4.0,4.0,1.0,3,0,0,0,1.0,1.857912906952174
3.0,2.6666666666666665,14.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,6.75,2.25,9.0,0.0,4.5,2.25,0.5,0.36363636363636365,0.42857142857142855,0.5454545454545454,0.974025974025974,0.36363636363636365,0.0,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,229.92307692307693,1.3246753246753247,0.1079,11.0,1.0,0.0,0.0,1.0,3.0,3.0,S3,-57,KCR,2.633435348125478,3.0,59,0.0,2.0,0.0,0.0,0,0,2,0,0.0,-0.05746861777250316
3.0,5.333333333333333,23.0,5.0,7.0,2.0,0.0,0.0,8.0,5.0,7.875,1.3125,5.625,5.625,2.25,9.0,4.0,0.23809523809523808,0.30434782608695654,0.9523809523809523,1.2567287784679089,0.0,0.21739130434782608,0.34782608695652173,0.08695652173913043,0.375,0.625,0.6,235.33333333333334,3.9998274933707467,-0.5078999999999999,21.0,0.0,0.0,0.0,0.0,3.0,5.0,S3,-56,LAA,11.445935348125477,5.333333333333333,39,3.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.2767702466238123
6.0,17.666666666666668,78.0,18.0,11.0,7.0,1.0,2.0,12.0,4.0,3.735849056603773,1.4150943396226414,6.113207547169811,1.3584905660377358,2.3773584905660377,4.0754716981132075,1.7142857142857142,0.2608695652173913,0.32051282051282054,0.5652173913043478,0.8857302118171684,0.2545454545454545,0.05128205128205128,0.15384615384615385,0.08974358974358974,0.38461538461538464,0.6153846153846154,0.625,252.06410256410257,1.6263325069948376,0.49999999999999994,69.0,2.0,0.0,5.0,2.0,15.0,24.0,S3,-55,CLE/MTL,3.907020253785855,18.666666666666668,88,5.0,0.0,0.0,0.0,1,2,0,0,0.3333333333333333,0.25521784545853665
2.0,4.666666666666667,20.0,4.0,3.0,3.0,0.0,1.0,3.0,0.0,3.8571428571428568,1.5,5.142857142857142,0.0,3.8571428571428568,3.8571428571428568,1.0,0.23529411764705882,0.35,0.4117647058823529,0.7617647058823529,0.2857142857142857,0.0,0.15,0.15,0.4,0.6,0.6666666666666666,229.33333333333334,0.4074684779402311,0.10209999999999994,17.0,0.0,0.0,3.0,0.0,4.0,6.0,S3,-54,LAA,1.776292490982621,5.666666666666667,122,,,,,2,0,0,2,1.0,0.0663944589131616
2.0,5.333333333333333,27.0,6.0,6.0,4.0,0.0,1.0,8.0,2.0,6.75,1.875,6.75,2.25,4.5,9.0,2.0,0.2727272727272727,0.37037037037037035,0.6363636363636364,1.0067340067340067,0.3076923076923077,0.07407407407407407,0.2962962962962963,0.14814814814814814,0.75,0.25,3.0,254.34615384615384,3.0968144174665917,-0.4386000000000001,22.0,1.0,0.0,0.0,1.0,6.0,2.0,S3,-46,MTL,5.258435348125478,5.666666666666667,56,2.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.1650406776919598
8.0,30.666666666666668,128.0,26.0,17.0,17.0,0.0,2.0,33.0,4.0,3.326086956521739,1.4021739130434783,5.086956521739131,0.7826086956521738,3.3260869565217392,6.456521739130434,1.9411764705882353,0.23423423423423423,0.3359375,0.4864864864864865,0.8224239864864865,0.2972972972972973,0.03125,0.2578125,0.1328125,0.4230769230769231,0.5769230769230769,0.7333333333333333,259.0952380952381,1.5543783312516035,0.3871000000000001,111.0,0.0,0.0,10.0,3.0,22.0,30.0,S3,2,ARI,2.339957087255913,30.333333333333332,99,6.0,3.0,2.0,0.0,0,2,1,0,0.0,0.5302665298008218
10.0,16.666666666666668,65.0,17.0,4.0,3.0,1.0,0.0,8.0,2.0,1.44,1.2,6.12,0.72,1.08,2.88,2.6666666666666665,0.27419354838709675,0.3076923076923077,0.5483870967741935,0.8560794044665012,0.28846153846153844,0.03076923076923077,0.12307692307692308,0.046153846153846156,0.7837837837837838,0.21621621621621623,3.625,258.968253968254,-6.87648782895183,-0.3188,62.0,0.0,0.0,5.0,3.0,29.0,8.0,S3,3,ARI,2.273435348125478,18.666666666666668,157,2.0,8.0,0.0,0.0,4,1,0,0,0.8,1.0358580296935334
