G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,WAR
12.0,33.333333333333336,146.0,37.0,19.0,13.0,2.0,29.0,9.0,3.42,1.5,6.659999999999999,1.6199999999999997,2.34,5.219999999999999,2.230769230769231,0.2824427480916031,0.3424657534246575,0.549618320610687,0.8920840740353446,0.29473684210526313,0.06164383561643835,0.19863013698630136,0.08904109589041095,0.5714285714285714,0.42857142857142855,1.3333333333333333,257.9793103448276,-6.776788731661852,-0.5139159999999997,131.0,2.0,0.0,8.0,0.0,40.0,30.0,S4,2,4.238630136986301,34.333333333333336,74,5.0,8.0,2.0,0.0,2,4,2,0,1.2873709205435118
5.0,20.666666666666668,88.0,21.0,12.0,6.0,0.0,13.0,8.0,3.4838709677419355,1.3064516129032258,6.096774193548387,2.32258064516129,1.7419354838709675,3.774193548387097,2.1666666666666665,0.25925925925925924,0.3068181818181818,0.6666666666666666,0.9734848484848484,0.21311475409836064,0.09090909090909091,0.14772727272727273,0.06818181818181818,0.6938775510204082,0.30612244897959184,2.2666666666666666,244.7816091954023,-1.290638101201008,0.809052,81.0,1.0,0.0,5.0,2.0,34.0,15.0,S4,3,5.943791427308881,20.666666666666668,117,4.0,2.0,1.0,1.0,3,1,0,0,0.4965494277173935
10.0,14.666666666666666,62.0,15.0,12.0,4.0,0.0,17.0,5.0,4.909090909090909,1.2954545454545454,6.136363636363637,2.045454545454546,1.6363636363636367,6.954545454545455,4.25,0.25862068965517243,0.3064516129032258,0.603448275862069,0.9098998887652947,0.2777777777777778,0.08064516129032258,0.27419354838709675,0.06451612903225806,0.46153846153846156,0.5384615384615384,0.8571428571428571,253.0483870967742,2.3016365446727365,0.21066100000000004,58.0,0.0,0.0,3.0,1.0,12.0,14.0,S4,4,4.230448318804483,15.666666666666666,73,1.0,8.0,0.0,0.0,1,1,3,0,0.028746667021728057
6.0,25.333333333333332,109.0,26.0,12.0,9.0,1.0,9.0,4.0,2.8421052631578947,1.381578947368421,6.157894736842106,0.9473684210526316,2.1315789473684212,2.1315789473684212,1.0,0.26262626262626265,0.3211009174311927,0.47474747474747475,0.7958483921786674,0.25287356321839083,0.03669724770642202,0.08256880733944955,0.08256880733944955,0.29850746268656714,0.7014925373134329,0.425531914893617,236.48598130841123,-4.1623173800218956,0.44919999999999977,99.0,1.0,0.0,9.0,0.0,20.0,47.0,S4,5,3.7065248738284065,25.333333333333332,119,5.0,4.0,3.0,0.0,1,4,0,0,0.8714127870715636
3.0,8.0,37.0,8.0,2.0,6.0,0.0,10.0,1.0,1.5,1.75,6.0,0.75,4.5,7.5,1.6666666666666667,0.25806451612903225,0.3783783783783784,0.45161290322580644,0.8299912816041848,0.35,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.42857142857142855,0.5714285714285714,0.75,228.16666666666666,-1.8892385600494666,0.1455,31.0,0.0,0.0,1.0,1.0,6.0,8.0,S4,19,2.673630136986301,8.666666666666666,119,2.0,0.0,0.0,0.0,1,0,0,0,0.3434348543128993
10.0,25.0,113.0,31.0,16.0,11.0,1.0,19.0,4.0,3.84,1.68,7.4399999999999995,0.96,2.64,4.5600000000000005,1.7272727272727273,0.31,0.37168141592920356,0.61,0.9816814159292035,0.34177215189873417,0.035398230088495575,0.168141592920354,0.09734513274336283,0.4107142857142857,0.5892857142857143,0.696969696969697,231.67857142857142,1.3887362354707706,-0.28558900000000004,100.0,2.0,0.0,10.0,4.0,23.0,33.0,S4,20,3.178630136986301,25.0,73,5.0,1.0,0.0,0.0,3,1,1,1,0.33301131723126476
6.0,29.0,118.0,20.0,12.0,19.0,0.0,22.0,5.0,2.4827586206896552,1.3448275862068966,4.137931034482759,1.0344827586206897,3.9310344827586206,4.551724137931034,1.1578947368421053,0.20202020202020202,0.3305084745762712,0.3838383838383838,0.7143468584146551,0.20833333333333334,0.0423728813559322,0.1864406779661017,0.16101694915254236,0.6461538461538462,0.35384615384615387,1.826086956521739,259.5739130434783,-6.232426629640514,0.16152700000000006,99.0,0.0,0.0,3.0,0.0,42.0,23.0,S4,21,3.9882853094000943,29.333333333333332,138,5.0,3.0,3.0,1.0,4,1,0,0,1.116007468378603
7.0,23.333333333333332,112.0,28.0,17.0,22.0,0.0,15.0,4.0,4.371428571428572,2.142857142857143,7.199999999999999,1.0285714285714285,5.6571428571428575,3.8571428571428577,0.6818181818181818,0.3111111111111111,0.44642857142857145,0.5222222222222223,0.9686507936507938,0.3380281690140845,0.03571428571428571,0.13392857142857142,0.19642857142857142,0.6226415094339622,0.37735849056603776,1.65,240.3913043478261,5.76506593709319,-0.7837999999999998,90.0,0.0,0.0,7.0,0.0,33.0,20.0,S4,22,5.070058708414873,23.0,64,6.0,2.0,1.0,1.0,1,3,0,0,-0.10879762585821906
9.0,40.0,171.0,42.0,17.0,16.0,1.0,35.0,7.0,2.55,1.45,6.300000000000001,1.0499999999999998,2.4000000000000004,5.25,2.1875,0.27450980392156865,0.3391812865497076,0.45751633986928103,0.7966976264189887,0.30973451327433627,0.04093567251461988,0.2046783625730994,0.0935672514619883,0.4819277108433735,0.5180722891566265,0.9302325581395349,248.88135593220338,-8.031057687168323,0.22190000000000004,153.0,2.0,0.0,7.0,0.0,40.0,43.0,S4,37,3.0236301369863012,41.333333333333336,156,7.0,6.0,4.0,2.0,3,2,0,0,1.5171971392752082
1.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,3.0,9.0,3.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,317.5,-1.2558575445173383,0.1333,5.0,0.0,0.0,0.0,0.0,2.0,1.0,S4,38,-0.20136986301369886,2.0,0,0.0,1.0,0.0,0.0,0,0,1,0,0.15064159201518562
8.0,40.666666666666664,180.0,38.0,23.0,26.0,0.0,26.0,5.0,3.3934426229508197,1.5737704918032789,5.606557377049181,0.7377049180327869,3.836065573770492,3.836065573770492,1.0,0.25165562913907286,0.35555555555555557,0.47019867549668876,0.8257542310522443,0.2682926829268293,0.027777777777777776,0.14444444444444443,0.14444444444444443,0.574468085106383,0.425531914893617,1.35,257.07650273224044,-1.755955537434259,0.2869680000000001,151.0,3.0,0.0,12.0,3.0,54.0,40.0,S4,39,3.536335055019088,40.666666666666664,174,7.0,7.0,6.0,2.0,2,4,0,0,0.9272706806469792
9.0,29.666666666666668,136.0,36.0,24.0,16.0,2.0,23.0,6.0,4.853932584269662,1.7528089887640448,7.2808988764044935,1.2134831460674156,3.235955056179775,4.651685393258427,1.4375,0.3,0.38235294117647056,0.5833333333333334,0.9656862745098039,0.32967032967032966,0.04411764705882353,0.16911764705882354,0.11764705882352941,0.484375,0.515625,0.9393939393939394,237.43262411347519,3.6469503934825402,-0.3792,120.0,0.0,0.0,6.0,5.0,31.0,33.0,S4,42,3.995259350469447,30.666666666666668,73,4.0,5.0,3.0,1.0,3,3,0,0,0.20323727875665298
11.0,32.333333333333336,139.0,31.0,27.0,14.0,0.0,50.0,10.0,5.010309278350515,1.3917525773195876,5.752577319587628,1.8556701030927831,2.5979381443298966,9.278350515463917,3.5714285714285716,0.248,0.3237410071942446,0.584,0.9077410071942446,0.3230769230769231,0.07194244604316546,0.3597122302158273,0.10071942446043165,0.40425531914893614,0.5957446808510638,0.6785714285714286,248.13868613138686,9.395246911080744,-0.38130000000000003,125.0,0.0,0.0,6.0,3.0,19.0,28.0,S4,58,3.525434260697641,33.333333333333336,85,9.0,1.0,0.0,0.0,2,5,0,1,-0.3590644542214415
6.0,28.333333333333332,110.0,19.0,9.0,13.0,1.0,21.0,1.0,1.9058823529411766,1.1294117647058823,4.023529411764706,0.21176470588235294,2.7529411764705882,4.447058823529412,1.6153846153846154,0.19791666666666666,0.2909090909090909,0.2916666666666667,0.5825757575757575,0.24,0.00909090909090909,0.19090909090909092,0.11818181818181818,0.546875,0.453125,1.206896551724138,248.57798165137615,-8.865532925051891,1.0759,96.0,1.0,0.0,4.0,1.0,35.0,29.0,S4,59,1.6515713134568895,29.0,195,4.0,4.0,2.0,1.0,3,2,0,0,1.3459103145018052
1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,296.6666666666667,-0.6279287722586692,0.0016449999999999998,2.0,0.0,0.0,0.0,0.0,2.0,0.0,S4,66,2.298630136986301,1.0,0,,,,,0,0,0,1,0.07532079600759281
6.0,16.0,75.0,31.0,12.0,3.0,0.0,6.0,4.0,4.5,2.125,11.625,1.5,1.125,2.25,2.0,0.4305555555555556,0.4533333333333333,0.7222222222222222,1.1755555555555555,0.43548387096774194,0.05333333333333334,0.08,0.04,0.7368421052631579,0.2631578947368421,2.8,222.13253012048193,2.241385734474339,-0.45089999999999997,72.0,0.0,0.0,7.0,1.0,28.0,10.0,S4,70,4.361130136986301,16.0,44,4.0,2.0,1.0,0.0,0,3,0,0,0.08905939609571334
8.0,26.666666666666668,112.0,21.0,19.0,18.0,0.0,39.0,6.0,4.2749999999999995,1.4625,4.725,1.3499999999999999,4.05,8.774999999999999,2.1666666666666665,0.22580645161290322,0.3482142857142857,0.46236559139784944,0.8105798771121351,0.30612244897959184,0.05357142857142857,0.3482142857142857,0.16071428571428573,0.625,0.375,1.6666666666666667,250.5391304347826,2.7978958309406243,0.0005590000000000872,93.0,1.0,0.0,4.0,0.0,25.0,15.0,S4,74,3.323630136986301,27.0,111,7.0,2.0,1.0,1.0,1,3,1,0,0.18791938475703746
