Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Lump Beefbroth,,,Oscar Vinegrette,252.0,,Auto K,,T1,0,0,0,0,,,0,0,1,1,1,HOF,CSUF,Auto K,Auto K,,9
Owen Thirlwell,156.0,892.0,Oscar Vinegrette,252.0,569.0,K,323.0,T1,1,0,0,0,,,0,0,1,1,1,HOF,CSUF,K,K,,1
Harry Peritestes,117.0,212.0,Oscar Vinegrette,252.0,568.0,K,356.0,T1,2,0,0,0,,,0,0,1,1,1,HOF,CSUF,K,K,,1
Jeffy Jefferson,265.0,214.0,Connor XVX,150.0,292.0,1B,78.0,B1,0,0,0,0,,,0,1,2,1,1,CSUF,HOF,1B,1B,,1
Carlos Brownson,132.0,743.0,Connor XVX,150.0,680.0,1B,63.0,B1,0,1,0,0,,,0,1,2,1,1,CSUF,HOF,1B,1B,,1
Javier Tootblan,192.0,854.0,Connor XVX,150.0,575.0,K,279.0,B1,0,4,0,0,,,0,0,2,1,1,CSUF,HOF,K,K,,1
Lloyd Gross,135.0,892.0,Connor XVX,150.0,555.0,K,337.0,B1,1,4,0,0,,,0,0,2,1,1,CSUF,HOF,K,K,,1
Emile B. Beezbowl,,205.0,Connor XVX,150.0,212.0,HR,7.0,B1,2,4,0,0,,,3,1,2,1,1,CSUF,HOF,HR,HR,,1
Chad Berry,172.0,518.0,Connor XVX,150.0,13.0,LGO,495.0,B1,2,0,3,0,,,0,0,2,1,1,CSUF,HOF,LGO,LGO,,1
John Johnson,,87.0,Oscar Vinegrette,252.0,847.0,FO,240.0,T2,0,0,3,0,,,0,0,3,1,1,HOF,CSUF,FO,FO,,1
Jimjon Jonjim,272.0,586.0,Oscar Vinegrette,252.0,769.0,FO,183.0,T2,1,0,3,0,,,0,0,3,1,1,HOF,CSUF,FO,FO,,1
I.B.O. Bust,186.0,638.0,Oscar Vinegrette,252.0,300.0,K,338.0,T2,2,0,3,0,,,0,0,3,1,1,HOF,CSUF,K,K,,1
Mac Aves,154.0,210.0,Connor XVX,150.0,616.0,PO,406.0,B2,0,0,3,0,,,0,0,4,1,1,CSUF,HOF,PO,PO,,1
Ryan Vauhn,442.0,250.0,Connor XVX,150.0,899.0,PO,351.0,B2,1,0,3,0,,,0,0,4,1,1,CSUF,HOF,PO,PO,,1
Donnie Draper,138.0,,Connor XVX,150.0,,Auto BB,,B2,2,0,3,0,,,0,0,4,1,1,CSUF,HOF,Auto BB,Auto BB,,10
Jeffy Jefferson,265.0,,Damon Rutherford,,,Auto BB,,B2,2,1,3,0,,,0,0,4,1,1,CSUF,HOF,Auto BB,Auto BB,,10
Carlos Brownson,132.0,355.0,Bert Harris,428.0,965.0,PO,390.0,B2,2,4,3,0,,,0,0,4,1,1,CSUF,HOF,PO,PO,,1
Jack Medof,435.0,444.0,Oscar Vinegrette,252.0,567.0,BB,123.0,T3,0,0,3,0,,,0,0,5,1,1,HOF,CSUF,BB,BB,,1
Josh Gordon,409.0,745.0,Oscar Vinegrette,252.0,66.0,K,321.0,T3,0,1,3,0,,,0,0,5,1,1,HOF,CSUF,K,K,,1
Overdi Fenz,461.0,587.0,Oscar Vinegrette,252.0,900.0,FO,313.0,T3,1,1,3,0,,,0,0,5,1,1,HOF,CSUF,FO,FO,,1
Lump Beefbroth,,473.0,Oscar Vinegrette,252.0,311.0,FO,162.0,T3,2,1,3,0,,,0,0,5,1,1,HOF,CSUF,FO,FO,,1
Benji Bjorn,427.0,270.0,Charles Magnus,220.0,874.0,PO,396.0,T1,0,0,0,0,,,0,0,6,2,1,TOL,TCU,PO,PO,,1
Jered Bentley,420.0,420.0,Charles Magnus,220.0,377.0,2B,43.0,T1,1,0,0,0,,,0,1,6,2,1,TOL,TCU,2B,2B,,1
Coco Watanabe,204.0,834.0,Charles Magnus,220.0,777.0,1B,57.0,T1,1,2,0,0,,,0,0,6,2,1,TOL,TCU,1B,1B,,1
Ronald McChimbus,61.0,569.0,Charles Magnus,220.0,714.0,BB,145.0,T1,1,5,0,0,,,0,0,6,2,1,TOL,TCU,BB,BB,,1
Dart Ragusa,134.0,236.0,Charles Magnus,220.0,86.0,Sac,150.0,T1,1,7,0,0,,,1,0,6,2,1,TOL,TCU,FO,Sac,,1
Tanner Barrios,,,Charles Magnus,220.0,,Auto K,,T1,2,4,0,1,,,0,0,6,2,1,TOL,TCU,Auto K,Auto K,,9
River Ride,342.0,583.0,Richard Saks,321.0,784.0,FO,201.0,B1,0,0,0,1,,,0,0,7,2,1,TCU,TOL,FO,FO,,1
Barney Turbo,28.0,345.0,Richard Saks,321.0,263.0,1B,82.0,B1,1,0,0,1,,,0,1,7,2,1,TCU,TOL,1B,1B,,1
Solf J. Kimblee,335.0,12.0,Richard Saks,321.0,903.0,1B,109.0,B1,1,1,0,1,,,0,1,7,2,1,TCU,TOL,1B,1B,,1
Walnuts Labonte,261.0,222.0,Richard Saks,321.0,857.0,K,365.0,B1,1,4,0,1,,,0,0,7,2,1,TCU,TOL,K,K,,1
Odin Luka,9.0,833.0,Richard Saks,321.0,821.0,HR,12.0,B1,2,4,0,1,,,3,1,7,2,1,TCU,TOL,HR,HR,,1
Chaz McDunnough,121.0,154.0,Richard Saks,321.0,63.0,1B,91.0,B1,2,0,3,1,,,0,0,7,2,1,TCU,TOL,1B,1B,,1
Dread Scott,,348.0,Richard Saks,321.0,987.0,K,361.0,B1,2,1,3,1,,,0,0,7,2,1,TCU,TOL,K,K,,1
Hookie McCrash,,,Charles Magnus,220.0,999.0,FO,235.0,T2,0,0,3,1,,,0,0,8,2,1,TOL,TCU,FO,FO,,1
Boof Boog,437.0,119.0,Charles Magnus,220.0,149.0,2B,30.0,T2,1,0,3,1,,,0,0,8,2,1,TOL,TCU,2B,2B,,1
Jerry Jingles,146.0,,Charles Magnus,220.0,,Auto BB,,T2,1,2,3,1,,,0,0,8,2,1,TOL,TCU,Auto BB,Auto BB,,10
Benji Bjorn,427.0,885.0,Charles Magnus,220.0,679.0,FO,206.0,T2,1,4,3,1,,,0,0,8,2,1,TOL,TCU,FO,FO,,1
Jered Bentley,420.0,420.0,Charles Magnus,220.0,149.0,FO,271.0,T2,2,4,3,1,,,0,0,8,2,1,TOL,TCU,FO,FO,,1
Aaron IceCream,358.0,753.0,Richard Saks,321.0,68.0,K,315.0,B2,0,0,3,1,,,0,0,9,2,1,TCU,TOL,K,K,,1
Charles Magnus,220.0,999.0,Richard Saks,321.0,711.0,K,288.0,B2,1,0,3,1,,,0,0,9,2,1,TCU,TOL,K,K,,1
River Ride,342.0,656.0,Richard Saks,321.0,378.0,K,278.0,B2,2,0,3,1,,,0,0,9,2,1,TCU,TOL,K,K,,1
Coco Watanabe,204.0,491.0,Charles Magnus,220.0,500.0,HR,9.0,T3,0,0,3,1,,,1,1,10,2,1,TOL,TCU,HR,HR,,1
Ronald McChimbus,61.0,100.0,Charles Magnus,220.0,500.0,PO,400.0,T3,0,0,3,2,,,0,0,10,2,1,TOL,TCU,PO,PO,,1
Dart Ragusa,134.0,500.0,Charles Magnus,220.0,131.0,RGO,369.0,T3,1,0,3,2,,,0,0,10,2,1,TOL,TCU,RGO,RGO,,1
Tanner Barrios,,612.0,Charles Magnus,220.0,199.0,RGO,413.0,T3,2,0,3,2,,,0,0,10,2,1,TOL,TCU,RGO,RGO,,1
Rooty Duffer,,,Todd Bonzalez,60.0,,Auto K,,T1,0,0,0,0,,,0,0,11,3,1,RIC,NEB,Auto K,Auto K,,9
Eric Leeder,29.0,104.0,Todd Bonzalez,60.0,74.0,2B,30.0,T1,1,0,0,0,,,0,0,11,3,1,RIC,NEB,2B,2B,,1
Andrew Nova,191.0,628.0,Todd Bonzalez,60.0,195.0,RGO,433.0,T1,1,2,0,0,,,0,0,11,3,1,RIC,NEB,RGO,RGO,,1
Annie's Boobs,,450.0,Todd Bonzalez,60.0,33.0,RGO,417.0,T1,2,3,0,0,,,0,0,11,3,1,RIC,NEB,RGO,RGO,,1
Mattress Cadaire,116.0,785.0,Valeria Lisova,183.0,802.0,3B,17.0,B1,0,0,0,0,,,0,1,12,3,1,NEB,RIC,3B,3B,,1
Daniel Dover,66.0,212.0,Valeria Lisova,183.0,571.0,K,359.0,B1,0,3,0,0,,,0,0,12,3,1,NEB,RIC,K,K,,1
Antonin Periwinkle,185.0,43.0,Valeria Lisova,183.0,151.0,1B,108.0,B1,1,3,0,0,,,1,0,12,3,1,NEB,RIC,1B,1B,,1
Moody Maurey,,605.0,Valeria Lisova,183.0,314.0,K,291.0,B1,1,1,1,0,,,0,0,12,3,1,NEB,RIC,K,K,,1
Slapshot Brady,141.0,785.0,Valeria Lisova,183.0,466.0,K,319.0,B1,2,1,1,0,,,0,0,12,3,1,NEB,RIC,K,K,,1
Tommy Oldman,143.0,201.0,Todd Bonzalez,60.0,902.0,K,299.0,T2,0,0,1,0,,,0,0,13,3,1,RIC,NEB,K,K,,1
Niko Banks,430.0,742.0,Todd Bonzalez,60.0,886.0,BB,144.0,T2,1,0,1,0,,,0,0,13,3,1,RIC,NEB,BB,BB,,1
Jericho Caulfield,36.0,850.0,Todd Bonzalez,60.0,545.0,K,305.0,T2,1,1,1,0,,,0,0,13,3,1,RIC,NEB,K,K,,1
Tommy Testudo,208.0,684.0,Todd Bonzalez,60.0,876.0,FO,192.0,T2,2,1,1,0,,,0,0,13,3,1,RIC,NEB,FO,FO,,1
Jeff Dingerhitter,298.0,734.0,Valeria Lisova,183.0,541.0,FO,193.0,B2,0,0,1,0,,,0,0,14,3,1,NEB,RIC,FO,FO,,1
