Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Edge Rocks,2281,669.0,Mark Spoon,2377,333.0,K,336.0,T1,0,0,0,0,-2.51%,2.51%,0,0,0,1,1,1,OSU,NEB,K,K,K,1
Tristan Philip-guide,2356,350.0,Mark Spoon,2377,574.0,FO,224.0,T1,1,0,0,0,-2.18%,2.18%,0,0,0,1,1,1,OSU,NEB,FO,FO,FO,1
Egor Kucherov,2342,716.0,Mark Spoon,2377,122.0,RGO,406.0,T1,2,0,0,0,-1.76%,1.76%,0,0,0,1,1,1,OSU,NEB,RGO,RGO,RGO,1
Jack Micro,2338,276.0,Herb Sessions,2245,760.0,LGO,484.0,B1,0,0,0,0,-2.48%,2.48%,0,0,0,2,1,1,NEB,OSU,LGO,LGO,LGO,1
Corn Barn,2337,625.0,Herb Sessions,2245,2.0,RGO,377.0,B1,1,0,0,0,-2.17%,2.17%,0,0,0,2,1,1,NEB,OSU,RGO,RGO,K,1
Warren Peace,2352,659.0,Herb Sessions,2245,521.0,BB,138.0,B1,2,0,0,0,1.90%,-1.90%,0,0,0,2,1,1,NEB,OSU,BB,BB,BB,1
Juran Riley,2333,850.0,Herb Sessions,2245,322.0,LGO,472.0,B1,2,1,0,0,-3.69%,3.69%,0,0,0,2,1,1,NEB,OSU,LGO,LGO,LGO,1
Large Attractive,2452,420.0,Mark Spoon,2377,891.0,LGO,471.0,T2,0,0,0,0,-2.72%,2.72%,0,0,0,3,1,1,OSU,NEB,LGO,LGO,LGO,1
Patrick Stump,2173,330.0,Mark Spoon,2377,13.0,K,317.0,T2,1,0,0,0,-2.40%,2.40%,0,0,0,3,1,1,OSU,NEB,K,K,K,1
Perry Platypus,2332,650.0,Mark Spoon,2377,522.0,BB,128.0,T2,2,0,0,0,2.15%,-2.15%,0,0,0,3,1,1,OSU,NEB,BB,BB,1B,1
Smoke Anderson,1839,327.0,Mark Spoon,2377,244.0,1B,83.0,T2,2,1,0,0,3.19%,-3.19%,0,0,0,3,1,1,OSU,NEB,1B,1B,1B,1
Stan Francisco,2378,744.0,Mark Spoon,2377,969.0,FO,225.0,T2,2,5,0,0,-7.33%,7.33%,0,0,0,3,1,1,OSU,NEB,FO,FO,FO,1
Richard Thumpus,2375,840.0,Herb Sessions,2245,321.0,LGO,481.0,B2,0,0,0,0,-2.72%,2.72%,0,0,0,4,1,1,NEB,OSU,LGO,LGO,LGO,1
Josh Peterson,2285,357.0,Herb Sessions,2245,619.0,FO,262.0,B2,1,0,0,0,-2.38%,2.38%,0,0,0,4,1,1,NEB,OSU,FO,FO,FO,1
Don Foster,2360,256.0,Herb Sessions,2245,666.0,RGO,410.0,B2,2,0,0,0,-2.03%,2.03%,0,0,0,4,1,1,NEB,OSU,RGO,RGO,RGO,1
Lionel Houser,2374,711.0,Mark Spoon,2377,157.0,RGO,446.0,T3,0,0,0,0,-3.03%,3.03%,0,0,0,5,1,1,OSU,NEB,RGO,RGO,RGO,1
Edge Rocks,2281,343.0,Mark Spoon,2377,711.0,PO,368.0,T3,1,0,0,0,-2.74%,2.74%,0,0,0,5,1,1,OSU,NEB,PO,PO,K,1
Tristan Philip-guide,2356,724.0,Mark Spoon,2377,3.0,K,279.0,T3,2,0,0,0,-2.31%,2.31%,0,0,0,5,1,1,OSU,NEB,K,K,FO,1
