Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Bill Stokes,2539,138.0,Martin Ducksworth,2523,85.0,2B,53.0,T1,0,0,0,0,6.33%,-6.33%,0,0,1,1,1,UVA,USF,2B,2B,2B,,,,,1
Herb Bumbleflower,2532,400.0,Martin Ducksworth,2523,947.0,PO,453.0,T1,0,2,0,0,-4.19%,4.19%,0,0,1,1,1,UVA,USF,PO,PO,LGO,,,,,1
Nima Meile,2541,564.0,Martin Ducksworth,2523,23.0,LGO,459.0,T1,1,2,0,0,-3.78%,3.78%,0,0,1,1,1,UVA,USF,LGO,LGO,LGO,,,,,1
Bim Bam,2536,894.0,Martin Ducksworth,2523,710.0,FO,184.0,T1,2,2,0,0,-4.81%,4.81%,0,0,1,1,1,UVA,USF,FO,FO,FO,,,,,1
Munki Oshu,2568,444.0,Jacob deGem,2540,121.0,K,323.0,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,USF,UVA,K,K,K,,,,,1
Rollie Dingers,2520,215.0,Jacob deGem,2540,890.0,K,325.0,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,USF,UVA,K,K,K,,,,,1
Iosef Mere,2530,,Jacob deGem,2540,,Auto K,0.0,B1,2,0,0,0,-1.79%,1.79%,0,0,2,1,1,USF,UVA,Auto K,Auto K,Auto K,,,,,9
Ovaltine Jenkins,2542,124.0,Martin Ducksworth,2523,62.0,2B,62.0,T2,0,0,0,0,6.81%,-6.81%,0,0,3,1,1,UVA,USF,2B,2B,2B,,,,,1
Medium Goose,2569,678.0,Martin Ducksworth,2523,951.0,K,273.0,T2,0,2,0,0,-4.42%,4.42%,0,0,3,1,1,UVA,USF,K,K,FO,,,,,1
Brayden Ennis,2537,975.0,Martin Ducksworth,2523,70.0,1B,95.0,T2,1,2,0,0,5.42%,-5.42%,0,0,3,1,1,UVA,USF,1B,1B,1B,,,,,1
Jake Kim,2535,5.0,Martin Ducksworth,2523,483.0,DP,478.0,T2,1,5,0,0,-14.92%,14.92%,0,0,3,1,1,UVA,USF,LGO,LGO,DP,,,,,1
Billy Wurtz,2531,427.0,Jacob deGem,2540,415.0,HR,12.0,B2,0,0,0,0,13.33%,-13.33%,1,1,4,1,1,USF,UVA,HR,HR,HR,,,,2540.0,1
