Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral
Mr. Irresistible,431.0,348.0,Dylan Green,305.0,420.0,1B,72,T1,0,0,,,,,0,1,1,1,1,BER,BAY,,,
Niko Banks,430.0,69.0,Dylan Green,305.0,900.0,BB,169,T1,0,1,,,,,0,0,1,1,1,BER,BAY,,,
Grigury Polinko,452.0,12.0,Dylan Green,305.0,115.0,1B,103,T1,0,4,,,,,0,0,1,1,1,BER,BAY,,,
Mac Aves,154.0,949.0,Giminy Schlimjim,188.0,501.0,DP,448,T1,0,7,,,,,1,0,1,1,1,BER,BAY,,,
Pickle Rick,150.0,69.0,Giminy Schlimjim,188.0,696.0,RGO,373,T1,2,3,,,,,0,0,1,1,1,BER,BAY,,,
Alex Peters,187.0,,Silver Shore,,,Auto BB,,B1,0,0,,,,,0,0,2,1,1,BAY,BER,,,
Javier Tootblan,192.0,555.0,Angel Leon,234.0,343.0,FO,212,B1,0,1,,,,,0,0,2,1,1,BAY,BER,,,
Giminy Schlimjim,188.0,111.0,Angel Leon,234.0,898.0,FO,213,B1,1,1,,,,,0,0,2,1,1,BAY,BER,,,
Emma Twatson,344.0,788.0,Angel Leon,234.0,887.0,1B,99,B1,2,1,,,,,0,0,2,1,1,BAY,BER,,,
Chunky Dongmeister,348.0,370.0,Angel Leon,234.0,598.0,FO,228,B1,2,4,,,,,0,0,2,1,1,BAY,BER,,,
Jay Embee,2069.0,,Giminy Schlimjim,188.0,,Auto K,,T2,0,0,,,,,0,0,3,1,1,BER,BAY,,,
Robert Callahan,465.0,411.0,Giminy Schlimjim,188.0,484.0,1B,73,T2,1,0,,,,,0,0,3,1,1,BER,BAY,,,
Girth Brooks,161.0,907.0,Giminy Schlimjim,188.0,573.0,PO,334,T2,1,1,,,,,0,0,3,1,1,BER,BAY,,,
Angel Leon,234.0,509.0,Giminy Schlimjim,188.0,345.0,BB,164,T2,2,1,,,,,0,0,3,1,1,BER,BAY,,,
Mr. Irresistible,431.0,,Giminy Schlimjim,188.0,,Auto K,,T2,2,4,,,,,0,0,3,1,1,BER,BAY,,,
Heinrich Frosch,343.0,318.0,Angel Leon,234.0,893.0,K,425,B2,0,0,,,,,0,0,4,1,1,BAY,BER,,,
Moose McCracken,308.0,402.0,Angel Leon,234.0,653.0,FO,251,B2,1,0,,,,,0,0,4,1,1,BAY,BER,,,
Buckeye Logan,311.0,321.0,Angel Leon,234.0,23.0,FO,298,B2,2,0,,,,,0,0,4,1,1,BAY,BER,,,
Niko Banks,430.0,903.0,Giminy Schlimjim,188.0,199.0,K,296,T3,0,0,,,,,0,0,5,1,1,BER,BAY,,,
Grigury Polinko,452.0,70.0,Giminy Schlimjim,188.0,225.0,BB,155,T3,1,0,,,,,0,1,5,1,1,BER,BAY,,,
Mac Aves,154.0,320.0,Giminy Schlimjim,188.0,608.0,FO,288,T3,1,1,,,,,0,0,5,1,1,BER,BAY,,,
Pickle Rick,150.0,769.0,Giminy Schlimjim,188.0,820.0,HR,51,T3,2,1,,,,,2,1,5,1,1,BER,BAY,,,
Jay Embee,2069.0,,Giminy Schlimjim,188.0,,Auto K,,T3,2,0,,,,,0,0,5,1,1,BER,BAY,,,
Dylan Green,305.0,888.0,Angel Leon,234.0,323.0,RGO,435,B3,0,0,,,,,0,0,6,1,1,BAY,BER,,,
Alex Peters,187.0,300.0,Angel Leon,234.0,12.0,FO,288,B3,1,0,,,,,0,0,6,1,1,BAY,BER,,,
Javier Tootblan,192.0,721.0,Angel Leon,234.0,599.0,1B,122,B3,2,0,,,,,0,0,6,1,1,BAY,BER,,,
Giminy Schlimjim,188.0,949.0,Angel Leon,234.0,181.0,FO,232,B3,2,1,,,,,0,0,6,1,1,BAY,BER,,,
Ronald Eagle Sr.,167.0,420.0,Karl Jernigan,439.0,123.0,FO,297,T1,0,0,,,,,0,0,7,2,1,CCF,SCB,,,
Nicholas Verducci,70.0,211.0,Karl Jernigan,439.0,123.0,1B,88,T1,1,0,,,,,0,0,7,2,1,CCF,SCB,,,
Doob Tuber,240.0,745.0,Karl Jernigan,439.0,878.0,1B,133,T1,1,1,,,,,0,0,7,2,1,CCF,SCB,,,
Geno Scaramucci,165.0,567.0,Karl Jernigan,439.0,14.0,DP,447,T1,1,4,,,,,0,0,7,2,1,CCF,SCB,,,
Tony McGooch,7.0,16.0,Ronald Eagle Sr.,167.0,69.0,2B,53,B1,0,0,,,,,0,0,8,2,1,SCB,CCF,,,
J.J. Guemes,207.0,420.0,Ronald Eagle Sr.,167.0,123.0,K,297,B1,0,2,,,,,0,0,8,2,1,SCB,CCF,,,
Quint Kimbrel,20.0,666.0,Ronald Eagle Sr.,167.0,1000.0,K,334,B1,1,2,,,,,0,0,8,2,1,SCB,CCF,,,
John Bumbus,85.0,233.0,Ronald Eagle Sr.,167.0,500.0,FO,267,B1,2,2,,,,,0,0,8,2,1,SCB,CCF,,,
Whorpus Whiff,61.0,222.0,Karl Jernigan,439.0,819.0,LGO,403,T2,0,0,,,,,0,0,9,2,1,CCF,SCB,,,
Chad Berry,172.0,437.0,Karl Jernigan,439.0,327.0,1B,110,T2,1,0,,,,,0,0,9,2,1,CCF,SCB,,,
Trey Rangers,224.0,337.0,Karl Jernigan,439.0,497.0,1B,160,T2,1,1,,,,,0,0,9,2,1,CCF,SCB,,,
Blake Monroe,,,Karl Jernigan,439.0,,Auto K,,T2,1,4,,,,,0,0,9,2,1,CCF,SCB,,,
Sadler Oriole,231.0,650.0,Karl Jernigan,439.0,420.0,FO,230,T2,2,4,,,,,0,0,9,2,1,CCF,SCB,,,
Gianni,209.0,739.0,Ronald Eagle Sr.,167.0,780.0,2B,41,B2,0,0,,,,,0,0,10,2,1,SCB,CCF,,,
Les Dee-Ache,83.0,133.0,Ronald Eagle Sr.,167.0,780.0,PO,353,B2,0,2,,,,,0,0,10,2,1,SCB,CCF,,,
Coco Watanabe,204.0,481.0,Ronald Eagle Sr.,167.0,920.0,LGO,439,B2,1,2,,,,,0,0,10,2,1,SCB,CCF,,,
Kimberly Jongun,44.0,842.0,Ronald Eagle Sr.,167.0,469.0,PO,373,B2,2,2,,,,,0,0,10,2,1,SCB,CCF,,,
Ronald Eagle Sr.,167.0,69.0,Karl Jernigan,439.0,786.0,FO,283,T3,0,0,,,,,0,0,11,2,1,CCF,SCB,,,
Nicholas Verducci,70.0,311.0,Karl Jernigan,439.0,187.0,1B,124,T3,1,0,,,,,0,0,11,2,1,CCF,SCB,,,
Doob Tuber,240.0,642.0,Karl Jernigan,439.0,538.0,1B,104,T3,1,1,,,,,0,0,11,2,1,CCF,SCB,,,
Geno Scaramucci,165.0,536.0,Karl Jernigan,439.0,666.0,1B,130,T3,1,4,,,,,0,0,11,2,1,CCF,SCB,,,
Whorpus Whiff,61.0,69.0,Karl Jernigan,439.0,666.0,DP,403,T3,1,7,,,,,0,0,11,2,1,CCF,SCB,,,
Karl Jernigan,439.0,1.0,Ronald Eagle Sr.,167.0,112.0,BB,111,B3,0,0,,,,,0,0,12,2,1,SCB,CCF,,,
Tony McGooch,7.0,345.0,Ronald Eagle Sr.,167.0,949.0,DP,396,B3,0,1,,,,,0,0,12,2,1,SCB,CCF,,,
J.J. Guemes,207.0,,Whorpus Whiff,61.0,,Auto K,,B3,2,0,,,,,0,0,12,2,1,SCB,CCF,,,
Chad Berry,172.0,215.0,Karl Jernigan,439.0,333.0,1B,118,T4,0,0,,,,,0,0,13,2,1,CCF,SCB,,,
Trey Rangers,224.0,579.0,Karl Jernigan,439.0,999.0,DP,420,T4,0,1,,,,,0,0,13,2,1,CCF,SCB,,,
Michael Ikenberry,63.0,666.0,Karl Jernigan,439.0,999.0,K,333,T4,2,0,,,,,0,0,13,2,1,CCF,SCB,,,
Quint Kimbrel,20.0,101.0,Whorpus Whiff,61.0,792.0,K,309,B4,0,0,,,,,0,0,14,2,1,SCB,CCF,,,
John Bumbus,85.0,873.0,Whorpus Whiff,61.0,692.0,FO,181,B4,1,0,,,,,0,0,14,2,1,SCB,CCF,,,
Gianni,209.0,537.0,Whorpus Whiff,61.0,813.0,K,276,B4,2,0,,,,,0,0,14,2,1,SCB,CCF,,,
Sadler Oriole,231.0,200.0,Karl Jernigan,439.0,576.0,PO,376,T5,0,0,,,,,0,0,15,2,1,CCF,SCB,,,
Ronald Eagle Sr.,167.0,76.0,Karl Jernigan,439.0,883.0,BB,193,T5,1,0,,,,,0,0,15,2,1,CCF,SCB,,,
Nicholas Verducci,70.0,274.0,Karl Jernigan,439.0,725.0,DP,451,T5,1,1,,,,,0,0,15,2,1,CCF,SCB,,,
Les Dee-Ache,83.0,634.0,Whorpus Whiff,61.0,400.0,K,234,B5,0,0,,,,,0,0,16,2,1,SCB,CCF,,,
Coco Watanabe,204.0,106.0,Whorpus Whiff,61.0,420.0,K,314,B5,1,0,,,,,0,0,16,2,1,SCB,CCF,,,
Kimberly Jongun,44.0,710.0,Whorpus Whiff,61.0,960.0,K,250,B5,2,0,,,,,0,0,16,2,1,SCB,CCF,,,
Doob Tuber,240.0,927.0,Karl Jernigan,439.0,356.0,RGO,429,T6,0,0,,,,,0,0,17,2,1,CCF,SCB,,,
Geno Scaramucci,165.0,667.0,Karl Jernigan,439.0,356.0,K,311,T6,1,0,,,,,0,0,17,2,1,CCF,SCB,,,
Whorpus Whiff,61.0,420.0,Karl Jernigan,439.0,937.0,LGO,483,T6,2,0,,,,,0,0,17,2,1,CCF,SCB,,,
Karl Jernigan,439.0,723.0,Whorpus Whiff,61.0,1.0,K,278,B6,0,0,,,,,0,0,18,2,1,SCB,CCF,,,
Tony McGooch,7.0,777.0,Whorpus Whiff,61.0,555.0,FO,222,B6,1,0,,,,,0,0,18,2,1,SCB,CCF,,,
J.J. Guemes,207.0,7.0,Whorpus Whiff,61.0,350.0,K,343,B6,2,0,,,,,0,0,18,2,1,SCB,CCF,,,
Viking Fishbird,42.0,15.0,Daoud Mata,372.0,888.0,BB,127,T1,0,0,,,,,0,1,19,3,1,CIN,LAN,,,
Benjamin 'Benji' Bjorn,427.0,320.0,Daoud Mata,372.0,431.0,BB,111,T1,0,1,,,,,0,1,19,3,1,CIN,LAN,,,
Jackson Sanchez,46.0,653.0,Daoud Mata,372.0,666.0,HR,13,T1,0,4,,,,,3,1,19,3,1,CIN,LAN,,,
Cam Singleton,266.0,69.0,Daoud Mata,372.0,876.0,BB,193,T1,0,0,,,,,0,0,19,3,1,CIN,LAN,,,
Lightning Balls,350.0,777.0,Daoud Mata,372.0,424.0,K,353,T1,0,1,,,,,0,0,19,3,1,CIN,LAN,,,
Biff Studd,254.0,121.0,Daoud Mata,372.0,519.0,K,398,T1,1,1,,,,,0,0,19,3,1,CIN,LAN,,,
Joe Random,415.0,241.0,Daoud Mata,372.0,15.0,FO,226,T1,2,1,,,,,0,0,19,3,1,CIN,LAN,,,
John Johnson Jr.,91.0,243.0,Richard Saks,321.0,508.0,FO,265,B1,0,0,,,,,0,0,20,3,1,LAN,CIN,,,
Merodach Baladan,100.0,644.0,Richard Saks,321.0,774.0,1B,130,B1,1,0,,,,,0,1,20,3,1,LAN,CIN,,,
Rub A. Chikin,2.0,409.0,Richard Saks,321.0,323.0,1B,86,B1,1,1,,,,,0,1,20,3,1,LAN,CIN,,,
Y.E. Wally,5.0,808.0,Richard Saks,321.0,852.0,2B,44,B1,1,4,,,,,1,1,20,3,1,LAN,CIN,,,
Bert Harris,428.0,257.0,Richard Saks,321.0,132.0,1B,125,B1,1,6,,,,,1,0,20,3,1,LAN,CIN,,,
Lucifer Putts,12.0,777.0,Richard Saks,321.0,494.0,Sac,283,B1,1,5,,,,,1,0,20,3,1,LAN,CIN,,,
Red Trapper,453.0,493.0,Richard Saks,321.0,176.0,RGO,317,B1,2,1,,,,,0,0,20,3,1,LAN,CIN,,,
Dallas Houston,416.0,834.0,Daoud Mata,372.0,111.0,K,277,T2,0,0,,,,,0,0,21,3,1,CIN,LAN,,,
Duke McCracken,417.0,,Daoud Mata,372.0,,Auto K,,T2,1,0,,,,,0,0,21,3,1,CIN,LAN,,,
Viking Fishbird,42.0,421.0,Daoud Mata,372.0,834.0,K,413,T2,2,0,,,,,0,0,21,3,1,CIN,LAN,,,
Javier Abiscal,364.0,507.0,Richard Saks,321.0,102.0,K,405,B2,0,0,,,,,0,0,22,3,1,LAN,CIN,,,
Blastsoul,3296.0,,Richard Saks,321.0,,Auto K,,B2,1,0,,,,,0,0,22,3,1,LAN,CIN,,,
John Johnson Jr.,91.0,204.0,Richard Saks,321.0,982.0,FO,222,B2,2,0,,,,,0,0,22,3,1,LAN,CIN,,,
Benjamin 'Benji' Bjorn,427.0,888.0,Daoud Mata,372.0,532.0,K,356,T3,0,0,,,,,0,0,23,3,1,CIN,LAN,,,
Jackson Sanchez,46.0,275.0,Daoud Mata,372.0,671.0,K,396,T3,1,0,,,,,0,0,23,3,1,CIN,LAN,,,
Cam Singleton,266.0,150.0,Daoud Mata,372.0,275.0,1B,125,T3,2,0,,,,,0,0,23,3,1,CIN,LAN,,,
Lightning Balls,350.0,333.0,Daoud Mata,372.0,984.0,K,349,T3,2,1,,,,,0,0,23,3,1,CIN,LAN,,,
Merodach Baladan,100.0,885.0,Richard Saks,321.0,45.0,BB,160,B3,0,0,,,,,0,1,24,3,1,LAN,CIN,,,
Rub A. Chikin,2.0,666.0,Richard Saks,321.0,287.0,K,379,B3,0,1,,,,,0,0,24,3,1,LAN,CIN,,,
Y.E. Wally,5.0,666.0,Richard Saks,321.0,653.0,HR,13,B3,1,1,,,,,2,1,24,3,1,LAN,CIN,,,
Bert Harris,428.0,402.0,Richard Saks,321.0,971.0,RGO,431,B3,1,0,,,,,0,0,24,3,1,LAN,CIN,,,
Lucifer Putts,12.0,431.0,Richard Saks,321.0,322.0,1B,109,B3,2,0,,,,,0,0,24,3,1,LAN,CIN,,,
Red Trapper,453.0,777.0,Richard Saks,321.0,81.0,K,304,B3,2,1,,,,,0,0,24,3,1,LAN,CIN,,,
dednuts,448.0,,Daoud Mata,372.0,,Auto K,,T4,0,0,,,,,0,0,25,3,1,CIN,LAN,,,
Joe Random,415.0,551.0,Daoud Mata,372.0,111.0,RGO,440,T4,1,0,,,,,0,0,25,3,1,CIN,LAN,,,
Dallas Houston,416.0,513.0,Daoud Mata,372.0,555.0,HR,42,T4,2,0,,,,,1,1,25,3,1,CIN,LAN,,,
Duke McCracken,417.0,69.0,Daoud Mata,372.0,123.0,2B,54,T4,2,0,,,,,0,0,25,3,1,CIN,LAN,,,
Viking Fishbird,42.0,773.0,Daoud Mata,372.0,659.0,BB,114,T4,2,2,,,,,0,0,25,3,1,CIN,LAN,,,
Benjamin 'Benji' Bjorn,427.0,,Daoud Mata,372.0,,Auto K,,T4,2,4,,,,,0,0,25,3,1,CIN,LAN,,,
Lloyd Gross,135.0,618.0,KC Bats,287.0,263.0,K,355,T1,0,0,,,,,0,0,26,4,1,TZS,FTP,,,
Deirf Smith,449.0,344.0,KC Bats,287.0,555.0,FO,211,T1,1,0,,,,,0,0,26,4,1,TZS,FTP,,,
Tyler Gordon,136.0,303.0,KC Bats,287.0,820.0,LGO,483,T1,2,0,,,,,0,0,26,4,1,TZS,FTP,,,
Gordon Freemon,455.0,,S.A.R. Dinka,395.0,,Auto K,,B1,0,0,,,,,0,0,27,4,1,FTP,TZS,,,
Marcus Hammond,366.0,539.0,S.A.R. Dinka,395.0,532.0,HR,7,B1,1,0,,,,,1,1,27,4,1,FTP,TZS,,,
Willie Dustice,288.0,119.0,S.A.R. Dinka,395.0,784.0,K,335,B1,1,0,,,,,0,0,27,4,1,FTP,TZS,,,
Clip Toller,356.0,680.0,S.A.R. Dinka,395.0,119.0,PO,439,B1,2,0,,,,,0,0,27,4,1,FTP,TZS,,,
Mako Bierman,139.0,,KC Bats,287.0,,Auto K,,T2,0,0,,,,,0,0,28,4,1,TZS,FTP,,,
Forrest Gleeson,51.0,41.0,KC Bats,287.0,914.0,1B,127,T2,1,0,,,,,0,0,28,4,1,TZS,FTP,,,
