Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Brian Zucchini,33,340.0,Cagney O’verpaid,1743,121.0,FO,219.0,T1,0,0,0,0,-2.52%,2.52%,0,0,0,1,1,1,KRB,WSH,FO,FO,FO,1
Roy Hobbs,609,1.0,Cagney O’verpaid,1743,640.0,K,361.0,T1,1,0,0,0,-2.52%,2.52%,0,0,0,1,1,1,KRB,WSH,K,PO,K,1
Ping Pong,530,887.0,Cagney O’verpaid,1743,570.0,RGO,317.0,T1,2,0,0,0,-1.74%,1.74%,0,0,0,1,1,1,KRB,WSH,RGO,RGO,K,1
Joe Pidgeon,301,808.0,Jin Yang,1695,8.0,FO,200.0,B1,0,0,0,0,-2.73%,2.73%,0,0,0,2,1,1,WSH,KRB,FO,FO,FO,1
Yahtzee Pinocchio,815,733.0,Jin Yang,1695,809.0,1B,76.0,B1,1,0,0,0,3.37%,-3.37%,0,0,0,2,1,1,WSH,KRB,1B,1B,1B,1
KC Bats,287,69.0,Jin Yang,1695,490.0,PO,421.0,B1,1,1,0,0,-4.14%,4.14%,0,0,0,2,1,1,WSH,KRB,PO,PO,DP,1
Jeff Dingerhitter,298,12.0,Jin Yang,1695,613.0,PO,399.0,B1,2,1,0,0,-3.29%,3.29%,0,0,0,2,1,1,WSH,KRB,PO,PO,PO,1
Christian Bevan,616,888.0,Cagney O’verpaid,1743,607.0,K,281.0,T2,0,0,0,0,-2.86%,2.86%,0,0,0,3,1,1,KRB,WSH,K,K,FO,1
Tabasco Greensauce,1818,214.0,Cagney O’verpaid,1743,555.0,K,341.0,T2,1,0,0,0,-2.90%,2.90%,0,0,0,3,1,1,KRB,WSH,K,K,K,1
Pierre Bryant,1771,531.0,Cagney O’verpaid,1743,555.0,2B,24.0,T2,2,0,0,0,3.82%,-3.82%,0,0,0,3,1,1,KRB,WSH,2B,2B,HR,1
Moby Dick,1719,610.0,Cagney O’verpaid,1743,298.0,K,312.0,T2,2,2,0,0,-5.35%,5.35%,0,0,0,3,1,1,KRB,WSH,K,K,K,1
Cagney O’verpaid,1743,796.0,Jin Yang,1695,474.0,PO,322.0,B2,0,0,0,0,-2.75%,2.75%,0,0,0,4,1,1,WSH,KRB,PO,PO,K,1
Joel Embiid,285,688.0,Jin Yang,1695,699.0,HR,11.0,B2,1,0,0,0,12.58%,-12.58%,1,1,1,4,1,1,WSH,KRB,HR,HR,HR,1
