Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Joe Trundle,421,840.0,Revan Skywalker,479,420.0,RGO,420.0,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,SCG,TRI,RGO,RGO,RGO,,,,,1
Mike Oxlong,230,160.0,Revan Skywalker,479,913.0,K,247.0,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,SCG,TRI,K,K,FO,,,,,1
Tencer Sporkelson,2329,369.0,Revan Skywalker,479,642.0,K,273.0,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,SCG,TRI,K,K,FO,,,,,1
Dylan Green,305,200.0,Mike Hawk,212,127.0,1B,73.0,B1,0,0,0,0,2.76%,-2.76%,0,0,2,1,1,TRI,SCG,1B,1B,1B,,,,,1
Bill Stokes,2539,600.0,Mike Hawk,212,311.0,K,289.0,B1,0,1,0,0,-2.96%,2.96%,0,0,2,1,1,TRI,SCG,K,K,K,,,,,1
Theo Rodder,2353,212.0,Mike Hawk,212,551.0,K,339.0,B1,1,1,0,0,-2.55%,2.55%,0,0,2,1,1,TRI,SCG,K,K,K,,,,,1
Jake Kim,2535,270.0,Mike Hawk,212,646.0,PO,376.0,B1,2,1,0,0,-3.69%,3.69%,0,0,2,1,1,TRI,SCG,PO,PO,K,,,,,1
Rod deBod,2561,420.0,Revan Skywalker,479,99.0,K,321.0,T2,0,0,0,0,-2.72%,2.72%,0,0,3,1,1,SCG,TRI,K,K,K,,,,,1
Goldie Jones,360,799.0,Revan Skywalker,479,202.0,PO,403.0,T2,1,0,0,0,-2.40%,2.40%,0,0,3,1,1,SCG,TRI,PO,PO,RGO,,,,,1
toronto mans,2587,766.0,Revan Skywalker,479,403.0,PO,363.0,T2,2,0,0,0,-1.99%,1.99%,0,0,3,1,1,SCG,TRI,PO,PO,K,,,,,1
Lance Lummox,314,934.0,Mike Hawk,212,888.0,2B,46.0,B2,0,0,0,0,6.77%,-6.77%,0,1,4,1,1,TRI,SCG,2B,2B,2B,,,,,1
Leashy Hittem,2545,315.0,Mike Hawk,212,122.0,FO,193.0,B2,0,2,0,0,-4.43%,4.43%,0,0,4,1,1,TRI,SCG,FO,FO,FO,,,,,1
Cole Schmole,654,230.0,Mike Hawk,212,111.0,1B,119.0,B2,1,2,0,0,5.31%,-5.31%,0,1,4,1,1,TRI,SCG,1B,1B,1B,,,,,1
Moby Dick,1719,,Mike Hawk,212,,Auto BB,,B2,1,5,0,0,4.50%,-4.50%,0,1,4,1,1,TRI,SCG,Auto BB,Auto BB,Auto BB,,,,,10
Francis X. Clampazzo,485,776.0,Steve Rogers,2560,791.0,3B,15.0,B2,1,7,0,0,21.18%,-21.18%,3,0,4,1,1,TRI,SCG,3B,2B,HR,212.0,212.0,212.0,,1
Dylan Green,305,,Steve Rogers,2560,,Auto K,,B2,1,3,3,0,-3.08%,3.08%,0,0,4,1,1,TRI,SCG,Auto K,Auto K,Auto K,,,,,9
