Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Peachy Keen,2606,420.0,James Jameson CDXX,2736,948.0,LGO,472.0,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,MKW,GND,LGO,LGO,LGO,,,,,1
Dirtbag Darrell,262,333.0,James Jameson CDXX,2736,947.0,PO,386.0,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,MKW,GND,PO,PO,PO,,,,,1
WoodCutter Jones,2524,690.0,James Jameson CDXX,2736,382.0,K,308.0,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,MKW,GND,K,K,K,,,,,1
Nori Aru,131,369.0,Larold,32,277.0,1B,92.0,B1,0,0,0,0,2.76%,-2.76%,0,1,2,1,1,GND,MKW,1B,1B,1B,,,,,1
Calvin Ball,2805,701.0,Larold,32,475.0,FO,226.0,B1,0,1,0,0,-2.96%,2.96%,0,0,2,1,1,GND,MKW,FO,FO,FO,,,,,1
Franz Lisztpitcher,2275,376.0,Larold,32,512.0,1B,136.0,B1,1,1,0,0,3.89%,-3.89%,0,1,2,1,1,GND,MKW,1B,FO,1B,,,,,1
Sticky Mickey Mantle,2236,77.0,Larold,32,920.0,BB,157.0,B1,1,4,0,0,7.61%,-7.61%,0,1,2,1,1,GND,MKW,BB,FO,BB,,,,,1
Lloyd Gross,135,888.0,Larold,32,750.0,BB,138.0,B1,1,7,0,0,9.33%,-9.33%,1,1,2,1,1,GND,MKW,BB,FO,BB,32,,,,1
Bonesy McSkellington,1733,911.0,Larold,32,888.0,HR,23.0,B1,1,7,1,0,16.56%,-16.56%,4,1,2,1,1,GND,MKW,HR,HR,HR,32,32,32,32,1
Sierra Hightower,776,17.0,Larold,32,555.0,LGO,462.0,B1,1,0,5,0,-0.47%,0.47%,0,0,2,1,1,GND,MKW,LGO,LGO,LGO,,,,,1
Shorty McDougall,2760,222.0,Larold,32,1.0,FO,221.0,B1,2,0,5,0,-0.33%,0.33%,0,0,2,1,1,GND,MKW,FO,FO,FO,,,,,1
Ovaltine,2542,505.0,James Jameson CDXX,2736,125.0,PO,380.0,T2,0,0,5,0,-1.21%,1.21%,0,0,3,1,1,MKW,GND,PO,PO,PO,,,,,1
Nota Nam III,2467,2.0,James Jameson CDXX,2736,756.0,FO,246.0,T2,1,0,5,0,-0.84%,0.84%,0,0,3,1,1,MKW,GND,FO,FO,FO,,,,,1
Billy TheKid,2804,555.0,James Jameson CDXX,2736,573.0,3B,18.0,T2,2,0,5,0,0.82%,-0.82%,0,0,3,1,1,MKW,GND,3B,3B,HR,,,,,1
Doc Dockgoose,1801,184.0,James Jameson CDXX,2736,967.0,FO,217.0,T2,2,3,5,0,-1.51%,1.51%,0,0,3,1,1,MKW,GND,FO,FO,FO,,,,,1
Willians Adobestudio,2260,828.0,Freddie Confinedman,2499,687.0,BB,141.0,B2,0,0,5,0,0.30%,-0.30%,0,0,4,1,1,GND,MKW,BB,FO,BB,,,,,1
Nori Aru,131,368.0,Freddie Confinedman,2499,49.0,K,319.0,B2,0,1,5,0,-0.30%,0.30%,0,0,4,1,1,GND,MKW,K,K,K,,,,,1
Calvin Ball,2805,229.0,Freddie Confinedman,2499,700.0,DP,471.0,B2,1,1,5,0,-0.96%,0.96%,0,0,4,1,1,GND,MKW,LGO,LGO,DP,,,,,1
Buster McColligan,2662,785.0,James Jameson CDXX,2736,374.0,RGO,411.0,T3,0,0,5,0,-1.11%,1.11%,0,0,5,1,1,MKW,GND,RGO,RGO,RGO,,,,,1
Nobes Savage,2729,,James Jameson CDXX,2736,,AUTO K,,T3,1,0,5,0,-0.91%,0.91%,0,0,5,1,1,MKW,GND,AUTO K,AUTO K,AUTO K,,,,,9
Peachy Keen,2606,352.0,James Jameson CDXX,2736,172.0,FO,180.0,T3,2,0,5,0,-0.47%,0.47%,0,0,5,1,1,MKW,GND,FO,FO,FO,,,,,1
Franz Lisztpitcher,2275,700.0,Freddie Confinedman,2499,188.0,LGO,488.0,B3,0,0,5,0,-0.30%,0.30%,0,0,6,1,1,GND,MKW,LGO,LGO,LGO,,,,,1
Sticky Mickey Mantle,2236,488.0,Freddie Confinedman,2499,188.0,FO,300.0,B3,1,0,5,0,-0.20%,0.20%,0,0,6,1,1,GND,MKW,FO,FO,K,,,,,1
Lloyd Gross,135,316.0,Freddie Confinedman,2499,876.0,LGO,440.0,B3,2,0,5,0,-0.21%,0.21%,0,0,6,1,1,GND,MKW,LGO,LGO,RGO,,,,,1
Dirtbag Darrell,262,469.0,James Jameson CDXX,2736,285.0,FO,184.0,T4,0,0,5,0,-0.97%,0.97%,0,0,7,1,1,MKW,GND,FO,FO,FO,,,,,1
WoodCutter Jones,2524,666.0,James Jameson CDXX,2736,584.0,1B,82.0,T4,1,0,5,0,1.14%,-1.14%,0,0,7,1,1,MKW,GND,1B,1B,1B,,,,,1
Ovaltine,2542,808.0,James Jameson CDXX,2736,273.0,DP,465.0,T4,1,1,5,0,-2.18%,2.18%,0,0,7,1,1,MKW,GND,LGO,LGO,DP,,,,,1
Bonesy McSkellington,1733,711.0,Freddie Confinedman,2499,227.0,LGO,484.0,B4,0,0,5,0,-0.12%,0.12%,0,0,8,1,1,GND,MKW,LGO,LGO,LGO,,,,,1
Sierra Hightower,776,69.0,Freddie Confinedman,2499,11.0,2B,58.0,B4,1,0,5,0,0.23%,-0.23%,0,0,8,1,1,GND,MKW,2B,2B,2B,,,,,1
Shorty McDougall,2760,998.0,Freddie Confinedman,2499,790.0,FO,208.0,B4,1,2,5,0,-0.22%,0.22%,0,0,8,1,1,GND,MKW,FO,FO,FO,,,,,1
Willians Adobestudio,2260,139.0,Freddie Confinedman,2499,790.0,K,349.0,B4,2,2,5,0,-0.31%,0.31%,0,0,8,1,1,GND,MKW,K,K,K,,,,,1
Nota Nam III,2467,290.0,James Jameson CDXX,2736,927.0,K,363.0,T5,0,0,5,0,-0.74%,0.74%,0,0,9,1,1,MKW,GND,K,K,K,,,,,1
Billy TheKid,2804,666.0,James Jameson CDXX,2736,374.0,K,292.0,T5,1,0,5,0,-0.48%,0.48%,0,0,9,1,1,MKW,GND,K,K,K,,,,,1
Doc Dockgoose,1801,444.0,James Jameson CDXX,2736,274.0,FO,170.0,T5,2,0,5,0,-0.26%,0.26%,0,0,9,1,1,MKW,GND,FO,FO,BB,,,,,1
Nori Aru,131,,Freddie Confinedman,2499,,AUTO K,,B5,0,0,5,0,-0.05%,0.05%,0,0,10,1,1,GND,MKW,AUTO K,AUTO K,AUTO K,,,,,9
Calvin Ball,2805,199.0,Freddie Confinedman,2499,190.0,HR,9.0,B5,1,0,5,0,0.35%,-0.35%,1,1,10,1,1,GND,MKW,HR,HR,HR,,,,2499,1
Franz Lisztpitcher,2275,200.0,Freddie Confinedman,2499,699.0,LGO,499.0,B5,1,0,6,0,-0.03%,0.03%,0,0,10,1,1,GND,MKW,LGO,LGO,LGO,,,,,1
Sticky Mickey Mantle,2236,200.0,Freddie Confinedman,2499,23.0,FO,177.0,B5,2,0,6,0,-0.01%,0.01%,0,0,10,1,1,GND,MKW,FO,FO,BB,,,,,1
Buster McColligan,2662,315.0,James Jameson CDXX,2736,156.0,BB,159.0,T6,0,0,6,0,0.36%,-0.36%,0,1,11,1,1,MKW,GND,BB,FO,BB,,,,,1
Nobes Savage,2729,387.0,James Jameson CDXX,2736,646.0,FO,259.0,T6,0,1,6,0,-0.37%,0.37%,0,0,11,1,1,MKW,GND,FO,FO,FO,,,,,1
Peachy Keen,2606,914.0,James Jameson CDXX,2736,865.0,2B,49.0,T6,1,1,6,0,0.53%,-0.53%,0,0,11,1,1,MKW,GND,2B,2B,2B,,,,,1
Dirtbag Darrell,262,555.0,James Jameson CDXX,2736,737.0,Sac,182.0,T6,1,6,6,0,-0.63%,0.63%,1,0,11,1,1,MKW,GND,FO,FO,Sac,2736,,,,1
WoodCutter Jones,2524,69.0,James Jameson CDXX,2736,256.0,FO,187.0,T6,2,2,6,1,-0.16%,0.16%,0,0,11,1,1,MKW,GND,FO,FO,FO,,,,,1
Bryce Parker,2692,747.0,Holden Summers,10,237.0,LGO,490.0,T1,0,0,0,0,-2.51%,2.51%,0,0,12,2,1,PPM,LAC,LGO,LGO,LGO,,,,,1
Dottie,770,420.0,Holden Summers,10,71.0,K,349.0,T1,1,0,0,0,-2.18%,2.18%,0,0,12,2,1,PPM,LAC,K,K,K,,,,,1
Toky Oto,2773,311.0,Holden Summers,10,253.0,2B,58.0,T1,2,0,0,0,3.05%,-3.05%,0,0,12,2,1,PPM,LAC,2B,2B,2B,,,,,1
Good Juju,2770,372.0,Holden Summers,10,565.0,FO,193.0,T1,2,2,0,0,-4.81%,4.81%,0,0,12,2,1,PPM,LAC,FO,FO,FO,,,,,1
Mr Peggable,259,10.0,Allie Olsen,2528,783.0,K,227.0,B1,0,0,0,0,-2.48%,2.48%,0,0,13,2,1,LAC,PPM,K,K,FO,,,,,1
Kevin James,2659,487.0,Allie Olsen,2528,485.0,HR,2.0,B1,1,0,0,0,12.30%,-12.30%,1,1,13,2,1,LAC,PPM,HR,HR,HR,,,,2528,1
Heechul Kim,671,220.0,Allie Olsen,2528,345.0,1B,125.0,B1,1,0,1,0,1.59%,-1.59%,0,0,13,2,1,LAC,PPM,1B,1B,1B,,,,,1
Hannibal Bligh,1724,665.0,Allie Olsen,2528,385.0,K,280.0,B1,1,1,1,0,-1.70%,1.70%,0,0,13,2,1,LAC,PPM,K,K,FO,,,,,1
Mecha Vulfzilla,265,12.0,Allie Olsen,2528,294.0,K,282.0,B1,2,1,1,0,-3.13%,3.13%,0,0,13,2,1,LAC,PPM,K,K,FO,,,,,1
Brutus Devlin,2676,69.0,Holden Summers,10,351.0,K,282.0,T2,0,0,1,0,-2.95%,2.95%,0,0,14,2,1,PPM,LAC,K,K,FO,,,,,1
Munki Oshu,2568,444.0,Holden Summers,10,841.0,PO,397.0,T2,1,0,1,0,-2.51%,2.51%,0,0,14,2,1,PPM,LAC,PO,PO,PO,,,,,1
King Kruul,2229,831.0,Holden Summers,10,187.0,K,356.0,T2,2,0,1,0,-1.96%,1.96%,0,0,14,2,1,PPM,LAC,K,K,K,,,,,1
Rocky Li,2585,980.0,Allie Olsen,2528,257.0,K,277.0,B2,0,0,1,0,-2.00%,2.00%,0,0,15,2,1,LAC,PPM,K,K,FO,,,,,1
Chuck Tingle,355,420.0,Allie Olsen,2528,105.0,K,315.0,B2,1,0,1,0,-1.83%,1.83%,0,0,15,2,1,LAC,PPM,K,K,K,,,,,1
Roosevelt Sandoval,2789,869.0,Allie Olsen,2528,285.0,LGO,416.0,B2,2,0,1,0,-1.56%,1.56%,0,0,15,2,1,LAC,PPM,LGO,LGO,RGO,,,,,1
Cole Freeman,2788,444.0,Holden Summers,10,748.0,K,304.0,T3,0,0,1,0,-3.32%,3.32%,0,0,16,2,1,PPM,LAC,K,K,K,,,,,1
Allie Olsen,2528,733.0,Holden Summers,10,693.0,2B,40.0,T3,1,0,1,0,6.24%,-6.24%,0,0,16,2,1,PPM,LAC,2B,2B,2B,,,,,1
Bryce Parker,2692,222.0,Holden Summers,10,568.0,K,346.0,T3,1,2,1,0,-5.18%,5.18%,0,0,16,2,1,PPM,LAC,K,K,K,,,,,1
Dottie,770,110.0,Holden Summers,10,234.0,BB,124.0,T3,2,2,1,0,2.58%,-2.58%,0,0,16,2,1,PPM,LAC,BB,FO,1B,,,,,1
Toky Oto,2773,41.0,Holden Summers,10,819.0,FO,222.0,T3,2,4,1,0,-8.75%,8.75%,0,0,16,2,1,PPM,LAC,FO,FO,FO,,,,,1
Kenny Powers,2627,611.0,Allie Olsen,2528,25.0,LGO,414.0,B3,0,0,1,0,-2.04%,2.04%,0,0,17,2,1,LAC,PPM,LGO,LGO,RGO,,,,,1
Mr Peggable,259,480.0,Allie Olsen,2528,97.0,RGO,383.0,B3,1,0,1,0,-1.80%,1.80%,0,0,17,2,1,LAC,PPM,RGO,RGO,PO,,,,,1
Kevin James,2659,702.0,Allie Olsen,2528,499.0,FO,203.0,B3,2,0,1,0,-1.62%,1.62%,0,0,17,2,1,LAC,PPM,FO,FO,FO,,,,,1
Good Juju,2770,237.0,Holden Summers,10,547.0,K,310.0,T4,0,0,1,0,-3.96%,3.96%,0,0,18,2,1,PPM,LAC,K,K,K,,,,,1
Brutus Devlin,2676,182.0,Holden Summers,10,29.0,BB,153.0,T4,1,0,1,0,3.84%,-3.84%,0,0,18,2,1,PPM,LAC,BB,FO,BB,,,,,1
Munki Oshu,2568,742.0,Holden Summers,10,601.0,1B,141.0,T4,1,1,1,0,6.43%,-6.43%,0,0,18,2,1,PPM,LAC,1B,FO,BB,,,,,1
King Kruul,2229,888.0,Holden Summers,10,488.0,K,400.0,T4,1,4,1,0,-6.05%,6.05%,0,0,18,2,1,PPM,LAC,K,K,DP,,,,,1
Cole Freeman,2788,17.0,Holden Summers,10,711.0,K,306.0,T4,2,4,1,0,-10.37%,10.37%,0,0,18,2,1,PPM,LAC,K,K,K,,,,,1
Heechul Kim,671,759.0,Allie Olsen,2528,825.0,2B,66.0,B4,0,0,1,0,4.77%,-4.77%,0,0,19,2,1,LAC,PPM,2B,2B,1B,,,,,1
Hannibal Bligh,1724,825.0,Allie Olsen,2528,637.0,BB,188.0,B4,0,2,1,0,0.44%,-0.44%,0,0,19,2,1,LAC,PPM,BB,FO,FO,,,,,1
Mecha Vulfzilla,265,399.0,Tyler Pylon,778,966.0,DP,433.0,B4,0,4,1,0,-6.41%,6.41%,0,0,19,2,1,LAC,PPM,RGO,RGO,DP,,,,,1
Rocky Li,2585,629.0,Tyler Pylon,778,495.0,BB,134.0,B4,2,3,1,0,1.15%,-1.15%,0,0,19,2,1,LAC,PPM,BB,FO,1B,,,,,1
Chuck Tingle,355,9.0,Tyler Pylon,778,749.0,FO,260.0,B4,2,5,1,0,-5.05%,5.05%,0,0,19,2,1,LAC,PPM,FO,FO,FO,,,,,1
Tyler Pylon,778,690.0,Holden Summers,10,748.0,1B,58.0,T5,0,0,1,0,5.72%,-5.72%,0,0,20,2,1,PPM,LAC,1B,1B,2B,,,,,1
Bryce Parker,2692,934.0,Holden Summers,10,147.0,FO,213.0,T5,0,1,1,0,-5.83%,5.83%,0,0,20,2,1,PPM,LAC,FO,FO,FO,,,,,1
Dottie,770,808.0,Holden Summers,10,515.0,FO,293.0,T5,1,1,1,0,-5.00%,5.00%,0,0,20,2,1,PPM,LAC,FO,FO,K,,,,,1
Toky Oto,2773,888.0,Holden Summers,10,372.0,LGO,484.0,T5,2,1,1,0,-7.80%,7.80%,0,0,20,2,1,PPM,LAC,LGO,LGO,LGO,,,,,1
Roosevelt Sandoval,2789,234.0,Tyler Pylon,778,217.0,HR,17.0,B5,0,0,1,0,7.51%,-7.51%,1,1,21,2,1,LAC,PPM,HR,HR,HR,,,,778,1
Kenny Powers,2627,219.0,Tyler Pylon,778,445.0,FO,226.0,B5,0,0,2,0,-0.67%,0.67%,0,0,21,2,1,LAC,PPM,FO,FO,FO,,,,,1
Hunter Scott CCCXXVII,786,838.0,Tyler Pylon,778,995.0,BB,157.0,B5,1,0,2,0,0.55%,-0.55%,0,0,21,2,1,LAC,PPM,BB,FO,BB,,,,,1
Hunter Scott CCCXXVII,786,225.0,Tyler Pylon,778,828.0,CS,397.0,B5,1,1,2,0,-1.19%,1.19%,0,0,21,2,1,LAC,PPM,CS 2B,CS 2B,CS,,,,,4
Kevin James,2659,314.0,Tyler Pylon,778,857.0,RGO,457.0,B5,2,0,2,0,-0.51%,0.51%,0,0,21,2,1,LAC,PPM,RGO,RGO,LGO,,,,,1
Good Juju,2770,666.0,Holden Summers,10,191.0,LGO,475.0,T6,0,0,2,0,-3.81%,3.81%,0,0,22,2,1,PPM,LAC,LGO,LGO,LGO,,,,,1
Brutus Devlin,2676,420.0,Holden Summers,10,701.0,K,281.0,T6,1,0,2,0,-2.88%,2.88%,0,0,22,2,1,PPM,LAC,K,K,FO,,,,,1
Munki Oshu,2568,201.0,Holden Summers,10,870.0,PO,331.0,T6,2,0,2,0,-1.67%,1.67%,0,0,22,2,1,PPM,LAC,PO,PO,K,,,,,1
Phillip Mahooters,2253,634.0,Noah Diamond,2673,1.0,PO,367.0,T1,0,0,0,0,-2.51%,2.51%,0,0,23,3,1,BIS,SCU,PO,PO,K,,,,,1
Dylan Green,305,1.0,Noah Diamond,2673,878.0,1B,123.0,T1,1,0,0,0,2.43%,-2.43%,0,0,23,3,1,BIS,SCU,1B,1B,1B,,,,,1
Brian Taylor,1838,231.0,Noah Diamond,2673,501.0,K,270.0,T1,1,1,0,0,-2.63%,2.63%,0,0,23,3,1,BIS,SCU,K,K,FO,,,,,1
Cameron gall,2547,86.0,Noah Diamond,2673,501.0,PO,415.0,T1,2,1,0,0,-3.74%,3.74%,0,0,23,3,1,BIS,SCU,PO,PO,RGO,,,,,1
Charlie Bae,293,788.0,Simba,1792,714.0,1B,74.0,B1,0,0,0,0,2.76%,-2.76%,0,0,24,3,1,SCU,BIS,1B,1B,1B,,,,,1
Saul Pewald,2708,995.0,Simba,1792,392.0,PO,397.0,B1,0,1,0,0,-2.96%,2.96%,0,0,24,3,1,SCU,BIS,PO,PO,PO,,,,,1
Paulie Whippet,2776,12.0,Simba,1792,345.0,PO,333.0,B1,1,1,0,0,-2.55%,2.55%,0,0,24,3,1,SCU,BIS,PO,PO,K,,,,,1
Justin P. L. Griffin,2740,360.0,Simba,1792,900.0,RGO,460.0,B1,2,1,0,0,-3.69%,3.69%,0,0,24,3,1,SCU,BIS,RGO,RGO,LGO,,,,,1
Robbie,1745,828.0,Noah Diamond,2673,873.0,2B,45.0,T2,0,0,0,0,6.81%,-6.81%,0,1,25,3,1,BIS,SCU,2B,2B,2B,,,,,1
Rocco Rudnikov,114,630.0,Noah Diamond,2673,95.0,LGO,465.0,T2,0,2,0,0,-4.42%,4.42%,0,0,25,3,1,BIS,SCU,LGO,LGO,LGO,,,,,1
Fik Seiko,2207,201.0,Noah Diamond,2673,177.0,2B,24.0,T2,1,2,0,0,12.41%,-12.41%,1,0,25,3,1,BIS,SCU,2B,2B,HR,,2673,,,1
