Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral
Captain Harry C Legs,480,808.0,Spike Suzuki,22,324.0,LGO,484.0,T1,0,0,0,0,-2.52%,2.52%,0,0,1,1,1,TOR,BOS,LGO,LGO,LGO
Scherbie Fully-Loaded,679,365.0,Spike Suzuki,22,857.0,LGO,492.0,T1,1,0,0,0,-2.52%,2.52%,0,0,1,1,1,TOR,BOS,LGO,LGO,LGO
Prince Fuzzdong,630,540.0,Spike Suzuki,22,471.0,1B,69.0,T1,2,0,0,0,1.77%,-1.77%,0,0,1,1,1,TOR,BOS,1B,1B,1B
Sven Jorgenson,405,472.0,Spike Suzuki,22,611.0,1B,139.0,T1,2,1,0,0,3.02%,-3.02%,0,0,1,1,1,TOR,BOS,1B,BB,BB
S.A.R. Dinka,395,948.0,Spike Suzuki,22,503.0,LGO,445.0,T1,2,5,0,0,-6.53%,6.53%,0,0,1,1,1,TOR,BOS,LGO,LGO,RGO
Eric Leeder,29,333.0,Ryan Gastings,394,387.0,2B,54.0,B1,0,0,0,0,6.76%,-6.76%,0,0,2,1,1,BOS,TOR,2B,2B,2B
Brian Zucchini,33,879.0,Ryan Gastings,394,490.0,RGO,389.0,B1,0,2,0,0,-0.33%,0.33%,0,0,2,1,1,BOS,TOR,RGO,RGO,PO
Yeety Pete,685,777.0,Ryan Gastings,394,109.0,K,332.0,B1,1,3,0,0,-7.88%,7.88%,0,0,2,1,1,BOS,TOR,K,K,K
Dixon Uraz,34,320.0,Ryan Gastings,394,673.0,RGO,353.0,B1,2,3,0,0,-5.34%,5.34%,0,0,2,1,1,BOS,TOR,RGO,RGO,K
Graham Grams,400,957.0,Spike Suzuki,22,830.0,BB,127.0,T2,0,0,0,0,4.19%,-4.19%,0,1,3,1,1,TOR,BOS,BB,BB,1B
Phoenix Wright,574,192.0,Spike Suzuki,22,217.0,HR,25.0,T2,0,1,0,0,17.88%,-17.88%,2,1,3,1,1,TOR,BOS,HR,HR,3B
