Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Buster Worthington,2787,419,Richard Northstar,275,720,K,301,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,SEA,SDP,K,K,K,,,,,1
Goose Gordon,2675,54,Richard Northstar,275,95,3B,41,T1,1,0,0,0,7.86%,-7.86%,0,1,1,1,1,SEA,SDP,3B,3B,2B,,,,,1
Tubby Wubby,2853,808,Richard Northstar,275,955,BB,147,T1,1,3,0,0,2.01%,-2.01%,0,1,1,1,1,SEA,SDP,BB,FO,BB,,,,,2
Tubby Wubby,2853,101,Richard Northstar,275,344,SB,243,T1,1,5,0,0,2.11%,-2.11%,0,0,1,1,1,SEA,SDP,STEAL 2B,STEAL 2B,SB,,,,,5
Bobert Hideyoshi,2944,1,Richard Northstar,275,550,RGO,451,T1,1,6,0,0,-8.58%,8.58%,0,0,1,1,1,SEA,SDP,RGO,RGO,LGO,,,,,2
Bryce Parker,2692,95,Richard Northstar,275,975,1B,120,T1,2,6,0,0,19.05%,-19.05%,2,0,1,1,1,SEA,SDP,1B,FO,1B,275.0,275.0,,,1
Daniel Dove,66,999,Richard Northstar,275,515,LGO,484,T1,2,1,0,2,-2.66%,2.66%,0,0,1,1,1,SEA,SDP,LGO,LGO,LGO,,,,,1
Cam'ron Simmons,525,12,Gavrilo Principle,2994,1000,HR,12,B1,0,0,0,2,11.35%,-11.35%,1,1,2,1,1,SDP,SEA,HR,HR,HR,,,,2994.0,1
Amelia,402,509,Gavrilo Principle,2994,711,FO,202,B1,0,0,1,2,-2.79%,2.79%,0,0,2,1,1,SDP,SEA,FO,FO,FO,,,,,1
Girth Brooks,161,250,Gavrilo Principle,2994,670,RGO,420,B1,1,0,1,2,-2.36%,2.36%,0,0,2,1,1,SDP,SEA,RGO,RGO,RGO,,,,,1
Raja Ayun,2248,69,Gavrilo Principle,2994,808,K,261,B1,2,0,1,2,-1.88%,1.88%,0,0,2,1,1,SDP,SEA,K,K,FO,,,,,1
Tex Wolffe,2486,264,S.A.R. Dinka,395,8,PO,256,T1,0,0,0,0,-2.51%,2.51%,0,0,3,2,1,ATL,TOR,PO,PO,FO,,,,,1
Chilidog Clayton,3261,251,S.A.R. Dinka,395,140,1B,111,T1,1,0,0,0,2.43%,-2.43%,0,0,3,2,1,ATL,TOR,1B,1B,1B,,,,,1
Bill Aural Jr. III,2774,375,S.A.R. Dinka,395,592,FO,217,T1,1,1,0,0,-2.63%,2.63%,0,0,3,2,1,ATL,TOR,FO,FO,FO,,,,,1
Nate Kondylis,564,287,S.A.R. Dinka,395,611,PO,324,T1,2,1,0,0,-3.74%,3.74%,0,0,3,2,1,ATL,TOR,PO,PO,K,,,,,1
Captain Hate,3253,250,Dick Shitfart,1772,491,FO,241,B1,0,0,0,0,-2.48%,2.48%,0,0,4,2,1,TOR,ATL,FO,FO,FO,,,,,1
Hiram Birnbaum,3206,108,Dick Shitfart,1772,137,3B,29,B1,1,0,0,0,7.90%,-7.90%,0,0,4,2,1,TOR,ATL,3B,3B,3B,,,,,1
Captain Harry C Legs,480,888,Dick Shitfart,1772,208,K,320,B1,1,3,0,0,-6.82%,6.82%,0,0,4,2,1,TOR,ATL,K,K,K,,,,,1
Jack Jackie Jackson,354,482,Dick Shitfart,1772,952,LGO,470,B1,2,3,0,0,-5.04%,5.04%,0,0,4,2,1,TOR,ATL,LGO,LGO,LGO,,,,,1
Tleyber Alfredo Cruz Fernandez III,2942,888,S.A.R. Dinka,395,923,2B,35,T2,0,0,0,0,6.81%,-6.81%,0,0,5,2,1,ATL,TOR,2B,2B,2B,,,,,1
Katelyn 'River' Hoshino,3110,140,Eli Sasak,607,103,HR,37,T1,0,0,0,0,11.33%,-11.33%,1,1,6,3,1,PHI,CWS,HR,HR,2B,,,,607.0,1
Julio Escobar,686,148,Eli Sasak,607,516,RGO,368,T1,0,0,0,1,-2.09%,2.09%,0,0,6,3,1,PHI,CWS,RGO,RGO,K,,,,,1
Scooter Buskie,3140,651,Miguel Snow Jr,290,706,2B,55,T1,0,0,0,0,6.33%,-6.33%,0,1,7,4,1,ANA,LAD,2B,2B,2B,,,,,1
jorjor wel,3217,27,Miguel Snow Jr,290,970,2B,57,T1,0,2,0,0,10.70%,-10.70%,1,1,7,4,1,ANA,LAD,2B,2B,2B,,290.0,,,1
Ryan McBryan,2880,490,Miguel Snow Jr,290,679,FO,189,T1,0,2,0,1,-3.76%,3.76%,0,0,7,4,1,ANA,LAD,FO,FO,FO,,,,,1
Greggy Gabagool,3237,241,Miguel Snow Jr,290,452,FO,211,T1,1,2,0,1,-3.12%,3.12%,0,0,7,4,1,ANA,LAD,FO,FO,FO,,,,,1
Ferris Wheeler,2816,975,Miguel Snow Jr,290,880,1B,95,T1,2,2,0,1,9.79%,-9.79%,1,0,7,4,1,ANA,LAD,1B,1B,1B,,290.0,,,1
Ferris Wheeler,2816,200,Miguel Snow Jr,290,652,CS,452,T1,2,1,0,2,-2.66%,2.66%,0,0,7,4,1,ANA,LAD,CS 2B,CS 2B,CS,,,,,4
Joseph Randome,3257,925,Desiree Path,3164,666,FO,259,T1,0,0,0,0,-2.51%,2.51%,0,0,8,5,1,TBR,FLA,FO,FO,FO,,,,,1
Benny Barslinger,3117,461,Hank Murphy,76,500,2B,39,T1,0,0,0,0,6.33%,-6.33%,0,0,9,6,1,CLE,COL,2B,2B,2B,,,,,1
Skip Bellew,3225,114,Hank Murphy,76,569,LGO,455,T1,0,2,0,0,-4.19%,4.19%,0,0,9,6,1,CLE,COL,LGO,LGO,LGO,,,,,1
Noah Diamond,2673,333,Hank Murphy,76,965,PO,368,T1,1,2,0,0,-3.78%,3.78%,0,0,9,6,1,CLE,COL,PO,PO,K,,,,,1
Joe Pidgeon,301,227,Hank Murphy,76,67,BB,160,T1,2,2,0,0,1.74%,-1.74%,0,0,9,6,1,CLE,COL,BB,FO,BB,,,,,1
