G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
2,39.0,39.0,10.0,5.0,4.0,4.0,0.0,2.0,20.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,4.0,0.0,-1.3322884012539176,0.24509999999999998,0.05327971352935153,16.0,10.0,39.0,38.0,10.0,21.0,1.0,0.0,0.0,0.2564102564102564,0.2564102564102564,0.5128205128205128,0.7692307692307692,0.2564102564102564,0.23529411764705882,1.0,0.05128205128205128,0.07692307692307693,0.0,0.6153846153846154,0.38461538461538464,1.6,82.0,281.8536585365854,0.28205128205128205,0.5526315789473685,S12,ANA
2,36.0,34.0,11.0,7.0,4.0,3.0,0.0,4.0,26.0,7.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,1.0,1.9341692789968659,0.4683000000000001,0.3655786697348343,6.0,8.0,36.0,34.0,11.0,25.0,2.0,0.0,0.0,0.3235294117647059,0.3611111111111111,0.7647058823529411,1.1258169934640523,0.4411764705882352,0.3333333333333333,0.0,0.1111111111111111,0.25,0.05555555555555555,0.42857142857142855,0.5714285714285714,0.75,139.0,234.19444444444446,0.3611111111111111,0.7352941176470589,S12,ARI
2,34.0,31.0,7.0,3.0,1.0,5.0,0.0,1.0,15.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,8.0,0.0,-2.6990595611285264,0.13369999999999996,-0.10730875549076863,7.0,12.0,34.0,31.0,7.0,14.0,3.0,0.0,0.0,0.22580645161290322,0.29411764705882354,0.4838709677419355,0.7779886148007591,0.25806451612903225,0.24,0.0,0.029411764705882353,0.14705882352941177,0.08823529411764706,0.3684210526315789,0.631578947368421,0.5833333333333334,67.0,263.6470588235294,0.29411764705882354,0.45161290322580644,S12,ATL
2,49.0,43.0,16.0,9.0,6.0,6.0,0.0,4.0,34.0,9.0,5.0,0.0,6.0,0.0,3.0,1.0,0.0,1.0,1.0,9.0,5.0,2.0,6.0,0.0,2.034482758620691,0.3839000000000001,0.43777953558213134,15.0,9.0,49.0,44.0,16.0,33.0,5.0,0.0,0.0,0.37209302325581395,0.42857142857142855,0.7906976744186046,1.219269102990033,0.41860465116279066,0.35294117647058826,0.75,0.08163265306122448,0.12244897959183673,0.10204081632653061,0.625,0.375,1.6666666666666667,161.0,246.9811320754717,0.42857142857142855,0.75,S12,BAL
2,43.0,34.0,12.0,7.0,6.0,4.0,0.0,2.0,22.0,7.0,9.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,3.0,6.0,0.0,1.0,1.3009404388714731,-0.05109999999999986,0.3357316799680182,12.0,7.0,43.0,34.0,12.0,22.0,9.0,0.0,0.0,0.35294117647058826,0.4883720930232558,0.6470588235294118,1.1354309165526675,0.29411764705882354,0.4,1.0,0.046511627906976744,0.16279069767441862,0.20930232558139536,0.631578947368421,0.3684210526315789,1.7142857142857142,159.0,221.22222222222223,0.4883720930232558,0.6470588235294118,S12,BOS
2,57.0,48.0,14.0,10.0,9.0,2.0,0.0,3.0,25.0,10.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,11.0,4.0,0.0,2.401253918495299,0.3773000000000001,0.5127148164218471,11.0,16.0,57.0,50.0,15.0,26.0,7.0,0.0,0.0,0.2916666666666667,0.38596491228070173,0.5208333333333334,0.9067982456140351,0.22916666666666669,0.3055555555555556,0.0,0.05263157894736842,0.17543859649122806,0.14035087719298245,0.4074074074074074,0.5925925925925926,0.6875,106.0,243.68421052631578,0.38596491228070173,0.52,S12,CHC
2,39.0,33.0,8.0,3.0,5.0,2.0,0.0,1.0,13.0,3.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,4.0,0.0,-2.699059561128525,-0.16349999999999992,-0.08339740245810914,10.0,9.0,39.0,34.0,8.0,12.0,5.0,0.0,0.0,0.24242424242424243,0.3333333333333333,0.3939393939393939,0.7272727272727273,0.1515151515151515,0.2916666666666667,1.0,0.02564102564102564,0.23076923076923078,0.1282051282051282,0.5263157894736842,0.47368421052631576,1.1111111111111112,60.0,251.025,0.3333333333333333,0.35294117647058826,S12,CIN
2,52.0,49.0,15.0,10.0,5.0,8.0,2.0,0.0,27.0,10.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,8.0,8.0,0.0,2.401253918495299,0.2304,0.4888034633891878,10.0,16.0,52.0,49.0,15.0,27.0,3.0,0.0,0.0,0.30612244897959184,0.34615384615384615,0.5510204081632653,0.8971742543171114,0.2448979591836734,0.375,0.0,0.0,0.17307692307692307,0.057692307692307696,0.38461538461538464,0.6153846153846154,0.625,100.0,236.51923076923077,0.34615384615384615,0.5510204081632653,S12,CLE
2,42.0,37.0,13.0,10.0,4.0,6.0,0.0,3.0,28.0,10.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,4.9341692789968645,0.6925999999999999,0.6942722933740256,7.0,9.0,42.0,36.0,12.0,27.0,6.0,0.0,0.0,0.35135135135135137,0.42857142857142855,0.7567567567567568,1.1853281853281854,0.40540540540540543,0.38461538461538464,1.0,0.07142857142857142,0.19047619047619047,0.11904761904761904,0.4375,0.5625,0.7777777777777778,161.0,214.37209302325581,0.42857142857142855,0.75,S12,COL
2,47.0,44.0,13.0,8.0,4.0,4.0,1.0,4.0,31.0,8.0,3.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,5.0,0.0,0.4012539184952988,1.0030999999999999,0.2648921103565283,8.0,10.0,47.0,44.0,13.0,29.0,3.0,0.0,0.0,0.29545454545454547,0.3404255319148936,0.7045454545454546,1.0449709864603483,0.4090909090909091,0.34615384615384615,1.0,0.0851063829787234,0.2978723404255319,0.06382978723404255,0.4444444444444444,0.5555555555555556,0.8,119.0,229.16666666666666,0.3404255319148936,0.6590909090909091,S12,CWS
