IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA-,W-L%,Season,Team
9.0,36.0,9.0,6.0,6.0,4.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.3322884012539177,-0.6709,0.2053905819605395,32.0,0.0,0.0,5.0,1.0,0.0,7.0,4.0,5.0,2.0,0.0,14.0,7.0,2.0,1.0,2.0,4.0,1.4444444444444444,6.0,2.0,2.6666666666666665,3.3333333333333335,1.25,0.28125,0.3611111111111111,0.59375,0.9548611111111112,0.25,0.08333333333333333,0.1388888888888889,0.1111111111111111,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,254.6153846153846,6.065900383141762,136.0,0.0,S12,ANA
10.0,35.0,6.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-4.332288401253919,0.4688,0.6006083113540077,35.0,0.0,0.0,2.0,3.0,0.0,7.0,7.0,5.0,5.0,0.0,15.0,10.0,1.0,0.0,2.0,1.2,0.6,3.5999999999999996,0.6000000000000001,0.0,3.0,0.0,0.17142857142857143,0.17142857142857143,0.34285714285714286,0.5142857142857142,0.1724137931034483,0.02857142857142857,0.14285714285714285,0.0,0.6,0.4,1.5,1.0,312.4222222222222,1.8103448275862066,32.0,1.0,S12,ARI
9.666666666666668,43.0,11.0,8.0,8.0,4.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.6677115987460809,-0.11069999999999997,0.03886647620626288,39.0,0.0,0.0,5.0,3.0,0.0,2.0,6.0,3.0,3.0,0.0,9.0,6.0,2.0,0.0,2.0,4.96551724137931,1.5517241379310343,6.827586206896551,1.862068965517241,2.482758620689655,8.689655172413792,3.5,0.28205128205128205,0.3488372093023256,0.5897435897435898,0.9385807990459154,0.36363636363636365,0.06976744186046512,0.32558139534883723,0.09302325581395349,0.6,0.4,1.5,1.0,247.62222222222223,3.8896551724137924,116.0,1.0,S12,ATL
10.0,42.0,9.0,6.0,6.0,3.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.9655172413793098,-0.3965000000000001,0.29740708961227,39.0,0.0,0.0,4.0,1.0,0.0,3.0,5.0,6.0,3.0,0.0,8.0,9.0,0.0,0.0,2.0,3.6,1.2,5.4,2.4000000000000004,1.7999999999999998,7.800000000000001,4.333333333333333,0.23076923076923078,0.2857142857142857,0.5641025641025641,0.8498168498168498,0.22727272727272727,0.09523809523809523,0.30952380952380953,0.07142857142857142,0.47058823529411764,0.5294117647058824,0.8888888888888888,0.0,254.64285714285714,5.010344827586207,80.0,0.0,S12,BAL
9.0,40.0,9.0,4.0,4.0,7.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,-1.6990595611285264,0.035199999999999974,0.3611967803741279,33.0,0.0,0.0,4.0,2.0,0.0,3.0,2.0,3.0,7.0,0.0,6.0,10.0,3.0,2.0,2.0,2.6666666666666665,1.7777777777777777,6.0,2.0,4.666666666666667,6.0,1.2857142857142858,0.2727272727272727,0.4,0.6060606060606061,1.006060606060606,0.2857142857142857,0.075,0.225,0.175,0.375,0.625,0.6,0.6,245.9345029239766,6.1770114942528735,80.0,0.0,S12,BOS
11.333333333333334,47.0,9.0,6.0,6.0,4.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.9632017412018905,-0.38000000000000006,0.3210868926271874,43.0,0.0,0.0,5.0,2.0,1.0,4.0,6.0,13.0,3.0,1.0,10.0,16.0,1.0,0.0,2.0,3.176470588235294,1.1470588235294117,4.764705882352941,0.5294117647058822,2.117647058823529,3.7058823529411757,1.75,0.20930232558139536,0.2765957446808511,0.37209302325581395,0.6486887679366651,0.22857142857142856,0.02127659574468085,0.14893617021276595,0.0851063829787234,0.38461538461538464,0.6153846153846154,0.625,1.0,252.91666666666666,2.4809330628803243,73.0,0.0,S12,CHC
10.0,45.0,12.0,5.0,5.0,5.0,0.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.332288401253918,-0.2417,0.34843101741932647,40.0,0.0,0.0,7.0,3.0,0.0,4.0,2.0,3.0,6.0,0.0,7.0,9.0,1.0,1.0,2.0,3.0,1.7,7.199999999999999,1.2000000000000002,3.0,7.800000000000001,2.6,0.3,0.37777777777777777,0.525,0.9027777777777778,0.4,0.044444444444444446,0.28888888888888886,0.1111111111111111,0.4375,0.5625,0.7777777777777778,0.5,231.36170212765958,3.0103448275862066,114.0,0.0,S12,CIN
11.0,48.0,9.0,10.0,10.0,8.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.034482758620688,-0.2481,-0.07389928674853852,39.0,1.0,0.0,2.0,3.0,0.0,9.0,4.0,8.0,3.0,0.0,15.0,11.0,0.0,0.0,2.0,5.454545454545454,1.5454545454545454,4.909090909090909,2.1818181818181817,4.363636363636363,3.8181818181818183,0.875,0.23076923076923078,0.3541666666666667,0.6153846153846154,0.9695512820512822,0.1724137931034483,0.08333333333333333,0.14583333333333334,0.16666666666666666,0.5769230769230769,0.4230769230769231,1.3636363636363635,0.0,251.16666666666666,7.146708463949843,132.0,0.0,S12,CLE
8.333333333333334,45.0,14.0,16.0,16.0,7.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.300940438871475,-1.5133,-0.8148918665932127,38.0,0.0,0.0,8.0,1.0,1.0,1.0,6.0,4.0,7.0,0.0,8.0,11.0,1.0,0.0,2.0,11.52,2.52,10.08,2.88,5.04,4.32,0.8571428571428571,0.3684210526315789,0.4666666666666667,0.7631578947368421,1.2298245614035088,0.35714285714285715,0.08888888888888889,0.13333333333333333,0.15555555555555556,0.42105263157894735,0.5789473684210527,0.7272727272727273,1.0,235.82608695652175,8.830344827586206,241.0,0.0,S12,COL
10.999999999999998,48.0,12.0,10.0,10.0,4.0,0.0,0.0,16.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0344827586206904,-0.9515,-0.07389928674853874,44.0,0.0,0.0,5.0,2.0,1.0,2.0,5.0,9.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,5.454545454545455,1.4545454545454548,6.545454545454547,2.181818181818182,2.181818181818182,8.727272727272728,4.0,0.2727272727272727,0.3333333333333333,0.6363636363636364,0.9696969696969697,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.4375,0.5625,0.7777777777777778,0.0,230.3673469387755,4.419435736677116,125.0,1.0,S12,CWS
8.666666666666666,36.0,7.0,2.0,2.0,6.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,-3.6990595611285264,0.3558,0.5420676979480004,30.0,0.0,0.0,4.0,3.0,0.0,6.0,1.0,6.0,2.0,1.0,10.0,8.0,1.0,0.0,2.0,1.3846153846153848,1.5,4.846153846153847,0.0,4.153846153846154,4.846153846153847,1.1666666666666667,0.23333333333333334,0.3611111111111111,0.3333333333333333,0.6944444444444444,0.30434782608695654,0.0,0.19444444444444445,0.16666666666666666,0.5555555555555556,0.4444444444444444,1.25,1.0,247.54054054054055,1.9718832891246683,36.0,1.0,S12,DET
9.0,35.0,7.0,3.0,3.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-2.6990595611285264,0.248,0.4372854273414685,33.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,7.0,8.0,0.0,5.0,15.0,0.0,0.0,2.0,2.0,1.0,4.666666666666667,0.6666666666666666,1.3333333333333333,4.666666666666667,3.5,0.21212121212121213,0.2571428571428571,0.42424242424242425,0.6813852813852814,0.24,0.02857142857142857,0.2,0.05714285714285714,0.25,0.75,0.3333333333333333,0.0,270.0571428571429,2.065900383141762,18.0,1.0,S12,FLA
9.0,39.0,8.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-3.6990595611285264,0.28679999999999994,0.5564145097675961,34.0,0.0,0.0,3.0,2.0,2.0,4.0,6.0,6.0,5.0,0.0,11.0,11.0,2.0,0.0,2.0,1.3333333333333333,1.4444444444444444,5.333333333333333,0.6666666666666666,3.3333333333333335,3.3333333333333335,1.0,0.23529411764705882,0.3333333333333333,0.5,0.8333333333333333,0.25,0.02564102564102564,0.1282051282051282,0.1282051282051282,0.5,0.5,1.0,1.0,262.1219512195122,3.5103448275862066,71.0,1.0,S12,HOU
9.333333333333332,46.0,15.0,7.0,7.0,5.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.667711598746082,-0.6167999999999999,0.15321328802585835,40.0,1.0,0.0,12.0,1.0,1.0,5.0,5.0,5.0,7.0,0.0,12.0,12.0,1.0,0.0,2.0,4.500000000000001,2.1428571428571432,9.642857142857144,0.6428571428571429,3.214285714285715,2.5714285714285716,0.8,0.375,0.43478260869565216,0.525,0.9597826086956522,0.3888888888888889,0.021739130434782608,0.08695652173913043,0.10869565217391304,0.5,0.5,1.0,1.0,237.85106382978722,3.65320197044335,121.0,0.0,S12,KCR
11.0,47.0,12.0,8.0,8.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.03448275862069,-0.18259999999999998,0.12131844264492944,45.0,0.0,0.0,3.0,5.0,0.0,8.0,5.0,12.0,3.0,0.0,13.0,15.0,0.0,0.0,2.0,4.363636363636363,1.2727272727272727,6.545454545454545,2.1818181818181817,1.0909090909090908,2.727272727272727,2.5,0.26666666666666666,0.2978723404255319,0.6444444444444445,0.9423167848699764,0.2222222222222222,0.0851063829787234,0.10638297872340426,0.0425531914893617,0.4642857142857143,0.5357142857142857,0.8666666666666667,0.0,253.04255319148936,5.87398119122257,88.0,1.0,S12,LAD
11.333333333333332,50.0,12.0,8.0,8.0,4.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.4012539184952977,-0.6426999999999999,0.19898813847706426,44.0,2.0,0.0,6.0,5.0,1.0,2.0,2.0,17.0,3.0,0.0,4.0,20.0,0.0,0.0,2.0,4.235294117647059,1.411764705882353,6.352941176470589,0.0,2.1176470588235294,5.294117647058824,2.5,0.2727272727272727,0.32,0.4318181818181818,0.7518181818181818,0.3333333333333333,0.0,0.2,0.08,0.16666666666666666,0.8333333333333334,0.2,0.0,232.28,0.8044624746450301,88.0,0.0,S12,MIL
11.666666666666668,51.0,14.0,7.0,7.0,4.0,0.0,0.0,15.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.5987460815047017,-0.4952,0.30377040908359604,46.0,1.0,0.0,4.0,6.0,0.0,8.0,3.0,5.0,2.0,0.0,12.0,7.0,1.0,1.0,2.0,3.5999999999999996,1.5428571428571427,7.199999999999999,2.057142857142857,2.057142857142857,7.7142857142857135,3.75,0.30434782608695654,0.35294117647058826,0.6956521739130435,1.0485933503836318,0.35714285714285715,0.0784313725490196,0.29411764705882354,0.0784313725490196,0.631578947368421,0.3684210526315789,1.7142857142857142,0.5,242.62264150943398,4.42463054187192,85.0,1.0,S12,MIN
8.0,37.0,11.0,6.0,6.0,2.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.3009404388714738,-0.5367999999999999,0.14684996855453225,35.0,0.0,0.0,3.0,5.0,0.0,5.0,4.0,4.0,4.0,0.0,9.0,8.0,0.0,0.0,2.0,4.5,1.625,8.25,2.25,1.5,5.25,3.5,0.3142857142857143,0.35135135135135137,0.7142857142857143,1.0656370656370657,0.32,0.08108108108108109,0.1891891891891892,0.05405405405405406,0.5294117647058824,0.47058823529411764,1.125,0.0,246.94594594594594,5.385344827586207,131.0,0.0,S12,MTL
7.666666666666666,35.0,12.0,5.0,5.0,2.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.06583072100313417,-0.24680000000000013,0.17396254332892927,33.0,0.0,0.0,8.0,2.0,0.0,3.0,3.0,4.0,4.0,1.0,6.0,8.0,2.0,2.0,2.0,3.91304347826087,1.8260869565217392,9.391304347826088,1.5652173913043477,1.5652173913043477,4.695652173913044,3.0,0.36363636363636365,0.4,0.6060606060606061,1.006060606060606,0.4,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.42857142857142855,0.5714285714285714,0.75,0.5,244.23076923076923,4.11904047976012,111.0,0.0,S12,NYM
10.0,48.0,15.0,9.0,9.0,3.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.03448275862069,-0.1546,0.02610071325146129,45.0,0.0,0.0,4.0,8.0,1.0,6.0,5.0,4.0,7.0,0.0,11.0,11.0,2.0,0.0,2.0,5.4,1.8,9.0,1.2000000000000002,1.7999999999999998,4.800000000000001,2.6666666666666665,0.3333333333333333,0.375,0.6888888888888889,1.0638888888888889,0.37142857142857144,0.041666666666666664,0.16666666666666666,0.0625,0.5,0.5,1.0,1.0,242.4,3.4103448275862065,145.0,1.0,S12,NYY
