ID,Name,League,Season,Session,Game ID,Team,Notes
1,,MLR,10,11,154,STL,Pinch hit for in T2
6,,MiLR,5,11,125,GTY,Pinch hit for in B1
8,,MiLR,4,8,63,DDD,Pinch hit for in T2
8,,MLR,2,13,132,ARI,Fielding Replacement
10,,MLR,8,11,152,ATL,Pinch hit for in B1
11,,MLR,4,2,27,ARI,Pinch hit for in T3
11,,MLR,4,10,143,TEX,Pinch hit for in T2
16,,MLR,3,8,93,ARI,Fielding Replacement
16,,MLR,4,14,198,MIN,Fielding Replacement
17,,MiLR,6,10,130,CWJ,Pinch hit for in B1
17,,MLR,4,3,37,ARI,Fielding Replacement
17,,MLR,7,6,76,CIN,Fielding Replacement
18,,MiLR,4,3,17,N69,Replaced in T1
18,,MiLR,4,5,33,N69,Replaced in T2
18,,MLR,3,4,46,BOS,Fielding Replacement
18,,MLR,6,7,97,BOS,Fielding Replacement
20,,MiLR,7,5,34,BBB,Pinch hit for in B2
20,,MLR,8,12,171,CLE,Pinch hit for in B2
22,,MLR,9,14,202,SFG,Pinch hit for in T2
24,,MLR,6,5,65,BOS,Pinch hit for in B2
24,,MLR,8,6,78,BOS,Fielding Replacement
29,,MiLR,4,2,11,N69,Fielding Replacement
29,,MiLR,4,5,33,N69,Replaced in T2
31,,MiLR_Playoff,3,1,1,BER,Pinch hit for in T2
32,,MLR,4,11,151,BAL,Fielding Replacement
33,,MLR,5,12,172,MIN,Pinch hit for in B2
34,,MiLR,12,12,56,SCR,Pinch hit for in T2
35,,MLR,3,7,82,BOS,Pinch hit for in B2
35,,MLR,4,4,58,ARI,Pinch hit for in B2
35,,MLR_Playoff,6,1,3,MIN,Pinch hit for in T2
38,,MiLR,4,4,26,N69,Pinch hit for in T2
39,,MLR,6,10,137,MIA,Pinch hit for in B1
41,,MLR,8,4,48,CIN,Pinch hit for in T3
41,,MLR,9,14,198,CIN,Fielding Replacement
41,,MLR_Playoff,9,1,2,CIN,Pinch hit for in B1
42,,MiLR,7,4,32,MMA,Pinch hit for in B1
42,Viking Fishbird,MLR,7,2,29,TEX,Pinch hit for in B2
44,,MLR,3,14,166,CLE,Pinch hit for in T2
47,,MiLR,4,12,94,MBX,Pinch hit for in B2
47,,MLR,4,5,73,CIN,Pinch hit for in B1
48,,MLR,9,1,6,SFG,Pinch hit for in B1
48,,MLR,10,1,2,SFG,Pinch hit for in T2
48,,MLR_Playoff,10,2,8,SFG,Pinch hit for in B2
49,,MiLR,5,12,134,RKT,Fielding Replacement
49,,MLR,3,10,114,CLE,Pinch hit for in T2
56,,MiLR,5,10,116,NUL,Pinch hit for in T2
57,,MLR,3,14,168,CHC,Fielding Replacement
62,,MLR,3,4,38,CHC,Fielding Replacement
63,,MiLR,6,4,54,HEL,Replaced in T1
63,,MLR,5,7,99,CHC,Fielding Replacement
64,,MiLR,3,5,18,CCF,Pinch hit for in T3
68,,MLR,4,7,103,CHC,Fielding Replacement
68,,MLR,4,13,193,CHC,Pinch hit for in B2
71,,MiLR,3,6,23,CCF,Fielding Replacement
71,,MiLR,4,6,46,FWG,Replaced in T1
71,,MiLR,7,12,94,PBA,Pinch hit for in B2
73,,MLR,7,3,43,COL,Fielding Replacement
76,,LLR,1,1,3,WAS,Fielding Replacement
76,,MiLR,8A,4,24,MMM,Pinch hit for in B1
77,,MiLR,4,3,19,PGS,Pinch hit for in B1
77,,MiLR,4,10,75,PGS,Pinch hit for in T2
194,,MiLR,4,7,50,DBV,"Pinch Runner, Run Scored"
