Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
AAL,BAC,6015,6.0,S6,2,1,0,2,4,1,0,3,4,1,2,5,2,1,0,1,7,12,24,3,3,-0.3952702702702703,0.0656060396718328,-0.2865999999999999,Away
AAL,BBB,6104,6.0,S6,8,0,0,0,4,1,0,4,6,1,1,2,2,1,0,2,4,4,20,0,0,-3.39527027027027,-0.2470099283320302,-0.4479,Away
AAL,CBC,6072,6.0,S6,6,1,1,1,4,5,0,4,3,0,2,4,2,0,0,0,7,13,27,6,6,3.170608108108108,0.4306045228455795,0.4231,Away
AAL,CWJ,6130,6.0,S6,10,1,0,1,2,4,0,4,1,0,7,5,1,1,0,0,4,8,26,2,2,-1.5541671842558251,-0.0460783290587681,-0.39,Away
AAL,JEF,6144,6.0,S6,11,0,0,3,2,0,0,5,0,0,1,2,4,0,0,0,5,8,17,3,3,0.7364864864864864,0.1451391340038734,0.2237,Home
AAL,LID,6005,6.0,S6,1,2,0,4,4,1,0,5,6,1,1,2,4,0,1,0,10,20,29,7,7,3.60472972972973,0.4866326530116049,0.3567,Away
AAL,LMN,6032,6.0,S6,3,1,0,1,3,1,0,8,2,0,5,1,1,0,1,1,5,9,23,1,1,-2.3952702702702706,-0.134393960328167,-0.3453,Home
AAL,MPD,6118,6.0,S6,9,1,0,2,2,2,2,3,2,2,2,3,4,0,0,1,5,10,21,2,2,-0.8293918918918921,0.0095779095058075,0.0532999999999999,Home
AAL,PUK,6089,6.0,S6,7,0,0,1,0,9,0,9,1,0,4,1,3,0,1,0,1,2,28,1,1,-2.39527027027027,-0.1175726696563495,-0.3954,Home
AAL,RBD,6186,6.0,S6,14,1,0,5,3,2,0,4,2,0,5,3,1,0,0,0,9,17,26,6,6,3.170608108108108,0.4263992001776251,0.3203,Home
AAL,SAR,6174,6.0,S6,13,0,0,1,6,0,0,2,8,1,5,1,1,0,0,1,7,8,24,0,0,-3.39527027027027,-0.2343939603281671,-0.3134,Home
AAL,SAS,6060,6.0,S6,5,0,1,2,1,0,0,0,4,0,3,1,7,0,0,0,4,8,19,2,2,-0.8293918918918919,-0.0030380584980556,-0.1894,Home
AAL,SGP,6045,6.0,S6,4,0,0,1,6,1,0,5,2,0,1,5,4,1,1,0,7,8,25,1,1,-2.39527027027027,-0.1301886376602126,-0.2834,Away
AAL,WWC,6159,6.0,S6,12,1,0,4,3,2,0,4,3,0,5,2,4,0,1,0,8,15,28,4,4,0.6047297297297297,0.1824273303436505,0.1202,Away
ACK,BEE,10031,10.0,S10,7,2,0,2,1,2,0,4,3,0,1,4,2,1,0,0,5,13,21,5,5,1.5566556655665562,0.2363683524332079,0.2793,Home
ACK,BEE,10058,10.0,S10,12,3,0,2,2,3,0,5,6,0,1,4,2,0,0,0,7,18,28,6,6,1.867986798679868,0.2944023943700565,0.2318,Away
ACK,CRN,10064,10.0,S10,13,0,1,2,4,0,0,5,6,0,1,3,0,0,1,0,7,11,22,3,3,-0.4433443344334435,0.0440543320404986,0.1788999999999999,Home
ACK,GOB,10026,10.0,S10,6,2,0,2,5,2,0,5,1,0,4,2,3,0,1,0,9,17,26,5,5,1.5566556655665562,0.2594262912550801,0.3279,Home
ACK,GOB,10054,10.0,S10,11,0,1,1,4,4,0,5,4,0,1,5,3,0,0,0,6,9,28,2,2,-2.1320132013201323,-0.1055976056299434,-0.1633,Away
ACK,GRS,10003,10.0,S10,1,0,1,1,4,0,0,4,3,0,1,5,2,2,0,1,6,9,21,2,2,-2.1320132013201323,-0.1286555444518155,-0.2548,Away
