Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Teams
2001,2.0,S2,1,1,0,3,5,3,0,2,7,10,0,7,6,3,0,0,9,42,11.0,3,1.6666666666666665,0.048583333333333346,0.0,20,10,SAV @ HVR
2002,2.0,S2,2,0,1,1,3,0,0,0,4,14,2,5,1,0,0,1,5,31,9.0,0,-1.2121212121212122,0.2852121212121212,0.0,14,4,TRE @ HVR
2003,2.0,S2,2,1,0,0,5,5,0,1,8,14,0,5,7,1,0,1,6,45,12.0,1,-0.4545454545454546,0.28120454545454543,0.0,22,11,AKR @ SAV
3001,3.0,S3,1,1,0,0,5,4,0,1,8,5,1,2,1,1,0,0,6,27,6.0,3,-2.3277242136413525,0.3730828675353821,0.0,5,3,BER @ BAY
3002,3.0,S3,1,0,0,2,8,2,0,0,6,13,3,4,5,5,0,0,10,43,12.0,0,-11.043902439024388,1.3278476211381285,0.0,18,8,CCF @ SCB
3003,3.0,S3,1,3,0,2,5,5,0,0,4,14,0,3,0,0,0,0,10,36,7.0,9,2.5577235772357736,-0.0686917628285815,0.0,12,4,CIN @ LAN
3004,3.0,S3,1,1,0,1,3,0,0,0,2,11,2,0,3,0,0,0,5,23,6.0,1,-4.521951219512194,0.5717188353563556,0.0,7,4,TZS @ FTP
3005,3.0,S3,2,2,4,5,6,4,1,0,8,14,7,2,1,1,1,0,17,53,11.0,11,1.0549941927990727,0.1751214730625865,0.0,18,5,BAY @ TZS
3006,3.0,S3,2,1,1,2,6,2,0,0,6,9,2,8,7,4,0,0,10,44,12.0,3,-8.451729641761771,1.0738270246033943,0.0,24,13,LAN @ CCF
3007,3.0,S3,2,1,0,1,4,0,0,0,8,13,1,2,2,1,0,0,6,32,9.0,1,-7.282926829268291,0.8945865450557143,0.0,11,4,SCB @ BER
3008,3.0,S3,2,1,3,1,6,4,0,0,6,10,0,1,3,1,0,0,11,35,7.0,10,3.1498963744983905,-0.1331057257463708,0.0,12,5,FTP @ CIN
3009,3.0,S3,3,1,0,3,2,2,0,0,6,7,1,2,2,0,1,0,6,26,6.0,4,-0.8360847285558828,0.2239189190268352,0.0,7,5,CCF @ FTP
3010,3.0,S3,3,2,1,3,4,5,0,0,7,16,1,4,6,2,1,0,10,49,12.0,4,-7.0439024390243885,0.964224403478822,0.0,22,10,SCB @ LAN
3011,3.0,S3,3,2,0,9,4,2,0,1,7,7,2,10,8,2,0,0,15,51,12.0,8,-3.0439024390243885,0.5694210866703496,0.0,23,10,CIN @ BAY
3012,3.0,S3,3,3,1,5,5,2,0,0,6,13,3,4,2,0,0,0,14,44,9.333333333333334,7,-1.6009793052475962,0.38875199095197677,0.0,15,9,BER @ TZS
3013,3.0,S3,4,8,1,5,7,5,0,0,9,8,4,4,6,2,0,0,21,57,11.0,20,9.876422764227643,-0.6914313345056876,0.0,25,12,TZS @ CIN
3014,3.0,S3,4,4,0,2,5,7,0,2,4,10,3,2,6,4,0,1,11,43,10.0,4,-5.203252032520323,0.7489792636792495,0.0,18,9,LAN @ BER
3015,3.0,S3,4,3,1,4,6,3,0,1,6,13,2,4,9,2,0,0,14,51,12.0,11,0.29476901129089783,0.235553941638821,0.0,22,13,FTP @ SCB
3016,3.0,S3,4,1,2,3,3,6,0,1,4,7,5,3,2,3,0,0,9,36,8.0,5,-2.18403019744483,0.4054836146394789,0.0,14,7,BAY @ CCF
3017,3.0,S3,5,4,1,5,7,5,0,2,5,16,4,3,4,1,1,0,17,54,11.0,13,3.070649770098485,-0.02124740147582707,0.0,22,12,BER @ CIN
3018,3.0,S3,5,0,0,2,12,3,0,0,8,10,5,4,3,3,2,3,14,47,12.0,2,-8.86533101045296,1.1567606270047344,0.0,18,8,CCF @ TZS
3019,3.0,S3,5,5,1,6,9,5,0,0,7,6,1,10,7,2,1,0,21,57,11.0,15,4.876422764227644,-0.18623465131415995,0.0,22,14,SCB @ BAY
3020,3.0,S3,5,6,0,1,6,4,0,1,3,16,0,0,5,0,0,0,13,41,8.0,12,5.204423814296853,-0.30737837057705103,0.0,14,7,LAN @ FTP
3021,3.0,S3,6,4,0,4,6,8,0,1,10,11,0,7,8,0,0,0,14,58,12.0,11,1.4733404398623262,0.1540735811223718,0.0,23,14,BAY @ LAN
3022,3.0,S3,6,2,1,5,3,5,0,1,4,7,1,4,2,0,0,0,11,34,6.0,11,6.070221577750424,-0.4303349292631018,0.0,12,5,FTP @ BER
3023,3.0,S3,6,5,0,1,4,4,0,1,4,3,0,3,4,3,0,0,10,28,5.666666666666667,6,0.9630787206075662,0.04919925730201789,0.0,9,6,CIN @ CCF
3024,3.0,S3,6,2,2,2,7,7,0,0,3,9,2,3,4,3,0,0,13,41,8.0,8,1.1564888930742603,0.09741512154520825,0.0,13,10,TZS @ SCB
3025,3.0,S3,7,0,0,2,6,3,0,0,11,9,0,6,5,1,0,1,8,42,11.0,1,-8.78490578545707,1.1019479557813965,0.0,23,12,BER @ CCF
3026,3.0,S3,7,3,3,4,3,2,1,0,10,11,2,5,4,0,0,1,13,47,11.0,8,-2.123577235772356,0.4617985167705633,0.0,18,7,SCB @ CIN
3027,3.0,S3,7,1,0,7,6,5,0,1,9,8,11,0,6,2,0,0,14,53,12.0,7,-4.0439024390243885,0.679814453053405,0.0,19,9,FTP @ BAY
