Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
AAL,BAC,6015,6.0,S6,2,1,1,0,5,0,0,0,2,7,1,2,2,1,0,0,7,21,5.0,4,1.1706081081081081,-0.030041677746944044,-0.24220000000000008,6,5,Away
AAL,BBB,6104,6.0,S6,8,0,1,1,7,2,0,0,4,8,2,0,1,0,0,0,9,26,5.0,7,4.170608108108108,-0.30932283654126147,-0.05209999999999998,7,2,Away
AAL,CBC,6072,6.0,S6,6,0,1,3,5,3,0,0,5,5,2,1,1,1,1,0,9,26,5.0,4,1.170608108108108,-0.00517906830012492,-0.0062999999999999445,9,3,Away
AAL,CWJ,6130,6.0,S6,10,3,0,1,1,1,0,0,7,3,0,2,1,1,0,0,5,19,4.666666666666667,3,0.42596004467505755,0.036135592114087976,-0.15769999999999998,4,3,Away
AAL,JEF,6144,6.0,S6,11,1,1,1,0,2,0,1,2,4,3,4,1,1,0,0,3,19,5.0,1,-1.829391891891892,0.26167078577078295,0.21089999999999998,11,5,Home
AAL,LID,6005,6.0,S6,1,0,0,4,3,5,0,2,2,5,2,6,1,2,0,0,7,28,6.0,5,1.6047297297297296,-0.04444746222115062,0.14329999999999998,14,6,Away
AAL,LMN,6032,6.0,S6,3,1,0,4,2,0,0,0,10,5,0,2,1,0,0,0,7,25,6.0,4,0.6047297297297294,0.04312123305543988,-0.1547,9,3,Home
AAL,MPD,6118,6.0,S6,9,0,0,0,3,1,0,0,4,7,0,3,2,2,0,0,3,20,6.0,0,-3.39527027027027,0.42240239184975725,0.44670000000000004,9,5,Home
AAL,PUK,6089,6.0,S6,7,1,1,1,1,2,1,0,5,8,2,1,2,0,0,0,4,24,6.0,3,-0.3952702702702705,0.13897746481430334,-0.10460000000000005,13,5,Home
AAL,RBD,6186,6.0,S6,14,1,0,1,4,3,0,0,4,5,2,2,3,0,0,0,6,25,6.0,1,-2.3952702702702706,0.34312123305543984,0.1829,8,5,Home
AAL,SAR,6174,6.0,S6,13,1,1,6,1,5,0,0,2,6,1,2,5,2,0,0,9,30,6.0,5,1.6047297297297298,-0.0361599257388776,-0.18660000000000004,13,8,Home
AAL,SAS,6060,6.0,S6,5,2,0,0,4,0,0,0,0,10,3,1,1,0,1,0,6,21,5.0,4,1.170608108108108,-0.025897909505807504,-0.2274,9,3,Home
AAL,SGP,6045,6.0,S6,4,1,0,1,0,1,0,0,5,3,1,7,2,0,0,0,2,21,6.0,1,-2.39527027027027,0.32654616009089377,0.2829,11,7,Away
AAL,WWC,6159,6.0,S6,12,1,0,4,5,3,0,1,2,4,2,0,6,1,0,0,10,27,5.0,7,4.170608108108108,-0.305179068300125,-0.6202000000000001,9,6,Away
ACK,BEE,10031,10.0,S10,7,1,0,2,2,1,0,1,4,6,1,2,4,1,0,0,5,23,6.0,2,-2.1320132013201323,0.3024497989969323,0.22069999999999998,8,5,Home
ACK,BEE,10058,10.0,S10,12,0,0,0,1,2,0,0,7,6,0,3,2,0,0,0,1,21,6.0,0,-4.132013201320133,0.49468906170433063,0.26820000000000005,10,5,Away
ACK,CRN,10064,10.0,S10,13,1,0,2,2,2,0,0,4,6,2,0,3,1,0,0,5,23,6.0,1,-3.1320132013201323,0.40244979899693223,0.32109999999999994,7,4,Home
ACK,GOB,10026,10.0,S10,6,1,0,1,1,0,0,0,9,3,2,2,2,0,0,0,3,21,6.0,1,-3.1320132013201323,0.3946890617043306,0.17209999999999998,9,4,Home
ACK,GOB,10054,10.0,S10,11,1,2,1,2,2,0,0,5,6,0,3,1,0,2,0,6,23,5.0,4,0.5566556655665564,0.04134364960086505,-0.33670000000000017,6,3,Away
ACK,GRS,10003,10.0,S10,1,2,0,1,2,2,0,0,4,3,1,2,4,1,2,0,5,21,5.0,3,-0.44334433443344357,0.13358291230826339,-0.2452000000000001,8,5,Away
ACK,GRS,10046,10.0,S10,10,0,0,1,0,4,0,0,5,3,9,1,0,0,1,0,1,23,6.0,1,-3.1320132013201323,0.40633016764323315,0.26359999999999995,6,2,Home
ACK,KIR,10009,10.0,S10,2,1,2,7,9,3,1,0,3,7,9,2,8,2,1,0,19,52,11.0,10,3.1951572708291236,-0.11385618882896845,-0.2892000000000002,21,12,Away
